dates,satname,nzd0350-0000,nzd0350-0001,nzd0350-0003,nzd0350-0004,nzd0350-0005,nzd0350-0006,nzd0350-0007,nzd0350-0008,nzd0350-0009,nzd0350-0010,nzd0350-0011,nzd0350-0012,nzd0350-0013,nzd0350-0014,nzd0350-0015,nzd0350-0016,nzd0350-0017,nzd0350-0002
1999-09-29 21:54:04.102000,L7,350.56,359.78,156.48,306.52,314.83,340.31,320.38,311.44,258.73,260.11,305.89,296.74,283.94,208.26,253.58,309.62,321.19,
2000-01-26 22:00:02.226000,L7,388.42,,,346.53,240.29,201.87,245.36,218.59,253.62,193.88,232.72,,,192.24,218.67,287.22,293.83,
2000-02-27 21:59:52.393000,L7,178.51,,,370.78,311.70,365.84,247.01,220.53,,249.36,235.50,,246.86,195.25,249.04,285.78,368.89,
2000-03-30 21:59:45.397000,L7,,,,172.26,325.40,362.99,,,,,,,,184.95,178.69,252.04,238.26,
2000-04-15 21:59:31.785000,L7,393.01,,,176.95,295.95,277.47,,,,,,,,,,281.96,282.58,
2000-05-01 21:59:30.586000,L7,,,,377.36,290.36,365.73,,,,,,,,,,268.66,291.61,
2000-05-17 21:59:19.400000,L7,389.34,,,180.46,352.91,284.90,249.99,225.04,,224.28,234.65,,,,213.95,285.53,289.19,
2000-07-13 21:52:31.712000,L7,333.75,292.05,,,280.24,266.16,,,,,,,,,,154.03,249.76,
2000-11-25 21:57:34.931000,L7,354.79,246.74,376.62,381.75,383.48,430.43,405.20,406.44,408.13,407.13,363.21,387.70,385.21,390.54,375.05,379.80,372.12,401.94
2000-12-04 21:51:22.024000,L7,317.84,341.60,339.49,,,273.79,204.54,302.39,,198.44,304.25,298.64,,190.11,257.91,306.72,290.90,341.22
2000-12-20 21:51:28.881000,L7,224.45,351.58,315.73,344.73,344.00,341.66,317.28,316.08,240.05,268.40,312.42,311.33,294.10,308.58,356.59,365.40,370.62,345.93
2001-01-05 21:51:28.457000,L7,,320.00,351.90,250.91,285.58,318.76,325.68,216.79,236.02,257.59,312.12,250.18,294.31,202.83,251.81,309.58,386.73,344.73
2001-02-06 21:51:26.449000,L7,316.00,250.37,,343.16,328.74,335.72,324.06,292.16,251.84,152.21,306.93,300.36,,192.75,245.25,306.57,329.68,
2001-08-24 21:56:00.447000,L7,,,,164.05,325.94,327.59,,,,,,,,,,169.25,237.86,
2001-09-18 21:49:29.215000,L7,350.32,319.70,,,255.48,333.58,,,,,,,,187.23,201.16,303.74,308.95,
2001-10-04 21:49:17.977000,L7,,,,,,,,,,,,,,,,,216.18,
2001-12-30 21:55:49.115000,L7,357.76,265.88,407.65,385.85,378.62,383.80,392.73,384.51,308.56,364.10,320.31,315.80,280.89,337.33,341.91,348.82,350.72,397.93
2002-09-12 21:55:07.575000,L7,394.64,373.08,252.15,381.58,397.38,388.70,177.37,275.08,367.25,360.35,308.56,303.78,208.24,192.51,214.03,289.28,295.72,436.04
