dates,satname,nzd0031-0000,nzd0031-0001,nzd0031-0002,nzd0031-0003,nzd0031-0004,nzd0031-0005,nzd0031-0007,nzd0031-0008,nzd0031-0009,nzd0031-0010,nzd0031-0011,nzd0031-0012,nzd0031-0013,nzd0031-0014,nzd0031-0015,nzd0031-0016,nzd0031-0017,nzd0031-0018,nzd0031-0019,nzd0031-0020,nzd0031-0021,nzd0031-0022,nzd0031-0023,nzd0031-0024,nzd0031-0025,nzd0031-0028,nzd0031-0029,nzd0031-0030,nzd0031-0031,nzd0031-0032,nzd0031-0033,nzd0031-0034,nzd0031-0035,nzd0031-0036,nzd0031-0037,nzd0031-0038,nzd0031-0039,nzd0031-0040,nzd0031-0042,nzd0031-0043,nzd0031-0044,nzd0031-0045,nzd0031-0046,nzd0031-0047,nzd0031-0048,nzd0031-0058,nzd0031-0059,nzd0031-0060,nzd0031-0061,nzd0031-0062,nzd0031-0063,nzd0031-0064,nzd0031-0065,nzd0031-0066,nzd0031-0067,nzd0031-0068,nzd0031-0069,nzd0031-0070,nzd0031-0071,nzd0031-0072,nzd0031-0073,nzd0031-0074,nzd0031-0075,nzd0031-0076,nzd0031-0077,nzd0031-0078,nzd0031-0079,nzd0031-0080,nzd0031-0091,nzd0031-0096,nzd0031-0097,nzd0031-0098,nzd0031-0099,nzd0031-0100,nzd0031-0101,nzd0031-0102,nzd0031-0103,nzd0031-0104,nzd0031-0105,nzd0031-0106,nzd0031-0107,nzd0031-0108,nzd0031-0109,nzd0031-0110,nzd0031-0111,nzd0031-0112,nzd0031-0113,nzd0031-0114,nzd0031-0115,nzd0031-0116,nzd0031-0117,nzd0031-0118,nzd0031-0119,nzd0031-0120,nzd0031-0122,nzd0031-0123,nzd0031-0124,nzd0031-0125,nzd0031-0126,nzd0031-0127,nzd0031-0128,nzd0031-0129,nzd0031-0130,nzd0031-0131,nzd0031-0132,nzd0031-0133,nzd0031-0134,nzd0031-0135,nzd0031-0136,nzd0031-0137,nzd0031-0138,nzd0031-0139,nzd0031-0140,nzd0031-0141,nzd0031-0142,nzd0031-0143,nzd0031-0144,nzd0031-0145,nzd0031-0146,nzd0031-0147,nzd0031-0148,nzd0031-0149,nzd0031-0150,nzd0031-0151,nzd0031-0152,nzd0031-0153,nzd0031-0159,nzd0031-0160,nzd0031-0162,nzd0031-0163,nzd0031-0164,nzd0031-0165,nzd0031-0166,nzd0031-0167,nzd0031-0168,nzd0031-0169,nzd0031-0170,nzd0031-0178,nzd0031-0179,nzd0031-0180,nzd0031-0181,nzd0031-0006,nzd0031-0041,nzd0031-0049,nzd0031-0050,nzd0031-0051,nzd0031-0052,nzd0031-0053,nzd0031-0054,nzd0031-0084,nzd0031-0085,nzd0031-0121,nzd0031-0154,nzd0031-0155,nzd0031-0156,nzd0031-0157,nzd0031-0158,nzd0031-0161,nzd0031-0171,nzd0031-0172,nzd0031-0173,nzd0031-0174,nzd0031-0175,nzd0031-0176,nzd0031-0177,nzd0031-0182,nzd0031-0183,nzd0031-0184,nzd0031-0055,nzd0031-0056,nzd0031-0057,nzd0031-0026,nzd0031-0027,nzd0031-0081,nzd0031-0082,nzd0031-0083,nzd0031-0089,nzd0031-0090,nzd0031-0092,nzd0031-0093,nzd0031-0094,nzd0031-0095,nzd0031-0185,nzd0031-0186,nzd0031-0086,nzd0031-0087,nzd0031-0088
1999-08-17 22:10:26.276000,L7,472.89,317.97,360.57,384.79,455.89,508.55,348.10,370.42,369.66,340.27,317.74,302.41,325.24,314.82,507.40,503.29,499.52,539.89,495.44,491.09,482.62,430.09,537.24,523.20,521.66,327.35,443.41,440.34,384.09,380.11,461.44,459.65,509.16,477.89,316.01,183.59,185.75,227.32,186.78,342.31,342.61,392.70,398.34,446.25,497.16,184.04,248.97,250.16,277.50,398.97,501.15,456.80,441.91,478.29,227.42,270.26,307.51,432.10,428.01,294.12,347.09,311.72,373.81,435.14,456.82,455.93,464.83,343.64,560.12,506.95,548.85,536.93,481.93,378.95,510.16,533.83,495.14,519.45,315.36,320.62,535.61,445.24,464.76,356.71,357.06,540.17,380.60,370.72,483.62,448.71,442.57,455.64,391.08,310.96,544.54,512.42,481.94,387.44,470.25,464.96,434.27,470.81,363.45,389.00,341.43,355.85,374.25,378.95,339.58,495.05,501.02,484.74,484.44,493.49,477.03,470.35,471.72,519.00,475.80,519.42,535.35,484.03,458.30,525.09,551.07,515.77,429.43,506.76,534.79,521.95,522.88,469.93,480.78,486.14,374.01,511.89,414.37,234.83,289.29,316.13,299.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-09-27 22:04:25.056000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,535.82,540.83,546.80,523.48,521.32,525.96,531.85,540.23,544.83,543.87,532.85,494.93,432.05,410.91,441.04,542.23,447.64,,,,,488.55,502.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376.03,394.24,383.54,377.87,,,,,,,,,,,,,,,,,,473.32,493.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,540.68,482.53,422.24,506.44,,532.88,,,,,,,,,,,,,,,,,,,,,,,540.71,550.12,532.93,482.99,521.42,535.51,,,,,,,,,,,,551.36,510.07,,,
1999-10-04 22:10:38.131000,L7,275.49,279.50,330.09,287.29,393.08,535.26,527.14,341.84,335.32,245.19,223.00,221.97,,512.52,450.36,402.62,409.82,,505.45,493.58,483.32,432.06,478.94,,,,400.42,435.32,445.37,444.72,461.46,455.07,436.96,267.54,313.95,194.97,184.44,211.43,280.53,519.87,485.68,465.08,538.18,422.83,303.29,409.38,422.03,251.65,280.26,497.08,509.56,431.32,461.03,487.57,501.69,344.68,444.89,439.05,404.51,,298.71,304.72,233.76,242.77,449.35,411.62,461.13,339.00,,,,,,,,,551.46,529.37,540.48,543.97,543.69,540.00,330.27,343.64,353.05,341.97,337.72,334.18,238.84,347.21,356.84,444.18,504.17,513.24,497.08,392.14,312.10,,,,358.73,338.75,361.14,321.00,313.00,315.83,282.43,372.34,340.74,349.39,352.57,356.46,388.22,390.11,360.64,392.06,397.86,339.08,395.34,333.29,347.71,375.69,404.38,411.09,409.85,407.60,414.82,434.97,461.16,426.82,380.13,421.21,214.74,516.67,508.55,261.87,514.09,501.19,491.23,331.66,332.05,506.08,167.08,401.57,279.69,490.17,478.04,384.74,291.15,555.25,529.47,512.01,424.36,418.15,438.33,433.08,446.11,444.47,514.74,504.23,513.18,514.47,506.40,507.74,508.79,322.14,298.76,331.13,,,,,,,,,,,,,,,,,,,
1999-11-14 22:04:18.343000,L7,186.21,213.03,292.06,506.03,,,,322.30,515.09,396.61,174.74,,,,,,,248.04,338.68,341.79,464.97,554.17,,,,528.43,532.72,530.72,530.43,,,535.20,537.73,539.27,537.95,444.73,493.59,495.62,459.08,467.61,463.46,481.80,538.99,543.92,545.46,,,425.17,374.86,425.82,386.11,495.70,,,513.76,454.27,487.40,500.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,381.04,400.35,392.76,384.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,490.63,,,,517.25,521.09,,,,,,,,,,,,,,,,,,,,,500.54,526.39,181.86,,,,,,,,,,,,,,,,
1999-11-21 22:10:24.244000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550.30,495.16,519.81,541.71,540.97,,,,,,275.27,494.29,411.72,314.42,548.14,,,,,314.40,406.02,382.14,525.03,502.02,418.81,,,,,,,,,,,,,,,,,,,,,492.58,454.16,400.05,453.23,439.25,373.33,399.16,382.28,,,,469.55,439.22,438.99,487.49,382.86,444.20,425.78,,,,392.45,413.01,414.40,270.53,333.73,409.70,449.21,462.55,,,,,548.38,320.45,289.10,342.17,367.83,342.12,325.00,389.80,381.88,,552.04,342.97,393.04,,,552.51,544.01,544.23,539.21,534.71,534.10,,528.73,528.86,525.96,514.92,501.22,497.63,,511.14,,522.17,547.93,506.02,408.57,344.28,,,491.17,443.55,492.98,443.80,439.23,380.39,,531.84,530.09,534.26,332.07,531.90,529.93,530.86,338.84,398.73,410.32,,,393.35,,,,,,,,,,,,421.00,406.94,,,
1999-12-07 22:10:30.042000,L7,454.00,505.35,526.88,525.60,524.96,,446.34,354.03,363.69,343.54,350.87,387.74,378.93,410.08,355.48,339.41,,,,393.79,416.78,467.79,409.92,375.79,371.56,,,279.63,391.33,324.89,412.32,528.77,505.79,481.75,550.96,372.17,189.15,370.84,,,375.10,449.77,,,505.91,,218.75,224.02,283.25,407.80,465.19,423.07,440.59,480.82,445.50,325.28,424.02,407.45,336.85,481.84,331.19,320.40,284.55,301.07,370.12,368.06,297.42,317.14,281.27,289.55,203.76,218.12,327.89,331.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,489.09,406.58,453.36,481.28,510.77,480.71,,,,,,,,,,,,,,,321.77,313.93,429.06,467.35,441.17,378.61,413.04,371.26,,,,,,540.90,,491.82,,,407.61,364.89,179.89,436.62,451.78,,,,,,,340.56,,,,,,,,,,,,,,448.41,341.71,460.17,469.33,474.68,371.09,276.84,280.91,346.99,287.95,311.32,,,,,
2000-02-09 22:10:19.398000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312.68,502.47,401.31,375.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308.24,314.32,306.12,300.49,,,,,,452.45,481.26,434.49,411.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,385.93,,,546.86,,,,,,508.19,446.89,348.43,,,444.04,,,,,,,,,549.87,532.72,543.73,307.06,362.19,506.49,424.68,411.41,,,417.16,,,,,,,,,,,,420.86,383.19,,,
2000-03-28 22:10:07.233000,L7,471.22,461.26,354.56,,459.16,505.58,535.16,,513.97,402.19,452.76,393.62,,,384.49,438.28,366.86,,,241.96,343.80,417.24,346.00,196.95,,379.68,394.30,,,175.19,185.56,426.62,541.15,516.26,194.07,386.75,396.01,420.23,,,,,,,,430.53,495.99,489.77,460.38,546.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312.69,319.13,308.84,302.46,,,,,,,480.72,418.69,444.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550.11,543.06,545.63,536.04,532.42,529.86,524.16,526.51,525.26,542.75,533.31,490.06,498.53,510.03,376.67,,521.52,550.52,539.45,407.63,350.44,,,375.68,,,,,,546.41,525.67,522.73,529.43,526.46,526.20,549.99,557.06,450.97,358.04,416.21,,,487.32,394.29,468.85,,,,,,,,,,450.52,399.25,,,
2000-04-29 22:09:53.797000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,501.60,523.75,546.91,,,,,,,444.60,500.45,529.44,510.01,554.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312.84,323.13,313.65,306.86,166.76,,,,,449.57,483.60,404.03,444.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,548.19,541.41,537.55,536.14,534.39,531.49,526.98,525.06,530.20,543.43,531.47,509.66,497.99,,514.37,,,,539.33,452.27,354.36,,,488.34,,,,,,548.93,529.77,524.35,527.99,529.50,526.29,525.29,552.31,432.56,,515.60,,,508.90,,,,,,,,,,,,492.81,481.42,,,
2000-05-15 22:09:42.527000,L7,316.31,509.38,537.13,528.47,400.09,,,515.77,418.69,374.59,368.34,327.13,353.97,351.39,349.12,526.70,509.85,487.80,500.86,492.88,527.77,515.77,500.65,,324.22,,534.45,371.17,396.06,384.31,412.47,387.83,396.09,337.98,346.20,345.44,196.51,233.34,260.87,348.96,484.39,453.80,535.35,410.18,438.43,,228.67,218.28,205.78,394.61,470.68,427.63,403.25,487.12,356.84,321.34,386.49,430.09,370.79,392.09,502.39,511.53,,418.70,444.81,446.11,458.44,321.36,,398.55,424.18,462.02,,546.84,526.13,541.15,469.94,220.00,257.40,485.55,504.26,504.63,461.59,471.14,480.57,522.95,518.54,522.12,459.67,451.18,351.93,454.82,,,392.03,393.75,488.83,513.66,512.07,468.62,403.55,446.64,454.64,522.44,402.40,,,421.28,466.53,529.74,527.50,517.61,,,,,200.55,244.05,258.71,328.67,354.38,282.13,246.56,183.09,293.73,238.76,,,,524.10,470.03,,320.68,274.50,284.70,,,,,,,,195.23,501.24,210.28,521.68,470.01,394.78,245.88,439.09,464.62,,,,,,,,,,,,,,,,,,,,,299.25,303.78,,532.70,523.29,442.61,554.46,,,,461.35,,,457.06,470.58,473.06
