dates,satname,nzd0358-0000,nzd0358-0001,nzd0358-0002,nzd0358-0003,nzd0358-0004,nzd0358-0005,nzd0358-0006,nzd0358-0007,nzd0358-0008,nzd0358-0009,nzd0358-0010,nzd0358-0011,nzd0358-0012,nzd0358-0013,nzd0358-0014,nzd0358-0015,nzd0358-0016,nzd0358-0017,nzd0358-0018,nzd0358-0019,nzd0358-0020,nzd0358-0021,nzd0358-0022,nzd0358-0023,nzd0358-0024,nzd0358-0025,nzd0358-0026,nzd0358-0027,nzd0358-0028,nzd0358-0029,nzd0358-0030,nzd0358-0031,nzd0358-0032,nzd0358-0033,nzd0358-0034,nzd0358-0035,nzd0358-0036,nzd0358-0037,nzd0358-0038,nzd0358-0039,nzd0358-0040,nzd0358-0041,nzd0358-0042,nzd0358-0043,nzd0358-0044,nzd0358-0045,nzd0358-0046,nzd0358-0047,nzd0358-0048,nzd0358-0049,nzd0358-0050,nzd0358-0051,nzd0358-0052,nzd0358-0053,nzd0358-0054,nzd0358-0055,nzd0358-0056,nzd0358-0057,nzd0358-0058,nzd0358-0059,nzd0358-0060,nzd0358-0061,nzd0358-0062,nzd0358-0063,nzd0358-0064,nzd0358-0065,nzd0358-0066,nzd0358-0067,nzd0358-0068,nzd0358-0069,nzd0358-0070,nzd0358-0071,nzd0358-0072
1999-09-29 21:54:04.102000,L7,346.57,166.79,309.91,518.70,449.21,450.74,451.66,445.72,473.18,497.69,485.20,498.51,524.07,466.11,467.64,484.25,490.27,528.13,500.18,496.36,507.33,519.39,513.08,505.94,512.81,484.34,487.87,479.21,474.78,482.01,478.76,505.56,423.69,506.17,525.06,496.61,521.55,522.81,501.91,482.64,482.80,464.59,474.55,475.08,475.31,487.78,490.59,499.46,486.47,491.58,511.56,493.92,503.74,495.89,380.70,501.40,505.58,477.23,482.72,477.67,471.82,457.27,446.92,454.67,461.99,465.49,461.23,451.89,382.67,384.99,376.61,369.48,371.02
2000-01-19 21:53:49.771000,L7,386.55,389.91,412.25,512.10,489.50,478.24,477.92,479.07,504.24,497.93,499.74,489.25,492.92,497.24,501.62,506.39,504.36,494.71,524.58,518.13,506.28,495.94,485.55,496.03,487.66,472.50,458.29,463.83,467.41,463.00,473.87,481.76,435.82,438.00,410.46,372.84,336.77,327.87,342.07,352.34,343.88,326.07,329.63,344.22,346.53,317.59,343.42,341.75,350.47,348.70,353.91,384.48,381.18,378.59,394.22,387.76,377.50,388.65,390.48,410.89,392.57,373.84,366.22,347.76,352.74,375.92,373.01,378.25,377.98,392.27,441.95,426.90,419.51
2000-05-26 21:53:00.524000,L7,232.31,330.24,247.72,295.34,321.60,301.42,314.42,329.92,347.56,347.89,345.37,349.07,350.17,355.56,354.78,357.64,349.12,354.76,480.71,484.77,452.81,479.94,476.17,459.37,460.67,161.05,265.96,281.02,299.16,311.02,325.51,503.15,442.59,434.21,415.51,398.84,372.73,330.65,333.94,352.33,340.63,311.04,329.30,346.22,347.88,334.02,353.28,351.61,359.27,359.67,374.50,398.57,397.83,394.49,410.65,447.79,425.99,411.44,403.68,468.61,465.12,465.43,458.48,459.55,465.10,470.05,459.34,452.05,453.52,451.19,456.26,430.81,424.63
2000-07-13 21:52:31.712000,L7,,,238.71,319.59,324.26,306.01,307.10,329.10,345.31,345.10,339.06,490.49,512.05,514.99,517.39,529.11,528.14,498.55,494.58,488.95,479.56,487.22,473.17,466.01,470.17,,241.08,285.08,289.61,303.31,313.23,351.80,438.41,438.30,402.42,370.99,332.62,325.31,341.66,358.99,333.76,331.12,335.40,340.75,325.02,278.04,310.51,356.69,353.21,357.10,374.56,386.37,385.34,386.30,406.22,401.12,393.26,434.37,394.89,370.54,385.50,374.50,365.23,340.69,357.89,354.15,358.08,406.12,408.97,395.87,383.61,368.85,502.55
2000-07-29 21:52:14.316000,L7,,,243.85,285.38,316.44,509.39,496.29,486.42,476.10,502.46,468.14,518.26,520.48,502.49,509.63,494.98,494.15,488.23,478.13,471.34,486.34,477.00,476.15,465.85,484.32,525.32,514.06,514.00,523.86,521.51,503.92,482.43,441.12,439.03,406.80,365.52,334.81,327.81,337.20,348.30,327.17,318.00,333.65,338.35,335.21,286.44,322.89,339.98,341.87,343.74,351.79,372.83,531.88,505.51,510.69,505.98,490.07,490.22,474.40,516.95,504.84,502.94,514.34,494.33,353.81,500.17,510.90,496.35,374.41,384.24,463.54,444.98,440.70
2000-08-14 21:52:08.182000,L7,,,190.13,248.75,298.58,276.32,279.08,302.88,325.04,332.37,321.63,320.44,330.38,327.58,335.93,327.93,326.59,321.64,285.60,249.73,217.11,182.45,255.26,242.42,163.35,,145.92,225.28,257.37,278.03,290.51,334.46,379.41,378.26,369.92,304.74,242.35,287.61,306.90,316.25,297.47,275.33,274.88,297.32,298.78,263.20,276.11,308.51,308.26,312.21,319.11,311.27,292.55,292.33,309.85,331.57,331.82,344.72,277.59,158.35,348.54,344.87,308.48,,,243.53,334.29,343.10,220.48,352.98,355.77,344.53,345.22
2000-12-04 21:51:22.024000,L7,357.71,368.84,345.64,298.44,332.31,311.72,304.71,433.21,483.51,484.41,490.57,450.23,519.02,509.72,530.39,532.64,526.53,509.91,455.57,497.24,496.15,488.39,481.80,475.66,464.78,476.97,424.92,471.27,442.88,460.07,456.09,450.96,459.61,448.98,416.01,376.41,343.27,330.14,334.05,348.32,328.05,310.19,316.07,329.26,333.36,445.81,475.84,424.52,476.21,467.84,480.94,493.26,488.20,373.46,384.51,377.53,369.09,383.63,404.23,375.18,386.82,373.66,368.51,355.16,351.32,364.46,405.05,390.46,445.98,445.99,441.77,425.80,418.58
2000-12-20 21:51:28.881000,L7,393.18,403.23,386.41,342.93,338.09,325.55,332.76,364.88,356.98,355.25,357.96,351.34,361.03,358.83,375.30,355.98,346.88,353.53,363.15,352.52,312.66,305.05,297.65,294.10,291.31,278.41,250.46,279.73,298.76,311.51,321.11,363.36,430.55,448.97,416.80,381.10,345.03,336.48,345.06,354.32,337.96,323.33,316.15,337.99,352.44,309.00,349.16,352.22,354.45,353.62,363.71,374.74,380.25,377.83,387.48,377.07,376.53,394.88,408.22,415.04,398.13,388.75,368.65,343.05,357.54,377.85,376.22,383.95,389.22,395.10,391.78,376.15,382.15
2001-01-05 21:51:28.457000,L7,383.89,378.78,348.22,356.52,336.10,329.85,335.34,339.30,353.23,363.42,346.30,354.82,358.70,361.57,365.04,383.91,373.31,346.04,349.49,348.09,312.81,293.64,477.46,468.07,455.00,465.60,459.71,278.46,296.33,317.20,320.86,365.06,486.54,457.23,415.52,381.99,359.63,333.77,346.12,348.65,326.97,309.99,325.23,333.85,341.54,327.64,339.37,342.13,347.01,358.97,361.69,374.24,387.25,482.07,486.99,497.03,496.58,385.99,405.78,368.27,386.87,450.64,458.78,466.86,472.23,476.41,368.07,384.95,401.35,396.00,390.37,376.29,379.95
2001-04-11 21:51:09.983000,L7,,,245.05,230.95,248.60,244.42,298.86,272.13,273.55,263.08,259.06,279.73,269.98,252.48,159.38,158.13,336.18,337.66,325.86,272.48,290.80,284.68,273.31,229.17,426.44,448.18,457.52,267.23,167.75,257.10,264.84,350.21,398.23,398.10,381.12,312.98,321.01,314.62,326.19,336.95,301.38,288.93,301.69,322.14,332.21,307.31,333.79,321.17,316.50,,,171.34,181.25,226.41,297.83,350.80,329.86,340.53,206.41,,,,,,,,,,,264.01,263.42,229.56,306.80
