dates,satname,nzd0248-0000,nzd0248-0001,nzd0248-0002,nzd0248-0003,nzd0248-0004,nzd0248-0005,nzd0248-0006,nzd0248-0007,nzd0248-0008,nzd0248-0009,nzd0248-0010,nzd0248-0011,nzd0248-0012,nzd0248-0013,nzd0248-0014,nzd0248-0015,nzd0248-0016,nzd0248-0017,nzd0248-0018,nzd0248-0019,nzd0248-0020,nzd0248-0021,nzd0248-0022,nzd0248-0023,nzd0248-0024,nzd0248-0025,nzd0248-0026,nzd0248-0027,nzd0248-0028,nzd0248-0029,nzd0248-0030,nzd0248-0031,nzd0248-0032,nzd0248-0033,nzd0248-0034,nzd0248-0035,nzd0248-0036,nzd0248-0037,nzd0248-0038,nzd0248-0039,nzd0248-0040,nzd0248-0041,nzd0248-0042,nzd0248-0043,nzd0248-0044,nzd0248-0045,nzd0248-0046,nzd0248-0047,nzd0248-0048,nzd0248-0049,nzd0248-0050,nzd0248-0051,nzd0248-0052,nzd0248-0053,nzd0248-0054,nzd0248-0055,nzd0248-0056,nzd0248-0057,nzd0248-0058,nzd0248-0059,nzd0248-0060,nzd0248-0061,nzd0248-0062,nzd0248-0063,nzd0248-0064,nzd0248-0065,nzd0248-0066,nzd0248-0067,nzd0248-0068,nzd0248-0069,nzd0248-0070,nzd0248-0071,nzd0248-0072,nzd0248-0073,nzd0248-0074,nzd0248-0075,nzd0248-0076,nzd0248-0077,nzd0248-0078,nzd0248-0079,nzd0248-0080,nzd0248-0081,nzd0248-0082,nzd0248-0083,nzd0248-0084,nzd0248-0085,nzd0248-0086,nzd0248-0087,nzd0248-0088,nzd0248-0089,nzd0248-0090,nzd0248-0091,nzd0248-0092
1999-12-25 21:58:52.197000,L7,,,,233.24,243.13,255.80,268.90,264.81,264.75,222.01,242.29,275.02,259.12,499.38,274.30,262.65,275.28,405.44,405.44,410.78,398.59,286.03,293.09,282.73,426.37,439.16,432.64,427.79,413.38,286.67,286.85,280.71,286.28,280.37,449.78,456.11,452.62,449.48,242.56,,,,,,,269.34,279.14,271.56,289.85,288.61,290.36,274.96,286.73,272.42,270.17,249.90,259.42,266.96,259.16,264.35,271.33,215.60,268.23,264.00,262.63,211.27,188.96,435.12,437.08,442.45,455.19,450.68,449.48,403.24,417.44,297.87,298.88,279.41,203.91,185.97,229.40,230.48,233.26,305.12,305.14,314.68,302.98,209.28,230.37,219.48,207.32,179.76,366.49
1999-12-25 21:59:16.152000,L7,,,,242.85,273.58,267.02,276.96,300.63,285.85,287.51,284.68,288.94,280.97,269.04,275.69,279.03,279.13,273.87,285.35,285.81,302.96,306.82,300.56,298.22,292.84,303.07,308.54,309.52,308.94,309.63,312.09,298.57,293.61,306.88,300.55,300.40,288.72,265.29,247.41,222.42,518.06,480.20,425.36,430.90,479.50,293.70,300.00,301.49,306.90,308.39,304.20,284.44,311.18,283.54,294.44,285.75,268.06,272.68,290.21,294.98,285.96,264.98,281.85,292.64,289.86,239.42,195.01,262.63,285.81,299.95,301.85,302.41,304.59,304.99,305.22,302.34,304.05,297.00,314.18,272.25,293.09,299.80,301.83,364.16,362.64,373.37,357.55,427.82,417.88,410.48,397.96,387.80,366.78
2000-01-10 21:58:52.465000,L7,470.45,472.73,409.45,458.67,451.46,313.86,483.48,489.84,507.26,513.96,527.02,529.96,333.71,347.78,340.94,332.49,341.31,360.52,385.51,370.71,345.92,351.55,366.27,381.35,391.29,385.08,387.57,334.21,509.13,468.93,451.99,435.02,471.06,524.74,342.70,332.96,501.97,508.63,392.93,516.24,413.58,522.15,535.13,431.93,411.82,416.81,394.24,353.58,421.25,428.36,451.59,459.45,545.60,528.30,525.41,541.11,532.75,521.51,532.90,535.98,527.81,540.82,376.63,432.70,382.15,372.36,380.67,277.24,296.69,311.25,422.01,313.58,323.72,318.45,316.22,308.79,481.40,530.85,476.67,506.62,500.51,523.37,518.02,534.43,527.00,531.51,543.19,546.16,520.11,512.05,532.68,510.01,528.94
2000-01-10 21:59:16.407000,L7,471.31,475.79,463.77,548.54,532.98,521.55,516.14,439.38,509.97,519.62,532.45,532.00,533.49,549.06,345.12,339.50,345.95,365.81,526.56,524.84,497.02,517.21,500.91,467.26,464.89,475.09,488.80,499.47,510.89,472.56,398.63,465.00,476.25,526.66,533.74,543.92,503.62,511.03,485.49,518.01,535.03,524.68,537.75,436.30,525.92,523.37,512.44,493.38,473.36,521.10,486.54,488.74,474.52,418.51,433.49,465.23,425.41,425.33,472.84,402.92,427.01,356.67,378.07,441.23,301.65,442.77,388.78,277.91,299.15,315.12,422.44,314.80,325.08,524.73,316.38,373.36,350.23,314.00,311.86,291.52,367.64,357.45,366.10,316.12,312.27,325.35,329.79,390.38,328.13,327.67,514.17,487.85,440.63
2000-02-27 21:58:40.521000,L7,479.79,478.60,467.51,465.29,462.07,467.10,289.84,306.39,337.86,339.82,340.63,341.19,299.39,283.81,276.52,284.47,292.93,278.49,293.72,294.43,321.97,346.43,336.20,334.24,320.70,320.72,318.26,329.13,341.82,306.32,507.98,505.70,500.81,485.27,495.68,493.61,496.76,508.36,501.71,509.62,519.15,521.43,547.02,164.59,245.36,311.01,314.69,329.49,329.70,336.94,333.83,328.70,329.67,336.75,348.11,343.98,313.74,313.38,314.92,312.40,319.89,322.18,348.94,325.17,307.14,260.48,223.06,286.87,307.37,321.08,328.53,516.23,527.30,535.84,512.86,505.34,494.13,475.51,508.24,479.26,487.01,492.75,460.89,492.95,466.05,472.07,491.80,531.74,468.66,377.46,473.47,332.77,449.59
2000-02-27 21:59:04.477000,L7,486.45,482.04,469.47,467.03,463.70,470.32,295.80,306.28,339.24,337.68,337.26,344.95,302.41,284.15,280.45,288.42,294.11,279.54,291.56,294.37,318.42,346.83,334.64,338.54,319.22,324.44,320.01,330.52,341.46,308.96,510.41,507.77,502.53,487.06,497.11,494.98,499.17,509.72,503.55,510.57,521.00,172.68,178.48,166.42,245.24,311.00,316.66,334.29,331.39,338.57,336.70,333.07,485.40,474.66,470.38,472.80,313.83,468.37,464.56,473.54,481.54,471.14,468.56,464.51,462.58,466.00,474.98,465.10,474.08,481.86,480.16,327.07,490.31,506.75,475.10,475.94,460.50,440.35,329.64,420.22,449.87,438.23,427.77,429.08,380.85,474.99,494.15,536.25,470.25,424.03,323.36,445.50,450.45
2000-03-14 21:58:35.291000,L7,455.09,460.11,456.19,458.65,430.81,455.62,478.99,483.28,486.50,486.23,495.35,499.85,469.28,479.17,520.33,527.04,531.21,502.78,539.06,517.74,459.36,431.68,492.98,494.58,513.11,474.12,533.69,519.20,539.02,501.45,521.80,519.86,550.96,521.51,513.43,520.98,475.25,523.03,507.54,526.55,535.12,537.89,517.83,549.47,528.85,555.51,515.64,516.94,502.68,477.21,457.36,455.43,,,,,,518.63,498.36,501.11,500.17,500.84,491.96,502.58,436.05,420.51,453.32,459.54,450.18,463.98,467.44,322.10,438.66,469.62,469.56,453.36,443.21,482.51,458.85,460.02,470.06,442.49,434.10,438.37,460.10,468.21,472.05,466.59,327.21,466.69,469.40,438.15,466.09
2000-03-14 21:58:59.247000,L7,,,,226.07,242.00,236.80,251.21,273.78,263.57,280.45,275.76,267.66,256.77,,,214.86,273.33,269.25,268.82,269.97,286.73,287.71,293.31,292.50,287.87,286.12,289.62,294.50,288.84,295.92,302.77,284.48,288.90,284.75,292.11,289.11,280.34,261.13,235.62,,,,,,,282.49,290.40,281.54,298.43,296.07,303.10,291.73,311.64,287.81,317.37,330.39,331.06,331.72,317.93,310.30,299.69,264.07,284.24,286.18,290.12,205.06,193.61,251.30,260.41,281.98,288.06,285.50,290.27,290.21,298.35,292.40,288.99,285.42,288.32,268.39,265.02,272.86,288.88,287.97,290.24,306.27,296.92,289.74,290.76,292.66,307.50,326.79,344.53
2000-03-30 21:58:33.541000,L7,441.38,453.33,453.33,254.39,314.60,315.19,290.32,314.30,288.76,313.33,310.51,336.03,174.84,231.02,221.11,203.77,193.77,184.61,173.83,512.53,487.68,405.38,500.43,470.13,477.41,534.37,312.16,366.67,364.38,340.40,347.51,357.50,334.78,324.83,315.87,318.90,306.26,305.10,272.36,375.51,366.30,346.40,362.60,463.16,502.85,466.68,350.85,338.14,511.59,511.72,474.03,504.57,499.32,529.48,509.90,530.61,527.42,510.14,553.26,464.13,461.00,449.70,454.92,433.51,439.86,438.09,470.31,481.34,473.85,452.18,455.14,472.83,469.30,461.96,464.87,451.59,464.86,470.08,451.49,457.68,473.38,282.80,312.87,469.12,306.91,391.51,309.99,455.98,470.40,486.37,459.12,468.67,499.06
2000-03-30 21:58:57.484000,L7,440.64,452.47,452.30,463.93,464.63,455.56,425.64,466.27,276.18,296.67,491.91,501.14,501.84,508.00,421.89,536.39,527.21,188.95,179.61,288.14,515.84,415.16,504.77,443.78,478.27,534.16,467.53,463.19,459.09,452.38,440.92,461.18,468.00,510.03,495.88,491.14,484.75,496.38,502.53,208.57,,,,468.05,252.59,341.44,337.14,313.46,323.34,320.70,345.39,322.10,317.51,318.00,313.06,531.36,526.92,551.68,299.44,294.73,296.28,284.03,293.51,309.04,311.51,269.76,210.61,274.64,296.05,321.64,320.34,309.27,317.48,319.52,314.54,312.29,304.93,315.15,321.32,292.76,268.95,275.63,299.53,300.44,302.16,315.19,305.27,318.94,303.81,317.79,327.45,339.58,535.98
2000-07-04 21:57:38.483000,L7,328.20,369.08,376.06,355.49,336.99,338.35,331.54,329.42,330.79,326.44,322.76,328.38,345.94,372.32,383.36,277.09,259.23,267.08,276.68,275.38,302.55,303.09,303.39,301.99,297.91,299.96,297.15,311.36,308.43,305.83,306.87,305.96,467.31,553.46,305.57,302.58,300.98,290.81,268.71,238.42,474.04,472.60,477.07,473.79,479.05,488.10,494.43,491.23,434.86,393.43,396.98,420.41,425.74,436.09,447.00,360.00,286.34,300.31,297.36,300.62,294.85,208.20,285.36,297.99,283.17,256.20,206.82,256.51,273.90,295.99,289.26,306.67,301.11,302.09,302.30,294.51,296.28,518.45,511.20,503.65,258.48,258.44,293.65,266.78,274.56,304.02,280.08,236.21,250.96,245.41,234.66,290.15,268.24
2000-07-04 21:58:02.420000,L7,384.55,442.63,439.47,409.03,413.42,200.25,247.88,272.78,266.90,273.68,267.45,277.95,276.82,439.46,482.53,481.31,446.79,426.95,447.78,449.38,439.35,302.34,300.62,298.80,293.71,298.14,297.90,306.47,303.29,304.12,303.35,308.98,304.03,306.73,299.34,297.09,295.86,289.68,268.16,230.69,472.99,472.07,391.08,472.39,477.93,286.62,304.65,292.23,305.25,308.04,308.67,309.25,310.71,305.54,305.49,286.13,286.05,293.47,292.63,297.21,288.48,209.66,416.96,451.74,458.02,415.30,404.61,478.47,508.82,383.70,508.90,531.02,434.92,434.02,405.03,380.53,381.38,493.81,508.50,412.99,460.20,420.68,428.66,423.99,527.46,546.26,521.39,499.33,513.48,516.48,496.53,389.19,483.79
2000-11-09 21:56:21.390000,L7,422.64,394.73,410.58,388.05,390.19,412.27,426.81,421.07,384.79,471.03,488.13,395.87,394.33,419.06,448.92,495.19,504.11,496.01,472.97,420.51,431.00,402.95,455.33,453.44,394.67,404.95,369.41,365.27,476.67,535.87,418.86,433.72,542.64,554.30,408.73,379.18,314.69,303.02,276.09,249.83,518.46,517.09,441.62,477.55,533.41,549.16,514.69,234.07,229.52,232.85,231.28,225.32,466.53,476.24,490.13,518.92,521.87,499.53,428.43,396.90,475.50,439.27,408.40,441.36,476.44,485.02,500.16,458.79,373.19,357.72,420.66,431.58,434.35,340.89,473.90,469.59,483.87,395.31,496.92,363.95,461.48,505.53,458.81,316.44,320.61,328.82,326.98,324.82,305.44,290.02,300.48,308.96,316.05
