dates,satname,nzd0074-0000,nzd0074-0001,nzd0074-0002,nzd0074-0003,nzd0074-0004,nzd0074-0005,nzd0074-0006,nzd0074-0007,nzd0074-0008,nzd0074-0009,nzd0074-0010,nzd0074-0011,nzd0074-0012,nzd0074-0013
1999-08-26 22:04:44.971000,L7,398.63,279.05,225.34,239.03,239.85,247.54,242.82,250.25,259.84,274.37,295.99,310.89,314.48,301.68
1999-09-27 22:04:48.949000,L7,204.03,203.68,221.53,230.40,235.33,242.70,241.27,243.94,255.76,268.93,277.98,297.26,305.76,315.75
1999-11-14 22:04:42.286000,L7,215.97,223.90,236.60,245.61,248.08,253.15,254.76,271.30,265.78,276.46,280.92,298.05,301.82,330.82
2000-01-01 22:04:37.439000,L7,212.49,214.58,225.38,237.55,239.27,244.68,242.24,247.71,257.63,272.43,279.20,297.04,300.78,302.37
2000-01-17 22:04:35.821000,L7,213.98,220.57,233.10,241.18,246.02,247.41,244.70,246.45,255.97,270.85,280.98,297.08,298.26,302.02
2000-05-24 22:03:46.662000,L7,216.61,224.37,236.84,251.79,248.38,253.49,256.87,260.10,268.50,278.67,286.40,300.35,301.83,308.30
2000-07-11 22:03:17.779000,L7,,,,,,215.64,223.39,224.09,241.38,237.93,264.90,,,
2000-08-12 22:02:54.094000,L7,208.92,222.22,236.34,244.91,245.70,248.55,248.46,252.84,257.75,268.87,281.18,296.15,295.33,311.39
2000-09-13 22:02:26.190000,L7,214.36,220.84,230.46,241.23,243.44,247.76,250.86,253.16,260.87,271.63,280.79,296.27,292.16,305.61
2000-10-15 22:01:56.204000,L7,,,,,,,,,,,266.37,288.06,299.55,277.35
2001-01-03 22:02:12.432000,L7,212.26,212.41,219.68,220.00,228.11,241.84,238.36,240.44,255.72,234.41,248.63,235.70,266.28,301.56
2001-03-24 22:01:59.719000,L7,,,,,,259.46,241.29,244.31,254.55,266.10,274.04,308.27,388.00,326.17
2001-06-12 22:01:24.980000,L7,217.86,226.66,236.52,252.71,250.81,250.87,255.57,261.75,269.11,278.33,285.01,304.00,303.30,323.32
2001-08-15 22:00:38.680000,L7,204.61,206.73,225.21,239.36,234.50,237.25,236.39,241.34,262.12,267.12,279.35,296.10,295.27,307.06
2001-10-02 22:00:04.650000,L7,211.59,217.49,234.64,239.73,238.22,241.94,242.75,247.40,251.49,277.73,197.95,,,
2001-12-05 22:00:18.987000,L7,210.76,197.68,219.90,227.76,224.13,235.11,238.90,240.08,247.53,262.21,272.20,292.56,214.35,210.09
2001-12-21 22:00:29.925000,L7,215.66,226.14,240.48,244.36,248.43,256.91,251.14,255.59,265.14,281.06,288.69,299.59,301.40,341.12
2002-01-06 22:00:31.992000,L7,442.59,551.59,485.82,320.92,301.37,321.24,249.71,191.66,213.19,230.48,243.49,232.56,293.47,251.90
2002-01-22 22:00:40.906000,L7,213.42,205.04,228.00,238.32,241.92,244.96,243.90,250.87,263.67,273.32,280.33,296.55,299.94,311.01
2002-02-23 22:00:43.620000,L7,214.58,222.06,232.93,241.39,246.36,246.88,246.41,247.97,263.85,271.23,280.66,236.47,187.39,203.56
2002-03-27 22:00:37.575000,L7,212.77,220.01,225.98,238.98,238.98,241.45,242.59,248.80,257.16,270.07,286.28,297.62,301.52,302.74
2002-04-28 22:00:38.357000,L7,213.04,222.00,230.06,239.82,243.65,245.58,242.03,251.33,264.32,279.11,286.43,302.15,397.81,477.00
2002-06-15 22:00:19.658000,L7,,,,,,246.82,242.28,251.42,258.36,267.31,277.15,295.64,299.51,301.07
2002-07-01 22:00:15.186000,L7,219.07,225.45,242.81,253.57,252.91,262.79,259.24,261.83,267.34,282.12,290.70,302.16,302.08,305.73
2002-07-17 22:00:08.747000,L7,207.44,220.35,226.23,237.54,220.00,237.08,238.93,245.70,261.22,267.04,279.18,295.87,293.30,305.39
2002-08-02 22:00:01.321000,L7,526.82,464.96,291.38,315.99,316.78,418.86,258.79,203.08,220.92,291.70,297.83,241.71,446.31,446.44
2002-08-18 21:59:57.690000,L7,207.07,233.00,251.90,273.59,260.72,251.01,249.35,256.23,266.92,277.59,281.78,302.50,304.86,355.26
2002-09-19 21:59:35.083000,L7,,,,,,,,,,,,215.42,211.43,219.86
2002-10-21 21:59:12.494000,L7,237.40,223.87,233.09,247.73,246.73,239.66,258.55,258.26,258.20,282.01,279.76,300.45,297.00,337.72
2002-10-21 21:59:36.443000,L7,,,,,,,,228.45,198.35,246.56,218.76,231.66,,
2002-11-06 21:59:41.879000,L7,196.77,204.74,221.51,224.63,225.89,231.25,231.67,237.96,249.57,264.76,274.84,299.67,304.09,309.13
2003-07-28 21:48:28.960000,L5,249.06,258.41,271.53,280.28,280.19,280.79,287.41,298.56,294.89,292.44,296.79,308.61,314.10,318.83
2003-09-14 21:49:18.766000,L5,219.16,223.64,236.30,240.85,240.92,249.11,257.43,247.93,243.37,250.20,262.01,276.68,279.99,287.14
2004-06-12 21:53:11.618000,L5,219.58,200.72,216.67,225.87,229.26,231.61,231.94,238.16,242.84,253.11,264.16,276.07,285.63,295.36
2004-07-30 21:54:28.143000,L5,220.42,218.31,232.45,237.34,237.79,244.57,236.82,241.61,241.80,254.49,269.12,276.93,293.11,293.58
2004-09-16 21:55:41.721000,L5,234.16,236.78,249.76,256.13,254.03,258.26,258.89,268.28,268.15,280.10,285.85,302.48,301.22,307.98
2004-11-19 21:56:55.269000,L5,251.11,259.91,269.97,285.73,281.40,288.68,291.61,297.21,295.61,277.08,293.59,292.38,300.85,298.32
2005-02-23 21:58:31.621000,L5,242.10,244.59,257.75,266.45,268.97,268.52,270.48,278.78,277.22,286.24,295.77,308.80,312.75,316.49
2005-03-11 21:58:44.158000,L5,237.30,237.57,249.41,258.54,258.73,261.73,268.29,272.85,273.14,283.71,289.74,306.75,305.11,312.25
2005-03-27 21:58:51.619000,L5,,,,,,,,201.54,206.91,224.65,232.85,256.22,257.11,266.27
2005-04-12 21:58:55.193000,L5,,,189.30,201.64,203.24,208.86,204.73,195.84,,,233.24,255.31,266.03,269.45
2005-07-17 21:59:35.576000,L5,217.23,224.00,232.74,236.50,238.06,240.28,234.80,239.15,236.85,252.54,259.66,277.18,291.92,303.68
2006-04-15 22:03:30.798000,L5,243.51,249.60,259.20,271.10,269.72,269.74,277.49,283.65,282.72,293.41,293.35,313.29,308.89,315.63
2006-05-17 22:03:57.969000,L5,243.96,244.80,257.43,268.57,265.92,269.29,272.78,276.53,283.71,284.77,297.80,310.22,304.67,311.28
2006-06-02 22:04:12.415000,L5,246.99,257.99,265.56,281.02,276.94,275.84,276.83,293.50,295.23,303.26,304.43,324.34,316.27,316.19
2006-07-04 22:04:41.660000,L5,233.91,237.69,242.66,248.07,249.14,247.53,250.12,259.04,252.74,269.65,280.95,295.36,291.29,298.47
2006-11-25 22:06:19.953000,L5,256.74,261.55,275.26,286.78,290.15,293.80,303.36,318.67,325.73,339.64,346.09,365.29,365.97,371.55
2006-12-11 22:06:28.205000,L5,310.38,320.81,341.93,352.10,354.78,366.70,375.29,384.49,391.65,402.99,408.16,432.61,426.35,438.71
2007-02-13 22:06:47.368000,L5,,,,,186.89,184.56,198.57,203.46,215.27,232.69,242.27,259.96,268.45,275.80
2008-02-16 22:01:58.190000,L5,210.76,211.20,218.89,239.60,243.84,199.78,,239.72,242.73,257.83,264.73,284.66,287.84,296.48
2008-02-16 22:02:22.163000,L5,210.72,210.81,218.77,238.19,243.84,199.78,,238.88,242.74,258.16,264.65,284.33,288.46,296.95
2008-10-29 21:55:24.451000,L5,,,,,,,,,,,,,223.50,239.17
2009-01-01 21:56:31.615000,L5,239.34,239.33,250.40,261.26,260.16,264.73,267.89,272.47,263.27,278.35,285.51,298.28,299.06,302.40
2009-02-02 21:57:22.411000,L5,244.86,248.57,256.63,263.44,261.76,266.75,271.37,281.69,280.94,286.01,301.33,311.53,309.63,317.81
2010-12-06 22:01:12.836000,L5,225.56,231.57,247.81,241.94,231.16,260.33,249.12,254.54,235.86,256.76,273.48,298.54,213.86,
2011-01-07 22:01:44.406000,L5,232.31,236.72,247.58,256.94,258.00,261.46,263.90,272.47,272.34,281.52,288.32,305.40,308.67,313.97
2011-03-12 22:01:43.554000,L5,239.80,245.47,258.82,265.76,269.29,275.11,279.39,289.89,285.47,303.87,305.22,321.22,323.57,322.51
2011-09-04 22:00:27.603000,L5,,,,,,,,,192.37,228.43,240.45,258.20,257.42,266.99
2013-05-20 22:13:50.559000,L8,225.06,233.51,244.04,256.24,255.38,260.26,264.83,268.98,273.88,280.98,291.51,306.56,309.54,311.12
2013-06-21 22:13:43.313000,L8,220.95,228.70,240.44,250.92,251.24,254.96,255.14,260.64,268.38,278.69,286.55,303.90,304.55,311.25
2013-07-07 22:13:24.262000,L8,,,,214.64,235.46,232.33,236.94,233.99,239.91,250.72,265.36,282.56,289.75,298.37
2013-07-07 22:13:48.209000,L8,,,,211.58,228.00,226.02,229.10,231.70,235.84,243.22,260.76,278.49,288.92,297.64
2013-08-08 22:13:49.700000,L8,220.10,224.51,234.54,246.54,246.11,250.90,253.62,256.77,262.24,275.10,283.10,299.55,298.09,306.54
2013-09-09 22:13:25.749000,L8,248.34,250.71,267.78,277.11,274.80,281.56,288.31,292.42,297.39,303.66,308.55,325.14,330.84,332.25
2013-09-09 22:13:49.699000,L8,252.95,253.46,271.28,280.70,277.56,283.39,291.07,294.97,299.39,306.57,309.81,327.29,332.16,333.32
2013-09-25 22:13:17.289000,L8,239.16,240.64,251.15,261.39,271.10,276.74,273.78,293.24,283.17,297.18,306.74,323.83,319.79,326.97
2013-09-25 22:13:41.239000,L8,205.00,184.61,211.03,220.33,221.41,229.30,232.69,229.59,243.84,261.85,270.24,281.89,292.12,299.81
2013-10-27 22:13:07.896000,L8,216.09,223.43,235.87,240.24,243.42,247.28,186.22,249.99,255.17,268.11,274.64,295.15,300.41,308.06
2013-10-27 22:13:31.854000,L8,,,,,,,,201.77,226.50,247.35,256.81,277.85,290.14,297.20
