dates,satname,nzd0266-0000,nzd0266-0001,nzd0266-0002,nzd0266-0003,nzd0266-0004,nzd0266-0005,nzd0266-0006,nzd0266-0007,nzd0266-0008,nzd0266-0009,nzd0266-0010,nzd0266-0011,nzd0266-0012,nzd0266-0013,nzd0266-0014,nzd0266-0015,nzd0266-0016,nzd0266-0017,nzd0266-0018,nzd0266-0019,nzd0266-0020,nzd0266-0021,nzd0266-0022,nzd0266-0023,nzd0266-0024,nzd0266-0025,nzd0266-0026,nzd0266-0027,nzd0266-0028,nzd0266-0029,nzd0266-0030
1999-12-25 21:59:16.152000,L7,223.18,270.66,250.22,277.57,270.54,283.23,227.53,269.00,280.50,277.22,301.79,278.31,257.80,193.21,250.66,265.13,258.71,254.76,264.36,283.89,279.39,285.71,288.09,288.71,288.95,273.86,288.21,277.83,272.26,265.49,
2000-01-10 21:59:16.407000,L7,251.80,270.09,254.37,279.44,272.42,298.34,241.03,269.69,284.36,281.14,301.45,285.91,266.27,199.13,261.44,266.37,273.52,266.70,264.54,283.74,291.15,291.81,293.48,299.74,302.17,292.50,296.25,290.09,288.93,191.78,297.04
2000-01-26 21:59:14.283000,L7,261.19,272.73,261.44,281.87,280.38,291.54,283.12,270.69,282.77,290.53,289.62,284.09,273.37,253.46,262.33,277.23,282.34,283.29,297.40,309.05,298.77,280.67,299.32,294.96,281.22,296.33,308.74,299.00,304.28,299.38,291.90
2000-03-14 21:58:59.247000,L7,,,,,,,,,,,,,,,262.51,277.15,280.31,237.91,275.69,300.36,292.60,292.97,292.67,297.00,297.24,277.51,293.55,273.77,283.89,236.26,
2000-07-04 21:58:02.420000,L7,,200.86,234.32,249.53,256.00,288.33,,,,,,,,,,,,,,,,,,,,,,,,,
2000-11-09 21:56:45.337000,L7,374.79,370.24,363.20,367.74,399.75,391.33,417.14,385.76,394.41,387.54,404.39,399.71,396.90,400.25,356.61,384.40,420.47,407.22,386.98,418.23,387.48,413.19,415.57,469.51,397.27,383.61,392.00,375.40,388.86,374.06,361.98
2000-11-25 21:56:47.006000,L7,248.92,291.07,286.00,294.74,298.11,319.41,261.14,297.88,312.53,282.94,322.16,285.05,259.46,191.21,241.30,276.10,303.27,251.76,276.29,294.13,283.69,295.34,325.65,329.70,327.92,312.98,298.61,295.44,289.43,302.66,289.98
2001-03-17 21:56:40.512000,L7,,269.07,257.41,285.76,282.16,303.19,274.95,281.33,282.10,274.38,302.06,283.48,259.07,192.64,272.12,269.24,278.19,274.50,281.34,292.05,281.54,291.67,293.79,290.42,285.88,270.18,287.63,276.53,266.63,,
2001-09-25 21:54:52.649000,L7,,275.49,259.54,275.80,278.38,300.13,268.61,271.54,272.99,266.59,300.12,281.47,258.47,209.40,267.45,258.73,273.42,271.03,273.71,283.90,273.07,288.52,290.60,279.29,288.71,266.68,288.00,268.54,256.73,,
2002-02-16 21:55:18.119000,L7,399.47,367.08,380.72,394.94,403.06,411.61,402.68,396.84,397.94,394.38,404.67,435.63,402.72,423.10,413.67,426.31,432.03,423.94,447.89,422.48,396.31,412.50,385.46,438.75,380.51,395.88,384.89,384.78,386.47,375.93,394.55
2002-10-14 21:54:07.948000,L7,,275.03,253.40,271.87,276.31,287.47,268.07,275.54,277.56,263.11,295.71,270.88,258.38,209.90,262.45,261.66,268.83,268.65,273.27,281.65,272.38,282.29,286.47,279.89,281.35,264.70,281.81,269.90,262.50,,
2002-12-01 21:54:40.891000,L7,267.48,295.58,293.53,299.62,298.12,309.11,291.69,298.06,301.30,295.79,317.13,293.25,273.39,250.35,266.04,274.77,288.50,285.47,295.26,302.99,295.47,302.77,304.55,305.69,305.08,294.45,304.00,293.50,292.63,296.34,302.51
2003-02-03 21:55:01.991000,L7,259.26,257.95,250.81,275.42,267.88,275.48,328.19,335.70,205.96,232.51,272.94,278.80,233.18,,253.92,259.00,240.26,233.75,260.24,262.16,293.59,234.77,334.16,330.82,348.34,294.45,301.87,192.46,321.99,333.62,288.36
2003-02-19 21:55:06.528000,L7,,,,218.94,282.64,,217.37,260.22,203.10,321.68,341.78,328.70,233.17,,,,,,255.52,265.56,295.12,303.55,286.08,293.61,301.85,287.44,299.58,282.98,323.56,301.07,284.82
2003-03-07 21:55:10.647000,L7,,265.99,261.50,292.61,284.57,300.47,270.39,291.14,269.35,259.19,302.57,286.52,267.99,252.73,280.13,274.65,283.50,263.18,295.80,302.52,293.43,297.15,301.62,304.03,301.56,285.13,297.11,290.89,284.32,,
2003-07-21 21:42:57.544000,L5,278.15,305.06,263.02,290.07,317.28,333.49,299.30,308.50,298.50,290.88,340.30,314.19,292.63,274.77,297.62,293.55,301.00,304.19,302.56,319.06,301.17,181.13,312.54,292.19,330.02,287.92,309.01,,,,425.03
2004-03-01 21:45:26.384000,L5,176.74,262.27,247.94,271.42,278.47,296.55,272.43,273.05,268.18,267.01,293.74,262.19,261.98,217.19,275.06,273.24,277.71,273.14,270.96,279.23,267.51,277.98,281.50,279.66,280.66,267.38,288.55,275.14,268.35,,
2004-03-17 21:45:32.199000,L5,179.84,276.15,266.71,279.09,285.94,287.09,281.44,281.95,284.82,276.15,301.79,273.05,256.84,216.06,267.15,266.29,276.01,268.33,273.18,297.21,286.33,291.81,303.14,295.92,297.55,273.90,287.56,272.04,276.70,,
2004-04-02 21:45:42.656000,L5,,277.86,269.00,281.46,280.91,289.99,276.21,274.70,271.85,269.20,293.41,280.10,261.47,222.73,273.11,271.65,276.36,268.80,271.49,284.09,276.15,280.91,296.40,292.38,294.66,272.87,287.01,290.73,244.53,,
2004-04-18 21:46:13.246000,L5,,271.64,259.32,275.89,283.67,303.25,281.94,282.34,273.25,276.11,292.71,277.47,262.51,226.87,277.53,271.77,277.19,280.27,285.50,292.98,280.26,290.31,296.57,278.24,295.63,273.48,289.29,282.51,276.98,,
2004-05-20 21:47:08.268000,L5,,280.12,255.33,276.53,282.65,305.29,265.51,284.36,287.72,278.57,317.36,282.86,265.69,252.84,270.81,262.68,275.09,275.54,276.09,291.10,278.70,287.42,286.71,274.66,292.83,274.72,293.09,280.13,,,
2004-06-21 21:48:04.551000,L5,,269.37,225.24,243.44,267.17,295.38,,,,,,,,,,,,,,,,,,,,,,,,,
2004-07-07 21:48:33.010000,L5,206.47,295.41,265.02,274.95,297.42,315.21,261.82,231.19,234.25,276.30,326.45,308.54,286.07,258.33,284.80,285.97,288.66,288.11,277.05,304.64,288.71,277.99,,275.44,302.21,282.29,302.92,,,,
2004-07-23 21:48:56.995000,L5,288.10,318.28,282.59,308.77,324.74,332.29,307.82,316.61,313.84,302.10,353.56,326.34,299.13,280.06,304.59,294.53,316.09,303.36,308.26,327.75,312.64,320.75,328.14,325.65,332.86,309.30,315.13,314.76,,,
2004-09-25 21:50:31.000000,L5,192.37,276.16,271.20,277.39,284.18,303.95,280.53,283.90,278.18,280.07,296.69,271.46,261.38,211.74,276.10,268.72,278.45,275.56,282.61,294.21,288.82,293.09,299.62,289.36,294.38,274.07,294.09,286.05,271.63,,
2005-01-31 21:52:45.327000,L5,355.82,353.50,343.23,345.84,369.58,368.15,364.75,364.96,369.38,377.68,370.19,395.22,407.85,387.70,382.12,388.74,385.58,404.26,396.91,412.38,381.87,382.23,400.47,376.79,406.25,366.51,403.65,391.03,356.94,372.86,399.90
2005-03-04 21:53:16.048000,L5,187.29,253.15,233.94,280.96,272.87,281.73,284.52,281.24,270.88,285.26,263.12,282.60,273.69,230.40,280.65,281.08,285.61,278.04,295.57,310.44,305.91,306.37,313.07,314.82,315.73,301.63,306.98,303.71,307.90,307.40,311.24
2005-04-21 21:53:34.581000,L5,194.29,261.34,278.68,289.97,298.40,306.33,286.53,287.79,263.57,265.86,284.37,279.10,264.94,224.49,286.75,286.15,294.32,287.13,296.29,304.47,254.25,,,,,,,,,,
2005-08-27 21:54:31.776000,L5,,274.64,255.57,273.53,286.16,298.79,275.87,283.39,279.13,275.73,308.38,278.90,256.10,218.95,265.04,259.94,269.22,266.94,281.91,294.35,284.94,299.91,305.19,288.99,292.43,261.20,289.98,275.77,262.08,266.75,
