dates,satname,nzd0020-0000,nzd0020-0001,nzd0020-0002
1999-08-17 22:10:26.276000,L7,,,261.81
1999-10-04 22:10:38.131000,L7,185.66,230.88,266.64
2000-02-09 22:10:19.398000,L7,344.32,539.20,464.69
2000-03-28 22:10:07.233000,L7,412.50,416.92,424.89
2000-04-29 22:09:53.797000,L7,236.49,236.45,301.21
2000-08-19 22:08:38.248000,L7,268.07,252.97,357.02
2000-09-04 22:08:22.800000,L7,341.26,336.29,355.43
2000-09-20 22:08:03.348000,L7,344.27,359.81,355.42
2000-10-06 22:07:59.689000,L7,231.96,247.05,305.77
2000-11-07 22:07:53.532000,L7,511.92,412.35,408.27
2001-03-15 22:07:52.114000,L7,228.94,237.48,288.48
2001-06-03 22:07:16.736000,L7,219.25,250.47,234.97
2001-09-07 22:06:11.116000,L7,,352.24,324.49
2001-11-26 22:06:09.518000,L7,409.14,403.65,394.37
2002-02-14 22:06:29.522000,L7,216.19,233.53,298.85
2002-03-18 22:06:22.131000,L7,290.59,317.74,332.22
2002-06-22 22:06:03.573000,L7,542.36,481.52,464.97
2002-07-24 22:05:50.655000,L7,278.82,245.77,323.01
2002-08-09 22:05:46.029000,L7,366.88,390.11,387.19
2002-10-28 22:05:22.323000,L7,389.10,357.48,363.79
2002-11-13 22:05:30.425000,L7,245.87,233.99,181.01
2003-01-16 22:06:02.914000,L7,181.80,232.12,
2003-04-06 22:06:21.012000,L7,254.87,237.01,302.85
2003-05-24 22:06:17.162000,L7,273.44,253.80,334.89
2004-04-16 21:57:19.749000,L5,244.84,266.60,322.73
2004-05-18 21:58:14.785000,L5,239.71,259.62,304.49
2004-08-22 22:00:48.706000,L5,239.44,262.42,310.06
2005-01-13 22:03:41.143000,L5,323.34,311.41,360.04
2005-02-14 22:04:09.465000,L5,300.41,286.32,347.41
2005-04-03 22:04:40.528000,L5,,246.38,247.30
2005-06-06 22:05:05.724000,L5,223.72,252.50,300.80
2005-09-26 22:05:42.687000,L5,230.69,254.68,308.79
2005-11-13 22:05:57.059000,L5,338.49,298.69,348.59
2006-02-17 22:08:11.136000,L5,285.04,283.19,334.20
2006-04-06 22:09:08.139000,L5,228.17,244.54,285.91
2006-06-25 22:10:20.606000,L5,264.26,270.84,325.87
2006-09-13 22:11:23.474000,L5,221.76,259.81,321.44
2006-12-02 22:12:34.352000,L5,194.79,207.61,255.78
2007-01-19 22:12:30.924000,L5,309.54,279.16,335.93
2007-10-02 22:10:31.289000,L5,254.95,257.41,312.26
2008-11-21 22:01:05.982000,L5,225.65,250.29,304.03
2009-01-24 22:02:55.057000,L5,339.97,315.16,364.24
2010-01-27 22:08:26.527000,L5,324.16,303.11,355.23
2010-11-27 22:07:24.215000,L5,251.96,264.24,290.05
