dates,satname,nzd0489-0000,nzd0489-0001,nzd0489-0002,nzd0489-0003,nzd0489-0004,nzd0489-0005,nzd0489-0006,nzd0489-0007,nzd0489-0008,nzd0489-0009,nzd0489-0010,nzd0489-0011,nzd0489-0012,nzd0489-0013,nzd0489-0014,nzd0489-0015,nzd0489-0016,nzd0489-0017,nzd0489-0018,nzd0489-0019,nzd0489-0020,nzd0489-0021,nzd0489-0022,nzd0489-0023,nzd0489-0024,nzd0489-0025,nzd0489-0026,nzd0489-0027,nzd0489-0028,nzd0489-0029,nzd0489-0030,nzd0489-0031,nzd0489-0032,nzd0489-0033,nzd0489-0034,nzd0489-0035,nzd0489-0036,nzd0489-0037,nzd0489-0038,nzd0489-0039,nzd0489-0040,nzd0489-0041,nzd0489-0042,nzd0489-0043,nzd0489-0044,nzd0489-0045,nzd0489-0046,nzd0489-0047,nzd0489-0048,nzd0489-0049,nzd0489-0050,nzd0489-0051,nzd0489-0052,nzd0489-0053,nzd0489-0054,nzd0489-0055,nzd0489-0056,nzd0489-0057,nzd0489-0058,nzd0489-0059,nzd0489-0060,nzd0489-0061,nzd0489-0062,nzd0489-0063,nzd0489-0064,nzd0489-0065,nzd0489-0066,nzd0489-0067,nzd0489-0068,nzd0489-0069,nzd0489-0070,nzd0489-0071,nzd0489-0072,nzd0489-0073,nzd0489-0074,nzd0489-0075,nzd0489-0076,nzd0489-0077,nzd0489-0078,nzd0489-0079,nzd0489-0080,nzd0489-0081,nzd0489-0082,nzd0489-0083,nzd0489-0084,nzd0489-0085,nzd0489-0086
1999-08-26 22:07:32.686000,L7,275.47,404.96,398.50,394.20,393.04,387.04,389.39,379.85,374.09,374.40,336.74,337.94,326.44,308.14,325.01,341.41,344.62,345.28,365.48,371.80,354.31,363.72,371.56,358.23,355.36,341.20,356.15,354.28,357.66,360.27,365.41,354.54,356.22,356.82,344.02,367.77,383.95,358.31,295.56,320.26,327.72,342.90,311.70,358.51,382.91,359.93,344.73,374.94,376.71,362.29,133.30,247.97,232.78,225.24,374.80,376.15,384.17,493.01,497.51,505.65,375.60,383.05,384.09,395.97,396.10,377.03,410.25,391.43,396.36,389.21,378.76,357.66,352.12,352.15,355.48,344.23,345.49,340.17,380.21,380.41,382.97,394.23,387.35,382.40,374.63,378.21,368.48
1999-12-16 22:07:33.708000,L7,445.35,467.71,456.67,467.11,509.86,510.58,514.02,499.54,460.34,459.80,343.99,333.87,436.36,453.75,471.25,458.43,402.19,348.83,338.31,333.45,362.96,426.38,429.84,413.74,446.51,394.89,306.98,403.10,379.19,468.18,470.65,460.02,291.33,325.74,429.97,417.69,447.52,427.13,401.53,373.13,438.19,445.97,355.61,354.21,306.06,346.13,368.63,353.61,343.07,347.79,325.91,406.80,421.16,496.52,476.36,463.13,411.84,488.02,471.78,451.79,481.90,458.38,466.66,460.62,464.07,384.75,387.26,381.54,380.40,377.85,418.67,420.06,369.40,366.87,373.58,363.81,368.29,365.80,364.68,364.76,380.75,379.44,387.18,378.30,367.59,362.55,347.17
2000-05-08 22:06:44.900000,L7,,,365.62,369.13,367.73,372.97,378.58,368.19,368.30,366.67,374.23,319.05,356.76,332.52,352.48,368.48,364.33,359.52,344.60,364.36,363.18,353.75,369.33,353.59,487.98,462.18,412.56,445.11,432.17,416.98,357.69,335.45,340.99,350.79,347.71,343.73,346.89,343.42,300.89,296.22,339.23,330.81,306.65,345.93,290.57,333.13,317.65,358.22,349.23,354.40,311.33,235.08,350.30,361.62,365.02,378.01,370.48,376.32,348.87,343.09,361.42,369.69,366.97,379.96,380.67,380.01,375.12,391.35,381.05,381.93,377.59,373.06,374.96,382.01,384.54,373.39,368.40,367.47,367.64,371.48,365.40,377.77,384.31,367.71,368.39,360.78,351.83
2000-06-25 22:06:19.852000,L7,,,235.42,282.72,290.15,343.01,329.74,320.24,306.73,297.98,261.73,314.18,342.24,341.97,375.95,384.77,408.47,395.22,324.17,331.44,411.99,411.64,343.67,329.11,334.80,331.67,277.69,292.93,303.04,406.32,387.60,396.24,299.41,342.49,330.10,321.75,329.65,385.15,358.12,203.77,243.80,309.43,301.98,345.82,273.28,288.56,246.91,318.32,303.22,185.37,,136.45,385.99,348.96,415.08,379.03,364.28,375.71,330.33,341.78,365.29,456.96,440.77,419.38,405.66,343.23,381.86,371.94,375.51,376.11,376.03,371.93,374.03,375.27,380.18,394.25,406.07,394.17,362.37,366.54,353.87,353.46,370.39,350.76,369.43,361.89,365.71
2000-07-11 22:06:05.496000,L7,,,265.65,244.75,314.30,342.02,325.10,322.81,310.60,299.68,274.89,311.78,272.12,280.01,264.81,244.68,282.29,308.16,315.29,331.94,344.90,336.97,339.64,328.02,329.68,330.32,265.06,288.14,310.91,335.72,350.56,316.66,298.42,329.63,330.81,307.94,358.36,317.24,290.62,289.66,310.18,303.21,309.65,355.78,283.12,276.05,275.58,298.61,319.35,299.43,,142.34,292.36,330.29,358.44,354.95,331.64,346.95,338.14,332.42,329.67,368.44,370.20,343.30,332.98,343.84,344.81,343.19,327.81,331.49,369.98,363.92,321.62,327.37,323.18,323.97,339.40,362.69,338.64,366.39,351.82,349.57,354.05,331.84,359.82,358.34,339.93
2000-07-27 22:05:48.258000,L7,,,377.12,347.81,383.22,466.34,463.50,440.05,311.60,303.91,303.62,310.46,355.63,390.40,401.86,401.06,392.30,384.42,398.35,403.87,395.84,393.85,403.42,386.02,372.29,329.74,290.48,372.55,375.08,377.32,392.95,378.18,304.47,390.64,412.12,376.51,395.37,423.62,366.32,416.93,386.54,416.49,334.52,359.14,275.57,282.97,377.43,388.28,410.80,405.95,378.48,167.10,325.84,333.08,410.45,379.41,424.40,420.63,336.60,339.10,332.46,336.26,368.51,390.74,390.98,386.35,391.21,377.10,378.65,385.36,370.38,372.41,378.54,384.11,377.26,366.28,369.54,368.83,364.50,371.64,359.08,375.01,355.10,361.21,372.27,371.50,363.71
2000-08-12 22:05:41.803000,L7,159.10,254.02,363.99,369.44,367.24,366.47,369.96,364.49,362.39,370.02,365.75,359.44,351.76,500.64,491.11,498.79,497.12,379.21,336.55,487.19,482.13,457.26,404.11,428.96,436.52,372.23,417.70,392.50,436.63,457.07,450.92,419.85,423.00,424.95,419.88,408.52,397.32,417.21,416.95,453.25,458.55,429.11,341.08,353.67,365.86,335.39,348.48,362.18,352.60,340.60,333.47,278.49,338.93,367.06,366.91,375.11,376.02,379.14,380.88,389.72,384.62,389.37,384.51,371.39,376.87,386.89,390.79,382.55,376.96,375.69,384.46,373.46,380.01,380.20,384.46,370.91,372.94,372.51,380.99,372.72,380.79,371.68,366.74,373.02,371.07,377.37,360.03
2000-09-20 22:10:50.972000,L7,,,,,,,,,,,,,,,395.01,395.33,371.86,387.39,441.94,412.66,391.01,385.60,395.75,375.08,382.64,394.32,373.21,386.47,392.01,330.58,408.25,369.54,343.14,326.97,330.81,339.76,338.13,327.59,298.78,298.97,297.73,316.88,355.35,336.89,297.85,327.89,300.09,311.78,303.47,206.22,167.85,143.99,287.29,232.94,379.99,337.72,337.72,336.47,331.62,330.68,345.88,357.93,356.34,354.50,342.68,339.54,363.95,347.57,339.81,351.79,334.76,347.56,327.65,332.24,325.71,337.93,339.75,334.31,330.97,343.03,345.68,339.42,336.42,341.67,347.29,343.56,332.41
2000-12-18 22:05:01.704000,L7,336.34,343.76,359.96,359.70,357.69,362.07,359.17,345.67,348.33,341.18,323.62,318.34,334.25,325.46,334.40,277.65,302.48,309.17,320.19,337.08,345.34,330.47,348.38,340.79,340.71,321.43,343.74,393.77,344.63,339.58,381.88,325.04,338.03,330.34,328.21,325.95,346.47,351.45,287.91,292.38,301.54,306.95,303.58,316.96,293.50,306.67,299.16,313.96,334.27,308.68,291.12,220.60,294.48,340.23,342.14,342.44,371.99,355.53,348.58,357.86,337.32,349.11,350.23,350.90,339.17,343.75,351.06,351.48,363.51,376.59,359.92,352.81,338.11,355.32,328.16,327.48,330.04,336.07,328.59,348.15,348.18,352.31,353.30,346.59,350.91,339.60,326.01
2001-01-03 22:05:00.181000,L7,,,,,,,,,,,509.04,476.45,454.81,456.75,453.06,449.45,503.40,513.18,506.51,466.73,450.92,449.33,410.20,429.37,444.79,438.49,434.19,409.88,432.37,437.93,436.97,434.25,432.39,454.89,464.21,437.79,426.32,441.70,481.22,446.73,434.82,414.39,428.48,466.63,466.07,495.84,415.29,414.13,461.81,462.71,420.95,422.59,437.86,471.98,496.91,493.05,446.51,429.69,476.17,471.89,480.30,484.31,455.22,444.38,452.08,440.98,451.01,483.23,481.26,472.49,476.35,484.14,455.46,453.37,459.79,417.54,446.03,415.02,391.41,399.28,404.07,409.23,408.36,403.06,447.66,392.67,373.02
2001-02-20 22:05:00.525000,L7,358.75,343.66,345.29,345.02,347.08,351.51,352.32,343.06,343.99,344.36,340.39,370.75,366.73,361.11,370.64,372.29,378.67,383.71,388.32,344.97,350.21,352.39,347.41,343.42,342.34,343.67,304.24,343.86,338.07,350.14,345.91,332.53,336.60,352.17,324.28,320.15,326.65,334.78,307.78,356.79,361.02,357.13,355.09,364.15,372.43,373.88,363.44,379.31,374.57,371.38,359.20,346.41,354.76,379.49,386.42,399.62,391.87,396.88,404.66,404.64,398.67,394.99,393.19,395.33,398.04,400.29,403.53,396.82,396.99,397.03,391.07,390.95,391.48,396.60,392.81,386.81,382.47,378.12,375.54,375.32,373.69,386.26,381.68,375.03,386.28,379.89,361.48
2001-04-09 22:04:41.882000,L7,346.92,377.91,378.10,371.72,377.09,388.51,394.75,377.85,382.95,383.07,391.32,383.03,382.96,304.58,328.68,329.36,340.64,422.02,400.34,387.24,374.60,347.21,,,,,,,,,,,,,,,,,,,,,,,,160.42,189.47,278.94,303.99,303.92,273.52,,,,,,,,,,,352.29,398.65,417.61,422.18,422.24,396.41,392.30,391.35,392.85,388.29,388.33,398.26,390.40,397.53,390.81,380.45,376.89,372.80,379.61,383.00,386.41,396.44,387.22,399.10,391.41,358.50
2001-07-14 22:03:57.537000,L7,,,238.08,238.96,273.34,336.31,327.48,317.51,292.91,301.71,315.39,318.93,292.27,307.88,253.03,306.06,277.11,278.96,321.27,319.19,324.64,320.86,324.36,327.29,327.39,323.42,297.60,291.49,298.17,306.02,323.72,305.75,298.83,324.55,319.07,305.65,312.42,304.95,287.54,441.82,414.23,420.16,309.37,336.53,256.60,277.17,230.99,212.10,146.68,,,501.35,453.03,458.83,296.15,311.50,201.75,476.19,460.94,460.37,448.76,316.85,332.34,324.15,334.89,306.19,323.91,318.43,324.01,326.43,323.88,327.97,323.78,329.92,320.93,330.63,366.81,358.85,350.52,360.24,348.32,329.24,368.83,352.30,350.66,336.61,316.62
