dates,satname,nzd0526-0000,nzd0526-0001,nzd0526-0002,nzd0526-0003,nzd0526-0004,nzd0526-0005,nzd0526-0006,nzd0526-0007,nzd0526-0008,nzd0526-0009,nzd0526-0010,nzd0526-0011,nzd0526-0012,nzd0526-0013,nzd0526-0014,nzd0526-0015,nzd0526-0016
1999-08-17 22:13:37.953000,L7,,,,309.47,304.69,313.03,308.67,290.93,222.96,273.10,274.79,257.61,258.57,290.63,269.76,,
1999-11-05 22:13:40.966000,L7,419.60,441.52,420.05,425.38,393.49,436.96,414.07,430.26,434.77,360.69,366.10,432.19,430.10,447.30,367.19,449.79,469.93
1999-12-07 22:13:41.663000,L7,371.98,341.07,318.56,331.74,336.47,316.33,346.13,337.97,327.08,322.76,290.78,342.24,197.89,335.13,332.59,331.23,320.36
1999-12-16 22:07:33.708000,L7,311.04,301.02,283.66,305.24,307.40,314.65,311.17,298.00,283.57,,280.24,290.84,208.85,,,,206.78
2000-05-08 22:06:44.900000,L7,,,,,,,,,,,,,,,,157.93,262.09
2000-05-15 22:12:54.183000,L7,162.26,258.75,258.57,260.16,,,,197.63,228.35,238.85,273.73,253.53,258.86,292.65,284.10,270.93,
2000-09-20 22:11:14.930000,L7,420.48,431.30,438.25,410.85,401.94,408.03,395.28,394.86,396.07,411.85,294.86,305.83,295.86,303.47,308.69,302.34,294.24
2000-12-18 22:05:01.704000,L7,347.60,339.18,338.84,340.35,357.31,356.27,327.55,332.47,285.78,327.31,317.24,340.04,328.16,329.77,324.40,318.57,352.26
2001-01-03 22:05:00.181000,L7,346.17,312.16,304.70,309.46,306.24,312.93,305.46,299.86,287.15,271.45,280.74,296.22,289.09,298.96,278.80,284.83,282.58
2001-02-11 22:11:12.788000,L7,367.64,369.65,370.25,374.99,401.82,394.32,381.18,414.58,371.24,372.70,350.77,345.39,358.38,393.63,374.97,439.90,406.27
2001-02-20 22:05:00.525000,L7,343.69,309.94,225.16,306.93,312.84,319.40,317.80,308.93,295.34,284.97,290.32,304.00,290.60,306.53,295.45,287.73,284.33
2001-08-15 22:03:26.328000,L7,336.63,315.56,308.28,303.77,318.13,328.64,327.51,306.48,293.32,431.52,434.90,449.19,429.86,300.07,294.11,296.38,250.59
2001-11-03 22:02:58.699000,L7,345.76,346.57,308.14,310.20,328.08,362.22,327.69,364.60,372.64,355.18,484.28,498.70,495.93,485.34,365.34,366.32,347.26
2002-01-29 22:09:33.112000,L7,344.88,341.46,344.23,341.16,346.20,352.23,349.60,345.56,346.99,335.92,333.59,344.80,337.80,346.92,339.97,199.58,245.96
2002-03-11 22:03:31.366000,L7,339.40,312.07,313.62,317.56,318.45,320.47,318.28,309.77,295.29,293.36,290.95,302.23,290.18,305.51,295.78,289.90,284.14
2002-04-12 22:03:25.302000,L7,,,412.26,465.52,270.71,289.27,473.34,,502.30,470.58,455.02,417.73,405.22,395.77,,,
2002-05-05 22:09:37.985000,L7,321.04,304.17,262.73,244.81,307.21,301.62,308.04,,,,,,,,,,
2002-05-14 22:03:19.418000,L7,316.21,296.58,260.11,,300.93,309.26,305.99,290.13,257.08,243.84,270.00,261.64,,,268.62,239.81,198.35
2002-06-15 22:03:07.576000,L7,294.48,304.97,,,,,,,,,,,,247.93,222.78,,
2002-08-09 22:08:57.725000,L7,468.07,436.99,457.70,431.50,449.66,394.64,439.99,439.99,495.38,329.69,338.50,479.47,421.63,482.52,464.85,488.26,465.60
2002-09-10 22:08:43.416000,L7,332.40,311.64,281.39,289.84,256.44,315.56,311.92,299.56,236.72,242.30,233.44,264.77,259.16,192.39,247.17,270.85,
2002-12-24 22:02:57.022000,L7,,,,,304.12,308.01,303.24,269.96,279.83,279.29,279.26,292.42,280.09,287.38,287.81,279.58,239.42
2003-02-01 22:09:21.746000,L7,344.55,311.86,303.71,179.83,182.05,237.25,273.97,264.23,177.14,282.50,289.31,294.74,289.02,297.11,289.97,283.39,280.87
2003-08-13 21:51:32.649000,L5,357.51,341.64,335.71,334.23,334.09,349.19,344.45,337.82,317.13,315.37,315.80,327.53,319.07,328.72,326.37,316.30,320.75
2003-08-29 21:51:49.928000,L5,377.08,363.51,358.87,356.70,351.10,361.90,374.45,359.95,382.15,352.73,345.01,343.99,344.34,377.43,352.51,359.20,347.74
2003-10-07 21:58:35.519000,L5,388.91,382.74,383.13,383.73,380.90,391.03,386.89,378.38,374.40,363.95,365.32,369.70,371.48,384.72,386.29,384.68,373.34
2003-11-17 21:52:57.120000,L5,333.93,319.69,305.69,308.09,318.42,323.57,319.46,313.11,298.39,289.99,287.90,297.74,292.98,269.62,233.66,285.92,283.74
2003-12-26 21:59:30.091000,L5,352.53,340.72,339.08,342.65,341.21,349.13,344.97,336.24,308.56,307.87,306.94,317.72,317.17,322.19,318.59,309.92,308.49
2004-01-20 21:53:24.777000,L5,339.66,326.78,318.50,329.85,327.02,336.50,334.91,329.47,314.20,313.88,311.97,323.93,317.42,325.81,324.43,317.74,313.88
2004-01-27 21:59:38.149000,L5,336.99,317.44,307.53,323.47,144.44,165.66,198.36,215.65,238.72,228.25,300.31,312.61,310.11,323.18,321.03,309.75,308.97
2004-03-31 21:59:59.745000,L5,370.26,358.86,357.01,356.46,351.17,352.52,350.90,340.92,331.01,328.83,330.40,329.96,328.68,342.30,336.88,334.86,335.98
2004-05-02 22:00:57.398000,L5,358.05,344.18,314.99,327.60,341.50,360.44,380.37,354.47,331.83,327.39,321.44,322.26,316.49,327.16,324.30,318.98,332.83
2004-05-18 22:01:26.569000,L5,365.60,350.08,351.67,347.98,352.01,359.33,352.32,343.31,330.39,323.24,329.56,328.64,322.60,346.80,334.28,331.79,333.58
2004-06-12 21:55:59.429000,L5,309.83,305.72,289.05,299.78,305.48,319.83,312.30,302.84,279.03,289.46,293.59,291.81,274.48,291.72,271.65,284.44,290.81
