dates,satname,nzd0465-0000,nzd0465-0001,nzd0465-0002,nzd0465-0003,nzd0465-0004,nzd0465-0005,nzd0465-0006,nzd0465-0007,nzd0465-0008,nzd0465-0009,nzd0465-0010,nzd0465-0011,nzd0465-0012,nzd0465-0013,nzd0465-0014,nzd0465-0015,nzd0465-0016,nzd0465-0017,nzd0465-0018,nzd0465-0019,nzd0465-0020,nzd0465-0021
1999-11-19 22:25:35.957000,L7,240.53,238.58,230.25,213.27,174.43,218.50,227.62,213.08,,,,,,,,,,,,,,
2000-04-20 22:18:51.435000,L7,,,,,182.37,184.48,196.48,207.19,207.45,210.83,204.46,221.51,228.07,,,,,237.27,241.03,246.52,262.21,269.31
2000-11-14 22:16:54.735000,L7,342.10,331.03,360.33,212.89,216.69,453.49,403.34,400.09,287.93,414.06,530.16,413.80,383.64,544.74,405.38,362.96,434.59,398.68,420.01,428.55,466.59,365.79
2000-12-16 22:16:59.214000,L7,519.55,393.50,330.80,335.89,420.28,473.44,503.44,403.91,420.61,427.31,426.19,459.38,313.46,350.48,525.14,449.41,525.79,534.78,483.33,418.21,459.10,347.03
2001-02-18 22:16:58.982000,L7,193.02,202.59,187.36,191.22,182.01,185.46,196.84,201.07,198.87,202.68,195.32,,,,,,,,,,,
2001-02-25 22:23:05.583000,L7,,238.28,231.09,242.14,231.66,216.95,228.52,229.59,222.24,195.93,188.66,,,230.32,236.48,209.83,,,217.13,227.13,228.43,232.14
2001-04-07 22:16:37.523000,L7,,,,,,,,,,,,,,,,233.57,162.00,188.78,,,,
2001-10-23 22:21:01.749000,L7,,,,213.05,218.74,215.28,220.49,,,,,,,,,,,,,,,
2002-01-11 22:21:31.626000,L7,443.92,405.17,517.91,,,432.72,341.88,329.22,332.75,334.72,349.93,309.41,281.70,324.73,298.19,350.23,344.24,324.70,371.37,399.92,442.02,462.41
2002-01-20 22:15:25.657000,L7,,,,,,,,,,,,,,,,,,,,206.75,174.18,181.41
2002-01-27 22:21:34.098000,L7,,235.40,229.60,211.95,221.67,,,189.60,225.64,211.92,180.89,,,,,,,,,,,
2002-02-12 22:21:39.719000,L7,279.42,253.68,254.17,253.67,249.13,259.26,261.94,262.72,258.08,260.91,264.58,262.01,257.50,256.75,262.06,253.79,252.53,253.70,256.79,258.35,257.97,263.19
2002-09-24 22:20:31.166000,L7,,,,,,,,,176.53,166.62,,,,,,,,,,,,
2002-11-11 22:20:37.280000,L7,256.15,202.62,,,,,,,,,,,,,,,,,,,,
2002-12-06 22:14:49.731000,L7,,,,,,,,,,,,,219.15,222.07,184.95,212.38,226.70,,,,,
2003-01-14 22:21:10.970000,L7,,,,,,,,212.09,231.30,210.55,186.78,,,,,,,,,,,
2003-03-19 22:21:26.311000,L7,,,,,,,196.41,193.86,173.36,227.41,187.95,203.53,179.37,215.32,,,,,,,,
2003-08-11 22:03:27.617000,L5,233.41,195.75,180.98,174.89,173.98,176.97,,,,,,,,,,,,,,,,
2003-08-27 22:03:45.777000,L5,216.82,182.50,168.67,172.23,174.12,,,,,,,,,,,157.28,205.57,222.25,203.88,219.74,220.80,243.65
2003-12-01 22:05:04.787000,L5,,,,,,163.60,178.44,176.07,180.45,184.07,183.24,182.59,184.71,189.00,195.90,181.09,192.39,201.79,213.45,211.92,207.93,
2003-12-08 22:11:15.400000,L5,299.17,270.41,263.47,259.29,258.04,255.98,267.26,272.52,262.78,248.34,250.21,253.38,249.59,247.95,252.57,258.50,259.18,248.05,255.95,251.97,253.80,266.24
2004-01-18 22:05:21.441000,L5,,,,,,,,,,,167.46,177.01,170.85,188.89,203.19,199.68,200.04,203.61,202.06,191.38,213.63,230.56
2004-03-29 22:11:53.271000,L5,,,,,,,,,,,,,,,,189.44,183.15,183.17,163.45,178.45,177.84,194.39
2004-04-07 22:06:01.365000,L5,231.86,191.68,174.82,168.69,171.70,173.54,177.65,188.76,179.14,185.50,190.45,197.68,202.80,210.72,220.18,210.56,209.89,209.90,200.62,,,
2004-06-10 22:07:53.866000,L5,246.64,202.99,187.61,185.33,185.61,185.57,,,,,,,,,,,,,,,,
2004-09-05 22:16:20.532000,L5,306.79,273.19,262.70,261.56,248.65,247.12,257.46,253.81,253.63,248.86,252.32,253.65,252.69,274.25,274.67,266.54,238.36,234.59,228.20,236.82,244.70,251.05
2004-09-30 22:10:46.090000,L5,232.11,196.88,184.12,184.67,186.40,190.28,,,,,,,221.39,232.46,239.49,237.43,230.86,236.68,241.90,247.82,256.45,270.71
2004-10-07 22:17:05.324000,L5,318.02,290.38,273.44,268.91,263.42,260.77,289.15,291.32,286.96,278.41,275.87,283.83,275.16,292.59,275.13,263.65,252.36,250.54,251.77,256.33,278.93,279.92
2005-01-27 22:19:02.183000,L5,242.36,216.78,203.37,195.78,195.75,189.62,200.48,212.22,196.85,195.00,205.41,197.90,203.18,201.99,195.48,189.13,185.86,185.97,179.25,187.98,185.77,216.84
2005-03-16 22:19:43.061000,L5,308.68,278.74,271.68,261.47,256.05,256.13,268.29,285.51,282.64,281.56,279.90,280.32,288.57,271.02,263.06,254.47,246.28,241.99,244.71,258.98,269.31,283.95
2005-04-17 22:19:52.410000,L5,255.97,221.51,209.10,202.78,206.24,187.33,209.63,196.38,198.17,,,,,,,,,,,,,
2005-05-03 22:19:58.509000,L5,250.49,218.72,207.75,205.78,197.98,,,,,,,,,,,,,,,,,
2005-09-17 22:14:42.676000,L5,286.33,245.08,233.58,224.12,225.47,227.54,239.72,242.76,245.43,246.32,260.29,253.84,258.71,269.78,275.21,298.44,277.79,271.26,271.43,291.88,288.48,304.26
2005-09-24 22:20:52.550000,L5,239.73,213.61,201.31,188.48,190.36,187.04,205.26,203.17,203.65,198.41,197.84,201.30,203.96,200.95,191.58,184.62,172.50,170.78,163.04,168.64,186.81,197.38
2005-10-10 22:20:47.763000,L5,308.87,297.71,281.34,269.56,266.95,270.66,283.01,277.85,270.68,268.22,264.14,264.11,262.36,287.28,297.57,286.46,267.48,255.33,264.61,262.57,274.68,291.75
2006-02-08 22:16:57.956000,L5,,,,,,,,,,,164.75,184.23,192.83,204.70,214.03,205.06,205.52,209.68,209.94,203.80,210.52,228.54
2006-04-13 22:18:14.212000,L5,,,,,,,,,,,,,,,,194.37,201.01,205.78,208.24,221.53,221.28,240.36
2006-05-31 22:18:55.804000,L5,241.63,201.92,175.39,167.60,176.33,175.98,,,,,,,,,,,,,,,,
2006-08-10 22:26:07.444000,L5,246.32,216.09,198.75,187.71,198.86,197.75,,,,,,,,,,,,,,,,
2006-08-26 22:26:19.776000,L5,306.02,278.10,267.48,264.15,258.16,259.80,268.90,260.87,258.79,252.67,252.59,252.79,254.15,260.58,266.64,268.31,278.31,268.80,261.43,264.14,261.09,266.40
2006-11-30 22:27:18.908000,L5,297.02,267.54,257.49,250.98,250.11,252.76,264.07,260.82,260.33,259.25,256.88,263.74,259.77,267.37,281.15,267.20,250.53,267.98,266.93,246.56,242.20,251.92
2006-12-09 22:21:12.760000,L5,280.50,236.21,234.13,234.68,229.92,226.17,240.69,245.61,239.04,240.74,242.86,256.04,273.47,277.94,292.00,292.88,288.24,303.29,320.25,307.76,290.60,303.03
