dates,satname,nzd0341-0000,nzd0341-0010,nzd0341-0011,nzd0341-0012,nzd0341-0013,nzd0341-0014,nzd0341-0015,nzd0341-0016,nzd0341-0020,nzd0341-0021,nzd0341-0022,nzd0341-0023,nzd0341-0024,nzd0341-0025,nzd0341-0026,nzd0341-0027,nzd0341-0028,nzd0341-0029,nzd0341-0030,nzd0341-0031,nzd0341-0032,nzd0341-0033,nzd0341-0035,nzd0341-0036,nzd0341-0037,nzd0341-0044,nzd0341-0001,nzd0341-0002,nzd0341-0003,nzd0341-0004,nzd0341-0005,nzd0341-0006,nzd0341-0007,nzd0341-0008,nzd0341-0009,nzd0341-0017,nzd0341-0018,nzd0341-0019,nzd0341-0034,nzd0341-0038,nzd0341-0039,nzd0341-0040,nzd0341-0041,nzd0341-0042,nzd0341-0043
1999-08-21 21:47:44.927000,L7,211.50,179.24,168.53,191.48,181.08,186.47,193.46,177.76,150.43,216.27,251.31,217.24,216.52,266.49,268.89,255.87,180.48,167.93,227.54,222.60,221.92,179.34,201.40,198.81,221.15,281.17,,,,,,,,,,,,,,,,,,,
1999-08-28 21:53:35.950000,L7,367.04,227.88,228.93,230.27,228.67,225.30,240.62,221.55,348.72,400.23,407.24,427.19,342.58,342.68,328.13,336.18,357.71,343.66,344.69,347.87,329.74,302.95,314.63,323.21,319.40,485.67,363.21,360.45,369.50,361.84,333.99,334.31,250.42,243.54,230.76,364.40,391.84,372.31,303.52,420.80,420.08,490.73,513.74,500.55,531.07
1999-08-28 21:53:59.920000,L7,368.07,229.02,230.90,232.26,229.18,228.03,242.53,318.80,325.47,400.88,408.55,428.25,341.05,347.96,332.97,338.59,360.72,345.07,345.25,351.53,331.81,304.50,315.24,328.72,320.19,360.55,364.41,361.79,371.14,363.23,336.97,336.90,251.03,245.39,233.40,367.06,393.32,376.50,304.23,322.15,326.98,353.09,342.61,345.42,347.95
1999-09-22 21:47:48.716000,L7,371.40,381.39,391.25,411.11,398.07,265.48,354.42,336.97,331.23,343.52,347.61,395.43,399.62,336.63,344.04,355.31,354.74,367.87,359.58,349.63,335.75,325.96,317.37,320.81,321.02,342.99,375.43,367.57,375.46,368.86,346.44,361.08,250.99,360.50,365.83,328.45,326.80,325.98,310.78,330.64,324.40,352.02,348.08,355.46,353.18
1999-09-29 21:53:40.155000,L7,341.23,217.47,209.99,220.38,213.41,215.67,326.08,359.82,325.49,322.13,319.78,307.72,306.16,319.52,324.01,336.89,510.90,513.55,511.65,494.52,455.43,298.38,311.81,382.50,373.92,330.67,340.22,342.38,353.88,343.71,299.33,249.74,234.18,233.19,218.50,373.12,349.23,308.19,297.75,439.83,493.18,366.79,381.00,347.79,333.70
1999-09-29 21:54:04.102000,L7,339.06,217.19,209.10,219.96,212.96,215.21,315.47,359.64,323.55,319.61,318.92,304.95,305.90,317.54,323.10,336.16,511.61,513.70,496.64,494.79,451.93,297.21,311.02,327.57,352.78,330.11,338.90,340.60,349.61,335.20,296.53,249.32,233.88,232.48,217.77,373.73,348.65,307.86,296.72,439.56,493.85,461.83,377.50,347.62,332.25
1999-10-24 21:47:44.121000,L7,377.17,267.35,257.45,414.90,398.53,372.04,357.31,346.12,370.07,354.62,334.07,329.16,334.33,500.61,480.22,517.65,470.99,530.48,508.13,528.77,510.41,488.31,469.55,458.21,410.69,350.83,425.65,372.00,385.96,375.35,346.79,350.54,356.25,267.66,271.05,333.89,330.79,356.23,471.93,467.25,483.66,455.80,359.27,353.67,352.09
1999-12-11 21:47:48.967000,L7,349.17,224.47,223.86,384.74,380.09,355.34,311.84,371.93,324.95,310.61,304.46,307.91,319.35,320.78,324.23,335.10,335.54,338.51,328.68,328.87,334.46,314.85,322.57,327.75,330.97,385.94,348.37,347.64,359.90,353.29,326.98,260.88,245.05,244.95,231.77,304.12,321.63,325.64,308.63,334.33,321.36,334.66,386.79,390.98,370.99
2000-01-12 21:47:42.353000,L7,350.50,226.91,480.79,469.51,442.90,439.06,240.11,225.33,419.18,434.98,321.86,281.49,331.86,346.11,353.32,352.58,348.57,336.48,355.13,320.45,349.32,312.08,315.06,309.52,318.18,346.41,349.12,348.25,364.08,315.83,277.65,243.79,239.01,242.94,221.75,238.74,432.14,427.06,315.03,282.66,332.23,382.72,290.89,350.24,342.21
2000-01-19 21:53:25.812000,L7,379.67,324.27,318.39,362.05,346.40,237.52,317.51,517.01,355.37,358.71,352.61,349.80,356.62,355.55,360.35,369.42,385.63,384.20,362.73,346.64,332.99,327.37,330.97,334.44,333.90,358.60,385.20,377.03,387.17,387.46,354.33,349.35,338.92,324.68,323.96,515.70,513.01,359.50,326.24,343.04,488.02,473.41,466.60,493.95,506.88
2000-01-19 21:53:49.771000,L7,382.06,395.14,404.47,411.58,403.28,393.65,369.86,362.54,355.93,359.32,355.74,349.67,357.73,357.29,362.88,369.54,386.54,384.82,364.43,347.83,332.78,329.75,330.07,336.39,334.03,360.08,385.56,377.90,386.63,388.61,356.71,351.99,328.48,396.88,397.17,354.26,354.24,360.85,326.40,344.11,345.45,349.53,352.80,363.76,362.74
2000-05-03 21:47:07.085000,L7,,187.05,158.20,194.91,187.72,187.86,204.38,193.08,237.60,256.09,247.94,232.39,250.12,259.16,269.84,226.71,293.54,272.82,242.46,228.09,248.46,223.14,231.10,245.15,189.77,281.65,,,,151.19,233.02,237.52,219.06,220.04,187.41,,,190.10,237.27,,268.83,268.38,255.24,175.95,229.12
2000-05-26 21:52:36.566000,L7,,184.91,167.79,195.66,190.19,192.81,203.18,194.85,217.16,199.48,261.65,260.57,229.16,281.37,276.36,202.24,305.84,272.61,247.60,217.03,249.61,182.67,,170.93,230.47,282.01,,,,,234.54,236.03,215.03,209.19,183.09,,,258.43,,258.54,273.71,280.10,278.81,273.57,275.37
2000-05-26 21:53:00.524000,L7,,183.61,166.72,177.78,190.87,191.28,201.75,193.39,214.59,204.99,260.60,254.49,268.74,281.74,277.54,204.32,298.69,255.28,294.28,219.23,249.13,180.10,,,,281.91,,,,,234.31,233.16,213.63,198.16,181.50,,,236.74,,260.73,274.92,279.93,278.19,247.26,276.24
