dates,satname,nzd0247-0000,nzd0247-0001,nzd0247-0002,nzd0247-0003,nzd0247-0004,nzd0247-0005,nzd0247-0006,nzd0247-0007,nzd0247-0008,nzd0247-0009,nzd0247-0010,nzd0247-0011,nzd0247-0012,nzd0247-0013,nzd0247-0014,nzd0247-0015,nzd0247-0016,nzd0247-0017,nzd0247-0018,nzd0247-0019,nzd0247-0020,nzd0247-0021,nzd0247-0022,nzd0247-0023,nzd0247-0024,nzd0247-0025,nzd0247-0026,nzd0247-0027,nzd0247-0028,nzd0247-0029,nzd0247-0030,nzd0247-0031,nzd0247-0032,nzd0247-0033,nzd0247-0034,nzd0247-0035,nzd0247-0036,nzd0247-0037,nzd0247-0038,nzd0247-0039,nzd0247-0040,nzd0247-0041,nzd0247-0042,nzd0247-0043,nzd0247-0044,nzd0247-0045
1999-08-21 21:46:56.985000,L7,,,,,,279.26,318.42,312.21,312.56,347.29,222.74,252.17,313.38,320.17,,,256.73,293.98,288.59,351.90,300.84,293.00,302.12,320.02,324.10,281.10,324.67,175.39,160.28,158.13,316.07,334.27,215.00,266.44,330.08,317.81,313.12,313.85,312.98,,324.59,332.46,,,,
1999-09-06 21:46:35.553000,L7,351.90,352.31,360.09,327.64,362.50,370.65,371.88,375.93,366.76,357.41,358.01,351.39,336.76,394.60,362.93,323.32,339.95,350.73,355.03,355.05,367.95,349.35,338.99,303.99,384.82,438.22,432.99,422.84,360.69,327.03,466.18,478.00,433.05,326.21,330.60,330.07,316.67,319.90,325.51,321.31,335.41,336.08,346.49,344.23,344.47,360.82
1999-09-22 21:46:36.849000,L7,358.01,356.43,359.30,314.07,316.65,364.77,317.66,329.15,331.74,347.51,344.12,345.59,318.91,373.95,358.86,329.06,314.29,244.57,333.63,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-10-24 21:46:32.266000,L7,373.82,347.83,345.50,344.43,337.64,351.78,360.73,373.66,366.54,360.25,412.23,411.12,400.52,369.85,360.45,331.12,333.51,333.31,336.45,384.57,172.05,333.31,308.52,335.54,322.65,337.30,338.47,335.16,324.98,364.67,353.35,352.19,344.03,335.24,348.59,350.78,330.30,330.40,334.29,361.55,332.82,356.94,345.31,342.62,387.88,307.35
1999-10-24 21:46:56.203000,L7,,,341.53,339.02,330.99,345.37,349.78,354.27,355.60,356.48,360.32,358.81,323.25,366.74,357.73,328.61,293.84,329.76,335.11,378.05,196.36,,306.19,330.93,319.16,335.79,335.80,331.71,319.85,362.16,351.26,350.95,343.03,335.16,346.71,346.46,328.43,327.75,331.58,299.43,331.41,349.83,343.55,338.93,,305.49
2000-02-13 21:46:48.016000,L7,,,,,,,,385.93,526.58,480.34,505.52,528.64,524.11,533.24,521.89,370.12,358.00,364.56,367.30,369.49,370.02,363.18,357.29,491.58,493.55,517.20,503.77,500.54,502.96,375.97,403.87,314.73,376.86,377.35,369.30,355.52,356.44,358.24,348.90,358.85,367.92,374.70,367.26,443.54,434.60,420.96
2000-04-01 21:46:10.627000,L7,,329.27,331.84,319.70,314.35,335.24,319.11,355.84,334.37,350.60,340.98,344.16,306.11,325.04,337.93,231.19,327.14,342.09,313.77,355.57,337.68,341.01,343.63,325.01,315.21,338.48,333.51,334.56,313.03,340.22,333.28,344.24,337.53,331.91,332.92,329.55,315.59,313.17,320.92,302.13,307.84,266.12,193.93,235.80,336.41,182.58
2000-04-01 21:46:34.573000,L7,,,,,312.76,330.36,316.08,314.70,329.00,346.48,339.59,340.99,304.23,321.10,,,326.85,338.00,297.65,352.64,331.67,337.55,337.50,323.19,211.65,308.03,328.90,329.39,309.88,337.44,330.43,336.84,336.15,237.56,273.97,188.89,313.79,311.46,319.89,188.37,211.02,,,,333.72,179.51
2000-05-19 21:45:43.918000,L7,192.69,334.50,223.69,348.78,358.90,368.12,376.60,389.08,364.49,373.11,401.09,391.57,401.95,389.93,367.46,339.31,402.10,452.66,407.41,383.64,423.25,404.11,367.07,347.10,346.98,355.35,349.23,354.64,351.31,367.50,347.66,353.00,346.14,351.10,351.15,340.03,328.26,327.14,335.19,364.16,346.68,404.32,353.47,352.86,345.65,341.00
2000-05-19 21:46:07.873000,L7,,,,,,,,,,,,358.74,288.83,380.81,350.83,232.21,304.00,350.22,339.70,366.11,364.78,350.35,352.71,337.84,337.15,350.13,341.64,347.47,312.65,362.91,341.43,334.50,335.18,345.13,339.98,330.98,317.80,320.71,325.88,311.36,331.78,,,,250.19,
2000-06-04 21:45:32.324000,L7,,,,,313.65,199.06,322.46,348.50,336.74,346.28,342.97,338.74,337.88,340.05,,,329.67,340.69,297.78,370.28,348.27,345.90,331.83,328.42,310.39,334.21,322.72,318.36,318.46,345.01,331.31,340.22,338.66,333.06,333.49,329.99,324.00,325.52,327.62,331.27,340.94,345.73,365.42,359.64,349.90,343.27
