dates,satname,nzd0096-0000,nzd0096-0001,nzd0096-0002,nzd0096-0003,nzd0096-0004,nzd0096-0005,nzd0096-0006,nzd0096-0007,nzd0096-0008,nzd0096-0009,nzd0096-0010,nzd0096-0011,nzd0096-0012,nzd0096-0013,nzd0096-0014,nzd0096-0015,nzd0096-0016,nzd0096-0017,nzd0096-0018,nzd0096-0019,nzd0096-0020,nzd0096-0021,nzd0096-0022,nzd0096-0023,nzd0096-0024,nzd0096-0025,nzd0096-0026,nzd0096-0027,nzd0096-0028,nzd0096-0029,nzd0096-0030,nzd0096-0031,nzd0096-0032,nzd0096-0033,nzd0096-0034,nzd0096-0035,nzd0096-0036,nzd0096-0037,nzd0096-0038,nzd0096-0039,nzd0096-0040,nzd0096-0041,nzd0096-0042,nzd0096-0043,nzd0096-0044,nzd0096-0045,nzd0096-0046,nzd0096-0047,nzd0096-0048,nzd0096-0049,nzd0096-0050,nzd0096-0051,nzd0096-0052,nzd0096-0053,nzd0096-0054,nzd0096-0055,nzd0096-0056,nzd0096-0057,nzd0096-0058,nzd0096-0059,nzd0096-0060,nzd0096-0061,nzd0096-0062,nzd0096-0063,nzd0096-0064,nzd0096-0065,nzd0096-0066,nzd0096-0067,nzd0096-0068,nzd0096-0069,nzd0096-0070,nzd0096-0071,nzd0096-0072,nzd0096-0073,nzd0096-0074,nzd0096-0075,nzd0096-0076,nzd0096-0077,nzd0096-0078,nzd0096-0079,nzd0096-0080,nzd0096-0081,nzd0096-0082,nzd0096-0083,nzd0096-0084,nzd0096-0085,nzd0096-0086,nzd0096-0087,nzd0096-0088,nzd0096-0089,nzd0096-0090,nzd0096-0091,nzd0096-0092,nzd0096-0093,nzd0096-0094,nzd0096-0095,nzd0096-0096,nzd0096-0097,nzd0096-0098,nzd0096-0099,nzd0096-0100,nzd0096-0101,nzd0096-0102,nzd0096-0103,nzd0096-0104,nzd0096-0105,nzd0096-0106,nzd0096-0107,nzd0096-0108,nzd0096-0109,nzd0096-0110,nzd0096-0111,nzd0096-0112,nzd0096-0113,nzd0096-0114,nzd0096-0115,nzd0096-0116,nzd0096-0117,nzd0096-0118,nzd0096-0119,nzd0096-0120,nzd0096-0121,nzd0096-0122,nzd0096-0123,nzd0096-0124,nzd0096-0125,nzd0096-0126,nzd0096-0127,nzd0096-0128,nzd0096-0129,nzd0096-0130,nzd0096-0131,nzd0096-0132,nzd0096-0133,nzd0096-0134,nzd0096-0135,nzd0096-0136,nzd0096-0137,nzd0096-0138,nzd0096-0139,nzd0096-0140,nzd0096-0141,nzd0096-0142,nzd0096-0143,nzd0096-0144,nzd0096-0145,nzd0096-0146,nzd0096-0147,nzd0096-0148,nzd0096-0149,nzd0096-0150,nzd0096-0151,nzd0096-0152,nzd0096-0153,nzd0096-0154,nzd0096-0155,nzd0096-0156,nzd0096-0157,nzd0096-0158,nzd0096-0159
1999-08-26 22:04:44.971000,L7,,,,,,,,,,,,,,252.81,225.08,359.63,228.20,232.17,263.90,211.59,219.00,228.32,225.06,247.33,270.87,242.91,237.22,202.45,221.90,,,185.48,190.32,224.04,268.64,177.12,204.91,207.65,241.76,310.98,321.07,355.90,316.23,216.88,229.95,259.27,197.58,297.17,344.83,364.30,465.90,296.26,328.89,331.41,307.22,280.51,466.13,506.30,473.90,511.64,266.50,235.07,266.06,353.91,375.50,233.36,255.20,301.36,307.81,251.68,334.28,251.33,248.93,255.91,247.74,,444.80,421.53,468.87,457.76,502.75,518.37,436.61,294.02,297.77,286.12,292.75,292.72,281.62,281.00,286.07,358.34,341.11,317.18,299.84,320.01,330.71,300.71,307.63,341.70,309.75,262.04,289.45,388.97,349.58,373.25,388.17,354.43,325.16,343.85,348.04,310.51,325.92,347.31,364.28,340.81,378.77,361.88,339.39,447.62,440.68,418.26,397.77,392.65,398.59,395.95,392.25,396.54,412.09,410.17,310.28,461.82,381.55,484.34,437.38,446.20,459.18,460.98,,454.66,421.74,485.06,485.83,542.24,467.13,506.85,488.14,504.30,457.09,479.60,,,509.59,494.33,470.95,493.38,520.35,,,
1999-09-27 22:04:48.949000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.52,226.27,236.43,235.77,292.19,255.51,298.86,302.05,270.63,282.70,314.50,249.25,248.01,377.21,380.88,381.92,422.04,409.01
1999-10-04 22:11:02.075000,L7,390.11,403.61,397.26,398.32,365.16,389.19,378.34,478.21,459.65,440.40,439.63,510.42,375.25,375.73,395.90,392.40,396.20,396.52,376.69,323.92,384.06,338.42,432.71,454.56,339.58,330.26,367.45,481.37,495.55,463.44,461.87,467.47,471.23,489.79,474.13,467.73,476.01,408.11,407.99,499.24,437.48,419.68,367.76,404.28,387.64,546.52,504.79,502.27,528.58,539.92,549.26,521.40,546.87,512.44,363.13,371.31,357.87,349.24,346.72,366.97,389.06,504.83,495.99,494.84,490.91,460.54,527.87,304.97,326.15,382.56,371.32,336.31,332.73,266.22,458.24,439.41,387.01,401.28,390.55,398.40,379.19,368.45,398.10,402.64,364.39,360.97,316.95,330.74,282.91,290.66,274.58,263.18,321.62,262.16,232.58,221.38,272.14,263.51,261.49,264.13,254.26,241.62,265.70,244.37,242.10,261.55,256.54,439.73,480.84,399.30,480.94,231.83,222.76,240.77,235.30,233.38,216.30,421.89,460.83,409.32,385.48,476.37,525.42,210.77,207.89,220.75,214.90,508.27,480.96,414.59,358.07,454.07,493.60,460.52,508.27,424.69,422.00,545.48,529.57,542.63,541.41,229.90,393.86,414.76,516.11,513.86,180.70,235.65,266.88,198.70,183.70,450.11,488.45,506.57,505.80,524.34,537.98,538.41,319.70,452.29
1999-11-14 22:04:42.286000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.37,214.79,231.61,242.21,269.80,176.49,,257.40,249.58,252.10,270.21,270.79,304.34,303.72,389.04,440.44,436.66,259.02,298.99,287.25,295.81,296.86,270.24,284.04,315.51,304.71,327.00,336.89,296.81,271.42,260.38,322.17,336.12,316.69,275.62,289.58,323.02,313.42,320.75,303.06,288.14,281.18,352.98,307.94,330.49,318.25,316.01,326.12,345.68,343.62,377.55,372.95,366.80,398.11,347.74,343.49,347.00,353.76,331.89,327.00,471.36,316.67,279.73,291.95,370.12,348.64,371.60,408.78,413.80,417.20,439.00,387.08,346.27,424.82,377.51,404.01,396.37,393.94,411.05,446.80,416.10,425.92,389.57,344.97,409.40,410.28,471.19,,505.53,443.57,379.67,419.05,353.99,391.88,496.66,506.21,539.90,504.77,528.78,496.49,494.06,503.70,508.75,493.04,510.04,485.77,558.51,,479.72,522.40,526.01,528.42,521.35,,,,,,,,,,,,,,,,,,
2000-01-01 22:04:37.439000,L7,,,,324.81,339.36,328.08,371.62,471.55,442.94,487.11,534.12,,,,,,557.83,523.37,242.81,,,,,,,,,,,,,,,186.97,194.40,211.73,196.98,227.18,225.11,238.80,220.07,236.58,217.03,233.77,265.10,279.06,259.93,212.19,260.25,273.04,256.14,191.48,,,,275.76,260.44,255.81,304.31,275.52,297.75,285.88,287.15,357.56,332.18,301.32,311.32,277.52,302.49,559.59,495.92,453.32,,,,,,,,,,,396.37,385.69,340.71,336.04,349.35,356.34,347.66,355.18,347.32,354.23,377.85,388.06,383.01,373.25,375.19,388.05,395.15,396.10,381.40,392.33,416.20,369.68,409.52,369.60,392.52,390.18,416.46,407.15,390.40,422.99,408.15,411.59,398.16,365.69,415.97,356.40,376.21,433.71,443.65,256.51,267.30,270.82,269.69,261.05,265.22,284.17,283.15,277.33,506.51,499.99,516.50,526.59,528.84,538.02,523.21,513.50,503.42,498.68,358.04,352.92,348.96,359.26,354.77,355.62,359.31,368.70,376.68,336.99,403.22,427.40,,,,,,,,
2000-01-17 22:04:35.821000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223.56,223.24,217.38,231.17,215.87,302.99,265.10,242.26,244.02,250.43,236.34,233.12,230.51,241.36,188.42,201.13,213.90,228.24,235.09,236.74,237.90,254.01,245.93,251.31,249.22,240.63,238.60,231.42,228.24,240.50,248.04,251.35,201.53,328.37,,289.78,270.09,279.83,242.67,349.59,283.19,287.10,283.96,290.58,299.87,287.07,287.26,290.65,348.00,394.57,277.18,308.93,311.12,311.04,268.63,315.12,322.48,,,,,262.41,254.99,,368.41,365.08,184.68,196.25,193.97,190.88,209.33,214.33,223.38,237.62,237.26,238.13,242.75,243.09,249.87,245.54,325.35,342.56,274.96,272.29,247.32,364.15,270.14,306.04,483.40,490.51,507.26,519.11,545.09,497.19,510.72,482.89,385.95,474.62,476.46,498.62,508.16,523.11,,,
2000-02-18 22:04:29.218000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196.43,184.17,229.54,232.31,,,,,242.71,228.16,277.30,285.46,,,,,309.81,311.22,289.92,302.65,,,,,,,,316.71,299.25,,,,,,,333.50,329.59,279.80,310.71,322.89,240.47,203.85,198.94,183.26,189.29,221.24,256.28,239.36,220.25,256.43,273.74,,,298.45,264.78,267.44,267.96,310.47,278.53,278.39,267.21,314.18,272.63,263.16,279.31,320.18,301.06,282.34,199.06,204.94,215.86,228.05,228.83,231.35,234.92,237.55,240.61,377.02,376.08,392.97,393.35,416.82,475.18,522.29,167.70,283.25,245.82,314.22,327.81,415.54,518.44,389.82,408.47,308.66,192.03,275.54,422.98,443.62,459.46,,210.28,430.92,273.73
2000-03-28 22:10:31.187000,L7,359.80,356.56,354.20,346.79,465.18,478.97,484.74,478.37,460.17,459.61,519.24,508.76,513.62,504.57,323.00,307.48,322.04,341.74,275.94,241.95,258.83,270.71,313.50,239.10,262.10,408.27,263.90,277.88,185.74,204.07,408.91,280.94,437.32,444.67,433.66,299.23,225.33,305.69,257.82,227.76,287.76,281.27,442.55,325.32,342.99,328.49,333.51,339.06,343.67,380.52,458.44,451.31,428.28,409.30,395.16,391.50,420.95,452.69,455.46,421.16,456.60,443.06,459.51,379.78,468.05,465.59,404.40,445.85,510.87,509.91,490.82,523.25,525.52,367.07,366.47,368.07,360.97,388.29,531.15,525.19,531.24,534.54,321.03,351.28,,,,337.14,343.83,393.59,490.18,404.25,486.59,401.49,473.65,470.83,438.70,390.41,297.94,342.72,352.00,316.98,,,279.97,274.73,293.14,298.89,,,,,,,,,,242.77,296.54,,,,260.68,250.82,265.92,359.20,373.70,396.68,413.27,,,,258.69,267.29,263.82,,184.09,191.94,212.26,217.12,219.28,180.95,216.14,,,302.73,300.22,280.08,199.87,178.61,,,316.57,347.89,433.55,209.78,311.19,328.86,327.49,240.48
2000-04-29 22:10:17.743000,L7,520.65,533.30,515.81,517.02,520.60,508.47,489.11,,,,,,,,,,461.65,451.19,430.89,,,408.01,450.88,437.46,392.96,,,,407.76,447.10,444.70,407.85,396.87,379.04,409.65,434.93,469.54,447.68,430.57,434.22,384.35,434.93,403.92,449.26,462.30,,,,,,,,,,439.81,448.62,460.93,460.09,451.55,453.33,,,,,,,,,,,,,,,367.56,390.55,376.91,375.41,380.96,,,,359.99,372.30,399.67,,539.72,,,307.62,335.07,299.91,398.48,463.98,384.39,352.18,378.12,343.37,,342.05,466.68,401.67,317.15,287.15,297.66,283.35,,,,,,387.22,356.12,,,,,,269.65,457.76,,,269.41,270.39,303.53,,,,,490.75,520.30,553.21,,,,,409.85,404.83,261.72,,,,,,,,,,,,434.34,377.36,,,363.35,222.18,,,,482.65
2000-05-24 22:03:46.662000,L7,,,,,,,,,,,,,,,,,,,373.61,312.93,,,,,,,,,,,,,,,,,,299.31,305.06,318.20,367.42,342.74,402.92,,,,,,,,,,,,,,321.84,490.70,491.38,530.09,445.33,476.75,463.31,428.44,421.88,433.01,,,,,,,,,,,,507.24,491.40,250.11,201.30,217.39,206.15,180.54,506.60,296.17,254.44,249.84,212.75,458.37,484.67,505.44,496.85,502.88,272.70,268.49,,,,245.57,255.26,243.13,253.91,244.78,253.24,,,,,,259.02,235.41,211.94,,,,336.74,326.07,189.18,200.31,204.84,202.76,199.95,179.50,216.21,209.66,351.67,346.97,313.54,,386.03,385.58,377.77,374.21,391.30,421.53,405.41,448.83,443.73,393.15,227.91,212.91,218.48,217.80,237.26,245.69,322.74,298.57,291.37,314.12,312.16,379.00,385.86,404.77,432.48,441.38,481.46,535.54,500.28,
