dates,satname,nzd0232-0000,nzd0232-0001,nzd0232-0002,nzd0232-0003,nzd0232-0004,nzd0232-0005,nzd0232-0006,nzd0232-0007,nzd0232-0009,nzd0232-0010,nzd0232-0011,nzd0232-0012,nzd0232-0013,nzd0232-0014,nzd0232-0015,nzd0232-0016,nzd0232-0017,nzd0232-0018,nzd0232-0019,nzd0232-0020,nzd0232-0021,nzd0232-0022,nzd0232-0023,nzd0232-0024,nzd0232-0025,nzd0232-0026,nzd0232-0027,nzd0232-0028,nzd0232-0029,nzd0232-0008
1999-12-25 21:58:52.197000,L7,319.91,321.03,303.02,247.98,232.28,212.56,207.14,207.04,237.67,290.22,295.61,296.70,294.46,288.84,290.46,287.96,285.04,287.73,290.89,281.94,277.24,254.70,280.49,284.08,273.48,280.79,281.03,276.71,280.33,
2000-01-10 21:58:52.465000,L7,466.35,477.47,436.95,435.83,470.25,514.63,521.10,513.90,552.47,489.06,357.53,440.48,431.65,500.96,487.77,423.95,531.42,354.86,483.27,488.52,415.54,482.15,357.44,308.00,377.36,379.89,388.89,383.70,366.76,389.40
2000-02-27 21:58:40.521000,L7,442.74,451.84,,,,218.87,297.32,231.54,222.60,257.49,214.06,232.84,225.31,224.82,435.01,408.03,310.17,264.11,282.30,281.80,297.49,339.51,284.04,273.61,259.62,253.63,244.92,244.97,242.87,
2000-03-14 21:58:35.291000,L7,271.85,274.54,235.88,,,,,,,,,,,,,,,,283.10,258.10,269.92,240.41,282.95,280.00,273.13,277.44,282.96,274.35,287.95,
2000-03-30 21:58:33.541000,L7,509.08,533.51,482.80,504.13,480.67,461.05,440.53,451.37,480.69,476.63,429.72,450.41,502.10,520.14,409.34,545.00,454.92,509.66,506.13,516.27,415.06,433.83,390.27,432.23,434.37,422.29,451.00,423.52,527.65,434.97
2000-05-17 21:58:07.485000,L7,213.40,243.10,267.74,214.43,,,,,,,,,,,,,,,,205.12,274.35,242.77,253.58,261.57,279.16,271.24,279.86,271.62,274.22,
2000-07-04 21:57:38.483000,L7,,,,,,,,,,,,,,,,,,,,,,,193.52,237.87,259.22,234.91,259.37,,,
2000-08-05 21:57:08.715000,L7,210.45,249.09,261.73,219.44,178.52,,,,,,,,,,,532.72,539.38,518.96,493.59,203.95,267.15,241.08,503.79,479.94,467.57,269.38,277.52,502.65,496.85,
2000-11-09 21:56:21.390000,L7,339.32,357.74,535.43,388.22,464.20,502.71,539.03,557.60,403.52,400.41,500.89,506.26,476.34,312.31,380.89,361.52,334.82,420.34,443.17,407.11,260.60,244.75,272.08,286.77,456.01,442.38,432.97,398.54,453.38,346.88
2001-01-12 21:56:30.696000,L7,301.39,287.42,273.11,222.12,195.39,163.63,,,180.72,224.81,253.41,183.72,,,,263.43,270.33,259.69,253.29,205.49,,,,,,,,,,
