dates,satname,nzd0551-0000,nzd0551-0001,nzd0551-0002,nzd0551-0003,nzd0551-0004,nzd0551-0005,nzd0551-0006,nzd0551-0007,nzd0551-0008,nzd0551-0009,nzd0551-0010,nzd0551-0011,nzd0551-0012,nzd0551-0013,nzd0551-0014,nzd0551-0015,nzd0551-0021,nzd0551-0022,nzd0551-0023,nzd0551-0024,nzd0551-0025,nzd0551-0026,nzd0551-0027,nzd0551-0028,nzd0551-0029,nzd0551-0030,nzd0551-0031,nzd0551-0032,nzd0551-0033,nzd0551-0034,nzd0551-0035,nzd0551-0036,nzd0551-0037,nzd0551-0038,nzd0551-0039,nzd0551-0040,nzd0551-0041,nzd0551-0042,nzd0551-0043,nzd0551-0046,nzd0551-0047,nzd0551-0048,nzd0551-0049,nzd0551-0050,nzd0551-0051,nzd0551-0052,nzd0551-0053,nzd0551-0054,nzd0551-0055,nzd0551-0056,nzd0551-0057,nzd0551-0058,nzd0551-0059,nzd0551-0060,nzd0551-0061,nzd0551-0062,nzd0551-0063,nzd0551-0064,nzd0551-0065,nzd0551-0066,nzd0551-0067,nzd0551-0068,nzd0551-0069,nzd0551-0070,nzd0551-0071,nzd0551-0072,nzd0551-0073,nzd0551-0074,nzd0551-0075,nzd0551-0076,nzd0551-0077,nzd0551-0078,nzd0551-0079,nzd0551-0096,nzd0551-0097,nzd0551-0016,nzd0551-0017,nzd0551-0018,nzd0551-0019,nzd0551-0020,nzd0551-0044,nzd0551-0045,nzd0551-0085,nzd0551-0086,nzd0551-0087,nzd0551-0088,nzd0551-0091,nzd0551-0092,nzd0551-0093,nzd0551-0094,nzd0551-0095,nzd0551-0098,nzd0551-0099,nzd0551-0100,nzd0551-0103,nzd0551-0104,nzd0551-0080,nzd0551-0081,nzd0551-0082,nzd0551-0083,nzd0551-0089,nzd0551-0090,nzd0551-0101,nzd0551-0102,nzd0551-0084
1999-08-08 22:19:52.507000,L7,,,,,,,276.67,175.29,280.82,,,,,348.14,193.93,287.64,,463.39,439.75,440.43,432.10,399.70,385.09,373.76,383.93,324.24,387.23,371.49,370.82,336.32,391.15,420.40,364.07,258.65,266.66,377.06,308.48,304.36,405.15,329.49,174.73,305.60,353.58,371.33,386.53,420.26,390.08,403.29,422.20,428.21,409.32,411.93,,,232.77,367.71,359.08,174.94,309.56,272.19,283.82,267.79,449.01,289.94,424.61,424.20,161.60,333.70,333.05,389.72,352.20,428.89,425.07,305.96,336.36,455.77,378.23,260.00,,,303.01,278.92,477.84,280.62,379.79,381.71,188.69,302.91,296.68,213.33,242.68,366.22,348.77,344.62,395.56,385.21,410.66,425.44,427.77,494.21,371.56,241.56,402.10,397.25,483.14
1999-10-04 22:14:13.777000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,513.96,510.92,504.99,512.80,505.31,502.57,517.14,497.89,503.75,495.02,477.82,474.52,469.84,504.40,506.51,506.06,506.60,515.89,523.91,,,,,,,,379.58,415.01,417.81,429.56,,,,,,,,,,,,,,,,,,,,,,,,,469.62,507.43,,,,,221.61,206.96,183.52,,,,,,,486.17,,,,,,243.94,,,
1999-10-27 22:19:51.122000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,521.44,522.85,510.48,511.74,501.91,500.27,496.64,383.35,386.19,394.33,487.36,488.03,485.18,488.01,483.09,479.05,481.77,480.55,514.54,511.09,514.50,473.44,510.36,455.66,446.87,498.20,490.92,486.52,481.48,475.62,,,,,,,,483.79,476.96,457.27,520.72,498.63,486.92,489.79,480.24,477.98,477.55,474.20,470.64,462.13,457.95,482.94,486.28,483.15,485.60,509.32,499.92,477.46,467.50,485.69
1999-11-05 22:13:40.966000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,523.50,518.15,516.99,520.13,509.22,506.16,506.91,504.75,502.25,497.38,491.04,517.62,517.78,,,,,,,,,,,,,,371.58,419.81,423.12,434.43,,,,,,,,,,,,,,,,,,,,,,,,,514.93,,,,,,,,,,,,,,,,,,,,,,,,
1999-12-07 22:13:41.663000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,523.85,519.55,518.70,517.54,509.75,500.87,506.30,497.12,496.94,492.92,485.30,479.44,475.29,487.97,498.13,499.53,507.65,519.58,512.08,514.32,517.92,518.97,517.90,513.53,521.50,520.21,520.12,521.23,525.18,427.57,,,,,,,,,,,,,,,,,,,,,,,,,479.12,484.59,,,,,,,,,,,,,,,,,,,,,,,
1999-12-07 22:14:05.637000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,522.93,518.67,517.83,516.15,508.09,500.17,503.92,495.19,495.52,491.73,484.26,478.53,474.59,486.74,496.45,499.64,506.54,516.93,511.34,513.27,517.18,517.72,515.99,512.84,520.67,519.46,519.83,407.21,400.36,426.25,,,,,,,,,,,,,,,,,,,,,,,,,477.58,483.26,,,,,,,,,,,,,,,,,,,,,,,
2000-04-13 22:13:06.040000,L7,468.32,464.94,455.17,428.55,461.96,483.92,457.75,445.52,454.26,436.50,438.70,468.23,423.07,406.93,411.47,505.97,407.12,280.19,509.54,486.58,488.63,467.83,413.44,369.05,314.84,241.54,267.15,324.66,368.95,393.96,460.57,435.15,444.31,375.79,332.76,344.92,377.38,324.65,189.53,154.82,163.65,180.49,286.57,356.26,443.60,498.65,,,,495.30,372.24,463.92,463.69,517.11,327.24,510.35,475.55,424.93,482.06,468.44,457.00,417.29,492.67,503.65,440.60,457.87,443.52,411.15,402.87,312.35,284.93,223.44,463.29,341.27,305.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-04-13 22:13:30.062000,L7,463.11,466.91,450.17,451.29,470.31,481.47,452.23,445.55,455.23,434.05,438.57,462.35,426.49,404.27,412.79,503.45,418.00,514.52,350.26,484.43,380.80,464.04,412.07,367.28,286.45,242.17,271.69,326.23,368.79,391.79,443.78,432.74,438.64,372.09,343.20,349.66,374.91,321.94,176.33,177.44,184.35,186.56,277.44,352.88,462.60,521.07,502.58,494.99,518.11,493.05,368.47,419.80,408.39,424.94,418.35,403.22,473.90,459.09,388.38,466.58,448.64,454.11,493.03,499.79,441.05,405.57,446.18,405.96,391.17,309.17,283.79,213.94,388.94,344.18,301.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-04-20 22:19:15.385000,L7,,,,,,,,,,,,,,,,,509.54,473.62,465.46,432.84,428.75,396.06,383.38,372.50,290.79,299.81,390.51,324.43,362.37,301.36,323.73,339.51,370.32,337.50,334.21,343.48,303.73,383.41,347.78,390.54,341.79,377.60,454.69,446.96,399.70,393.72,398.19,506.93,503.96,446.20,419.46,423.46,148.63,149.57,219.16,298.89,301.45,301.04,310.09,295.27,307.00,301.66,298.73,296.60,302.64,304.26,305.04,225.14,234.33,227.21,253.03,259.39,190.14,180.38,200.54,,,,,489.67,319.26,385.31,186.44,193.94,233.94,246.17,159.84,158.67,368.77,355.82,361.41,234.56,215.22,218.36,345.15,304.15,204.89,206.04,218.56,207.75,223.98,169.88,235.52,160.67,205.48
2000-05-22 22:18:57.481000,L7,395.96,363.75,219.28,182.05,284.34,275.43,285.76,282.81,275.15,489.11,328.67,369.51,196.50,283.46,279.68,,319.16,280.78,462.67,406.00,416.84,349.27,182.96,376.86,282.20,272.14,280.80,191.01,255.47,209.44,191.00,163.96,203.17,179.73,198.40,191.65,163.14,231.94,255.41,322.94,330.39,297.04,189.20,207.36,323.43,313.57,379.42,437.32,409.53,231.28,292.13,,,265.68,245.85,420.16,421.73,422.75,417.38,396.48,380.62,390.69,418.39,375.09,396.30,409.09,332.79,378.84,216.28,210.90,228.89,196.99,240.14,194.28,226.29,209.27,198.88,239.10,324.40,296.15,281.00,266.29,228.54,287.04,346.92,264.59,232.75,299.26,276.18,230.06,131.33,226.24,340.47,275.51,241.50,296.98,,,,,,,,,
