dates,satname,nzd0202-0000,nzd0202-0001,nzd0202-0002,nzd0202-0003,nzd0202-0004,nzd0202-0005,nzd0202-0006,nzd0202-0007,nzd0202-0008,nzd0202-0009,nzd0202-0010,nzd0202-0011,nzd0202-0014,nzd0202-0015,nzd0202-0016,nzd0202-0012,nzd0202-0013,nzd0202-0017,nzd0202-0018,nzd0202-0019,nzd0202-0020,nzd0202-0021,nzd0202-0022,nzd0202-0023,nzd0202-0024,nzd0202-0025,nzd0202-0026,nzd0202-0027,nzd0202-0028,nzd0202-0029,nzd0202-0030,nzd0202-0031,nzd0202-0032,nzd0202-0033,nzd0202-0034,nzd0202-0035,nzd0202-0036,nzd0202-0037,nzd0202-0038,nzd0202-0039,nzd0202-0040,nzd0202-0041,nzd0202-0042,nzd0202-0043
2000-07-11 22:03:41.691000,L7,187.75,268.58,381.02,389.22,349.05,336.36,351.42,354.10,294.39,319.92,308.94,293.55,235.77,215.27,225.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-01-03 22:02:36.401000,L7,265.23,,,208.79,348.52,381.06,369.69,336.57,323.47,336.78,331.44,342.82,260.00,252.53,236.21,317.56,295.33,235.30,216.95,192.41,,,,,,,,,,,,,,,,,,,,,,,,
2001-02-20 22:02:36.849000,L7,,,,,311.73,346.73,326.04,,,312.59,307.73,311.98,243.24,238.41,229.26,,212.46,214.86,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-03-01 21:56:21.596000,L7,401.17,406.56,406.42,414.30,419.66,415.71,418.21,417.45,416.18,419.85,403.84,399.96,412.04,401.75,396.69,397.47,399.08,393.84,393.78,372.30,362.66,356.50,329.94,327.59,329.34,277.33,300.86,258.91,287.61,311.98,315.00,289.00,326.28,299.10,281.19,239.34,,,,,,,,
2001-03-24 22:02:23.691000,L7,395.58,379.12,348.25,455.55,448.61,434.02,448.08,450.34,459.59,435.10,422.24,415.01,393.71,385.88,386.16,408.84,400.09,371.02,362.86,333.13,323.02,199.10,,456.81,465.58,475.70,487.62,,,,,,,,,,,,,,,,,
2001-09-09 21:54:36.880000,L7,252.27,261.84,264.98,244.64,,,,,223.63,232.61,254.08,261.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-10-11 21:54:09.862000,L7,224.20,,,,252.94,254.26,271.48,292.54,288.64,291.16,303.96,308.47,270.74,241.85,225.41,306.79,280.33,231.68,214.99,226.33,199.63,,,,,,,,,,,,,,,,,,,,,,,
2001-12-21 22:00:53.965000,L7,467.76,465.58,467.34,470.55,459.15,450.82,456.28,451.90,456.35,427.42,422.55,424.63,426.16,420.34,407.07,420.63,428.60,382.59,322.97,284.05,340.95,251.44,309.84,283.11,230.43,,,,260.30,250.84,242.39,226.34,254.73,218.97,177.93,,,,,,,,,
2002-01-22 22:01:04.880000,L7,466.05,466.12,462.42,460.21,440.68,431.90,448.95,417.76,408.27,429.67,418.12,407.97,373.59,318.78,278.71,411.74,392.59,300.69,272.85,259.03,214.02,,,,,,,,,,,,,,,,,,,,,,,
2002-02-16 21:54:54.191000,L7,385.22,389.54,395.63,407.30,413.71,427.75,414.15,403.97,391.30,397.64,392.76,384.35,379.49,378.36,385.51,389.23,388.67,364.60,364.23,353.80,365.40,337.64,317.86,300.71,311.03,234.90,275.39,237.24,254.99,300.72,285.22,267.26,291.03,280.04,257.31,,,,,,,,,
