dates,satname,nzd0369-0000,nzd0369-0001,nzd0369-0002,nzd0369-0003,nzd0369-0004,nzd0369-0005,nzd0369-0006,nzd0369-0007,nzd0369-0008,nzd0369-0009,nzd0369-0010,nzd0369-0080,nzd0369-0081,nzd0369-0082,nzd0369-0083,nzd0369-0084,nzd0369-0085,nzd0369-0086,nzd0369-0087,nzd0369-0088,nzd0369-0089,nzd0369-0090,nzd0369-0091,nzd0369-0092,nzd0369-0093,nzd0369-0094,nzd0369-0095,nzd0369-0096,nzd0369-0097,nzd0369-0098,nzd0369-0099,nzd0369-0100,nzd0369-0101,nzd0369-0102,nzd0369-0103,nzd0369-0104,nzd0369-0105,nzd0369-0106,nzd0369-0107,nzd0369-0108,nzd0369-0109,nzd0369-0110,nzd0369-0111,nzd0369-0112,nzd0369-0113,nzd0369-0114,nzd0369-0115,nzd0369-0116,nzd0369-0117,nzd0369-0118,nzd0369-0119,nzd0369-0120,nzd0369-0121,nzd0369-0122,nzd0369-0123,nzd0369-0124,nzd0369-0125,nzd0369-0126,nzd0369-0127,nzd0369-0128,nzd0369-0129,nzd0369-0130,nzd0369-0131,nzd0369-0132,nzd0369-0133,nzd0369-0134,nzd0369-0135,nzd0369-0136,nzd0369-0137,nzd0369-0138,nzd0369-0139,nzd0369-0140,nzd0369-0141,nzd0369-0142,nzd0369-0143,nzd0369-0144,nzd0369-0011,nzd0369-0012,nzd0369-0013,nzd0369-0014,nzd0369-0015,nzd0369-0016,nzd0369-0017,nzd0369-0018,nzd0369-0019,nzd0369-0020,nzd0369-0021,nzd0369-0022,nzd0369-0023,nzd0369-0024,nzd0369-0025,nzd0369-0026,nzd0369-0027,nzd0369-0028,nzd0369-0029,nzd0369-0030,nzd0369-0031,nzd0369-0032,nzd0369-0033,nzd0369-0034,nzd0369-0035,nzd0369-0036,nzd0369-0037,nzd0369-0038,nzd0369-0039,nzd0369-0040,nzd0369-0041,nzd0369-0042,nzd0369-0043,nzd0369-0044,nzd0369-0045,nzd0369-0046,nzd0369-0047,nzd0369-0048,nzd0369-0049,nzd0369-0050,nzd0369-0051,nzd0369-0052,nzd0369-0053,nzd0369-0054,nzd0369-0055,nzd0369-0056,nzd0369-0057,nzd0369-0058,nzd0369-0059,nzd0369-0060,nzd0369-0061,nzd0369-0062,nzd0369-0063,nzd0369-0064,nzd0369-0065,nzd0369-0066,nzd0369-0067,nzd0369-0068,nzd0369-0069,nzd0369-0070,nzd0369-0071,nzd0369-0072,nzd0369-0073,nzd0369-0074,nzd0369-0075,nzd0369-0076,nzd0369-0077,nzd0369-0078,nzd0369-0079,nzd0369-0145,nzd0369-0146,nzd0369-0147,nzd0369-0148,nzd0369-0149,nzd0369-0150,nzd0369-0151,nzd0369-0152
1999-08-03 22:00:08.482000,L7,,,,,,,529.88,483.16,424.36,512.99,476.06,426.59,403.14,402.58,396.35,388.56,387.31,391.40,396.48,395.90,379.35,378.03,371.74,354.87,351.14,362.21,367.75,340.64,339.50,315.18,218.59,347.93,326.88,311.28,300.84,294.78,286.07,292.05,311.69,356.73,355.80,341.95,328.01,331.97,192.62,,,,,267.39,235.14,220.85,158.53,340.70,334.28,316.48,228.31,170.08,182.74,187.84,198.14,182.83,170.73,159.24,,,,,,,,,,,,,438.74,216.00,167.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,455.51,454.32,430.69,507.92,,,,,,,,,,420.25,425.76,521.05,519.53,493.04,403.59,381.99,361.98,414.96,451.88,476.40,311.04,474.14,474.55,455.42,163.64,320.09,,,,,,,,,
1999-09-04 22:00:09.953000,L7,,,,,,,,485.40,422.66,364.32,319.22,438.51,432.29,419.34,406.12,398.96,389.90,382.62,408.47,407.30,393.72,379.44,367.10,349.79,347.60,360.13,376.10,349.73,347.98,389.98,383.05,347.16,318.76,311.75,300.77,297.81,289.21,296.43,334.66,367.32,372.13,360.75,353.45,349.97,320.35,321.43,312.17,300.58,231.19,290.63,290.02,285.60,270.75,271.82,253.22,229.85,239.47,207.56,209.58,206.16,194.89,193.69,176.00,172.81,160.20,157.52,157.70,,,,,,,,,,273.82,215.05,156.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,503.44,469.36,420.11,451.09,461.60,469.64,480.26,167.45,285.58,371.85,475.82,467.17,462.62,452.64,,,,,,,,
1999-09-20 22:00:08.403000,L7,,,,,,526.48,503.66,447.17,390.95,330.71,291.22,,508.90,493.59,490.52,467.24,450.59,462.59,486.57,480.25,470.07,457.72,451.69,415.43,385.03,387.97,401.69,474.10,522.53,,,,,437.63,350.15,333.50,327.42,328.37,372.76,409.31,443.53,463.77,464.06,455.38,425.01,444.28,409.48,329.72,353.24,343.81,411.71,400.79,437.42,354.89,502.75,312.76,440.17,436.25,407.03,262.96,254.48,243.13,236.42,229.09,386.80,348.23,310.36,241.52,238.27,218.74,206.81,185.51,173.75,166.98,177.78,216.21,245.59,186.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-10-22 22:00:04.598000,L7,,481.55,440.84,368.78,472.94,478.44,417.43,366.98,339.85,263.95,237.18,469.65,463.81,461.88,452.47,448.84,434.65,428.43,454.51,451.21,434.27,431.83,416.36,398.73,400.17,408.16,421.15,401.35,495.91,500.50,456.79,415.16,378.53,357.59,346.41,343.76,344.04,364.39,406.73,420.89,416.99,412.36,406.73,417.18,425.12,396.74,389.75,380.38,377.71,365.80,383.53,368.05,365.13,341.03,345.15,337.31,319.07,306.97,322.63,304.58,293.02,282.74,251.02,255.10,244.72,235.55,226.11,219.09,203.73,207.00,195.37,185.64,182.01,180.42,171.95,,175.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,523.54,513.11,513.42,509.07,513.72,504.75,501.06,496.86,481.99,,,,,,,,
1999-12-09 22:00:09.551000,L7,,,,,,524.64,483.29,440.02,381.66,324.49,284.34,514.11,488.83,476.29,482.14,479.14,456.50,460.41,482.93,474.17,463.72,459.73,434.58,405.25,384.97,397.24,410.99,391.91,404.01,428.09,423.69,403.00,381.41,347.34,334.72,336.88,336.68,359.44,390.94,409.39,409.26,400.51,392.34,395.08,395.61,381.54,369.13,368.99,362.64,362.46,385.48,387.04,372.27,362.82,351.30,339.83,328.83,314.88,303.39,291.84,289.88,278.27,270.29,264.60,252.15,248.26,230.83,224.21,214.55,224.44,200.96,205.26,198.17,201.27,186.25,163.98,237.90,164.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,524.36,,,,,,,,
1999-12-25 22:00:04.067000,L7,,,,,,,528.19,480.74,430.47,366.56,320.80,454.36,431.60,416.33,402.91,399.81,393.15,394.78,409.87,423.89,391.83,385.02,372.17,352.97,347.56,362.44,378.95,354.71,350.48,446.32,410.62,359.38,326.17,312.35,299.63,298.32,287.42,286.23,318.92,365.60,383.00,373.97,408.85,365.43,352.83,339.40,322.98,328.82,315.18,316.30,295.71,283.67,271.09,291.26,246.10,225.03,236.33,203.71,206.69,208.99,214.53,202.52,181.67,175.48,178.61,228.08,218.97,,,,,,,,,,270.78,218.38,155.78,441.72,476.73,456.99,458.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,504.63,474.16,418.12,459.04,457.46,473.64,478.74,475.83,470.81,490.37,362.53,468.88,461.81,445.93,,,,,,,,
2000-01-26 22:00:02.226000,L7,,,,,,,,495.08,444.41,365.72,322.63,453.09,443.25,434.08,422.05,412.22,396.84,393.03,413.94,416.96,406.46,390.41,370.83,353.57,347.52,361.43,373.83,351.71,353.01,392.63,382.10,348.98,316.92,302.59,291.81,295.61,284.03,308.14,331.68,362.10,378.91,364.09,355.94,356.19,361.82,339.66,320.14,295.48,301.45,287.22,293.64,284.18,268.94,288.91,274.78,226.01,265.21,247.17,231.76,215.14,214.15,202.63,191.13,173.13,166.68,171.31,157.02,182.44,196.55,,,,,,,,277.34,235.98,167.74,348.11,342.94,385.12,370.75,364.74,364.33,441.63,433.83,486.73,255.72,311.94,332.11,330.54,335.68,,174.12,379.59,378.64,,,,,457.47,500.06,515.21,458.36,471.47,,,,,203.11,255.13,491.79,526.44,501.58,439.91,481.05,465.61,484.51,,,,,,,,,,,,,483.48,450.49,412.13,451.09,456.68,230.15,207.31,499.09,491.29,498.15,490.92,487.48,472.58,465.44,,,,,,,,
2000-02-11 21:59:57.866000,L7,,,,,,,534.29,483.00,442.87,364.76,322.17,444.17,429.59,416.82,401.10,394.84,380.36,386.07,411.81,413.20,395.57,382.94,365.51,346.33,342.45,355.44,379.61,351.51,345.63,396.91,384.62,344.62,313.28,306.16,293.13,290.55,284.79,302.00,328.26,365.93,362.99,358.72,355.66,354.47,346.31,324.18,312.53,308.87,291.48,298.40,296.71,283.14,269.44,269.62,250.77,226.94,242.16,202.17,213.58,210.55,203.82,198.54,172.98,168.76,157.99,,,,,,,,,,,,273.07,232.97,162.16,454.54,474.03,461.86,455.51,404.98,392.08,,,194.84,248.31,300.03,296.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,504.22,453.50,425.40,449.28,455.40,466.74,472.86,474.32,468.52,483.10,471.90,470.16,457.91,449.38,,,,,,,,
2000-02-27 21:59:52.393000,L7,,,,,,,520.31,479.53,432.31,361.87,319.94,456.60,445.05,426.37,414.98,401.34,397.91,402.21,265.37,264.93,413.48,401.83,374.76,351.36,348.00,360.12,382.51,353.69,352.80,395.44,390.51,353.83,325.00,316.33,304.41,303.52,294.70,308.46,334.99,371.45,369.62,363.01,361.14,356.72,349.96,335.13,324.29,321.11,311.05,309.17,312.47,297.12,282.85,292.49,263.51,271.64,254.84,234.19,223.63,222.60,214.13,208.11,190.77,187.84,182.05,170.26,171.24,155.00,,,,,,,,,275.93,232.13,454.51,462.81,480.82,459.57,454.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,511.94,493.87,459.79,489.53,479.40,487.72,484.04,483.92,488.24,495.41,481.50,477.40,463.05,452.62,,,,,,,,
2000-03-14 21:59:47.162000,L7,,,,,,,,,,,489.01,,280.84,374.12,337.11,370.00,172.94,276.07,311.94,308.60,292.34,153.07,273.13,237.17,179.20,352.96,367.12,333.15,331.08,300.92,305.65,321.78,309.76,304.96,289.19,286.18,267.36,267.06,293.27,333.20,338.73,325.48,364.48,337.91,,,,,,,,,,240.33,225.02,342.30,350.78,403.66,224.09,202.23,197.84,193.63,175.45,166.96,501.46,,,,,208.89,192.95,177.10,,,,,474.97,394.31,398.91,372.69,368.50,323.73,333.27,306.10,302.22,255.15,245.75,267.76,280.01,228.37,,,,,145.89,360.77,,438.37,433.81,438.40,487.90,453.80,510.67,524.57,499.43,503.70,457.38,440.10,,,,475.36,488.32,277.96,389.17,392.38,422.40,431.01,477.97,286.73,342.95,378.32,370.88,531.62,241.49,483.99,415.52,235.73,252.88,293.02,450.18,441.33,402.67,339.08,273.71,299.29,352.28,437.47,360.36,435.49,441.47,442.38,478.47,479.54,462.75,,,,,,,,
