dates,satname,nzd0088-0000,nzd0088-0001,nzd0088-0002,nzd0088-0003
1999-09-27 22:04:48.949000,L7,385.16,383.70,389.09,381.00
1999-11-14 22:04:42.286000,L7,353.34,345.46,345.29,355.29
2000-01-17 22:04:35.821000,L7,319.98,291.58,309.46,313.25
2000-08-12 22:02:54.094000,L7,285.17,204.59,,256.94
2000-10-15 22:01:56.204000,L7,344.77,332.38,332.66,340.71
2001-01-03 22:02:12.432000,L7,301.83,266.02,276.15,294.81
2001-02-04 22:02:14.384000,L7,341.22,330.56,322.18,315.35
2001-03-24 22:01:59.719000,L7,310.63,264.74,191.53,
2001-08-15 22:00:38.680000,L7,348.48,322.05,346.20,330.81
2001-10-02 22:00:04.650000,L7,322.86,304.51,316.75,319.34
2001-12-05 22:00:18.987000,L7,312.52,281.70,,
2002-01-22 22:00:40.906000,L7,312.57,294.40,301.54,265.51
2002-02-23 22:00:43.620000,L7,324.21,295.33,314.74,307.57
2002-04-28 22:00:38.357000,L7,322.54,263.27,198.85,256.63
2002-07-01 22:00:15.186000,L7,336.48,300.80,333.18,333.76
2002-07-17 22:00:08.747000,L7,253.54,218.95,278.78,
2002-08-18 21:59:57.690000,L7,347.39,317.77,340.04,341.68
2002-11-06 21:59:41.879000,L7,324.17,297.68,290.14,301.13
2003-01-25 22:00:18.779000,L7,388.27,352.65,409.64,418.99
2003-07-28 21:48:28.960000,L5,,,269.21,280.58
2003-09-14 21:49:18.766000,L5,346.00,319.22,322.48,322.02
2004-07-30 21:54:28.143000,L5,310.65,277.33,291.42,293.58
2004-09-16 21:55:41.721000,L5,312.31,279.39,262.72,281.18
2004-11-19 21:56:55.269000,L5,301.87,285.01,282.14,281.35
2005-02-23 21:58:31.621000,L5,315.23,278.43,290.99,292.94
2005-03-11 21:58:44.158000,L5,345.98,323.48,327.39,334.01
2005-03-27 21:58:51.619000,L5,302.93,285.07,301.77,268.12
2005-05-30 21:59:15.499000,L5,339.79,317.45,323.00,321.71
2005-07-17 21:59:35.576000,L5,,,269.62,272.77
2006-04-15 22:03:30.798000,L5,298.93,265.86,276.56,283.59
2006-05-17 22:03:57.969000,L5,299.89,254.99,277.15,282.93
2006-07-04 22:04:41.660000,L5,341.93,325.16,329.76,325.71
2006-11-25 22:06:19.953000,L5,283.15,259.35,277.83,287.04
2008-10-29 21:55:24.451000,L5,320.18,294.99,305.44,308.75
2009-01-01 21:56:31.615000,L5,330.14,304.26,317.12,295.49
2009-02-02 21:57:22.411000,L5,302.99,260.71,276.42,282.15
2011-01-07 22:01:44.406000,L5,296.40,262.70,278.87,282.60
2011-03-12 22:01:43.554000,L5,323.27,294.32,303.60,307.84
2011-09-04 22:00:27.603000,L5,325.37,292.78,308.30,308.64
2013-05-20 22:13:50.559000,L8,319.59,293.92,316.47,315.48
2013-06-05 22:13:51.261000,L8,296.27,261.30,285.49,282.94
2013-06-21 22:13:43.313000,L8,301.67,263.67,300.42,301.68
2013-09-25 22:13:41.239000,L8,290.34,261.72,279.98,260.29
2013-10-11 22:13:41.596000,L8,324.39,307.69,316.02,318.89
2013-10-27 22:13:31.854000,L8,306.71,278.13,295.68,299.93
2013-11-12 22:13:32.202000,L8,339.71,319.74,349.22,317.54
2013-11-28 22:13:25.971000,L8,324.28,293.94,307.31,310.71
2013-12-14 22:13:21.591000,L8,297.51,259.37,284.88,290.71
2013-12-30 22:13:13.343000,L8,326.83,294.88,313.25,312.58
2014-01-31 22:12:52.806000,L8,301.54,259.28,283.64,288.52
2014-02-16 22:12:38.819000,L8,300.92,261.57,286.03,289.33
2014-04-05 22:11:58.702000,L8,297.46,259.58,282.05,288.46
2014-05-23 22:11:18.694000,L8,319.63,283.57,313.71,313.53
2014-10-14 22:12:02.705000,L8,329.71,306.52,318.68,324.72
2014-10-30 22:11:58.859000,L8,317.19,291.90,305.41,306.63
2014-12-01 22:12:00.318000,L8,314.62,287.41,304.22,305.48
2015-03-07 22:11:30.209000,L8,314.29,273.48,301.44,304.70
2015-04-24 22:11:08.401000,L8,259.71,258.78,281.60,272.48
2015-05-10 22:10:52.487000,L8,304.00,271.31,300.87,301.05
2015-06-27 22:11:10.298000,L8,307.09,271.77,300.48,303.85
2015-07-29 22:11:25.856000,L8,299.43,262.64,297.97,298.83
2015-08-14 22:11:31.426000,L8,182.37,259.79,294.55,296.16
2015-12-20 22:11:57.501000,L8,325.19,297.68,312.79,315.22
2016-02-22 22:11:42.580000,L8,314.13,283.57,300.16,302.99
2016-03-09 22:11:40.902000,L8,327.82,296.32,320.20,318.83
2016-03-25 22:11:32.353000,L8,304.62,262.25,291.55,290.80
2016-04-26 22:11:21.230000,L8,308.98,276.92,299.11,301.34
2016-05-12 22:11:20.683000,L8,309.70,277.00,300.55,304.17
2016-06-13 22:11:30.674000,L8,305.09,268.22,301.52,302.19
2016-07-15 22:11:46.335000,L8,306.07,264.98,301.28,301.08
2016-08-16 22:11:53.694000,L8,303.90,267.32,297.61,299.09
2016-11-04 22:12:09.415000,L8,303.85,273.68,290.98,238.64
2016-11-20 22:12:09.409000,L8,353.65,311.37,321.30,329.11
2016-12-22 22:12:03.110000,L8,296.90,257.26,283.95,283.79
2017-07-18 22:11:40.412000,L8,297.53,,284.04,292.57
2017-08-19 22:11:53.133000,L8,307.70,273.89,299.08,300.24
2017-09-04 22:11:55.578000,L8,353.21,319.51,330.47,329.62
2018-01-10 22:11:54.118000,L8,295.56,258.20,284.77,283.79
2018-01-26 22:11:45.215000,L8,299.97,267.70,292.67,291.78
2018-07-05 22:10:54.795000,L8,309.71,266.08,300.72,304.29
2018-08-06 22:11:10.291000,L8,302.63,257.47,291.47,290.87
2018-09-07 22:11:24.397000,L8,535.54,355.29,358.03,358.49
2019-03-02 22:11:29.304000,L8,296.17,227.01,,
2019-05-21 22:11:27.314000,L8,308.43,275.45,303.10,302.93
2019-06-22 22:11:40.996000,L8,300.19,261.00,294.47,296.35
2019-07-08 22:11:44.725000,L8,309.79,274.00,303.52,304.25
2019-07-24 22:11:48.987000,L8,297.41,261.98,290.88,294.66
2019-08-09 22:11:55.358000,L8,322.86,290.32,317.23,315.78
2020-02-01 22:11:53.781000,L8,332.61,311.98,321.31,320.04
2020-04-21 22:11:21.823000,L8,354.05,336.04,341.55,344.96
2020-05-07 22:11:12.613000,L8,338.38,303.07,325.68,328.47
2020-07-10 22:11:39.723000,L8,310.85,277.19,304.60,303.72
2020-07-26 22:11:44.648000,L8,295.51,270.58,296.87,297.07
2020-08-27 22:11:56.368000,L8,322.06,299.51,316.47,313.95
2020-12-17 22:12:09.375000,L8,355.10,328.83,360.83,369.02
2021-02-03 22:11:56.237000,L8,310.07,276.83,299.81,300.45
2021-02-19 22:11:51.945000,L8,349.93,339.77,337.43,333.10
2021-04-24 22:11:25.382000,L8,,,310.46,307.95
2021-05-26 22:11:31.065000,L8,306.16,265.75,295.07,299.88
2021-06-11 22:11:38.046000,L8,300.33,260.50,294.26,294.30
2021-07-13 22:11:43.513000,L8,301.09,268.28,297.54,296.36
2021-10-01 22:12:10.732000,L8,317.62,299.95,314.52,313.73
2021-10-17 22:12:14.625000,L8,332.08,299.08,316.69,313.92
2021-11-06 22:12:48.299000,L9,360.69,353.19,350.46,342.29
2021-11-18 22:12:08.776000,L8,344.87,303.74,323.95,330.87
2022-01-13 22:12:02.740000,L9,291.76,250.29,278.80,276.10
2022-01-21 22:11:59.917000,L8,,,279.57,275.65
2022-01-29 22:12:05.530000,L9,313.18,273.79,297.98,300.68
2022-02-22 22:11:50.626000,L8,300.56,264.51,287.57,290.79
2022-05-05 22:11:31.114000,L9,252.12,261.03,288.47,296.81
2022-05-21 22:11:19.594000,L9,311.78,274.01,298.48,298.40
2022-06-14 22:11:59.156000,L8,301.23,261.94,293.90,297.31
2022-07-08 22:11:39.226000,L9,295.98,258.31,287.11,296.59
2022-07-16 22:12:03.012000,L8,311.27,275.25,304.18,305.53
2022-08-09 22:11:58.475000,L9,306.64,267.51,298.83,298.97
2023-02-09 22:12:09.040000,L8,338.71,298.13,318.88,317.94
2023-03-05 22:12:01.427000,L9,307.83,267.38,288.64,296.63
2023-03-13 22:11:47.152000,L8,349.58,310.43,330.29,326.72
2023-03-21 22:11:55.188000,L9,322.40,292.60,315.07,314.46
2023-03-29 22:11:37.049000,L8,346.32,316.38,334.28,342.05
2023-05-16 22:11:04.371000,L8,321.10,280.94,312.90,310.99
2023-05-24 22:11:17.213000,L9,300.80,223.81,278.93,276.67
2023-06-09 22:11:12.914000,L9,294.05,215.38,281.56,280.97
2023-06-17 22:11:17.056000,L8,304.81,261.59,301.01,302.93
2023-07-11 22:11:24.365000,L9,313.36,270.45,307.43,306.24
2023-07-27 22:11:26.959000,L9,309.65,266.31,301.70,303.60
2023-08-20 22:11:47.546000,L8,497.85,404.77,557.14,367.96
2023-08-28 22:11:44.258000,L9,327.49,291.04,319.46,318.98
2023-09-05 22:11:46.771000,L8,,,283.36,280.30
2023-10-15 22:12:03.081000,L9,332.19,293.27,313.83,309.79
2023-11-24 22:12:03.999000,L8,506.43,334.07,338.16,345.54
2024-01-11 22:11:56.446000,L8,303.14,269.04,293.07,282.23
2024-02-04 22:12:07.739000,L9,322.70,292.95,312.62,314.53
2024-02-12 22:11:54.234000,L8,298.46,263.29,287.10,294.43
2024-02-28 22:11:48.270000,L8,309.75,277.18,300.88,303.03
2024-04-16 22:11:19.307000,L8,342.14,303.31,328.56,332.02
2024-05-02 22:11:08.519000,L8,303.42,258.57,294.11,296.88
2024-05-10 22:11:24.784000,L9,305.66,264.04,298.45,301.98
2024-05-18 22:10:55.940000,L8,309.61,266.31,298.85,301.14
2024-05-26 22:11:12.218000,L9,310.33,267.57,302.12,303.75
