dates,satname,nzd0001-0000,nzd0001-0001,nzd0001-0002,nzd0001-0003,nzd0001-0004,nzd0001-0005,nzd0001-0006,nzd0001-0010,nzd0001-0011,nzd0001-0012,nzd0001-0013,nzd0001-0014,nzd0001-0015,nzd0001-0016,nzd0001-0022,nzd0001-0023,nzd0001-0024,nzd0001-0007,nzd0001-0008,nzd0001-0009,nzd0001-0017,nzd0001-0018,nzd0001-0019,nzd0001-0020,nzd0001-0021,nzd0001-0025,nzd0001-0026,nzd0001-0027,nzd0001-0028,nzd0001-0029,nzd0001-0030,nzd0001-0031,nzd0001-0032
1999-08-17 22:10:26.276000,L7,459.88,457.80,450.89,433.61,411.57,421.82,417.54,422.52,410.03,384.93,381.59,381.40,382.41,389.00,416.01,389.77,367.35,,,,,,,,,,,,,,,,
1999-10-04 22:10:38.131000,L7,434.73,431.81,235.23,217.23,258.46,270.23,291.39,440.17,454.96,498.98,481.30,488.23,509.58,424.80,277.92,262.47,260.40,310.88,254.02,275.63,428.66,462.78,468.69,491.55,521.24,248.22,256.98,276.92,281.38,278.90,394.03,505.08,363.70
2000-02-09 22:10:19.398000,L7,429.33,399.11,414.06,400.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376.91
2000-08-03 22:08:44.137000,L7,375.99,375.34,396.73,399.04,402.24,410.55,416.67,373.23,,,,,,,,,,424.78,418.13,404.09,,,,,,,,,,,,,
2000-09-04 22:08:22.800000,L7,396.69,402.50,404.87,403.49,402.53,,,,,,483.07,477.10,461.58,481.84,,,,,,,476.40,,,,,,,,,,,,
2000-10-06 22:07:59.689000,L7,386.31,396.79,428.48,448.26,388.69,435.10,438.03,459.15,434.21,420.14,430.65,442.50,450.62,424.35,463.91,463.05,445.16,,,450.25,431.02,437.32,429.90,487.13,468.84,445.56,427.86,456.75,428.61,488.90,464.65,467.01,
2001-11-26 22:06:09.518000,L7,399.17,428.75,438.41,372.20,429.80,419.80,446.93,424.29,421.10,402.87,406.72,383.37,,,261.47,262.88,256.00,408.79,488.17,435.53,,,,377.19,376.60,248.74,253.07,268.95,262.80,247.54,300.79,320.97,261.49
2001-12-28 22:06:14.106000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,475.82,464.63,,,
2002-01-29 22:06:21.478000,L7,429.82,409.11,385.41,388.38,265.76,275.34,297.29,210.85,366.28,395.26,362.36,368.62,388.03,355.45,347.03,357.29,342.39,316.16,248.31,286.54,340.10,360.76,357.98,341.55,364.86,375.17,390.09,272.03,333.28,342.96,352.36,343.70,352.17
2002-02-14 22:06:29.522000,L7,397.01,378.63,388.91,389.59,403.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-03-18 22:06:22.131000,L7,,399.43,400.44,436.39,464.24,466.66,481.07,,,407.48,430.04,,,,,,,,,,,,,,,,,,,,,,
