dates,satname,nzd0392-0000,nzd0392-0001,nzd0392-0002,nzd0392-0003,nzd0392-0004,nzd0392-0005,nzd0392-0006,nzd0392-0007,nzd0392-0008,nzd0392-0009,nzd0392-0010,nzd0392-0011,nzd0392-0012,nzd0392-0013,nzd0392-0014,nzd0392-0015,nzd0392-0016,nzd0392-0017,nzd0392-0022,nzd0392-0023,nzd0392-0024,nzd0392-0025,nzd0392-0026,nzd0392-0027,nzd0392-0028,nzd0392-0029,nzd0392-0030,nzd0392-0031,nzd0392-0032,nzd0392-0033,nzd0392-0034,nzd0392-0035,nzd0392-0036,nzd0392-0037,nzd0392-0038,nzd0392-0039,nzd0392-0040,nzd0392-0041,nzd0392-0042,nzd0392-0043,nzd0392-0044,nzd0392-0045,nzd0392-0046,nzd0392-0047,nzd0392-0048,nzd0392-0049,nzd0392-0050,nzd0392-0051,nzd0392-0052,nzd0392-0053,nzd0392-0054,nzd0392-0055,nzd0392-0056,nzd0392-0057,nzd0392-0058,nzd0392-0059,nzd0392-0060,nzd0392-0061,nzd0392-0062,nzd0392-0063,nzd0392-0064,nzd0392-0071,nzd0392-0072,nzd0392-0073,nzd0392-0074,nzd0392-0075,nzd0392-0018,nzd0392-0019,nzd0392-0020,nzd0392-0021,nzd0392-0065,nzd0392-0066,nzd0392-0067,nzd0392-0068,nzd0392-0069,nzd0392-0070
1999-08-26 22:06:44.761000,L7,,,,,,,,,,212.34,237.88,238.91,,,,,,,231.85,266.73,255.94,253.89,254.05,261.87,262.47,266.76,276.90,320.76,328.02,330.16,249.02,244.54,258.00,355.34,341.30,342.03,342.57,342.93,345.40,302.50,207.06,334.36,351.07,345.74,188.38,242.71,241.94,207.13,221.73,234.11,232.48,223.49,210.88,227.29,219.85,228.54,226.91,257.21,230.61,224.32,,,,,,,,,,,,300.65,300.64,302.10,306.96,310.25
1999-12-07 22:12:29.825000,L7,,,,,,,,,184.89,227.45,247.89,,,,,,,,228.33,269.36,333.13,315.07,317.79,324.03,267.97,236.11,268.75,167.57,223.84,,,231.73,352.23,338.48,317.24,355.84,319.47,313.12,307.86,284.44,353.37,352.67,352.64,352.00,299.97,320.41,235.04,172.72,224.56,176.33,205.42,212.76,208.18,215.49,216.88,215.45,217.56,212.37,259.42,242.15,229.93,321.63,317.27,322.25,326.68,330.63,198.97,230.96,255.15,218.42,248.95,248.53,253.10,259.48,273.39,281.57
2000-01-17 22:06:35.665000,L7,,,,,,,,,,255.63,288.95,299.39,,,,,,,214.58,262.66,265.71,272.42,276.54,279.51,282.65,194.86,213.59,281.65,212.05,212.05,360.88,223.18,199.51,229.47,227.28,218.18,181.59,302.51,297.95,305.21,,,,,,,,,,,,,206.48,191.77,206.06,209.06,207.38,212.65,235.11,218.51,223.82,286.03,283.91,293.09,303.03,305.90,,,,,246.88,246.56,248.60,250.99,276.54,282.96
2000-03-21 22:06:25.053000,L7,,189.43,209.29,256.77,199.71,234.46,,267.20,282.58,271.49,284.53,278.67,254.62,261.28,268.79,258.71,166.66,,216.46,269.71,260.75,282.45,271.88,278.01,282.30,280.78,285.83,279.96,284.74,307.45,319.17,225.60,245.35,235.71,217.61,206.59,182.37,310.00,302.60,306.47,347.02,337.10,330.23,353.22,335.72,355.71,358.28,355.95,359.88,,,208.29,350.08,333.88,320.42,317.19,320.15,302.41,303.19,301.76,297.98,191.80,300.03,321.62,316.56,328.13,,,,213.97,251.51,219.61,,,,
2000-08-03 22:10:43.917000,L7,223.27,246.03,229.39,239.62,281.18,277.60,225.88,221.40,284.51,282.89,287.93,288.82,267.19,255.75,275.75,279.85,252.96,211.07,269.95,277.34,274.75,279.57,278.65,276.91,272.43,280.93,284.26,287.92,289.44,308.90,316.43,235.53,307.96,312.77,316.94,374.60,376.95,389.39,363.18,363.04,332.09,360.11,363.36,319.03,310.36,310.94,310.41,268.78,266.72,273.06,236.27,288.95,296.40,232.97,249.11,255.95,243.11,269.40,251.61,260.82,234.84,168.42,192.66,230.47,248.52,228.94,,,,,,,,,,
2000-08-19 22:10:38.028000,L7,,245.44,252.49,259.05,272.80,267.74,292.89,285.32,285.79,287.44,288.65,257.15,275.11,275.80,273.66,266.86,226.45,,277.06,217.38,191.82,224.63,209.83,275.86,275.16,285.75,288.09,292.32,294.22,306.13,313.64,313.36,311.13,358.12,319.55,318.85,315.09,300.37,303.96,297.99,308.61,314.23,319.40,318.24,308.21,303.60,305.32,277.80,269.10,267.04,238.42,266.84,284.73,235.53,241.17,255.71,245.68,266.96,260.37,260.38,231.22,163.80,192.94,232.44,247.49,232.31,,,,,,,,,,
2001-01-10 22:10:03.706000,L7,,,,,239.73,206.53,203.31,,,,,,,,,,,,222.48,234.92,,,,250.41,252.22,236.82,255.85,229.29,230.14,219.82,289.47,285.70,282.03,302.38,299.21,299.93,297.58,,237.84,307.01,299.93,303.67,302.22,233.77,222.72,263.89,212.58,219.66,257.94,217.20,233.29,245.94,,233.05,232.36,239.47,232.70,250.02,247.07,241.76,215.89,,197.05,233.12,234.34,245.86,,236.70,241.12,212.02,223.07,,,,,
2001-03-31 22:09:43.621000,L7,,,,,,224.19,198.42,209.25,285.52,288.63,288.79,292.19,287.86,253.51,266.33,266.56,243.26,213.67,238.20,271.55,270.46,278.44,276.57,278.67,281.92,274.07,286.92,289.54,290.68,303.55,313.87,305.04,313.07,320.31,313.73,316.01,305.27,309.03,301.15,308.91,285.87,310.28,300.32,308.68,282.28,312.60,257.88,229.53,271.41,270.19,222.22,231.89,281.38,233.50,222.99,242.74,236.66,255.76,266.49,251.57,234.79,200.40,215.63,244.26,261.11,257.20,212.22,227.19,265.65,230.68,255.68,249.32,244.47,257.21,262.46,153.83
2001-05-27 22:03:36.284000,L7,,,,,,230.80,197.91,230.03,245.78,,,,,,,,,,,,,,,253.17,255.44,222.78,272.08,236.13,285.67,231.82,234.08,224.51,227.59,238.30,238.10,228.22,,,204.36,287.59,237.54,241.97,238.73,265.60,265.10,254.15,215.53,235.01,214.56,222.93,222.60,223.69,184.38,227.94,215.05,222.33,218.37,218.30,216.21,229.08,,,,,,,,,,,,,,,,
2001-07-05 22:08:57.615000,L7,,,,,173.71,267.88,202.48,173.28,282.67,278.40,283.69,277.55,265.83,269.63,182.73,250.80,250.31,255.89,335.99,334.00,309.44,327.17,321.28,324.79,314.37,322.02,316.25,325.26,333.02,340.44,349.06,353.66,347.75,325.26,320.78,327.62,343.28,304.10,346.97,348.10,322.70,345.28,346.58,350.97,348.49,298.37,309.01,226.31,260.53,237.64,249.17,241.10,280.76,242.75,232.18,248.36,232.53,236.07,248.32,243.91,,,,,,,,,,344.61,,,,,,
