dates,satname,nzd0351-0000,nzd0351-0001,nzd0351-0002,nzd0351-0003,nzd0351-0004,nzd0351-0005,nzd0351-0006,nzd0351-0007,nzd0351-0008,nzd0351-0009,nzd0351-0010,nzd0351-0011,nzd0351-0012,nzd0351-0013,nzd0351-0014,nzd0351-0015,nzd0351-0016,nzd0351-0017,nzd0351-0018,nzd0351-0019,nzd0351-0020,nzd0351-0021,nzd0351-0022,nzd0351-0023,nzd0351-0024,nzd0351-0025,nzd0351-0026,nzd0351-0027,nzd0351-0028,nzd0351-0029,nzd0351-0030,nzd0351-0031,nzd0351-0032,nzd0351-0033,nzd0351-0034,nzd0351-0035,nzd0351-0036,nzd0351-0037,nzd0351-0038,nzd0351-0039,nzd0351-0040,nzd0351-0041,nzd0351-0042,nzd0351-0043,nzd0351-0044,nzd0351-0045,nzd0351-0046,nzd0351-0047,nzd0351-0048,nzd0351-0049,nzd0351-0050,nzd0351-0051,nzd0351-0052,nzd0351-0053,nzd0351-0054,nzd0351-0055,nzd0351-0056,nzd0351-0057,nzd0351-0058,nzd0351-0059,nzd0351-0060,nzd0351-0061,nzd0351-0062,nzd0351-0063,nzd0351-0064,nzd0351-0065,nzd0351-0066,nzd0351-0067,nzd0351-0068,nzd0351-0069,nzd0351-0070,nzd0351-0071,nzd0351-0072,nzd0351-0073,nzd0351-0074,nzd0351-0075,nzd0351-0076,nzd0351-0077,nzd0351-0078,nzd0351-0079,nzd0351-0080,nzd0351-0081,nzd0351-0082,nzd0351-0083,nzd0351-0084,nzd0351-0085,nzd0351-0086,nzd0351-0087,nzd0351-0088,nzd0351-0089,nzd0351-0090,nzd0351-0091,nzd0351-0092,nzd0351-0093,nzd0351-0094,nzd0351-0095,nzd0351-0096,nzd0351-0097,nzd0351-0098,nzd0351-0099,nzd0351-0100,nzd0351-0101,nzd0351-0102,nzd0351-0103,nzd0351-0104,nzd0351-0105,nzd0351-0106,nzd0351-0107,nzd0351-0108,nzd0351-0109,nzd0351-0110,nzd0351-0111,nzd0351-0112,nzd0351-0113,nzd0351-0114,nzd0351-0115,nzd0351-0116,nzd0351-0117,nzd0351-0118,nzd0351-0119,nzd0351-0120,nzd0351-0121,nzd0351-0122,nzd0351-0123,nzd0351-0124,nzd0351-0125,nzd0351-0126,nzd0351-0127,nzd0351-0128,nzd0351-0129,nzd0351-0130,nzd0351-0131,nzd0351-0132,nzd0351-0133,nzd0351-0134,nzd0351-0135,nzd0351-0136,nzd0351-0137,nzd0351-0138,nzd0351-0139,nzd0351-0140,nzd0351-0141,nzd0351-0142,nzd0351-0143,nzd0351-0144,nzd0351-0145,nzd0351-0146,nzd0351-0147,nzd0351-0148,nzd0351-0149,nzd0351-0150,nzd0351-0151,nzd0351-0152,nzd0351-0153,nzd0351-0154,nzd0351-0155,nzd0351-0156,nzd0351-0157,nzd0351-0158,nzd0351-0159,nzd0351-0160,nzd0351-0161,nzd0351-0162,nzd0351-0163,nzd0351-0164,nzd0351-0165,nzd0351-0166,nzd0351-0167,nzd0351-0168,nzd0351-0169,nzd0351-0170,nzd0351-0171,nzd0351-0172
1999-08-17 22:12:26.065000,L7,400.26,370.23,260.52,232.09,226.56,309.55,332.43,383.55,349.78,418.74,428.70,451.63,462.36,483.72,431.49,469.75,474.48,467.13,456.38,444.86,460.69,430.91,411.08,257.15,266.81,276.78,303.36,220.33,294.00,231.88,313.29,325.86,264.83,371.16,373.32,370.61,363.70,357.20,543.42,506.68,488.43,474.20,471.63,421.76,411.39,416.10,399.01,367.85,374.53,390.83,377.94,380.02,375.59,359.66,361.78,378.72,385.00,394.03,380.55,340.27,385.01,373.34,384.13,393.44,387.91,379.37,422.41,436.36,422.25,416.73,344.46,353.61,342.32,348.17,355.18,367.26,366.70,366.86,357.41,365.38,356.33,362.41,383.13,382.03,385.07,389.66,419.77,412.23,373.97,355.61,353.50,347.42,351.70,365.64,366.68,381.17,168.88,190.68,176.15,186.21,187.91,188.18,179.08,185.93,179.83,188.56,180.88,185.88,180.02,178.76,196.54,191.82,195.92,201.20,195.37,190.38,197.68,331.92,326.49,317.27,191.22,179.62,189.45,183.95,186.09,200.71,198.35,193.67,188.28,185.07,179.58,174.82,175.14,176.77,196.12,176.35,197.13,181.03,179.99,179.37,183.98,180.90,184.91,181.76,180.22,176.51,177.89,182.81,177.58,183.99,185.61,180.53,169.60,410.60,415.07,415.13,458.89,434.95,414.95,379.88,387.78,375.78,367.60,356.12,365.21,326.84,322.72,335.86,349.52,373.07,395.68,400.55,430.08
1999-08-26 22:06:20.800000,L7,384.49,299.08,211.70,180.86,,,,,,,,,,,194.72,202.26,239.16,233.47,233.28,201.82,229.33,,,198.84,201.75,197.26,205.32,255.10,,195.55,179.00,199.06,204.60,215.88,,305.37,336.82,218.84,209.99,213.07,215.87,244.45,,,,,356.92,322.53,243.46,249.17,257.57,267.85,195.30,199.56,231.22,228.89,215.14,238.46,190.14,189.43,194.29,196.74,197.09,196.58,201.36,193.16,207.46,189.03,234.07,172.32,170.56,170.80,187.63,192.69,197.12,199.60,194.86,274.41,290.98,290.51,,,,,,170.61,169.55,167.14,183.52,184.22,196.40,191.80,,,,,,156.55,171.16,169.47,183.44,192.55,182.88,166.19,178.60,177.78,175.06,,,,,,,237.21,261.19,179.89,178.82,173.98,182.11,177.37,187.64,246.10,242.89,,,,,219.57,250.08,236.24,198.45,293.97,306.09,343.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.13,191.79,187.89,258.63,296.51,305.02,181.75
1999-09-18 22:12:27.821000,L7,341.65,344.57,270.08,244.06,214.05,211.70,219.35,221.32,480.15,466.93,461.39,457.17,463.94,352.23,249.83,252.56,260.54,318.29,501.65,518.56,513.44,511.13,507.86,487.06,503.85,418.76,454.39,360.78,418.98,364.56,333.55,325.78,341.27,347.72,493.74,302.63,527.26,437.52,238.90,240.68,384.02,422.06,417.87,374.33,412.05,435.19,429.63,445.49,454.36,439.28,440.06,427.68,436.48,423.53,419.11,402.74,414.01,417.67,365.61,427.19,429.66,438.84,235.20,325.38,457.13,445.62,428.75,426.77,423.73,417.38,413.12,405.67,405.40,441.72,203.19,203.97,204.83,224.06,431.43,193.43,303.14,189.12,431.54,176.63,186.27,288.40,193.20,196.90,272.65,277.33,411.92,410.62,409.31,400.93,397.19,410.39,186.68,325.16,199.51,436.83,201.64,322.09,448.62,301.25,413.89,429.88,426.33,428.97,428.44,435.97,424.01,436.88,464.96,421.72,418.44,434.45,389.80,381.09,375.81,444.03,437.46,434.57,435.20,180.04,186.42,305.91,432.83,434.21,444.37,451.00,439.66,420.43,444.22,407.18,441.95,450.36,414.20,464.90,461.37,460.11,452.20,449.85,450.48,464.43,452.54,451.10,448.19,459.93,452.47,464.64,463.30,354.98,208.37,359.04,438.73,440.82,365.70,446.08,448.01,441.28,425.19,391.23,382.09,414.30,352.56,385.75,372.20,387.06,409.62,414.70,412.26,431.47,441.58
1999-10-13 22:06:24.714000,L7,270.38,213.78,214.41,483.05,317.96,455.19,477.89,489.61,356.95,356.52,331.54,292.66,285.82,294.70,299.45,207.12,192.66,190.32,193.28,182.65,186.94,182.84,176.62,189.58,179.91,186.78,188.27,183.35,176.37,176.37,188.43,185.50,191.14,185.93,187.91,176.65,196.12,188.18,191.25,189.77,186.07,234.68,178.78,178.53,298.16,320.02,380.71,384.92,385.89,390.87,393.69,392.89,255.22,276.43,258.02,267.75,391.00,250.70,257.91,295.87,420.85,346.35,400.35,365.62,320.52,334.91,352.59,245.03,228.78,256.45,272.03,354.04,371.91,374.93,370.85,383.60,415.93,233.85,291.51,303.42,431.17,245.33,249.29,247.90,337.64,396.59,344.84,398.91,407.57,262.32,288.87,290.65,289.35,317.63,327.88,338.89,245.18,296.74,298.32,297.31,302.39,317.02,369.15,372.44,398.14,375.51,381.31,377.98,387.21,400.10,406.52,425.78,464.33,432.61,447.01,454.06,457.39,453.79,431.46,448.04,436.81,433.68,422.78,464.27,286.07,191.12,353.66,402.88,416.18,412.05,404.13,217.70,385.93,213.88,218.15,223.82,184.58,300.87,288.61,261.47,261.00,262.73,266.49,413.67,233.31,289.60,338.99,257.42,304.57,297.17,293.59,288.26,308.60,416.54,300.39,243.12,208.67,297.58,312.21,315.40,323.29,290.53,266.64,300.68,306.02,296.03,293.65,289.30,299.63,311.98,355.87,355.22,359.66
1999-11-21 22:12:24.026000,L7,186.87,194.50,207.15,293.70,241.07,207.81,200.07,193.24,193.20,215.43,282.98,235.86,197.49,211.28,211.82,223.47,223.11,228.96,218.75,232.13,229.34,226.17,210.89,213.71,191.93,200.04,191.83,199.79,222.48,212.89,207.54,215.81,253.48,225.61,228.52,212.04,,230.62,241.32,232.15,229.72,238.04,300.42,300.16,249.21,246.12,258.28,226.86,230.08,233.30,250.02,253.58,234.60,221.53,215.96,227.75,228.26,212.48,217.76,235.54,259.35,231.01,292.07,244.26,301.89,198.25,246.92,238.64,175.45,184.16,187.01,182.47,188.25,199.14,210.16,188.57,169.62,178.29,195.71,196.84,208.26,217.92,238.99,235.42,224.73,237.45,277.64,247.73,208.48,182.38,174.40,190.19,178.93,192.22,204.25,186.70,208.65,189.22,170.73,222.33,173.83,204.76,225.67,203.01,246.10,201.82,198.13,196.70,206.29,220.84,223.86,218.22,204.69,205.31,216.24,226.10,211.55,275.92,263.89,225.19,293.90,230.36,279.45,282.69,172.85,174.60,196.75,191.00,200.04,197.27,266.43,194.68,199.12,198.22,207.29,203.27,213.24,210.72,208.45,237.20,163.81,176.43,185.65,213.08,229.55,234.00,217.70,241.86,238.29,199.76,183.57,219.63,179.99,,,,,,,,,,,,,,,,,164.32,187.92,239.28,215.34
2000-01-17 22:06:11.705000,L7,358.35,413.36,409.69,340.15,298.87,276.74,279.78,383.34,390.70,399.50,416.10,431.17,259.46,347.08,371.49,309.35,335.36,334.45,343.55,362.97,350.84,360.48,370.65,347.52,358.98,320.78,230.92,393.16,382.54,385.02,385.53,378.22,354.45,332.85,370.42,243.26,260.62,265.48,241.70,229.87,231.36,229.56,215.54,212.74,209.43,221.80,217.80,231.34,223.79,217.51,212.20,204.00,200.87,203.71,214.52,207.65,203.79,193.55,194.49,200.71,205.76,208.08,203.82,196.28,193.40,198.55,206.99,204.08,199.24,196.62,193.51,192.09,190.64,188.96,200.88,194.25,204.81,200.73,189.32,181.05,187.20,182.73,192.05,182.62,179.57,177.33,179.39,172.26,178.84,175.62,176.67,174.77,177.22,225.15,251.99,279.84,271.36,282.58,285.06,301.83,318.93,270.25,194.42,192.31,187.33,181.65,263.25,260.27,279.22,301.03,409.85,227.09,253.06,258.29,273.84,300.67,282.93,370.08,352.40,308.58,266.48,276.19,321.00,314.87,345.74,390.42,409.35,372.85,373.33,407.47,356.60,363.60,409.19,412.42,418.46,268.22,174.89,179.34,177.65,180.48,185.91,200.80,184.89,174.46,180.03,237.83,182.12,186.10,183.90,183.63,257.51,252.52,403.67,371.74,344.35,,,,,,273.08,319.25,331.77,323.60,273.45,209.52,200.95,222.46,222.12,167.32,180.69,194.74,212.93
2000-02-18 22:06:05.064000,L7,545.29,307.89,281.41,276.03,296.15,244.16,243.27,252.44,264.67,268.25,256.82,271.15,318.76,321.85,315.37,291.06,281.84,276.42,258.83,284.04,244.31,252.44,257.69,251.19,260.14,276.84,254.82,277.25,279.82,269.89,291.22,300.14,282.09,297.65,267.95,259.29,274.91,276.72,267.65,282.88,296.18,313.47,267.94,269.34,263.46,266.74,268.32,271.63,280.02,271.67,277.97,288.03,283.84,290.44,258.11,260.72,254.05,255.04,267.54,260.51,264.41,267.73,279.27,266.43,247.50,244.77,248.64,255.42,246.54,257.01,250.58,267.76,238.09,249.89,277.74,247.71,267.75,253.14,233.26,244.72,251.50,259.50,255.95,254.13,259.41,242.50,253.54,239.57,220.21,248.38,254.55,237.40,270.22,336.29,229.02,240.12,238.79,230.04,216.58,252.94,261.54,282.60,266.37,344.52,400.96,279.06,302.28,273.96,257.52,238.44,248.10,280.65,408.74,290.62,243.19,252.80,258.47,257.21,278.17,266.84,263.27,257.48,283.97,239.99,264.25,259.74,262.44,241.63,241.36,252.24,247.54,245.07,241.90,219.51,258.07,244.48,234.71,222.91,238.27,258.05,238.04,250.39,259.89,270.20,282.23,261.63,257.73,271.10,244.69,254.97,264.28,261.25,269.41,374.91,357.67,212.17,199.69,298.21,208.75,207.90,226.92,204.45,192.83,187.51,196.01,197.59,195.40,221.16,247.62,254.36,262.63,229.72,256.64
2000-02-25 22:12:13.451000,L7,537.62,407.99,441.24,322.54,443.20,416.03,421.47,407.23,418.49,409.43,461.11,448.45,445.27,347.97,346.74,315.75,360.28,339.11,348.42,445.13,445.34,410.86,473.99,482.70,547.32,421.41,433.89,430.57,449.67,428.80,435.73,438.25,435.99,440.76,444.21,469.21,469.69,488.11,481.37,468.40,485.18,488.51,473.77,477.32,479.22,470.90,474.84,468.86,451.74,467.16,459.92,450.50,463.02,448.63,480.69,473.93,,445.94,493.24,520.50,468.56,465.29,436.56,454.94,453.04,446.00,425.90,459.83,450.26,442.02,453.63,466.34,454.92,454.68,471.61,470.69,466.14,462.81,450.57,451.34,469.30,461.67,466.62,457.50,319.23,345.10,337.25,342.94,348.73,472.61,465.91,475.51,477.91,473.94,460.99,442.69,464.65,464.02,460.60,464.71,479.97,486.03,485.60,493.33,488.44,491.47,506.18,490.44,505.45,483.60,480.47,480.21,502.17,510.01,502.02,501.19,503.19,495.55,482.42,509.45,506.83,509.97,496.50,487.90,487.86,496.72,506.46,507.65,499.85,502.43,487.20,495.30,497.59,493.59,506.43,524.41,525.42,503.74,493.32,500.94,509.81,501.73,515.83,509.06,492.82,496.76,473.19,,,,,,,,,,,,,,,,,,427.14,417.25,430.67,453.87,,,,,
2000-03-21 22:06:01.097000,L7,388.83,244.95,242.16,268.86,481.82,492.59,280.92,281.90,271.32,281.19,263.29,313.27,343.38,328.00,311.43,370.38,396.87,288.69,290.29,265.75,273.89,275.55,263.72,288.74,283.81,244.78,252.56,243.89,303.96,323.32,311.45,493.15,516.93,512.57,527.58,345.90,257.19,280.82,287.82,368.19,388.60,393.66,207.93,210.53,200.21,201.22,190.08,171.45,188.70,200.84,206.05,300.12,307.32,309.07,297.50,394.85,414.27,417.76,422.03,403.63,317.90,337.14,335.71,255.35,255.79,268.21,223.10,252.98,283.86,282.19,510.93,511.07,524.38,504.45,510.37,535.24,169.46,199.07,183.77,192.03,193.12,201.61,228.66,235.16,180.86,218.43,264.03,307.71,256.19,244.43,243.20,333.49,332.91,331.47,345.42,374.03,373.23,359.20,402.77,352.30,418.18,403.61,282.05,384.83,164.58,204.56,209.36,192.25,191.78,204.04,193.88,248.21,223.06,228.90,332.64,328.41,360.54,370.74,367.51,391.75,411.94,202.60,215.57,390.54,348.36,381.02,363.66,366.35,352.98,365.20,360.17,339.55,383.63,378.30,160.06,250.00,210.61,227.38,265.44,275.28,287.85,290.34,293.40,289.79,298.13,218.69,402.21,425.35,421.14,432.36,429.23,390.12,412.51,235.37,420.53,394.50,239.71,224.92,294.40,211.54,205.64,221.28,230.58,236.21,228.81,212.55,288.77,274.04,306.74,345.09,309.63,232.04,229.48
2000-05-24 22:05:22.488000,L7,317.52,266.32,412.70,197.77,365.77,381.66,403.91,427.84,399.78,400.84,398.43,406.13,428.98,461.50,448.53,476.79,491.20,510.02,490.23,476.33,473.16,509.33,510.96,512.80,514.97,500.84,469.98,482.93,502.72,511.00,513.75,233.67,279.29,313.39,311.19,339.77,361.41,374.85,383.91,387.58,393.91,389.65,388.90,317.14,332.71,328.29,334.60,322.43,317.61,333.43,326.99,333.85,415.16,218.40,233.15,217.70,240.41,206.76,212.60,341.56,340.74,213.63,214.73,274.33,472.90,474.13,472.16,467.58,443.86,459.55,465.25,310.89,202.59,195.90,196.56,192.79,476.38,210.10,307.39,199.27,185.38,184.68,456.51,175.40,180.65,182.04,183.54,193.88,369.95,395.34,262.68,184.93,293.67,490.00,284.02,293.20,463.94,487.44,507.46,448.24,468.38,431.69,435.26,435.72,490.40,455.24,203.14,203.69,454.28,390.57,442.01,455.04,485.87,493.26,494.09,490.27,224.63,225.58,309.05,538.61,546.34,539.72,524.15,526.94,530.10,529.23,550.66,352.64,351.98,313.41,351.54,333.01,185.96,361.64,273.63,320.00,327.52,328.78,340.89,317.52,336.69,347.97,337.83,345.12,358.14,355.11,193.98,359.02,368.64,366.53,355.75,363.83,354.01,349.95,345.35,321.31,324.16,336.28,321.21,316.36,312.45,330.30,334.97,314.41,263.58,280.79,331.49,297.33,315.06,341.06,331.84,348.99,376.01
