dates,satname,nzd0282-0000,nzd0282-0001,nzd0282-0002,nzd0282-0003,nzd0282-0004,nzd0282-0005,nzd0282-0006,nzd0282-0007,nzd0282-0008,nzd0282-0009,nzd0282-0010,nzd0282-0011,nzd0282-0012,nzd0282-0013,nzd0282-0014,nzd0282-0015,nzd0282-0016,nzd0282-0017,nzd0282-0018,nzd0282-0019,nzd0282-0020,nzd0282-0021,nzd0282-0022,nzd0282-0023,nzd0282-0024,nzd0282-0025,nzd0282-0026,nzd0282-0027,nzd0282-0028,nzd0282-0029,nzd0282-0030,nzd0282-0031,nzd0282-0032,nzd0282-0033,nzd0282-0034,nzd0282-0035,nzd0282-0036,nzd0282-0037,nzd0282-0038,nzd0282-0039,nzd0282-0040,nzd0282-0041,nzd0282-0042,nzd0282-0043,nzd0282-0044,nzd0282-0045,nzd0282-0046,nzd0282-0047,nzd0282-0048,nzd0282-0049,nzd0282-0050,nzd0282-0051,nzd0282-0052,nzd0282-0053,nzd0282-0054,nzd0282-0055,nzd0282-0056,nzd0282-0057,nzd0282-0058,nzd0282-0059,nzd0282-0060,nzd0282-0061,nzd0282-0062,nzd0282-0063,nzd0282-0064,nzd0282-0065,nzd0282-0066,nzd0282-0067,nzd0282-0068,nzd0282-0069,nzd0282-0070,nzd0282-0071,nzd0282-0072,nzd0282-0073,nzd0282-0074,nzd0282-0075,nzd0282-0076,nzd0282-0077,nzd0282-0078,nzd0282-0081,nzd0282-0082,nzd0282-0083,nzd0282-0086,nzd0282-0087,nzd0282-0088,nzd0282-0089,nzd0282-0090,nzd0282-0091,nzd0282-0094,nzd0282-0095,nzd0282-0096,nzd0282-0097,nzd0282-0098,nzd0282-0099,nzd0282-0100,nzd0282-0101,nzd0282-0102,nzd0282-0103,nzd0282-0104,nzd0282-0105,nzd0282-0106,nzd0282-0107,nzd0282-0108,nzd0282-0109,nzd0282-0110,nzd0282-0111,nzd0282-0112,nzd0282-0113,nzd0282-0114,nzd0282-0115,nzd0282-0116,nzd0282-0117,nzd0282-0118,nzd0282-0119,nzd0282-0120,nzd0282-0121,nzd0282-0122,nzd0282-0123,nzd0282-0124,nzd0282-0125,nzd0282-0126,nzd0282-0127,nzd0282-0128,nzd0282-0129,nzd0282-0130,nzd0282-0131,nzd0282-0132,nzd0282-0133,nzd0282-0134,nzd0282-0135,nzd0282-0136,nzd0282-0137,nzd0282-0138,nzd0282-0139,nzd0282-0140,nzd0282-0141,nzd0282-0142,nzd0282-0143,nzd0282-0144,nzd0282-0145,nzd0282-0146,nzd0282-0147,nzd0282-0148,nzd0282-0149,nzd0282-0150,nzd0282-0151,nzd0282-0152,nzd0282-0153,nzd0282-0154,nzd0282-0155,nzd0282-0156,nzd0282-0157,nzd0282-0158,nzd0282-0159,nzd0282-0160,nzd0282-0161,nzd0282-0162,nzd0282-0163,nzd0282-0164,nzd0282-0165,nzd0282-0166,nzd0282-0167,nzd0282-0085,nzd0282-0092,nzd0282-0093,nzd0282-0079,nzd0282-0080,nzd0282-0084
1999-08-21 21:46:56.985000,L7,407.03,417.20,410.61,418.08,414.60,417.93,414.28,405.68,411.21,377.81,415.79,421.44,418.69,419.06,381.62,416.70,416.09,417.45,402.76,397.98,402.96,397.19,402.60,331.47,315.83,297.83,271.54,287.00,301.62,329.81,330.45,312.90,327.31,315.70,288.52,291.53,273.08,273.28,203.38,309.97,297.78,291.11,237.28,275.39,290.98,281.91,269.88,279.42,275.71,286.71,276.49,290.18,297.77,293.34,289.49,314.94,308.24,292.31,300.39,295.64,295.90,306.20,306.72,286.24,295.11,307.22,307.59,293.99,292.52,277.78,281.14,235.30,245.57,430.81,416.55,431.96,425.09,399.49,413.70,531.05,518.27,490.84,369.21,386.18,380.18,389.00,394.16,371.25,384.90,391.80,365.91,403.47,403.66,408.92,402.13,399.24,398.05,396.33,387.85,280.21,283.23,274.97,273.80,280.55,284.50,288.31,285.81,288.81,285.18,284.62,289.38,291.90,297.06,298.51,311.46,320.90,352.48,322.87,392.61,407.97,407.27,388.75,381.03,262.95,235.47,268.99,278.52,282.61,312.33,303.30,307.21,324.46,294.37,270.97,258.12,257.61,287.12,273.67,313.65,292.49,354.38,312.56,286.13,281.76,293.78,299.97,271.13,292.05,317.43,370.11,388.67,388.67,385.34,387.13,363.31,297.67,372.61,381.72,384.38,375.46,350.73,394.71,,,,,,
1999-09-22 21:47:00.785000,L7,261.64,284.98,328.39,335.01,333.62,302.15,272.39,278.82,306.47,305.17,299.68,304.59,289.76,317.67,325.74,323.08,330.38,331.22,320.58,393.71,,,,329.16,318.28,387.35,406.55,400.04,506.25,412.15,399.83,393.23,519.11,363.12,506.38,407.11,397.35,400.27,398.78,396.17,294.44,289.64,272.83,272.66,285.37,273.82,266.13,273.35,271.24,279.92,271.87,282.64,285.13,289.01,282.99,304.02,298.66,284.74,292.46,281.55,279.91,301.25,291.26,274.26,289.17,176.44,306.21,286.99,279.86,268.39,268.68,229.25,239.49,,,,,,,,,,401.19,400.94,408.22,389.22,,,,,,,,,197.45,213.53,232.63,240.98,253.04,268.05,271.85,262.92,257.51,266.31,271.85,276.99,275.70,278.98,277.01,275.67,281.78,283.48,290.95,290.94,305.94,317.25,327.92,323.76,331.86,309.34,318.92,320.43,293.89,287.30,281.06,295.63,298.98,299.32,313.13,302.62,307.64,310.80,296.42,285.17,279.28,269.86,281.84,328.44,321.56,319.46,336.35,313.77,329.83,332.86,334.94,301.11,336.43,334.03,340.68,331.39,298.04,328.01,314.01,294.82,340.84,348.49,315.69,328.19,311.31,306.39,308.01,310.20,,,,,,
1999-10-24 21:46:56.203000,L7,385.91,464.32,466.28,388.67,415.99,419.58,412.40,389.98,386.31,337.79,385.93,396.62,404.10,351.54,413.62,413.29,392.32,392.34,401.06,408.15,415.36,407.17,419.22,394.85,387.33,342.95,328.18,333.75,392.14,396.82,367.94,387.39,396.96,420.35,401.07,409.50,400.47,395.27,337.76,387.24,317.97,308.96,315.33,303.64,309.41,310.40,327.12,328.88,316.46,330.23,315.89,334.41,330.89,326.66,313.74,326.87,319.43,307.64,312.97,319.83,314.97,323.91,322.98,315.90,317.10,320.34,320.00,306.32,303.98,296.87,171.26,374.43,398.22,411.96,407.61,,,,,,,,400.49,391.39,383.54,,,,,,,,393.23,402.90,366.37,402.06,391.58,386.91,387.76,288.75,290.72,288.58,395.23,391.37,363.48,384.76,397.44,403.76,399.48,385.96,388.98,507.72,536.05,526.88,463.28,414.98,411.26,404.40,418.35,330.82,402.80,414.14,399.60,398.99,380.36,335.62,374.96,380.39,360.45,377.29,370.98,376.27,381.49,339.29,311.74,373.94,370.57,349.48,462.07,391.06,303.92,311.56,316.54,357.22,313.18,314.73,379.50,380.30,379.80,384.62,380.69,388.82,381.36,382.35,344.55,382.02,375.72,338.51,378.21,373.98,384.49,382.47,387.43,,,,,
2000-01-19 21:53:01.775000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,428.75,426.42,434.08,423.21,431.10,420.62,430.83,425.38,423.66,461.01,414.47,277.78,157.06,358.60,393.33,428.92,,,,,,,,,,,,,,,,,,,,228.13,224.49,249.48,250.45,273.91,283.10,284.63,281.52,287.98,281.94,287.21,291.26,292.53,292.48,288.41,288.19,296.40,304.39,307.55,304.04,320.16,333.20,344.75,353.29,351.39,408.10,410.58,407.13,336.77,345.78,365.61,326.69,327.48,320.36,361.97,378.36,364.28,362.19,319.82,374.84,363.77,323.03,359.69,327.64,321.24,367.90,334.46,312.15,318.10,319.38,310.94,314.19,386.24,395.08,395.02,387.37,392.25,391.76,383.45,376.69,332.64,328.25,329.55,332.73,323.86,328.23,344.02,321.67,,,,,,
2000-02-04 21:53:01.324000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,464.35,427.29,455.46,459.88,446.65,434.93,427.93,441.06,427.39,503.20,472.23,513.40,366.38,382.99,372.86,410.12,410.34,425.34,399.63,423.98,451.65,367.68,374.27,371.15,374.59,389.30,367.92,427.65,402.19,430.49,365.99,366.73,369.53,362.82,365.35,364.52,362.83,363.19,396.15,398.33,400.98,393.02,406.26,401.78,410.70,405.84,360.13,370.81,371.12,380.64,386.60,374.59,427.17,511.77,490.99,512.62,496.92,402.70,395.92,396.92,394.57,388.17,389.39,383.41,383.93,384.15,386.34,375.80,378.47,370.14,369.67,377.17,380.28,375.33,381.48,386.34,376.23,373.25,378.55,387.22,383.92,384.78,388.14,396.53,397.13,394.29,398.35,396.07,406.27,396.20,394.90,407.62,412.76,378.48,381.53,393.34,397.30,360.14,329.22,368.30,387.19
2000-02-13 21:46:48.016000,L7,276.32,273.69,325.95,333.68,338.47,331.78,335.81,328.83,326.77,321.68,323.86,328.40,331.90,334.97,342.52,343.28,338.06,331.74,326.72,277.91,,,,326.90,318.67,320.43,326.62,318.57,310.85,319.79,314.87,310.14,321.75,325.02,322.60,324.52,323.91,317.57,309.13,311.42,273.90,273.98,263.67,255.98,270.99,336.26,345.64,383.08,381.70,463.36,340.16,381.64,341.81,333.59,324.61,351.94,330.70,310.60,289.79,306.49,319.19,308.72,323.27,391.42,390.51,391.45,395.80,388.34,386.14,336.61,316.95,291.03,227.50,220.59,330.85,362.33,296.19,,,,,,,277.41,303.01,295.57,323.56,338.40,409.00,410.33,447.44,468.62,489.88,479.30,404.51,305.63,297.17,247.17,311.32,306.97,354.52,404.15,412.90,477.22,478.59,365.98,528.47,427.48,408.57,,393.22,449.73,476.28,393.63,402.05,427.14,435.48,406.50,397.61,420.85,526.46,,,,,,,,,,,,443.28,518.01,312.08,314.81,307.79,300.44,297.50,287.87,287.70,281.77,280.12,280.40,279.63,275.16,280.89,273.69,281.93,283.32,265.20,274.25,270.32,188.58,276.39,283.45,277.21,287.56,269.90,282.04,282.43,281.30,,378.41,392.03,,,
2000-02-20 21:52:53.613000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,499.15,486.75,415.70,427.71,417.46,407.30,392.47,403.06,409.39,385.53,399.29,408.82,394.46,410.12,406.03,404.71,405.87,397.67,412.16,406.21,410.29,413.84,419.02,404.08,261.20,247.30,244.01,214.08,220.92,312.83,368.00,367.77,367.17,384.94,400.20,390.91,391.97,379.04,374.04,391.87,403.06,385.04,394.32,396.86,405.39,408.10,400.87,398.28,391.29,396.98,388.97,379.64,388.84,400.45,387.39,383.97,382.98,393.46,387.01,390.50,401.73,391.69,396.00,395.72,398.15,408.00,412.55,410.56,414.31,408.34,411.16,417.23,401.17,397.76,390.61,397.22,390.08,375.92,380.94,384.01,388.01,373.54,368.46,366.79,373.41,374.06,375.23,379.97,371.45,372.82,367.94,362.81,371.77,362.91,366.16,376.10,368.53,380.70,380.87,380.02,387.19,389.80,391.90,387.72,393.39,394.55,390.17,391.43,397.75,391.24,393.95,379.61,391.08,377.28,378.79,384.75,430.25,409.65,371.20
2000-04-01 21:46:34.573000,L7,288.07,304.82,335.41,332.27,324.50,261.35,261.46,274.25,292.25,298.34,294.72,424.30,424.25,424.13,420.10,427.16,427.81,416.99,415.53,411.98,424.33,413.10,406.37,395.46,367.77,393.39,400.49,384.20,393.59,386.26,388.29,394.29,403.12,400.52,304.55,401.67,417.02,420.43,414.22,416.75,421.79,432.26,420.33,390.03,388.82,378.14,437.34,438.42,446.35,416.76,431.66,426.15,471.52,528.72,491.56,439.65,411.91,416.93,412.91,419.17,412.80,414.69,422.08,423.54,408.10,420.53,415.09,425.03,420.16,409.09,426.63,415.35,251.02,194.09,,,,,,,,,,,,,,,,,,,,,228.70,231.07,246.80,258.87,280.74,295.40,293.15,286.39,290.81,392.87,386.18,377.94,302.15,307.38,298.41,297.82,303.45,305.35,403.72,403.31,406.53,341.81,343.92,330.82,336.15,314.99,323.09,326.14,320.26,294.52,277.01,322.02,305.74,306.14,322.54,363.90,372.39,319.35,299.06,287.54,282.14,277.55,286.03,284.56,309.04,324.89,307.87,308.22,317.71,301.84,319.99,371.96,385.12,343.50,365.36,369.93,348.68,346.92,310.84,378.97,384.69,386.03,389.25,332.46,344.13,370.87,339.97,355.93,,,,,,
2000-05-19 21:46:07.873000,L7,297.79,297.98,327.39,287.70,277.14,252.57,251.16,262.31,285.41,290.51,282.59,264.04,249.54,245.81,296.27,293.13,241.65,310.20,310.70,,,,,327.94,319.67,302.62,276.17,285.63,478.99,493.29,481.22,468.19,532.30,487.14,472.55,418.30,415.34,408.82,355.71,383.25,303.73,309.43,298.06,314.55,296.66,286.17,269.76,280.49,278.31,161.46,177.52,190.73,192.39,193.30,196.12,183.01,313.53,308.13,313.45,328.25,302.81,316.11,316.88,300.04,288.23,299.03,170.30,280.68,274.62,270.61,244.08,,,,,,,,,,,,,,,,,,389.05,389.33,307.01,307.41,316.90,,207.16,225.27,388.63,522.21,,,,,468.68,392.55,388.23,344.56,,440.37,467.95,472.67,353.70,363.16,,,478.69,332.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,501.13,482.41,352.52,,335.33,377.45,288.15,175.38,,,,,,158.34,345.90,,,
2000-05-26 21:52:12.607000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,419.61,414.10,422.26,409.86,420.03,415.16,410.45,420.97,414.20,419.66,412.18,418.43,359.03,401.81,392.44,407.48,411.46,401.54,385.49,314.32,286.09,288.73,294.08,291.39,268.77,254.52,258.46,245.97,226.37,220.58,,,,,,,,,,,,,,,,,,,,,,232.56,250.99,229.97,260.86,335.86,321.15,396.32,393.87,391.02,386.13,433.25,407.46,408.11,500.53,469.40,408.88,464.47,404.13,426.63,422.07,438.86,421.56,403.97,412.63,338.28,305.74,248.14,253.55,265.82,255.27,229.26,264.79,277.19,272.98,301.80,310.84,302.63,300.96,286.99,263.97,257.97,253.43,242.92,275.70,280.59,379.96,413.21,407.14,381.43,356.50,358.82,280.31,266.88,317.25,311.58,300.53,265.04,220.38,199.62,231.56,286.61,262.25,179.77,210.48,252.78,284.82,295.15,288.29,,,,,,
