dates,satname,nzd0268-0000,nzd0268-0001,nzd0268-0002,nzd0268-0003,nzd0268-0004,nzd0268-0005,nzd0268-0006,nzd0268-0007,nzd0268-0008,nzd0268-0009,nzd0268-0010,nzd0268-0011,nzd0268-0012,nzd0268-0013,nzd0268-0014,nzd0268-0015,nzd0268-0016,nzd0268-0017,nzd0268-0018,nzd0268-0019,nzd0268-0020,nzd0268-0021,nzd0268-0022,nzd0268-0023,nzd0268-0024,nzd0268-0025,nzd0268-0026,nzd0268-0027,nzd0268-0028,nzd0268-0029,nzd0268-0030,nzd0268-0031,nzd0268-0032,nzd0268-0033,nzd0268-0034,nzd0268-0035,nzd0268-0036,nzd0268-0037,nzd0268-0038,nzd0268-0039,nzd0268-0040,nzd0268-0041,nzd0268-0042,nzd0268-0043,nzd0268-0044,nzd0268-0045
1999-08-21 21:46:56.985000,L7,,,,,,,,,342.37,338.59,344.15,367.41,379.76,372.05,355.79,341.17,325.02,521.01,514.32,529.71,512.32,487.57,360.55,363.75,349.29,354.01,345.01,345.41,329.30,363.45,340.78,323.45,325.60,324.50,370.38,422.52,437.69,421.34,405.44,332.25,363.15,360.59,357.46,376.62,329.22,382.33
1999-09-22 21:47:00.785000,L7,384.46,492.10,456.05,423.62,377.81,364.51,360.60,357.99,353.38,364.05,374.00,378.74,386.32,378.26,357.79,344.19,347.78,374.55,339.96,367.66,362.96,350.27,377.13,369.59,365.64,367.11,358.23,385.37,341.56,366.77,368.45,343.11,350.14,360.63,385.71,343.57,356.95,358.33,334.89,334.09,337.38,331.15,394.85,390.65,381.22,389.50
1999-10-24 21:46:56.203000,L7,,,345.65,239.02,356.33,360.58,357.86,367.83,352.01,359.15,359.31,379.76,382.51,394.96,357.81,340.94,353.63,348.98,334.75,353.34,356.51,352.13,370.22,361.74,354.09,357.28,359.21,372.08,350.55,332.95,363.02,335.44,329.49,325.74,331.48,339.61,343.92,275.94,285.00,333.67,335.08,379.47,382.16,373.10,369.41,374.82
2000-02-13 21:46:48.016000,L7,,,314.42,315.04,346.81,351.77,346.88,339.42,336.32,356.07,332.77,304.53,287.21,278.64,336.39,320.00,316.76,235.83,249.57,264.50,262.01,271.72,281.80,259.16,279.19,252.23,260.68,273.18,245.70,247.65,264.14,266.78,267.03,240.49,293.99,256.26,296.49,364.77,362.82,361.97,340.90,505.22,538.71,495.54,347.16,353.01
2000-04-01 21:46:34.573000,L7,,,,,355.89,335.31,344.93,374.46,384.76,354.52,352.46,320.62,369.81,372.85,351.47,340.00,339.12,353.01,337.94,357.11,377.80,349.19,368.31,314.94,319.75,363.73,314.71,315.66,305.77,312.41,364.68,360.26,343.87,323.28,328.30,334.45,339.94,320.13,313.10,326.77,331.12,327.87,326.88,332.16,336.87,391.79
2000-05-03 21:46:19.161000,L7,,,,,,,,,348.13,271.97,263.13,272.09,234.98,201.55,357.64,344.32,329.21,393.33,330.31,357.40,359.26,341.07,350.53,389.31,357.36,355.93,350.77,377.41,368.68,403.79,363.14,348.87,372.52,358.10,375.14,461.93,413.62,412.11,400.61,383.57,364.23,338.01,351.20,393.32,381.50,385.93
2000-05-19 21:46:07.873000,L7,,,,,,,,,,,,,363.57,360.41,346.76,332.04,335.38,348.59,340.75,341.71,346.17,347.34,361.17,356.43,348.17,353.92,350.28,350.03,339.20,365.44,353.97,343.92,329.41,365.40,439.54,427.14,411.66,388.78,413.31,408.49,410.01,335.84,394.07,370.91,424.13,387.12
2000-08-07 21:45:08.975000,L7,,,,,,,,,328.15,319.48,333.81,348.52,360.12,356.80,342.13,328.70,323.04,330.90,313.15,324.84,328.07,327.57,342.21,341.19,338.54,343.26,339.79,339.48,320.80,358.27,333.27,318.23,319.37,345.42,340.77,372.00,374.90,377.87,336.76,349.91,345.28,370.20,387.37,376.69,377.80,349.26
2000-10-26 21:44:22.850000,L7,314.82,372.38,357.32,360.20,364.04,364.43,367.08,362.22,349.51,353.51,365.29,390.49,388.63,409.07,354.00,334.97,353.95,358.73,287.70,272.20,301.75,326.91,396.97,422.50,508.00,427.74,439.83,517.16,339.79,398.37,337.07,509.94,479.14,536.84,460.00,415.03,384.19,382.58,398.15,374.89,366.62,337.67,355.70,302.69,333.61,467.69
2001-01-14 21:44:33.150000,L7,308.10,330.29,337.21,350.28,356.49,336.92,343.24,353.35,347.15,339.31,344.16,361.76,372.77,360.96,343.82,328.80,332.20,271.85,270.74,286.29,293.95,304.42,230.28,209.92,165.91,169.19,298.05,297.39,259.77,276.81,277.02,287.61,255.65,274.88,317.36,307.69,294.00,296.22,212.89,343.21,360.79,361.59,371.06,315.03,342.93,354.68
2001-04-04 21:44:06.948000,L7,480.45,455.86,416.39,,364.13,362.77,357.49,360.55,365.38,362.37,366.84,379.00,382.35,367.10,349.75,339.54,344.05,350.11,342.13,347.71,346.37,347.45,361.23,359.09,368.84,509.12,512.82,492.20,355.60,383.98,369.47,354.90,352.08,380.37,372.48,365.58,358.57,332.45,378.63,367.34,376.14,396.56,372.89,353.35,351.91,354.36
2001-04-20 21:44:10.657000,L7,,,,,,,,344.42,343.23,341.64,336.49,354.12,368.71,369.84,345.36,339.31,330.78,332.89,296.40,341.23,346.36,345.57,328.71,352.79,341.98,349.25,339.35,315.64,318.79,330.66,333.16,316.59,316.30,326.78,337.53,354.93,353.21,369.02,369.78,325.52,328.60,329.36,307.70,341.82,326.94,398.36
2001-05-22 21:43:54.652000,L7,,,,,,,,,,,,,374.71,375.01,463.03,495.34,516.71,493.71,512.64,356.03,347.89,345.33,367.17,345.86,355.36,359.14,339.73,343.25,346.89,363.31,515.10,502.24,480.19,489.71,468.36,356.79,366.44,366.75,384.24,373.98,483.44,468.12,444.85,420.35,413.21,360.27
