dates,satname,nzd0281-0000,nzd0281-0001,nzd0281-0002,nzd0281-0003,nzd0281-0004,nzd0281-0005,nzd0281-0006,nzd0281-0007,nzd0281-0008,nzd0281-0009,nzd0281-0010,nzd0281-0011,nzd0281-0012,nzd0281-0013,nzd0281-0014,nzd0281-0015,nzd0281-0016,nzd0281-0017,nzd0281-0018,nzd0281-0019,nzd0281-0020,nzd0281-0021,nzd0281-0022,nzd0281-0023,nzd0281-0024,nzd0281-0025,nzd0281-0026,nzd0281-0027,nzd0281-0028,nzd0281-0029,nzd0281-0030,nzd0281-0031,nzd0281-0032,nzd0281-0033,nzd0281-0034,nzd0281-0035,nzd0281-0036,nzd0281-0037,nzd0281-0038,nzd0281-0039,nzd0281-0040,nzd0281-0041,nzd0281-0042,nzd0281-0043,nzd0281-0044,nzd0281-0045,nzd0281-0046,nzd0281-0047,nzd0281-0049,nzd0281-0050,nzd0281-0051,nzd0281-0052,nzd0281-0053,nzd0281-0054,nzd0281-0055,nzd0281-0056,nzd0281-0057,nzd0281-0058,nzd0281-0059,nzd0281-0060,nzd0281-0061,nzd0281-0062,nzd0281-0063,nzd0281-0064,nzd0281-0065,nzd0281-0066,nzd0281-0067,nzd0281-0068,nzd0281-0069,nzd0281-0070,nzd0281-0071,nzd0281-0072,nzd0281-0073,nzd0281-0074,nzd0281-0075,nzd0281-0076,nzd0281-0077,nzd0281-0078,nzd0281-0079,nzd0281-0080,nzd0281-0081,nzd0281-0082,nzd0281-0083,nzd0281-0084,nzd0281-0085,nzd0281-0086,nzd0281-0087,nzd0281-0088,nzd0281-0089,nzd0281-0090,nzd0281-0091,nzd0281-0092,nzd0281-0093,nzd0281-0094,nzd0281-0095,nzd0281-0096,nzd0281-0097,nzd0281-0098,nzd0281-0099,nzd0281-0100,nzd0281-0101,nzd0281-0102,nzd0281-0103,nzd0281-0104,nzd0281-0105,nzd0281-0106,nzd0281-0107,nzd0281-0108,nzd0281-0109,nzd0281-0110,nzd0281-0111,nzd0281-0112,nzd0281-0113,nzd0281-0114,nzd0281-0115,nzd0281-0116,nzd0281-0117,nzd0281-0118,nzd0281-0119,nzd0281-0120,nzd0281-0121,nzd0281-0122,nzd0281-0123,nzd0281-0124,nzd0281-0125,nzd0281-0126,nzd0281-0127,nzd0281-0128,nzd0281-0129,nzd0281-0130,nzd0281-0131,nzd0281-0132,nzd0281-0133,nzd0281-0134,nzd0281-0135,nzd0281-0136,nzd0281-0137,nzd0281-0138,nzd0281-0139,nzd0281-0140,nzd0281-0141,nzd0281-0142,nzd0281-0143,nzd0281-0144,nzd0281-0145,nzd0281-0146,nzd0281-0147,nzd0281-0148,nzd0281-0149,nzd0281-0150,nzd0281-0151,nzd0281-0152,nzd0281-0153,nzd0281-0154,nzd0281-0155,nzd0281-0156,nzd0281-0157,nzd0281-0158,nzd0281-0159,nzd0281-0160,nzd0281-0161,nzd0281-0162,nzd0281-0163,nzd0281-0164,nzd0281-0165,nzd0281-0166,nzd0281-0167,nzd0281-0168,nzd0281-0048
1999-08-21 21:46:56.985000,L7,238.43,175.27,271.33,223.81,261.75,266.12,274.67,309.35,379.38,349.98,425.55,431.46,426.07,442.88,444.33,448.69,324.22,333.67,324.05,324.41,336.14,335.15,349.23,346.37,350.53,353.52,343.81,347.62,334.47,325.71,325.01,211.83,345.54,322.04,320.24,265.11,315.82,312.71,284.16,419.52,266.59,260.96,245.43,196.57,340.95,333.60,412.73,401.08,340.70,399.14,326.95,371.55,408.80,414.57,367.89,385.54,404.95,334.97,369.40,398.28,398.49,403.80,406.72,399.78,409.74,399.32,402.72,408.79,406.85,403.66,418.17,433.59,367.41,401.37,456.84,454.73,439.71,421.19,433.52,428.81,407.14,424.36,439.54,419.88,420.70,412.82,392.81,433.70,334.04,334.47,331.08,446.12,412.43,411.08,443.32,454.10,442.22,429.11,435.72,403.80,426.32,443.75,443.80,433.53,318.91,283.80,290.68,310.68,443.90,445.23,418.86,417.79,434.23,459.83,476.83,469.48,460.93,469.73,457.93,425.17,337.62,341.44,342.72,343.00,344.82,351.67,341.96,337.28,349.98,426.23,357.66,349.20,343.97,337.02,353.21,345.54,348.80,350.84,422.09,421.96,424.13,445.60,429.16,337.80,322.71,275.39,271.17,333.88,411.44,410.37,403.31,402.87,405.68,338.81,349.44,337.25,406.29,278.99,333.01,303.93,311.33,308.07,388.89,439.39,434.38,442.97,443.91,452.78,
1999-09-22 21:47:00.785000,L7,443.31,454.50,454.65,321.81,356.31,309.36,337.49,422.70,432.46,316.04,440.44,433.23,463.12,458.15,467.54,449.96,454.68,478.33,491.90,488.71,469.61,517.08,501.09,519.42,517.80,516.40,531.57,457.20,511.89,521.40,501.75,509.43,472.17,492.76,492.33,498.69,312.77,313.31,299.45,178.35,273.55,262.52,240.86,167.57,210.46,208.61,205.30,,,375.78,376.82,180.51,186.59,177.45,167.65,171.54,183.77,187.13,383.86,385.35,198.81,196.70,323.87,226.43,337.13,337.09,356.97,341.17,354.89,349.02,370.76,445.49,434.88,446.16,305.75,449.56,327.95,343.13,460.01,465.27,481.06,468.84,470.64,396.95,390.98,377.33,395.93,396.97,449.70,448.66,453.36,345.26,351.90,449.62,359.22,360.30,370.11,398.45,375.84,325.69,301.77,356.48,397.62,390.73,451.35,346.36,295.31,312.63,462.30,446.94,455.46,417.33,452.52,459.24,399.62,389.01,411.13,401.68,405.38,395.55,362.49,390.72,394.76,390.26,424.67,424.18,435.18,419.89,443.56,444.26,453.66,419.81,444.63,439.62,443.11,443.71,453.96,446.22,444.64,460.33,449.50,446.26,462.25,416.33,387.92,372.31,364.36,430.09,367.25,441.91,350.61,340.83,357.76,441.83,436.55,434.44,427.78,433.41,430.02,425.06,423.40,402.17,423.61,402.28,337.99,412.53,341.84,353.63,
1999-10-24 21:46:56.203000,L7,394.76,413.02,412.26,439.87,424.67,427.62,425.46,437.76,426.41,408.65,424.77,431.63,413.37,425.48,429.67,435.52,441.08,439.05,439.69,445.85,475.57,481.26,463.97,467.80,481.38,465.60,470.41,471.50,459.15,403.91,471.19,479.01,461.07,447.10,442.91,438.58,435.27,441.15,463.54,455.19,430.35,264.72,397.00,417.48,411.44,387.04,362.97,382.75,481.13,412.31,160.16,185.01,190.92,175.90,177.37,180.87,189.67,198.31,202.95,370.56,381.13,378.09,374.21,366.73,372.28,374.19,392.60,237.50,338.43,283.41,329.98,383.28,335.67,338.77,420.33,434.32,444.25,340.19,400.45,419.63,383.87,419.40,428.26,435.07,446.58,419.92,398.90,437.20,433.25,413.81,410.81,447.38,414.76,416.97,425.97,426.25,420.52,427.80,441.91,437.80,429.56,445.13,433.22,419.10,416.69,423.80,424.78,423.06,431.64,427.25,455.23,462.56,454.59,451.12,443.39,451.20,438.55,434.92,401.78,294.21,270.45,272.86,276.89,283.39,270.78,391.00,405.40,421.89,419.84,347.81,414.33,423.53,415.64,341.38,430.66,431.99,423.40,418.61,345.64,425.60,255.97,434.55,426.42,432.74,423.82,404.97,412.23,411.35,412.19,410.48,402.34,329.91,408.48,409.72,408.23,404.93,402.00,396.50,406.56,410.14,402.47,413.29,406.25,416.58,407.16,411.96,408.49,424.69,389.63
2000-02-13 21:46:48.016000,L7,325.99,317.53,312.95,317.81,321.59,331.50,342.08,338.97,319.42,330.87,313.57,318.55,326.90,332.32,330.95,333.94,328.86,334.70,337.50,339.53,347.71,346.19,357.47,359.12,364.02,358.66,366.31,365.53,367.23,358.41,356.30,348.05,348.24,335.86,334.84,322.28,318.99,308.66,290.76,273.54,260.66,258.20,249.52,233.71,228.12,233.69,224.59,209.20,,,,186.95,254.21,225.71,187.50,181.60,187.44,191.33,200.93,197.89,196.26,196.58,204.82,218.76,236.80,246.80,248.24,244.60,274.05,279.51,277.10,280.74,294.58,295.01,301.62,302.16,300.06,302.95,307.38,305.38,302.37,307.59,307.61,307.65,307.44,317.20,312.77,305.14,305.10,302.27,303.40,237.99,271.07,260.89,252.87,241.74,293.06,294.15,305.40,307.32,303.25,318.22,321.20,309.69,315.95,277.97,287.51,308.36,315.10,313.28,309.39,313.94,313.18,306.06,307.50,325.26,323.76,317.05,309.79,284.01,262.44,254.30,263.40,267.06,252.29,263.70,265.05,269.96,260.59,224.30,228.90,223.83,222.81,231.48,239.19,174.00,289.76,256.82,255.17,255.82,245.80,230.73,250.52,243.69,250.45,261.30,261.40,258.90,265.02,284.32,290.70,303.24,300.77,297.07,298.45,296.39,295.59,284.26,282.65,301.22,305.58,309.67,318.24,320.70,327.66,334.88,342.40,342.49,
2000-05-19 21:46:07.873000,L7,,,207.06,200.67,241.95,251.08,259.69,305.88,313.76,310.99,311.43,310.75,313.86,312.15,338.70,322.05,309.78,326.68,318.01,316.47,333.50,333.04,342.98,346.89,341.88,345.01,345.82,342.11,340.54,334.89,431.69,456.22,443.19,438.99,447.97,449.83,302.15,315.07,291.79,275.43,284.87,266.46,247.96,239.93,209.79,198.55,192.79,,,,,180.83,182.61,164.93,160.23,170.93,184.41,190.31,182.89,190.24,186.30,196.54,206.34,217.49,234.22,247.81,226.96,257.90,268.85,278.61,266.21,273.21,278.87,286.84,283.11,290.81,289.73,297.64,297.61,302.02,343.90,357.83,382.40,400.33,400.74,408.24,394.62,388.79,363.59,293.50,286.88,242.00,224.42,257.97,246.72,232.08,223.77,277.72,283.98,327.00,298.93,343.31,354.32,361.30,313.92,272.81,286.69,303.17,302.54,304.81,301.07,307.63,306.97,371.86,394.21,396.91,333.01,333.53,298.56,289.61,270.71,260.41,266.28,250.88,242.27,270.85,290.18,281.19,264.88,251.48,243.67,224.19,234.53,242.80,252.04,188.99,279.38,284.97,269.93,258.90,250.52,229.26,253.19,242.85,260.69,271.01,268.10,269.29,279.73,283.87,288.77,293.72,292.93,292.12,294.17,294.07,280.92,281.09,284.33,294.51,301.77,310.34,321.88,378.80,389.41,377.73,340.53,353.63,
2000-08-07 21:45:08.975000,L7,428.06,383.66,386.39,476.83,455.86,435.90,426.76,425.29,466.97,453.76,411.80,472.94,427.55,441.80,425.63,426.96,421.40,430.62,436.61,459.44,457.77,459.54,456.60,501.78,420.01,480.27,466.71,482.60,470.39,284.99,304.73,302.51,289.90,298.21,301.81,356.91,359.96,330.45,329.17,307.28,353.72,349.32,340.30,322.87,335.77,324.91,320.02,317.48,330.47,321.70,314.61,312.59,319.39,307.66,287.82,298.77,309.39,301.81,312.19,309.70,308.41,311.61,266.65,404.32,405.86,369.59,409.76,410.74,414.84,410.08,415.04,420.55,442.88,400.10,443.10,412.79,454.04,453.32,345.28,352.82,366.80,344.36,358.26,351.23,348.99,372.57,351.32,345.94,344.95,342.26,347.41,338.86,343.26,348.13,356.06,352.92,347.51,351.28,350.55,353.48,353.41,354.12,357.82,348.01,342.97,350.41,346.16,353.31,347.20,353.33,364.34,390.42,353.68,344.83,353.98,349.42,354.62,342.30,350.03,353.96,347.99,335.95,339.56,342.61,348.84,338.76,342.45,348.03,303.25,330.04,327.35,329.74,328.10,323.48,321.91,331.84,321.61,318.06,320.79,327.24,324.09,275.62,318.09,292.11,294.68,304.59,307.46,300.93,339.43,341.64,345.83,331.11,338.17,338.40,325.02,329.33,327.90,346.62,352.11,352.83,354.25,343.42,350.23,346.95,356.97,354.66,353.96,357.99,331.97
2000-10-26 21:44:22.850000,L7,492.17,472.89,478.88,385.24,400.30,406.62,402.37,406.83,402.49,427.68,438.34,452.79,444.86,444.82,455.46,475.89,470.87,474.80,496.63,500.86,497.53,503.45,345.75,327.90,491.79,482.09,503.78,334.64,312.76,315.46,305.89,299.70,297.75,292.15,225.54,212.08,216.50,225.53,437.94,416.73,441.40,441.42,420.91,,,,,,391.00,449.34,498.46,503.04,447.27,442.85,368.03,420.32,421.74,410.18,416.08,407.88,419.82,,,,416.79,417.50,412.04,402.76,168.11,235.15,237.02,241.00,246.93,279.34,297.68,302.24,290.73,379.68,430.20,442.34,471.16,303.00,293.01,301.67,306.06,305.92,305.77,303.92,304.09,296.22,362.77,431.33,227.62,260.57,247.76,217.00,440.62,443.17,450.66,446.32,440.31,446.46,451.41,489.07,490.63,269.16,291.03,305.79,315.30,310.45,443.99,448.86,456.75,458.50,456.20,448.90,447.65,432.40,411.01,438.53,438.40,437.62,441.97,437.17,426.09,430.04,420.22,409.97,421.82,434.08,455.96,224.19,429.86,420.52,423.60,422.63,421.83,433.04,429.56,405.06,436.93,400.58,432.03,425.16,413.06,264.50,346.03,338.92,432.25,427.26,419.39,451.09,294.79,279.64,287.40,284.51,424.32,434.59,432.78,435.29,419.54,417.38,420.87,415.06,429.16,442.29,439.92,442.24,
2000-11-27 21:44:26.720000,L7,341.82,324.90,330.47,331.95,367.83,355.97,346.98,328.38,328.00,324.52,320.00,399.63,420.30,422.49,428.76,426.62,420.90,422.78,364.76,325.33,344.12,350.92,458.43,454.11,463.44,358.30,361.49,359.57,341.64,354.99,335.55,338.72,321.41,316.53,331.19,223.53,230.84,232.79,215.61,187.00,152.48,,,,,,,,,,,181.68,178.93,166.88,165.65,171.11,182.84,189.03,189.50,199.62,204.95,204.08,215.88,238.61,244.99,257.08,253.81,238.93,276.84,294.32,325.69,380.68,367.41,309.18,304.78,308.24,304.28,314.29,316.32,319.35,314.63,319.52,313.32,322.17,313.76,315.74,342.92,318.92,314.13,309.74,312.70,405.65,341.57,281.21,260.40,242.52,229.08,296.06,312.38,332.98,394.30,403.56,328.67,315.38,375.37,347.59,303.75,318.08,323.87,328.40,323.38,331.79,319.95,398.27,398.89,397.03,333.33,383.75,402.54,291.81,265.39,271.71,276.62,283.02,261.71,264.38,270.72,265.03,245.60,248.73,245.80,244.19,248.73,260.00,420.30,431.83,481.17,354.99,269.80,276.00,,172.85,333.43,281.54,269.97,248.27,185.56,,,,482.73,309.85,298.83,280.06,417.21,540.75,313.98,272.38,,,,469.10,342.77,257.74,314.16,335.60,317.81,411.49,
2000-12-13 21:44:28.287000,L7,371.15,368.04,358.62,358.38,364.48,364.61,357.43,378.51,371.07,380.11,374.04,392.15,380.80,390.95,388.35,387.57,384.15,395.35,393.58,394.35,399.14,412.26,404.46,412.58,408.41,415.28,416.16,424.27,408.13,413.87,403.86,406.10,395.21,403.78,396.94,403.03,391.25,405.38,390.35,382.61,379.61,365.10,361.02,357.01,361.00,354.80,342.49,335.97,,333.68,337.28,337.18,336.45,341.41,338.44,337.89,356.06,341.43,358.53,340.94,347.78,339.94,344.20,338.80,347.23,338.82,344.98,352.07,346.06,348.13,349.72,342.22,344.51,341.54,347.91,365.95,355.58,354.49,352.57,359.01,357.88,358.93,356.17,354.83,359.75,350.51,349.41,352.99,358.98,342.65,364.21,349.56,360.96,368.91,357.18,354.95,353.53,349.37,355.90,369.73,356.92,356.99,363.88,357.45,363.12,371.45,361.58,363.14,367.68,368.00,374.79,376.87,379.41,379.76,375.60,384.19,380.24,371.59,370.49,365.34,365.15,357.92,356.91,361.01,356.29,350.80,354.16,350.76,349.76,355.85,363.41,361.88,364.99,362.28,362.56,338.49,350.55,364.04,356.55,354.96,360.33,355.07,356.63,346.32,351.42,348.34,351.14,353.67,357.35,352.38,358.99,355.91,353.31,360.32,354.68,354.45,362.78,359.88,367.26,361.06,371.53,368.20,368.14,374.19,372.80,378.34,379.90,382.15,347.00
2001-01-14 21:44:33.150000,L7,446.15,410.51,442.00,436.61,435.16,403.30,446.92,455.97,335.13,332.48,331.45,339.57,343.26,349.91,353.94,357.39,350.95,355.68,359.74,361.10,369.30,382.01,382.75,384.72,387.36,475.89,471.62,459.16,477.85,496.24,490.08,514.02,370.61,362.41,361.23,377.19,370.33,365.72,351.72,345.50,339.48,343.37,334.87,340.69,332.69,337.99,317.89,316.54,317.50,331.25,322.63,329.41,344.64,327.87,320.29,309.17,313.79,314.12,308.80,307.11,291.46,308.80,307.74,307.17,298.94,318.00,312.39,324.70,324.64,323.36,320.29,319.29,409.91,343.23,437.38,443.70,402.92,442.79,450.75,461.39,462.86,453.42,451.21,478.01,462.74,406.75,423.79,440.21,462.90,321.35,333.98,327.68,324.37,326.32,327.29,327.80,326.81,322.12,415.02,425.82,397.56,437.86,448.77,443.95,435.15,448.98,459.54,321.74,328.32,340.43,334.22,337.84,336.33,343.28,343.86,346.20,349.09,359.99,344.77,335.13,340.66,333.94,335.84,326.31,336.40,337.37,327.73,326.40,278.67,340.53,329.99,327.23,279.13,332.75,319.46,331.95,325.22,325.82,322.15,329.41,316.32,320.62,323.58,306.91,324.33,312.70,316.18,314.74,336.07,338.20,328.89,329.56,318.68,324.12,315.09,330.46,308.48,330.74,332.97,328.97,337.58,337.22,340.08,335.67,335.01,337.54,351.74,346.88,320.22
