dates,satname,nzd0342-0000,nzd0342-0001,nzd0342-0002,nzd0342-0003,nzd0342-0004,nzd0342-0005,nzd0342-0006,nzd0342-0007,nzd0342-0008,nzd0342-0009
1999-09-29 21:54:04.102000,L7,343.10,292.39,292.11,300.22,289.17,266.88,321.39,305.32,319.89,339.25
1999-12-09 21:59:45.569000,L7,331.46,293.54,303.81,305.94,287.89,273.30,329.49,323.59,295.42,339.78
1999-12-09 22:00:09.551000,L7,325.29,288.89,301.38,301.92,262.39,251.32,314.84,301.21,305.22,201.47
1999-12-25 21:59:40.109000,L7,357.30,289.56,297.75,286.29,283.71,276.37,199.89,317.50,301.04,340.54
1999-12-25 22:00:04.067000,L7,354.54,326.61,298.66,298.68,254.39,255.39,180.12,310.27,314.52,323.44
2000-01-19 21:53:49.771000,L7,332.88,295.44,295.85,296.46,274.08,270.07,317.59,308.69,301.91,328.97
2000-01-26 21:59:38.265000,L7,358.75,328.31,305.11,310.77,287.51,271.20,337.06,342.60,334.45,346.47
2000-01-26 22:00:02.226000,L7,366.73,340.92,312.39,311.77,318.08,305.41,332.86,326.90,325.49,316.93
2000-02-27 21:59:28.435000,L7,338.71,297.91,291.60,299.54,282.80,270.13,318.16,309.33,282.85,336.74
2000-02-27 21:59:52.393000,L7,357.54,296.42,299.44,290.76,300.38,248.26,309.94,211.36,258.57,309.32
2000-03-14 21:59:23.204000,L7,335.72,303.15,299.10,304.31,281.95,265.91,323.43,307.63,292.38,341.18
2000-03-14 21:59:47.162000,L7,326.83,299.21,227.24,305.53,266.35,247.18,317.85,256.69,274.91,317.90
2000-03-30 21:59:21.444000,L7,347.30,300.59,300.80,299.05,275.36,263.43,314.27,305.18,281.71,313.89
2000-03-30 21:59:45.397000,L7,314.80,255.26,294.78,266.51,,,,,,
2000-05-01 21:59:06.644000,L7,358.46,296.97,296.53,299.98,288.71,,,,289.89,303.32
2000-05-01 21:59:30.586000,L7,298.70,296.34,289.71,291.66,,,,,,
2000-05-17 21:58:55.442000,L7,343.89,303.23,296.35,286.63,211.47,,,258.49,280.07,298.16
2000-05-17 21:59:19.400000,L7,349.50,295.96,302.37,292.25,,,,,,
2000-06-18 21:58:39.829000,L7,358.85,322.04,301.16,296.22,293.63,,,,294.04,201.74
2000-06-18 21:59:03.789000,L7,361.80,336.30,314.24,314.69,297.36,,,,,
2000-07-13 21:52:31.712000,L7,359.87,297.36,,284.46,,,,,278.54,255.80
2000-08-05 21:57:56.710000,L7,352.34,325.90,299.06,297.88,290.43,,,,211.47,305.12
