dates,satname,nzd0557-0000,nzd0557-0001,nzd0557-0002,nzd0557-0003,nzd0557-0004,nzd0557-0005,nzd0557-0006,nzd0557-0007,nzd0557-0008,nzd0557-0009,nzd0557-0010,nzd0557-0011,nzd0557-0012,nzd0557-0013,nzd0557-0014,nzd0557-0015,nzd0557-0016,nzd0557-0017,nzd0557-0018,nzd0557-0019,nzd0557-0020,nzd0557-0021,nzd0557-0022,nzd0557-0023,nzd0557-0024,nzd0557-0025,nzd0557-0026,nzd0557-0027,nzd0557-0028,nzd0557-0029,nzd0557-0030,nzd0557-0031,nzd0557-0032,nzd0557-0033,nzd0557-0034,nzd0557-0035,nzd0557-0036,nzd0557-0037,nzd0557-0038,nzd0557-0039,nzd0557-0040,nzd0557-0041,nzd0557-0045,nzd0557-0046,nzd0557-0047,nzd0557-0048,nzd0557-0049,nzd0557-0042,nzd0557-0043,nzd0557-0044
2004-05-02 22:00:57.398000,L5,386.17,388.45,366.04,352.03,340.00,332.25,325.91,312.68,324.80,334.66,323.97,309.51,315.92,322.36,316.48,315.49,310.54,312.07,294.83,293.62,281.60,275.64,275.72,282.08,281.87,279.25,287.58,307.95,302.74,272.32,258.91,250.66,240.94,234.70,229.75,239.20,226.94,198.08,187.28,188.46,201.47,209.24,221.43,239.18,244.71,221.32,230.39,207.50,205.07,208.80
2004-05-18 22:01:26.569000,L5,244.46,240.60,248.58,246.30,244.07,252.21,243.19,231.50,227.98,228.21,227.07,227.41,212.05,205.07,209.37,226.63,236.01,231.74,228.81,211.28,198.92,155.00,158.58,183.65,193.74,190.93,191.69,222.14,213.17,201.89,,,,,,,,,,,,,150.06,169.81,181.25,164.23,180.28,,,145.67
2005-01-13 22:06:52.927000,L5,342.97,325.38,320.20,309.51,301.27,293.22,284.13,278.54,279.19,284.80,272.63,271.12,267.20,266.33,266.46,270.77,281.02,278.90,263.51,252.05,240.32,236.55,246.15,249.82,256.82,261.30,267.31,279.14,273.31,259.12,236.71,217.84,210.19,206.85,203.59,202.11,182.76,174.09,,,151.11,164.22,189.50,210.60,216.06,200.25,212.16,177.95,176.14,177.47
2005-02-14 22:07:21.106000,L5,338.43,320.83,313.20,303.89,296.96,289.21,276.77,274.43,273.73,276.24,277.25,273.11,269.38,268.30,259.88,263.73,275.17,273.29,255.81,246.55,233.54,225.17,238.22,246.40,254.01,258.76,266.34,275.24,270.03,263.84,238.53,227.00,214.76,201.62,200.22,204.07,174.75,145.97,,,152.46,159.88,191.01,199.16,204.82,190.85,200.78,171.53,178.85,185.73
2005-08-09 22:08:46.932000,L5,423.39,417.97,379.43,367.12,361.40,320.23,323.66,321.72,315.40,320.82,325.66,356.43,364.57,377.22,356.23,349.95,346.14,356.44,350.13,335.99,313.53,292.33,282.45,286.80,316.63,324.17,306.99,302.84,296.65,297.92,291.47,288.18,277.53,283.95,267.96,245.47,206.32,196.77,197.08,190.39,213.75,210.25,225.04,248.46,251.72,247.70,260.18,215.73,246.44,222.74
2005-09-10 22:08:55.708000,L5,328.86,318.52,309.99,302.56,291.63,287.69,276.50,269.98,268.83,269.43,266.84,267.09,263.49,261.42,264.96,270.14,277.12,272.75,255.26,246.76,233.28,227.71,231.00,232.80,234.37,241.41,248.81,267.66,263.92,249.09,229.71,221.63,214.12,205.79,202.77,198.72,181.89,158.15,,,140.27,158.44,192.41,212.56,219.14,199.47,212.33,171.67,176.12,184.87
2005-11-13 22:09:08.414000,L5,377.34,360.70,349.00,351.18,352.07,358.18,353.35,333.71,311.87,300.19,298.39,324.04,347.22,349.19,343.21,338.89,342.95,338.29,327.87,315.74,303.13,294.32,285.63,275.58,270.86,277.06,292.52,309.87,302.43,285.65,268.89,263.88,251.70,245.23,247.03,246.98,219.88,217.33,188.25,179.21,182.66,191.14,241.62,249.06,252.71,238.36,248.63,195.13,198.28,209.02
2006-02-17 22:11:22.491000,L5,341.24,328.54,319.70,308.55,300.48,293.97,280.54,278.93,277.07,276.37,277.30,274.92,273.34,274.02,273.15,277.41,287.86,281.91,268.28,259.78,249.02,242.28,244.86,247.60,255.32,257.91,264.62,274.56,270.51,250.36,239.62,226.26,221.26,212.61,212.64,216.26,189.60,163.91,,,148.18,157.77,195.66,212.11,222.38,207.32,223.08,171.17,176.76,183.81
2006-04-22 22:12:36.093000,L5,398.19,389.50,389.85,368.62,354.43,335.38,322.87,321.90,325.35,330.91,312.11,305.64,314.64,331.74,336.64,324.29,336.37,335.13,326.13,315.03,293.61,283.08,277.33,278.08,296.32,304.82,295.25,308.04,299.73,276.01,264.24,255.04,252.05,237.56,237.52,234.87,217.82,192.91,172.37,191.78,195.16,197.67,213.85,226.40,241.48,217.22,233.88,196.39,197.23,199.59
2006-07-27 22:13:58.731000,L5,315.34,314.99,304.64,298.43,286.09,287.01,278.12,265.98,266.83,271.99,267.92,263.16,265.01,267.69,263.64,266.86,272.15,272.22,261.56,247.66,239.98,234.40,238.35,243.55,243.78,246.63,255.50,269.28,261.72,252.49,244.69,224.27,219.24,210.72,200.88,202.36,187.26,157.58,,,150.12,162.63,203.78,219.56,231.75,207.55,235.68,178.91,188.20,189.83
2006-08-28 22:14:23.601000,L5,321.64,324.88,301.85,301.92,295.42,290.79,280.07,275.86,274.31,276.84,275.25,271.93,265.75,267.49,272.71,275.86,288.09,271.17,257.82,245.84,232.47,230.44,229.29,235.43,239.68,245.29,256.05,276.41,271.90,255.40,242.23,237.61,225.82,218.61,203.26,200.28,179.45,156.30,,,145.03,163.97,208.68,220.54,212.26,203.01,223.92,188.77,191.24,198.90
2006-10-31 22:15:04.884000,L5,,,,210.35,231.21,248.47,236.64,217.58,186.62,,,,,189.13,194.64,223.94,242.72,242.35,227.32,220.46,208.98,166.84,177.46,208.25,214.54,204.07,187.48,209.07,224.20,208.23,193.98,181.52,178.35,177.83,186.22,,,,,,,,,,,,,,,
2007-02-04 22:15:45.266000,L5,342.53,324.73,316.92,307.16,298.03,290.77,278.59,274.18,272.20,273.36,272.96,273.47,269.96,269.50,268.18,272.98,286.77,284.37,273.29,262.95,253.17,243.95,246.76,250.21,253.33,258.96,266.84,267.95,264.99,243.06,231.49,218.99,210.96,207.32,215.37,219.67,194.13,170.66,,,151.18,149.22,183.04,204.30,218.92,205.30,214.81,160.06,170.86,171.49
2007-10-02 22:13:42.645000,L5,275.68,262.12,265.16,254.79,258.70,268.52,274.85,270.12,266.43,265.31,264.18,264.17,261.20,259.95,260.24,263.96,275.72,270.52,251.93,242.70,228.81,219.79,224.15,236.62,207.70,,252.63,258.54,259.01,242.10,224.28,213.13,214.25,208.22,207.12,203.34,178.89,,,,,,,,,,,,,
2010-10-26 22:10:38.745000,L5,313.77,295.84,289.52,284.24,279.74,267.28,258.73,252.57,246.69,247.16,252.50,248.69,246.03,243.63,245.21,248.78,261.67,256.84,250.92,245.87,236.05,232.30,233.19,235.34,240.79,247.73,257.06,266.58,250.22,230.04,217.04,211.75,207.89,200.33,201.73,220.94,196.99,165.84,137.90,158.82,169.39,177.59,207.94,226.45,239.93,244.66,271.51,179.20,184.04,192.58
2010-11-27 22:10:35.713000,L5,328.47,312.36,300.27,297.32,293.83,286.73,277.57,273.55,266.96,261.56,262.89,261.61,253.64,250.16,255.18,259.31,267.60,266.62,253.26,242.80,229.90,229.75,236.82,238.38,244.94,248.79,256.82,267.38,266.13,246.32,219.21,208.44,205.40,203.04,203.53,200.52,185.94,161.65,,,156.14,165.55,177.21,181.61,227.74,205.39,223.35,179.17,174.95,169.15
2013-05-11 22:22:42.945000,L8,310.50,284.12,283.08,277.04,272.89,263.94,237.85,251.63,249.88,244.69,240.18,236.20,217.59,185.88,197.76,196.36,239.43,236.23,229.65,218.89,195.59,141.73,149.32,173.46,191.00,205.67,190.78,220.71,227.22,215.64,195.68,187.82,184.80,181.16,175.85,154.95,159.75,,,,,,155.66,167.93,181.61,172.16,192.54,,,142.85
