dates,satname,nzd0435-0000,nzd0435-0001,nzd0435-0002,nzd0435-0003,nzd0435-0004,nzd0435-0005,nzd0435-0006,nzd0435-0007,nzd0435-0008,nzd0435-0009,nzd0435-0010,nzd0435-0011,nzd0435-0012,nzd0435-0013
2003-08-11 22:03:03.501000,L5,,,,,260.26,222.95,259.60,256.05,,,,,,
2003-08-27 22:03:21.662000,L5,,,,,190.15,272.95,261.03,272.71,154.91,,,,,
2003-12-10 21:58:29.659000,L5,,,,,267.86,271.04,265.62,261.79,256.36,257.13,257.05,163.22,,
2003-12-26 21:58:42.145000,L5,,,,265.12,293.94,294.93,290.30,284.15,267.48,257.97,260.00,184.57,,
2004-01-18 22:04:57.325000,L5,,,,243.79,277.19,279.53,273.54,262.27,245.22,239.02,240.08,,,
2004-02-19 22:05:07.713000,L5,,,,,274.92,271.51,260.55,256.65,239.18,235.56,238.43,,,
2004-09-30 22:10:21.832000,L5,,,,,262.16,271.36,257.96,255.11,234.38,254.75,249.13,174.68,,
2004-11-26 22:05:17.306000,L5,,,,254.16,278.84,287.36,273.32,260.02,250.23,249.45,246.25,167.13,,
2005-02-14 22:06:33.160000,L5,,,,,245.28,258.49,237.57,245.15,240.94,253.11,244.40,168.48,,
2005-02-21 22:12:51.062000,L5,,,,,274.49,282.62,271.41,266.27,249.76,258.12,251.43,174.25,,
2005-11-13 22:08:20.468000,L5,,,,,268.88,280.56,266.17,266.33,253.81,250.67,249.74,170.82,,
2006-02-01 22:10:13.684000,L5,,,,,261.67,270.17,258.66,257.32,241.77,247.95,245.60,161.73,,
2006-02-08 22:16:33.840000,L5,,,,,,,257.62,261.12,231.95,248.21,247.10,,,
2006-10-31 22:14:17.081000,L5,,,,,267.68,228.79,262.37,256.82,251.76,253.34,244.62,157.64,,
2006-12-09 22:20:48.644000,L5,,,,,183.81,274.64,259.58,251.99,248.04,243.46,241.70,163.82,,
2007-01-26 22:21:06.903000,L5,,,,,258.33,266.46,251.90,245.67,246.96,251.75,250.10,161.21,,
2007-02-04 22:14:57.320000,L5,,,,232.74,269.58,278.38,276.04,267.02,258.46,257.68,257.86,174.53,,
2007-02-11 22:21:08.430000,L5,,,,257.02,286.77,292.24,279.45,263.78,251.69,253.48,249.60,167.64,,
2007-09-07 22:19:19.580000,L5,,,,,254.64,269.33,251.02,240.26,156.56,,,,,
2007-10-02 22:12:54.699000,L5,,,,,277.62,285.38,263.71,252.30,239.66,249.63,243.37,,,
2008-12-23 22:04:28.225000,L5,,,,,,,247.48,258.87,250.84,245.70,238.39,,,
