dates,satname,nzd0319-0000,nzd0319-0001,nzd0319-0002,nzd0319-0003,nzd0319-0004,nzd0319-0005,nzd0319-0006,nzd0319-0007,nzd0319-0008,nzd0319-0009,nzd0319-0010,nzd0319-0011,nzd0319-0012,nzd0319-0013,nzd0319-0014,nzd0319-0015,nzd0319-0016,nzd0319-0017,nzd0319-0018,nzd0319-0019,nzd0319-0020,nzd0319-0021,nzd0319-0022,nzd0319-0023,nzd0319-0024,nzd0319-0025,nzd0319-0026,nzd0319-0027,nzd0319-0028,nzd0319-0029,nzd0319-0030,nzd0319-0031,nzd0319-0032,nzd0319-0033,nzd0319-0034,nzd0319-0035,nzd0319-0036,nzd0319-0037,nzd0319-0038
1999-08-17 22:12:02.089000,L7,470.61,372.37,309.44,350.01,384.47,351.42,374.85,381.55,417.23,354.47,346.64,323.57,402.44,400.61,288.47,363.86,369.16,466.64,445.59,446.61,427.35,433.27,461.75,389.60,514.51,532.54,541.19,509.39,528.87,526.41,486.98,432.45,450.78,307.02,343.33,539.01,541.22,324.12,334.96
1999-08-26 22:05:56.841000,L7,,,,,,271.31,267.88,317.95,293.17,312.60,299.03,254.89,267.59,259.26,,,260.46,276.38,242.68,312.11,319.47,250.67,325.66,334.68,332.45,330.72,349.47,338.75,345.39,345.16,335.51,335.97,338.05,307.86,202.60,347.41,242.44,291.40,241.57
1999-09-27 22:06:00.877000,L7,,,,,185.81,243.95,264.87,297.85,287.74,286.74,283.17,247.43,254.23,,,,,,252.83,297.02,232.48,,,,,304.06,345.30,343.13,315.05,219.94,193.21,268.32,263.55,248.19,196.21,,,,
1999-11-21 22:12:00.068000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196.92,329.63,378.48,336.06,418.37,449.77,434.33,422.06,316.56
1999-11-30 22:05:47.159000,L7,331.67,310.74,307.76,421.48,411.75,454.94,433.66,379.78,514.45,472.50,442.04,372.26,491.78,551.86,533.68,350.52,504.22,519.51,438.84,421.59,406.23,403.34,372.43,391.85,401.56,398.02,377.28,420.43,480.95,413.35,372.63,485.49,491.44,388.74,382.72,397.21,373.48,349.52,401.43
1999-12-16 22:05:57.846000,L7,416.07,407.84,381.47,371.18,385.69,405.66,418.69,422.89,407.06,403.48,366.03,362.22,372.29,412.77,426.70,415.78,430.84,423.41,432.67,418.28,406.48,408.68,418.33,412.79,413.30,416.48,441.85,413.33,469.10,415.72,400.50,385.27,391.47,381.67,391.04,459.77,480.59,461.96,447.15
2000-02-25 22:11:49.490000,L7,354.60,392.38,375.82,172.62,200.93,247.78,289.60,521.50,501.23,519.30,499.35,251.85,266.31,262.74,233.99,432.41,429.49,443.26,441.11,431.26,437.35,443.58,431.71,454.99,430.29,428.11,437.65,427.97,217.15,317.22,290.20,329.01,335.11,339.93,329.09,457.53,310.89,302.15,292.21
2000-03-05 22:05:36.285000,L7,,,,,197.59,233.96,302.85,316.98,289.60,284.73,269.81,235.21,251.93,254.06,,,,,325.81,320.81,321.66,241.66,315.63,297.67,306.56,317.12,341.78,284.37,,,319.10,324.04,304.27,294.88,234.59,,,,
2000-03-12 22:11:45.772000,L7,242.85,221.79,340.90,358.37,398.17,369.89,408.52,482.89,503.24,494.28,311.51,337.36,374.28,342.64,352.61,516.59,,,352.89,356.90,370.51,,,,,,,,,,,,,,,,,,
2000-03-21 22:05:37.143000,L7,,,,,,,278.95,289.28,285.26,280.81,279.99,256.25,275.58,261.63,247.57,,,,,,,240.31,290.26,271.09,290.16,309.84,343.87,354.70,342.63,,,311.49,294.52,238.11,246.09,274.76,298.14,282.36,
