dates,satname,nzd0227-0000,nzd0227-0001,nzd0227-0002,nzd0227-0003,nzd0227-0004,nzd0227-0005,nzd0227-0006,nzd0227-0007,nzd0227-0008,nzd0227-0009,nzd0227-0010,nzd0227-0011,nzd0227-0012,nzd0227-0013,nzd0227-0014,nzd0227-0015,nzd0227-0016,nzd0227-0022,nzd0227-0023,nzd0227-0024,nzd0227-0025,nzd0227-0026,nzd0227-0027,nzd0227-0028,nzd0227-0017,nzd0227-0018,nzd0227-0019,nzd0227-0020,nzd0227-0021,nzd0227-0029,nzd0227-0030,nzd0227-0031,nzd0227-0033,nzd0227-0034,nzd0227-0035,nzd0227-0036,nzd0227-0037,nzd0227-0038,nzd0227-0039,nzd0227-0040,nzd0227-0041,nzd0227-0042,nzd0227-0032
1999-08-21 21:46:33.053000,L7,296.16,292.55,272.06,253.71,268.15,283.95,267.81,273.30,273.99,282.64,294.67,279.92,255.25,249.65,269.28,270.34,275.60,217.77,225.87,247.43,256.77,258.91,254.06,236.37,,,,,,,,,,,,,,,,,,,
1999-09-22 21:46:36.849000,L7,358.65,347.25,343.63,342.23,344.50,362.68,374.02,369.73,363.25,337.66,363.78,336.31,329.13,324.17,321.11,340.86,322.49,308.19,333.06,307.51,306.15,308.14,293.11,283.76,311.66,317.40,309.31,307.37,303.42,279.89,293.98,222.12,277.68,298.79,294.05,275.37,276.65,309.03,321.14,312.72,303.97,260.85,
1999-09-29 21:52:52.243000,L7,411.67,404.28,405.27,427.79,413.38,430.35,424.93,421.43,416.60,419.73,420.82,416.93,409.59,394.01,413.93,395.48,421.39,440.07,443.36,434.98,400.20,416.18,371.87,395.01,426.67,380.43,398.25,422.81,446.10,382.10,389.83,367.02,374.73,368.65,374.90,346.02,347.54,352.42,356.51,359.47,368.78,361.32,378.03
1999-10-15 21:52:49.322000,L7,304.68,297.63,268.39,,272.56,262.05,276.23,268.27,270.54,308.90,267.98,267.00,294.28,242.28,267.72,240.12,243.42,269.01,282.32,289.70,296.83,288.65,278.01,259.95,270.83,263.30,277.33,270.43,272.26,207.89,240.25,,,229.97,260.57,239.73,248.34,263.92,303.60,297.89,294.69,258.66,
1999-10-24 21:46:32.266000,L7,362.87,351.35,355.75,358.53,342.79,362.72,357.18,359.85,367.88,360.29,362.70,354.73,343.70,328.92,329.06,339.03,327.96,315.29,307.58,311.40,316.27,311.20,301.12,283.57,320.03,316.55,318.30,315.04,306.98,303.91,291.36,230.92,276.75,294.00,325.19,297.39,310.29,312.64,324.25,318.10,307.86,305.47,
2000-02-04 21:52:37.377000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.44,246.27,261.96,197.14,192.79,220.69,
2000-03-16 21:46:15.139000,L7,414.33,422.77,405.50,419.98,499.39,525.54,515.36,529.44,532.07,483.97,468.09,425.82,441.99,455.93,399.72,401.12,424.01,413.10,421.86,393.27,398.17,383.16,367.91,347.01,443.60,423.00,388.45,382.95,392.90,351.75,364.98,397.91,372.15,366.92,355.56,350.35,377.07,366.67,381.28,377.87,379.08,385.95,374.90
2000-05-03 21:45:55.224000,L7,310.68,301.39,272.78,259.19,194.42,261.90,229.72,237.12,269.50,269.64,293.62,272.96,286.08,243.11,270.09,259.65,240.26,,244.02,258.53,273.59,270.18,255.39,250.62,261.02,,,,,210.34,216.90,,,,,,,257.32,284.36,288.97,200.77,223.04,
2000-05-26 21:51:48.668000,L7,317.16,300.14,329.62,280.85,274.00,311.55,316.51,299.57,281.79,318.42,338.97,330.20,312.76,249.78,270.26,261.61,284.68,264.05,283.91,291.31,297.23,296.37,276.71,264.92,301.93,254.45,296.57,281.72,271.20,229.55,247.76,,,219.39,266.08,232.73,239.67,276.45,283.53,290.83,,,
2000-07-06 21:45:15.097000,L7,320.34,315.04,298.50,291.52,289.15,318.31,324.18,326.10,325.00,334.36,332.59,329.55,330.46,290.21,258.95,269.80,296.51,530.49,490.53,504.62,391.32,364.23,345.96,491.58,298.31,305.53,291.84,296.59,524.45,477.45,392.94,559.16,,,,374.40,533.49,451.64,477.97,,463.48,441.03,552.27
