dates,satname,nzd0299-0000,nzd0299-0001,nzd0299-0002,nzd0299-0003,nzd0299-0004,nzd0299-0005,nzd0299-0006,nzd0299-0007,nzd0299-0008,nzd0299-0009,nzd0299-0010,nzd0299-0011,nzd0299-0012,nzd0299-0013,nzd0299-0014,nzd0299-0015,nzd0299-0016,nzd0299-0017,nzd0299-0018,nzd0299-0019,nzd0299-0020,nzd0299-0021
1999-12-09 21:59:45.569000,L7,241.11,251.90,209.40,292.93,260.40,279.88,240.72,305.42,331.28,333.07,330.99,241.22,244.87,293.42,296.05,291.34,297.26,286.23,326.96,327.83,332.28,350.58
2000-01-26 21:59:38.265000,L7,400.40,388.05,388.25,383.56,389.77,377.71,376.81,397.93,398.65,371.89,423.72,435.36,417.35,359.28,367.53,383.59,369.14,419.69,453.79,468.66,455.71,426.38
2000-03-14 21:59:23.204000,L7,331.25,317.74,293.38,271.48,327.19,272.71,250.33,297.48,322.69,327.14,329.12,323.56,283.22,288.09,302.17,293.73,299.24,292.57,305.34,312.90,320.40,334.59
2000-03-30 21:59:21.444000,L7,,,,,200.37,208.09,193.59,212.23,,,,,,,,,,,,,,
2000-08-05 21:57:56.710000,L7,282.65,298.59,264.48,223.33,255.96,267.81,226.82,221.69,167.54,212.66,206.74,221.61,225.75,,,225.33,188.94,222.41,,251.34,323.01,342.06
2000-09-22 21:57:17.413000,L7,520.04,525.99,517.46,518.46,532.66,527.61,523.14,532.35,519.68,520.54,520.78,515.71,532.42,,497.43,517.33,350.40,364.18,354.35,333.25,338.28,351.55
2000-11-25 21:57:10.965000,L7,274.58,286.17,280.73,227.88,246.74,259.48,,,,,,,,,,,,226.51,277.37,285.45,308.29,328.23
2001-01-12 21:57:18.640000,L7,355.35,351.69,346.94,341.11,338.06,346.04,333.66,337.78,334.91,335.94,336.43,335.15,335.90,331.27,325.47,331.83,334.39,333.12,337.48,335.76,341.27,349.58
2001-02-13 21:57:15.648000,L7,360.38,349.68,350.97,341.75,347.02,346.70,340.92,341.66,337.83,339.03,342.40,334.56,338.72,315.76,299.93,312.06,318.61,283.57,339.02,328.91,333.89,347.27
2001-03-17 21:57:04.487000,L7,313.03,344.28,321.55,345.59,336.20,,,,,,323.59,337.78,,,193.60,300.91,304.14,307.67,313.35,339.07,332.80,348.82
2001-04-02 21:56:54.678000,L7,285.28,291.77,285.97,268.41,337.75,346.57,295.67,,,,,,,,,279.81,274.75,273.47,194.04,229.91,,349.03
2001-09-09 21:55:24.790000,L7,375.98,391.31,386.60,371.28,368.89,365.81,375.75,368.97,354.94,398.09,348.43,353.33,366.45,321.24,328.10,312.03,321.48,322.04,342.69,334.23,342.35,359.46
2001-09-25 21:55:16.606000,L7,401.18,432.33,399.21,412.56,394.94,368.51,366.06,361.58,365.11,354.59,361.12,355.39,356.16,344.68,337.23,365.35,362.13,352.74,348.40,341.90,343.34,365.48
