dates,satname,nzd0107-0000,nzd0107-0001,nzd0107-0002,nzd0107-0003,nzd0107-0004,nzd0107-0005,nzd0107-0006,nzd0107-0007,nzd0107-0008,nzd0107-0009,nzd0107-0010,nzd0107-0011,nzd0107-0012,nzd0107-0013,nzd0107-0014,nzd0107-0015,nzd0107-0016,nzd0107-0017,nzd0107-0018,nzd0107-0019,nzd0107-0020,nzd0107-0021,nzd0107-0022,nzd0107-0023,nzd0107-0024,nzd0107-0025,nzd0107-0026,nzd0107-0027,nzd0107-0028,nzd0107-0029,nzd0107-0030,nzd0107-0031,nzd0107-0032,nzd0107-0033,nzd0107-0034,nzd0107-0035,nzd0107-0036,nzd0107-0037,nzd0107-0038,nzd0107-0039,nzd0107-0040,nzd0107-0041,nzd0107-0042,nzd0107-0043,nzd0107-0044,nzd0107-0045,nzd0107-0046,nzd0107-0047,nzd0107-0048,nzd0107-0049,nzd0107-0050,nzd0107-0051,nzd0107-0052,nzd0107-0053,nzd0107-0054,nzd0107-0055,nzd0107-0056,nzd0107-0057,nzd0107-0058
1999-08-26 22:04:44.971000,L7,230.13,213.98,179.93,248.26,243.81,266.33,262.89,257.22,254.97,167.37,308.83,310.78,309.29,316.33,317.19,325.12,334.03,328.90,323.68,318.79,326.92,329.33,330.40,328.43,332.56,332.59,336.67,330.34,337.66,334.00,329.88,331.89,334.65,342.91,302.69,339.40,284.70,340.79,342.42,333.96,337.86,335.85,336.13,333.36,335.41,337.05,338.36,334.74,337.44,337.93,336.59,327.11,316.23,315.66,313.45,312.17,297.98,290.79,286.93
1999-09-27 22:04:48.949000,L7,276.54,296.24,234.49,180.72,175.14,178.35,285.66,282.19,278.98,280.68,284.94,382.81,401.07,382.43,411.72,375.93,306.40,302.01,304.64,300.45,300.94,303.53,307.97,313.91,372.64,318.91,319.28,317.38,320.84,319.31,319.08,319.86,326.80,320.72,327.76,318.75,321.13,319.49,322.39,318.34,320.59,319.83,314.47,316.61,309.00,313.39,303.68,318.70,376.87,370.58,364.09,359.95,351.27,345.00,343.92,339.33,333.32,329.87,323.69
1999-11-14 22:04:42.286000,L7,279.33,298.88,306.92,298.64,288.50,287.00,286.51,283.93,286.60,209.27,173.71,374.45,290.64,302.76,305.66,312.16,318.95,309.62,309.36,309.96,302.12,371.63,426.04,445.05,414.03,406.84,411.42,435.99,484.10,472.46,437.57,405.21,437.80,386.61,428.35,415.66,393.62,410.83,397.05,390.30,385.21,379.13,384.61,397.16,383.31,386.62,381.88,369.60,385.08,386.65,380.10,365.95,365.80,375.89,373.84,350.70,354.25,338.33,341.56
2000-01-01 22:04:37.439000,L7,347.38,505.06,456.87,535.14,553.41,326.04,511.67,450.01,489.24,215.69,380.04,489.03,523.71,519.43,512.15,386.13,390.58,,279.12,324.02,377.97,322.94,325.26,217.34,331.60,345.99,341.43,337.04,396.69,397.80,402.75,403.17,416.65,410.15,420.12,394.28,395.75,414.14,402.23,397.31,359.52,329.34,,,,,,,,,,,,,,252.58,337.23,355.70,353.71
2000-01-17 22:04:35.821000,L7,523.28,511.72,453.43,372.69,492.90,495.87,474.42,457.28,474.64,358.13,499.55,446.76,413.45,450.81,417.08,417.59,456.73,512.84,328.92,353.91,313.84,318.82,338.20,350.81,364.32,344.28,341.74,342.84,268.61,389.93,378.57,372.19,336.62,337.77,342.78,334.01,343.19,339.74,336.25,337.03,208.61,335.31,343.60,334.80,334.82,329.84,334.29,336.54,310.26,490.20,353.74,334.99,394.70,433.32,502.38,501.31,,495.10,526.82
2000-02-18 22:04:29.218000,L7,,406.07,370.56,363.17,356.99,349.56,347.58,342.85,346.07,374.09,360.61,352.97,358.42,370.58,367.38,317.74,371.33,431.36,390.14,359.49,376.31,373.18,319.50,375.16,371.98,330.05,426.95,333.93,396.11,393.99,392.44,413.54,411.71,419.25,386.84,402.66,428.15,376.41,376.68,399.85,413.28,406.49,412.07,381.97,369.31,373.70,325.69,401.43,327.18,418.90,424.43,430.22,395.57,368.17,307.48,416.13,432.69,355.28,349.64
2000-05-24 22:03:46.662000,L7,364.32,398.14,394.75,251.47,267.89,267.68,263.57,253.33,256.51,244.66,257.89,177.54,244.60,213.89,204.75,248.93,279.52,276.45,288.82,277.30,280.28,295.19,355.98,321.65,331.70,337.55,343.78,337.35,338.91,334.96,332.34,334.66,334.57,338.07,338.13,373.24,314.16,329.31,331.22,335.51,332.04,330.38,353.20,355.02,356.54,355.40,355.61,304.86,254.18,303.22,300.32,299.91,287.69,274.44,284.65,277.71,282.69,219.21,187.92
2000-10-15 22:01:56.204000,L7,,364.35,352.72,353.16,355.43,316.00,335.24,,,,,532.88,409.54,317.94,377.44,432.78,448.47,160.47,168.48,230.86,347.56,352.52,360.12,332.07,361.59,388.51,389.67,369.89,358.02,418.29,484.77,503.33,,,,210.56,225.93,271.82,309.25,291.84,,,,365.99,,,,,,,,,,,,,,,
2001-01-03 22:02:12.432000,L7,412.84,417.67,415.93,238.12,243.07,248.17,247.09,213.04,224.86,164.35,407.56,403.82,306.84,396.55,405.24,320.03,265.26,255.13,187.21,261.11,196.91,184.45,242.90,184.53,254.92,277.49,283.59,204.47,278.88,279.88,241.30,276.20,287.09,273.71,295.40,285.70,424.73,330.07,407.00,334.14,413.95,397.55,400.55,374.32,380.11,384.95,415.94,410.14,335.86,390.89,337.12,414.18,407.70,396.11,386.99,397.57,291.59,390.16,409.19
2001-02-04 22:02:14.384000,L7,,390.60,462.13,414.49,425.89,339.64,542.24,497.11,,,,,,351.12,256.44,533.53,261.43,315.61,329.99,239.67,486.90,427.70,362.56,346.31,370.68,367.41,378.04,370.52,372.42,371.94,220.19,229.19,185.99,163.24,516.51,511.78,364.47,374.02,376.58,312.27,443.55,456.12,446.41,441.20,419.24,,461.43,410.75,406.45,404.48,408.24,396.51,438.98,389.12,329.86,313.14,288.44,292.94,294.42
2001-03-24 22:01:59.719000,L7,316.45,317.69,321.01,252.83,270.68,272.22,279.57,269.21,263.40,253.49,272.62,294.41,322.72,306.42,309.14,305.03,313.50,312.45,305.85,318.42,313.49,317.94,319.07,325.64,339.96,339.51,323.50,323.72,319.39,327.24,320.66,314.53,314.84,318.02,320.42,325.08,312.31,300.59,318.68,322.23,318.50,313.17,315.78,319.34,314.76,318.03,316.19,318.86,329.66,340.36,321.71,317.70,316.24,309.78,303.79,281.14,281.73,357.32,330.74
2001-08-15 22:00:38.680000,L7,330.30,313.58,320.92,311.99,310.51,319.22,312.27,301.85,303.79,317.74,323.19,324.04,315.20,315.61,320.92,335.25,336.03,326.80,323.86,321.29,325.82,329.90,330.26,329.30,335.94,347.13,350.45,333.59,343.03,334.27,336.39,336.98,335.10,339.27,339.66,289.00,339.09,332.60,333.94,333.55,335.62,295.44,333.95,331.93,330.94,330.46,336.23,331.92,338.65,331.99,337.96,328.28,321.12,324.44,273.65,317.78,312.76,267.98,266.60
2001-10-02 22:00:04.650000,L7,322.06,319.83,305.60,309.68,309.49,306.14,306.27,308.11,295.76,300.67,320.43,329.10,308.62,314.86,337.57,186.83,325.27,342.17,324.40,320.16,363.66,308.93,325.56,327.91,324.23,339.45,332.32,334.81,348.27,335.56,326.34,352.59,389.77,388.93,350.07,345.69,340.94,330.76,328.43,336.96,332.56,325.96,343.83,361.35,328.94,320.07,325.33,362.84,412.34,337.32,309.89,410.61,287.10,267.96,248.92,273.40,289.49,341.72,374.74
2001-11-03 22:00:10.954000,L7,356.52,347.10,349.99,339.45,311.82,324.72,293.35,229.65,228.13,231.80,242.09,301.94,307.73,304.26,301.97,303.80,,,310.47,350.35,350.54,307.75,302.58,308.25,318.17,318.41,323.04,323.41,318.45,315.54,315.23,314.46,287.30,317.66,320.50,316.78,314.98,315.04,316.40,296.40,316.18,313.84,315.63,310.04,313.77,311.40,316.21,318.55,319.60,296.78,316.58,346.70,307.43,296.31,293.39,345.85,333.56,330.13,325.71
