dates,satname,nzd0065-0000,nzd0065-0001,nzd0065-0002,nzd0065-0003,nzd0065-0004,nzd0065-0005,nzd0065-0006,nzd0065-0007,nzd0065-0008,nzd0065-0009,nzd0065-0010,nzd0065-0011,nzd0065-0012,nzd0065-0013,nzd0065-0014,nzd0065-0015,nzd0065-0016,nzd0065-0017,nzd0065-0018,nzd0065-0019,nzd0065-0020,nzd0065-0021,nzd0065-0022,nzd0065-0023,nzd0065-0024,nzd0065-0025,nzd0065-0026
1999-10-04 22:10:38.131000,L7,527.65,483.94,452.07,342.09,416.41,416.66,420.72,448.81,178.17,270.64,311.72,279.83,276.26,280.00,312.32,376.72,384.36,410.66,417.03,379.79,381.90,379.06,389.83,379.32,387.98,393.87,445.73
2002-12-31 22:05:56.221000,L7,,,,487.24,459.50,,,,,,504.74,522.64,544.26,475.93,530.18,546.35,,,,,,,,,447.48,455.33,531.12
2003-01-16 22:06:02.914000,L7,,,,362.52,370.48,,,488.16,520.16,452.57,459.74,311.97,312.23,313.15,305.57,333.27,476.82,229.52,231.72,235.26,297.39,341.70,389.23,,331.45,179.01,343.35
2003-12-26 21:56:18.593000,L5,,,,,,,,,,,,,187.97,252.61,261.58,268.00,273.05,252.83,243.52,250.72,252.09,257.93,262.60,204.96,,,
2004-04-16 21:57:19.749000,L5,,,,,,,,,,,,,,,212.00,228.75,238.58,212.71,212.73,196.08,207.70,,,,,,
2004-05-18 21:58:14.785000,L5,,,,,,,,,,,,,,236.40,238.47,250.26,249.44,229.86,226.81,243.26,256.33,253.92,254.36,220.09,,,
2004-08-06 22:00:22.463000,L5,,,,,,,,,,,,,,211.53,222.87,236.45,232.73,213.14,,,,,,,,,
2005-01-13 22:03:41.143000,L5,,,,,,,,,,,,,195.22,248.71,258.18,267.69,273.67,259.64,259.53,269.54,274.06,271.24,270.24,205.64,,,
2005-02-14 22:04:09.465000,L5,,,,,,,,,,,,,,219.07,208.12,245.79,265.17,247.60,252.20,260.20,264.64,265.46,264.13,245.40,,,
2005-03-02 22:04:24.338000,L5,,,,,,,,,,,,,238.98,258.64,257.94,257.73,259.68,230.66,242.46,255.00,265.43,264.53,265.17,224.30,,,
2005-04-03 22:04:40.528000,L5,,,,,,,,,,,,,213.67,263.76,262.30,266.98,275.30,254.58,258.39,259.06,266.01,267.80,270.49,227.12,,,274.51
2005-08-25 22:05:41.221000,L5,,,,,,,,,,,,,225.37,250.02,254.70,261.53,261.05,245.60,257.37,267.67,272.71,274.76,275.40,242.86,,,
2006-02-17 22:08:11.136000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,181.19
2006-04-06 22:09:08.139000,L5,,,,,,,,,,,,,,,187.43,221.80,223.13,210.39,202.23,219.38,201.93,178.01,,,,,
2006-08-28 22:11:11.674000,L5,,,,,,,,,,,,,187.48,248.43,255.87,265.51,267.46,255.45,258.47,265.99,267.48,269.44,264.44,216.94,,,
2006-09-13 22:11:23.474000,L5,,,,,,,,,,,,,197.07,259.64,256.62,266.16,271.14,257.74,260.89,266.99,268.94,266.31,267.11,223.10,,,
2006-09-29 22:11:34.525000,L5,,,,,,,,,,,,,202.21,248.23,254.91,264.69,265.77,250.62,255.36,265.06,269.30,272.44,270.70,235.60,,,
2006-12-11 22:06:28.205000,L5,,,,,,,,,,,186.64,189.51,225.37,317.56,333.95,342.62,353.29,360.98,337.71,362.48,397.82,387.16,395.16,400.90,357.33,,
2007-01-03 22:12:49.248000,L5,,,,,,,,,,,169.23,185.26,225.19,290.79,311.15,306.80,315.03,318.15,302.85,313.12,316.75,321.36,319.46,319.09,249.99,,
2008-11-21 22:01:05.982000,L5,,,,,,,,,,,,,199.41,249.52,249.64,264.79,266.39,250.58,256.69,267.40,273.25,274.47,269.49,230.58,,,
2010-01-27 22:08:26.527000,L5,,,,,,,,,,,,,195.03,233.42,240.45,256.57,260.71,244.64,249.31,263.48,261.77,258.66,259.57,223.13,,,
2010-02-12 22:08:30.110000,L5,,,,,,,,,,,,,187.95,236.20,243.77,254.40,256.87,237.40,247.75,255.69,258.57,259.83,256.79,218.15,,,
2010-10-10 22:07:36.102000,L5,,,,,,,,,,245.13,275.82,268.34,275.81,278.51,291.83,297.12,296.96,288.73,302.27,306.85,311.81,307.30,313.42,243.95,,,
2010-11-27 22:07:24.215000,L5,,,,,,,,,,,,,184.86,241.15,248.27,260.87,267.64,242.87,245.00,257.24,258.06,260.04,257.52,210.10,,,
2011-02-15 22:07:34.670000,L5,,,,,,,,,,,,,,223.13,245.90,251.69,254.13,239.53,250.44,260.78,264.48,270.27,272.51,231.21,,,
2013-08-31 22:19:38.558000,L8,,,,,,,,,,,,,,231.23,231.64,244.77,250.94,239.60,244.89,249.23,254.43,250.23,248.03,248.15,,,186.30
2013-08-31 22:20:02.513000,L8,,,,,,,,,,,,,,229.65,229.64,243.63,249.21,238.05,241.46,247.88,252.49,247.88,245.81,246.67,,,184.26
2013-10-02 22:19:28.820000,L8,,244.31,233.81,248.02,,,,,,,,,,233.81,234.63,256.33,257.15,243.61,254.49,265.85,260.12,254.34,253.65,250.35,,,294.68
2013-11-03 22:19:20.378000,L8,,,,,,,,,,,,,,231.73,228.15,243.86,247.63,235.99,244.16,250.81,254.32,250.77,245.05,245.33,,,195.30
2013-11-03 22:19:44.337000,L8,,,,,,,,,,,,,,231.24,227.56,243.52,247.18,235.71,240.43,250.29,253.74,250.39,244.74,245.08,,,
2013-12-05 22:19:13.005000,L8,,,,,,,,,,,,,,229.26,219.05,242.11,256.78,228.77,233.58,244.97,251.76,246.81,243.18,244.75,,,179.73
2014-01-06 22:18:54.881000,L8,,,,,,,,,,,,,,228.84,224.76,243.59,246.52,238.19,234.81,250.75,245.90,251.04,246.98,241.67,,,209.46
2014-01-06 22:19:18.831000,L8,,,,,,,,,,,,,,216.47,215.23,235.84,240.78,229.40,225.90,243.35,228.17,245.71,235.32,198.61,,,
2014-02-07 22:18:33.391000,L8,,,,,,,,,,,,,,,194.61,200.23,206.38,221.92,212.56,231.11,210.82,238.60,219.53,,,,173.75
2014-02-23 22:18:20.398000,L8,,,,,,,,,,,,,,234.19,224.34,244.35,246.36,233.00,229.82,245.21,250.08,246.52,242.99,249.20,,,184.39
2014-03-27 22:17:50.001000,L8,,,,,,,,,,,,,,228.02,211.87,244.57,246.97,231.54,236.14,247.01,251.10,246.40,246.24,252.14,,,183.28
2014-04-12 22:17:37.464000,L8,,,,,,,,,,,,,,233.25,236.27,246.94,251.33,233.96,230.50,248.59,253.26,248.76,244.63,251.48,,,183.84
2014-04-12 22:18:01.415000,L8,,,,,273.64,267.65,264.16,,,,,,,233.42,237.01,246.89,251.29,233.90,230.62,248.71,253.25,248.44,244.87,252.15,,,183.43
2014-05-14 22:17:08.923000,L8,,,,,,,,,,,,,,,,,,,,228.67,213.65,229.72,222.55,183.09,,,
2014-05-30 22:17:11.184000,L8,,,,,,,,,,,,,,,,,,,,229.33,237.72,230.39,228.36,184.55,,,
2014-05-30 22:17:35.135000,L8,,,,,,,,,,,,,,234.92,232.80,245.13,247.41,232.50,241.03,250.67,256.40,250.67,250.29,247.27,,,
2014-11-06 22:17:49.451000,L8,,,,,,,,,,,,,,228.47,225.23,244.23,250.96,234.94,247.01,250.80,250.70,241.08,239.80,245.19,,,
2015-01-25 22:17:32.812000,L8,,,,,,,,,,,,,,236.07,294.70,345.39,420.01,477.38,,,,,,,,,192.05
2015-01-25 22:17:56.767000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,188.48
2015-02-10 22:17:50.967000,L8,,,288.76,243.42,,,,,,,,,,233.07,227.68,242.65,248.53,232.64,239.26,250.62,249.83,242.41,240.81,249.84,,275.85,318.77
2015-02-26 22:17:23.009000,L8,,,,,,,,,,,,,,234.61,225.07,243.86,245.34,232.43,237.97,249.45,252.44,240.90,243.95,251.69,,,189.95
2015-02-26 22:17:46.964000,L8,,,,,,,,,,,,,,234.48,224.92,243.59,245.23,232.33,237.86,249.27,252.26,240.81,243.85,251.83,,,189.84
2015-07-20 22:17:10.706000,L8,,,,,,,,,,,,,,220.61,204.29,206.61,206.89,225.40,215.16,231.95,241.90,221.65,230.50,,,,
2015-08-05 22:17:13.094000,L8,,,,,,,,,,,,,,,,,,,,227.76,236.33,222.39,220.01,173.93,,,
2015-10-08 22:17:36.852000,L8,,,,,,,,,,,,,,233.22,227.98,245.86,258.13,239.51,254.96,256.86,257.96,243.39,261.00,245.27,,,198.78
2015-10-08 22:18:00.802000,L8,,,,,,,,,,,,,,232.52,227.60,245.51,257.68,238.72,254.26,256.51,257.59,243.06,260.99,243.98,,,311.03
2015-12-11 22:17:42.627000,L8,,,,,,,,,,,,,,231.45,222.81,242.89,249.70,237.44,234.59,250.25,249.27,238.69,244.33,243.87,,,
2015-12-11 22:18:06.578000,L8,,,,,,,,,,,,,,232.14,223.61,243.18,250.13,238.08,235.58,250.81,249.40,239.24,244.92,244.73,,,
2015-12-27 22:17:43.409000,L8,,,,,,,,,,,,,,231.66,226.56,244.23,246.10,233.94,232.14,248.62,248.96,236.83,241.22,245.24,,,
2015-12-27 22:18:07.368000,L8,,,,,,,,,,,,,,231.77,226.72,244.31,246.29,234.06,232.24,248.72,249.01,236.93,241.48,245.47,,,
2016-01-12 22:17:40.472000,L8,,,,,,,,,,,,,,233.26,223.86,241.39,247.24,232.99,232.31,247.31,249.04,237.16,243.04,248.13,,,
2016-01-12 22:18:04.426000,L8,,,,,,,,,,,,,,233.17,223.52,241.19,246.88,232.92,231.94,247.13,248.83,237.21,243.05,248.30,,,
2016-09-08 22:17:48.858000,L8,,,,,,,,,,,,,,,,,,215.36,211.72,228.60,232.51,217.05,211.54,176.04,,,
2016-09-08 22:18:12.817000,L8,,,,,,,,,,,,,,224.12,219.86,249.41,253.53,237.15,252.37,251.84,259.28,240.61,253.40,247.21,,,196.56
2016-12-29 22:18:13.623000,L8,,,,,,,,,,,,,,228.97,524.24,243.82,243.39,229.57,231.71,246.29,252.00,250.03,264.06,241.12,,,
2017-01-30 22:17:38.957000,L8,,,,,,,,,,,,,,223.92,227.14,243.39,242.11,229.50,234.76,246.43,254.54,237.22,262.74,241.42,,221.96,266.52
2017-01-30 22:18:02.915000,L8,,,,,,,,,,,,,,222.59,224.57,241.70,240.60,227.76,232.39,244.66,252.44,235.65,255.23,238.81,,,
2017-03-03 22:17:25.727000,L8,,,,,,,,,,,,,,222.00,227.36,242.57,241.91,230.44,227.31,246.36,249.85,234.60,253.86,240.86,,,190.40
2017-03-03 22:17:49.686000,L8,,,,,,,,,,,,,,221.38,226.91,242.23,241.60,230.01,227.00,246.06,249.33,234.21,253.73,241.00,,,189.55
2017-03-19 22:17:15.956000,L8,,,,,,,,,,,,,,,192.10,207.06,204.75,218.69,217.17,235.06,241.20,219.45,225.50,185.55,,,171.69
2017-03-19 22:17:39.906000,L8,,,,,,,,,,,,,,222.60,227.58,247.30,244.56,230.34,263.65,249.90,257.26,250.77,272.17,243.01,177.17,252.57,285.50
2017-04-20 22:16:59.468000,L8,,,,,,,,,,,,,,,207.77,204.84,202.89,218.68,184.39,231.00,240.02,215.57,223.96,178.18,,,168.95
2017-04-20 22:17:23.423000,L8,,,234.08,240.35,,,,,,,,,,227.87,232.14,245.89,250.26,231.55,238.72,249.76,255.79,245.43,261.27,244.02,,,197.46
2017-05-06 22:17:19.352000,L8,,,,,,,,,,,,,,,197.46,202.45,199.71,218.08,,220.02,232.29,213.81,221.72,177.49,,,
2017-12-16 22:17:46.727000,L8,,,,,,,,,,,,,,223.87,227.31,241.71,242.47,228.99,229.93,249.14,245.07,238.49,256.59,244.22,,,254.90
2018-02-02 22:17:27.894000,L8,,,,,,,,,,,,,,220.94,225.46,246.44,251.74,232.48,240.21,256.61,251.01,244.75,249.07,227.03,,,
2018-02-02 22:17:51.844000,L8,,,,,,,,,,,,,,219.57,224.04,245.31,249.88,232.11,238.94,255.20,249.72,243.98,248.13,235.86,,,
2018-02-18 22:17:22.771000,L8,,,,,,,,,,,,,,224.44,230.15,249.01,253.11,238.01,250.26,258.18,258.49,248.36,261.25,237.25,,180.25,213.17
2018-04-07 22:16:59.037000,L8,,,,,,,,,,,,,,,,,,,213.23,235.96,232.93,228.04,225.30,,,,
2018-04-07 22:17:22.995000,L8,,,,,,,,,,,,,,342.97,352.22,183.39,,,240.56,246.87,245.30,246.38,249.93,242.87,,,192.03
2018-07-28 22:16:51.607000,L8,,,,,,,,,,,,,,,,,192.41,219.54,214.33,225.31,239.03,224.65,230.22,186.98,,,
2018-11-17 22:17:31.986000,L8,,,,,,,,,,,,,,220.74,226.05,246.93,257.87,229.98,232.18,247.02,244.86,239.35,241.95,240.33,,,196.76
2018-11-17 22:17:55.945000,L8,,,,,,,,,,,,,,,,,,,,230.65,234.06,230.39,217.37,173.77,,,
2019-01-04 22:17:27.803000,L8,,,,,,,,,,,,,,221.70,224.13,244.59,246.52,232.90,231.73,249.39,246.67,240.49,245.50,236.66,,,
2019-01-04 22:17:51.761000,L8,,,,,,,,,,,,,,222.64,225.24,246.07,248.83,233.92,233.61,250.72,247.77,241.73,250.17,240.34,,,
2019-01-20 22:17:24.544000,L8,,,,,,,,,,,,,,219.77,225.62,244.74,241.19,231.99,229.78,249.59,245.95,242.97,241.72,234.97,,,247.82
2019-01-20 22:17:48.502000,L8,,,,,,,,,,,,,,219.65,225.38,244.40,240.70,231.65,229.42,248.83,245.56,242.37,241.11,232.16,,,246.81
2019-02-05 22:17:21.574000,L8,,,,,,,,,,,,,,221.67,222.79,223.81,239.99,225.59,226.13,237.39,238.61,234.41,235.35,242.20,,,184.83
2019-02-05 22:17:45.524000,L8,,,,,,,,,,,,,,221.99,222.88,236.65,240.40,225.76,226.21,237.60,238.68,234.40,235.81,243.30,,,
