dates,satname,nzd0005-0000,nzd0005-0001,nzd0005-0002,nzd0005-0003,nzd0005-0004,nzd0005-0006,nzd0005-0007,nzd0005-0008,nzd0005-0012,nzd0005-0013,nzd0005-0014,nzd0005-0017,nzd0005-0018,nzd0005-0019,nzd0005-0020,nzd0005-0021,nzd0005-0022,nzd0005-0023,nzd0005-0024,nzd0005-0025,nzd0005-0026,nzd0005-0027,nzd0005-0028,nzd0005-0029,nzd0005-0030,nzd0005-0031,nzd0005-0032,nzd0005-0033,nzd0005-0034,nzd0005-0035,nzd0005-0036,nzd0005-0037,nzd0005-0038,nzd0005-0039,nzd0005-0040,nzd0005-0041,nzd0005-0015,nzd0005-0016,nzd0005-0005,nzd0005-0011,nzd0005-0009,nzd0005-0010
2003-12-26 21:56:18.593000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.58,221.87,238.36,221.03,238.21,250.61,271.67,273.79,262.71,,,,,,
2004-08-22 22:00:48.706000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.72,216.69,230.92,214.27,241.06,248.55,251.23,269.80,259.93,,,,,,
2005-01-13 22:03:41.143000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,,213.66,221.34,238.49,218.18,248.62,260.46,274.88,271.84,261.35,,,,,,
2005-04-03 22:04:40.528000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,,218.39,222.91,242.25,219.09,249.84,253.73,269.54,275.09,262.49,,,,,,
2005-04-19 22:04:43.597000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.29,215.30,234.04,211.06,240.36,254.02,271.75,270.18,262.04,,,,,,
2005-09-26 22:05:42.687000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,215.22,185.54,228.50,223.45,232.62,212.30,243.77,255.20,269.93,279.88,283.02,,,,,,
2005-11-13 22:05:57.059000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,,218.58,213.59,232.63,210.74,244.17,259.00,277.10,285.38,278.01,,,,,,
2006-06-25 22:10:20.606000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,,204.88,205.91,222.50,205.61,237.29,,,,,,,,,,
2007-01-03 22:12:49.248000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,220.56,309.45,304.08,325.76,303.89,334.17,347.04,363.96,370.94,353.63,,,,,,
2007-10-02 22:10:31.289000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,,223.17,208.60,229.59,205.68,239.89,260.10,271.52,282.05,282.39,,,,,,
2009-01-24 22:02:55.057000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,,221.17,217.20,235.42,211.63,244.40,243.79,269.49,270.63,267.02,,,,,,
2010-01-27 22:08:26.527000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,181.68,220.25,216.57,231.84,194.83,218.99,,,,,,,,,,
2010-02-12 22:08:30.110000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.38,204.67,223.13,200.60,230.50,249.53,273.26,277.78,267.81,,,,,,
2010-11-27 22:07:24.215000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,227.05,196.85,231.74,226.12,227.23,220.44,239.16,244.58,267.73,285.46,285.42,,,,,,
2011-01-14 22:07:31.728000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,,216.60,214.09,225.56,207.14,233.79,248.08,268.97,277.98,264.27,,,,,,
2011-09-11 22:06:09.236000,L5,,,,,,,,,,,,,,,,,,,,,,,,,203.80,228.17,206.88,225.63,223.83,235.37,212.01,242.51,248.71,258.35,269.01,269.76,,,,,,
2013-04-25 22:19:21.025000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,222.42,221.97,242.75,215.75,249.86,259.85,273.18,287.40,284.07,,,,,,
2013-05-11 22:19:31.249000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,221.93,225.88,242.53,223.49,254.01,260.87,275.21,284.79,290.43,,,,,,
2013-06-28 22:19:33.252000,L8,303.63,261.05,224.71,258.20,210.33,270.05,273.63,270.30,271.15,261.61,218.76,225.34,217.43,268.36,274.98,282.44,281.84,276.06,273.31,271.15,271.32,270.49,259.78,212.51,251.00,247.31,221.70,231.45,231.56,248.22,226.95,257.28,261.45,285.66,288.39,294.94,,,,,,
2013-08-31 22:19:38.558000,L8,,,,,,,308.60,263.63,,,,,,205.91,242.15,240.62,267.74,251.42,208.70,218.16,221.23,228.24,238.17,,237.15,240.55,215.79,230.82,230.29,246.89,222.84,255.72,261.62,276.65,288.43,285.24,,,,,,
2013-10-02 22:19:28.820000,L8,300.57,260.45,,,,,,,,,,221.78,238.10,254.01,270.03,267.18,274.33,274.74,265.19,267.49,270.14,266.73,257.76,246.64,254.28,249.62,229.50,234.61,236.48,246.49,225.35,259.53,261.91,284.94,293.08,294.32,198.83,208.33,,,,
2013-10-18 22:19:25.762000,L8,,,,,,,,,,,,,199.95,237.23,254.27,247.56,268.16,262.69,210.03,224.45,226.31,237.62,246.89,,231.44,237.03,216.75,220.68,233.74,249.15,220.05,258.21,268.11,285.38,295.68,297.41,,,,,,
