dates,satname,nzd0332-0000,nzd0332-0001,nzd0332-0002,nzd0332-0003,nzd0332-0004,nzd0332-0005,nzd0332-0006,nzd0332-0007,nzd0332-0008,nzd0332-0009,nzd0332-0010,nzd0332-0011,nzd0332-0012,nzd0332-0013,nzd0332-0014,nzd0332-0015,nzd0332-0016,nzd0332-0017,nzd0332-0018,nzd0332-0019,nzd0332-0020,nzd0332-0021,nzd0332-0022,nzd0332-0023,nzd0332-0024,nzd0332-0025,nzd0332-0026,nzd0332-0027,nzd0332-0028,nzd0332-0029,nzd0332-0030,nzd0332-0031,nzd0332-0032,nzd0332-0033,nzd0332-0034,nzd0332-0035,nzd0332-0036,nzd0332-0037,nzd0332-0038,nzd0332-0039,nzd0332-0040,nzd0332-0041,nzd0332-0042,nzd0332-0043,nzd0332-0044,nzd0332-0045,nzd0332-0046,nzd0332-0047,nzd0332-0048,nzd0332-0049,nzd0332-0050,nzd0332-0051,nzd0332-0052,nzd0332-0053,nzd0332-0054,nzd0332-0055,nzd0332-0056,nzd0332-0057,nzd0332-0058,nzd0332-0059,nzd0332-0060,nzd0332-0061,nzd0332-0062,nzd0332-0063,nzd0332-0064,nzd0332-0065,nzd0332-0066,nzd0332-0067,nzd0332-0068,nzd0332-0069,nzd0332-0070,nzd0332-0071,nzd0332-0072,nzd0332-0073,nzd0332-0074,nzd0332-0075,nzd0332-0076,nzd0332-0077,nzd0332-0078,nzd0332-0079,nzd0332-0080,nzd0332-0081,nzd0332-0082,nzd0332-0083,nzd0332-0084,nzd0332-0085,nzd0332-0086
1999-08-28 21:53:59.920000,L7,332.12,334.24,332.05,328.18,333.97,327.18,344.69,352.68,340.75,338.09,339.75,337.01,333.71,337.36,341.38,337.32,345.12,341.86,342.20,342.42,346.64,347.45,351.50,355.35,347.47,346.49,346.67,342.36,342.70,337.04,342.30,346.92,348.68,356.02,351.66,356.75,357.25,365.84,355.86,357.10,359.55,364.37,356.62,347.76,363.42,365.61,361.28,367.29,371.24,367.01,375.15,374.04,383.05,382.95,384.49,381.99,419.13,386.78,390.78,405.61,405.32,391.93,415.90,425.27,401.09,398.20,400.89,443.50,386.06,386.50,396.68,379.28,393.85,415.14,429.52,438.56,455.43,389.44,375.81,400.44,420.99,383.78,376.25,404.27,445.64,411.55,404.70
1999-09-29 21:54:04.102000,L7,312.76,316.74,330.02,303.43,315.41,311.36,299.18,345.69,400.79,399.64,402.03,393.00,378.60,381.11,381.17,319.24,382.89,388.22,326.02,344.56,367.20,339.07,348.58,320.22,316.62,321.43,383.11,388.75,314.75,309.68,304.03,321.67,313.15,316.32,305.85,397.67,394.36,419.02,409.67,404.22,411.48,391.08,287.03,379.97,400.00,414.21,410.46,314.58,314.28,410.59,405.17,410.11,413.09,328.64,327.22,320.18,317.16,321.25,319.28,316.44,320.06,391.71,407.24,414.18,412.29,402.52,404.02,416.15,399.89,378.02,379.02,325.89,323.74,320.78,320.70,334.31,332.43,337.40,412.22,398.55,426.73,395.65,326.98,324.33,325.65,320.36,349.39
1999-11-16 21:53:32.114000,L7,311.10,316.90,305.96,309.73,328.61,317.68,318.42,326.45,344.71,325.52,323.43,318.62,310.70,312.56,302.48,317.56,327.46,318.17,315.03,316.49,316.44,321.94,323.62,337.37,328.85,328.62,323.50,320.27,311.77,306.21,289.74,301.20,298.17,286.29,296.43,304.55,286.48,284.48,412.65,441.52,435.53,452.11,214.19,291.49,321.63,329.23,314.13,236.64,457.41,453.12,419.88,333.80,329.58,329.25,327.94,319.53,325.87,321.77,320.47,322.29,324.07,332.20,330.91,343.40,333.88,325.04,325.60,333.82,303.48,291.69,311.99,328.23,328.10,326.01,326.97,338.51,332.66,338.38,330.35,323.63,323.16,325.19,324.13,322.48,322.56,317.89,356.29
2000-01-19 21:53:25.812000,L7,,,,547.73,501.89,493.28,468.87,410.70,395.66,399.24,433.78,456.73,481.89,474.71,487.21,484.01,476.46,425.28,390.36,347.82,349.72,343.55,347.67,345.35,354.48,351.05,385.91,346.39,366.17,352.72,358.96,407.65,361.73,343.94,345.56,340.18,350.95,355.13,344.92,369.37,356.77,370.31,370.24,370.48,370.40,374.34,351.11,363.82,343.02,351.84,351.64,370.46,373.65,388.96,380.09,384.45,398.36,382.44,394.53,353.77,355.75,379.36,375.24,375.02,363.74,370.29,391.02,373.42,374.88,364.01,389.79,376.59,361.00,375.09,366.14,375.40,385.15,361.65,367.94,374.15,365.10,398.06,386.19,394.40,399.73,376.79,396.26
2000-01-26 21:59:38.265000,L7,292.20,302.65,284.13,288.15,291.97,292.82,302.97,328.86,323.61,317.85,323.60,320.50,309.90,320.71,315.28,323.84,332.36,329.85,336.41,530.76,474.65,431.55,,362.97,371.98,424.92,425.13,420.22,523.73,,,,336.51,341.10,347.08,351.41,354.22,308.14,293.33,300.13,289.08,258.88,246.99,275.39,301.25,328.68,324.79,332.09,340.94,347.04,353.64,362.17,364.18,349.91,341.09,406.61,445.02,390.71,363.77,334.44,312.24,311.75,314.55,321.46,,,,466.87,414.26,391.40,427.56,560.08,454.65,365.38,467.82,251.46,395.20,325.76,181.82,508.05,531.19,493.57,,482.79,397.63,434.08,471.05
2000-02-27 21:59:28.435000,L7,270.55,267.13,261.41,270.57,274.38,268.77,272.41,280.29,275.79,286.02,276.50,281.83,289.31,289.13,284.71,285.28,295.91,295.23,282.10,296.10,291.33,299.13,294.49,302.56,291.35,304.37,305.80,302.76,298.92,290.35,286.06,307.84,300.04,304.94,301.88,304.09,309.34,302.24,303.51,310.50,321.86,379.12,296.82,306.66,364.53,371.44,325.19,344.30,319.90,306.34,302.12,311.64,326.32,326.85,326.12,316.71,319.44,314.07,324.04,324.71,321.39,311.53,313.92,317.18,317.42,319.45,316.76,328.64,389.58,366.77,391.35,373.38,341.11,335.48,388.29,388.71,385.62,387.92,434.45,490.04,435.54,430.20,424.55,374.36,385.58,343.04,358.93
2000-03-14 21:59:23.204000,L7,282.21,273.03,288.70,281.18,294.29,291.39,310.06,302.04,298.44,326.63,317.77,309.28,310.95,289.56,328.95,325.24,342.86,306.68,315.25,294.42,302.38,294.59,295.77,312.04,276.49,311.68,283.95,287.23,304.63,287.75,302.46,229.90,273.20,298.48,303.41,313.08,291.75,313.73,308.69,333.36,267.48,333.53,316.58,287.83,308.64,327.64,326.03,328.02,321.16,309.32,325.54,333.86,325.47,331.73,329.17,334.12,329.25,322.99,321.83,327.31,328.73,332.24,341.20,339.89,339.10,336.24,338.98,336.05,332.18,332.96,299.84,335.02,340.25,346.39,341.72,350.79,355.86,345.12,342.64,344.07,340.10,337.80,350.46,332.87,339.30,341.34,354.57
2000-03-30 21:59:21.444000,L7,,214.91,225.82,233.51,255.10,259.06,226.16,226.68,245.39,259.56,,,,,,257.76,276.26,235.35,,,,194.80,227.99,270.54,230.58,223.83,,172.99,246.69,241.37,247.44,,253.57,222.85,256.24,,,,,269.55,255.16,212.77,214.00,214.27,260.24,264.13,,,,,207.68,283.38,238.19,292.82,238.91,222.23,277.02,260.95,257.54,270.25,,,,225.83,272.08,275.39,281.18,,,,,,,,,,,,,,,284.05,270.77,276.73,291.42,247.56,318.85
2000-05-01 21:59:06.644000,L7,285.85,198.11,251.93,254.10,262.41,266.47,260.78,278.13,267.75,282.00,316.12,299.87,240.49,286.44,320.10,245.76,272.48,258.18,,255.16,205.64,283.25,202.26,279.27,262.63,266.54,267.54,239.42,255.36,,262.99,293.90,284.64,267.60,257.23,257.58,261.69,260.39,239.32,285.04,282.51,267.72,242.12,270.29,,280.28,274.91,267.33,250.19,277.66,276.47,288.76,216.04,295.03,295.75,284.93,281.44,275.96,273.21,283.03,278.90,266.86,292.64,269.10,289.33,272.04,287.28,293.24,268.23,197.89,200.83,292.76,276.90,266.76,283.42,289.36,281.59,296.90,291.63,,,295.51,292.96,264.38,295.34,240.03,310.97
2000-05-17 21:58:55.442000,L7,301.48,308.55,304.50,306.61,309.91,289.16,318.22,309.79,328.73,344.41,339.95,325.58,315.10,305.31,312.20,314.16,336.97,317.73,322.97,322.50,314.64,321.30,317.45,324.16,329.52,309.51,320.96,328.44,304.25,306.41,338.00,314.87,320.51,340.75,305.62,340.60,338.11,318.29,262.06,290.38,285.84,269.27,237.76,253.03,281.80,317.96,282.75,273.77,282.71,299.47,295.29,293.35,292.32,300.70,322.22,290.14,275.49,285.09,284.87,290.44,287.88,315.83,322.36,269.66,314.76,270.03,288.09,309.72,261.40,213.11,279.37,306.06,306.88,266.92,284.43,308.79,293.75,316.76,321.78,,,300.09,302.57,262.58,297.43,245.44,327.87
