dates,satname,nzd0018-0000,nzd0018-0001,nzd0018-0002,nzd0018-0003,nzd0018-0004,nzd0018-0005,nzd0018-0006,nzd0018-0007,nzd0018-0008,nzd0018-0009,nzd0018-0010,nzd0018-0011,nzd0018-0012,nzd0018-0013,nzd0018-0014,nzd0018-0015,nzd0018-0016,nzd0018-0017,nzd0018-0018,nzd0018-0019,nzd0018-0023,nzd0018-0024,nzd0018-0020,nzd0018-0021,nzd0018-0022
1999-08-17 22:10:26.276000,L7,331.33,323.47,330.15,312.71,457.26,454.07,464.99,265.49,282.11,450.65,435.07,444.32,453.15,514.96,512.09,495.76,278.35,277.87,299.44,319.86,224.10,288.81,,,
1999-10-04 22:10:38.131000,L7,395.90,398.61,378.63,375.88,352.29,375.31,495.54,270.26,283.13,223.10,185.20,478.36,468.43,442.08,439.62,543.70,511.81,528.36,487.94,321.32,235.55,496.02,451.60,343.57,
2000-02-09 22:10:19.398000,L7,395.64,510.75,244.60,304.35,247.32,180.42,180.87,456.24,470.88,495.79,515.79,408.21,502.49,488.85,423.49,461.38,464.29,448.57,286.20,316.09,224.67,282.97,,,282.03
2000-03-28 22:10:07.233000,L7,,,238.57,195.20,223.09,466.69,483.60,479.62,476.87,473.04,472.04,476.60,382.42,344.60,267.98,,,,,,,267.19,,,
2000-04-29 22:09:53.797000,L7,162.88,399.53,405.37,318.09,425.75,293.18,167.61,274.08,284.84,236.02,212.03,483.50,493.35,429.31,474.91,499.56,476.47,491.08,474.49,458.44,267.30,334.64,440.50,437.32,290.50
2000-05-15 22:09:42.527000,L7,486.41,448.06,510.88,527.95,381.25,375.96,360.42,256.91,280.42,483.93,535.53,525.65,507.44,266.73,239.43,184.07,277.32,280.83,308.46,353.92,227.25,340.17,,359.75,283.86
2000-08-03 22:08:44.137000,L7,326.48,301.04,260.43,,,292.10,243.46,250.18,398.29,212.87,220.44,190.50,,,,,274.60,252.40,263.83,332.82,,,,,
2000-09-20 22:08:03.348000,L7,329.64,311.99,320.04,302.33,313.73,288.62,183.99,201.46,195.43,173.13,187.18,475.85,469.68,476.94,448.17,462.26,279.72,286.82,278.43,268.25,242.52,302.69,448.07,348.03,248.03
2000-10-06 22:07:59.689000,L7,298.91,394.83,380.31,389.76,458.43,468.25,444.25,463.38,472.95,507.12,512.44,474.90,453.59,452.17,410.46,414.42,411.84,442.47,438.49,442.96,251.15,301.38,442.59,,197.53
2001-06-03 22:07:16.736000,L7,328.29,315.88,328.03,307.05,244.91,230.29,202.84,503.33,507.13,,,,,,,,274.16,251.51,277.14,340.49,218.93,269.07,,,
2001-09-07 22:06:11.116000,L7,441.66,308.14,310.02,297.05,298.75,282.43,185.93,438.88,440.70,446.54,496.01,497.37,512.48,439.65,449.13,472.27,274.37,286.80,270.87,,237.40,296.40,,423.50,409.00
2002-02-14 22:06:29.522000,L7,453.47,451.13,459.21,464.06,478.62,469.01,477.42,463.29,478.99,484.86,478.59,396.85,399.61,502.68,459.08,464.69,275.92,290.77,274.12,342.25,230.30,456.83,445.19,454.80,236.46
2002-03-18 22:06:22.131000,L7,322.55,315.11,316.84,255.21,247.65,269.69,168.92,400.15,401.50,403.39,398.69,412.67,413.25,413.95,414.95,412.68,393.20,399.23,402.06,497.46,428.74,497.41,522.52,390.18,455.50
