dates,satname,nzd0534-0000,nzd0534-0001,nzd0534-0002,nzd0534-0003,nzd0534-0004,nzd0534-0005,nzd0534-0006,nzd0534-0007
1999-08-08 22:19:52.507000,L7,306.49,350.85,333.93,349.35,345.77,329.48,340.93,374.87
1999-11-05 22:13:40.966000,L7,,,,,239.84,259.94,296.59,321.10
1999-11-21 22:13:35.965000,L7,269.25,262.44,253.21,270.54,329.49,276.68,330.44,350.07
1999-12-07 22:13:41.663000,L7,253.99,236.72,229.63,247.42,231.68,249.77,294.63,331.01
1999-12-30 22:19:45.690000,L7,370.94,335.00,266.98,312.17,338.87,265.62,339.97,324.81
2000-04-13 22:13:06.040000,L7,,153.69,147.92,196.45,232.19,243.88,290.07,315.28
2000-04-20 22:19:15.385000,L7,272.78,254.44,244.40,208.04,237.60,248.22,280.23,299.04
2000-09-20 22:11:14.930000,L7,247.88,236.00,231.82,257.78,237.36,257.75,303.47,328.23
2000-09-27 22:17:24.534000,L7,267.07,177.16,193.26,198.83,235.79,147.35,293.98,307.14
2000-10-29 22:17:19.582000,L7,279.26,264.91,251.00,272.93,264.84,259.76,311.43,322.18
2001-02-11 22:11:12.788000,L7,247.23,235.24,227.61,244.96,232.10,242.51,208.15,322.79
2001-03-22 22:17:09.568000,L7,281.62,261.18,252.99,272.50,245.62,262.76,312.98,318.93
2001-04-07 22:17:01.469000,L7,270.89,255.22,247.59,169.23,203.38,202.81,184.93,309.91
2001-11-01 22:15:17.839000,L7,267.68,249.44,237.05,207.00,237.22,254.13,296.77,311.69
2001-11-26 22:09:21.320000,L7,257.73,244.69,238.38,257.01,305.40,260.02,316.44,329.26
2001-12-12 22:09:26.650000,L7,219.17,172.49,170.76,153.69,202.70,234.36,272.94,298.48
2001-12-19 22:15:37.819000,L7,281.23,264.07,250.48,269.39,249.64,261.97,308.97,321.74
2002-02-14 22:09:41.178000,L7,352.20,338.75,332.25,343.71,348.90,350.08,340.83,364.77
2002-03-25 22:15:47.156000,L7,235.11,257.84,252.06,205.22,236.49,236.16,295.50,311.71
2002-12-31 22:09:08.026000,L7,265.46,249.33,240.70,268.32,254.53,261.60,322.89,337.02
2003-02-24 22:15:37.262000,L7,,,,,,510.92,403.74,389.13
2003-03-21 22:09:27.545000,L7,262.30,238.41,234.96,263.04,236.26,255.41,301.67,333.40
2003-04-13 22:15:43.669000,L7,269.47,172.43,131.68,207.92,239.58,252.35,294.92,307.84
2003-08-11 22:03:51.447000,L5,257.57,245.73,235.62,182.70,227.81,257.37,293.50,311.96
2003-10-07 21:58:35.519000,L5,266.32,264.43,250.94,299.81,267.11,278.92,324.26,336.57
2004-01-27 21:59:38.149000,L5,,,,,219.39,237.91,278.00,301.28
2004-03-31 21:59:59.745000,L5,238.59,215.89,200.10,164.85,220.35,244.05,289.58,312.85
2004-04-23 22:06:53.682000,L5,260.10,156.68,145.76,166.42,226.15,247.20,284.21,308.69
2004-05-09 22:07:21.512000,L5,,,,,,,282.45,306.99
2004-07-21 22:03:15.748000,L5,,,,,,,274.62,317.61
2004-08-29 22:10:22.051000,L5,274.63,258.04,248.18,264.44,234.86,261.43,308.12,317.10
2004-11-01 22:11:49.961000,L5,297.81,282.89,265.63,325.25,264.48,284.29,321.23,330.99
2005-05-12 22:14:14.883000,L5,,,,,,,280.18,295.91
2005-07-15 22:14:43.392000,L5,,,,,,,,177.91
2005-08-09 22:08:46.932000,L5,255.15,250.68,230.83,270.65,239.09,265.54,319.64,332.23
2005-08-16 22:15:00.645000,L5,280.59,275.36,253.95,315.42,258.43,275.92,309.09,316.66
2005-09-10 22:08:55.708000,L5,260.27,244.45,239.95,279.52,248.97,267.64,321.26,335.21
2005-09-17 22:15:06.506000,L5,283.20,268.25,258.82,301.34,248.03,273.71,314.02,321.85
2005-11-13 22:09:08.414000,L5,,,,,,178.83,296.82,312.66
2006-01-23 22:16:59.639000,L5,294.37,279.38,267.55,324.18,266.21,282.37,318.44,328.75
2006-03-12 22:18:01.902000,L5,293.16,282.98,268.31,318.77,302.67,286.00,320.17,327.50
2006-04-13 22:18:38.042000,L5,293.19,275.53,266.95,320.04,256.22,281.60,318.29,329.15
2006-05-31 22:19:19.777000,L5,,,,,,,,302.57
2006-07-27 22:13:58.731000,L5,,,,,,,,313.63
2006-08-28 22:14:23.601000,L5,268.86,252.22,242.76,302.83,250.71,282.57,319.88,336.91
2006-09-20 22:20:51.034000,L5,271.00,253.31,243.05,264.02,238.85,261.58,300.58,313.30
2007-01-26 22:21:54.849000,L5,294.84,278.15,266.39,315.03,263.92,280.19,318.77,328.82
2007-02-04 22:15:45.266000,L5,270.13,260.84,250.14,306.88,255.01,283.47,324.91,339.57
2007-02-11 22:21:56.518000,L5,284.54,269.91,258.26,296.07,250.47,271.82,313.17,320.30
2007-10-02 22:13:42.645000,L5,268.60,259.47,244.99,285.77,253.80,281.01,323.85,331.19
2009-01-31 22:12:28.607000,L5,293.43,280.24,265.97,318.54,303.03,285.96,319.21,327.65
2010-11-02 22:16:48.420000,L5,296.63,282.31,265.63,312.25,261.36,288.00,317.14,325.17
2010-11-27 22:10:35.713000,L5,273.17,263.21,249.35,312.77,304.11,287.51,324.30,333.26
2010-12-20 22:16:50.270000,L5,295.77,284.25,266.97,326.12,257.94,286.59,319.44,326.04
2011-01-21 22:16:54.354000,L5,294.98,281.25,267.25,324.67,291.99,286.92,319.88,326.93
2013-05-02 22:28:46.370000,L8,,,,,192.92,237.36,280.13,297.38
2013-08-22 22:29:00.806000,L8,280.66,264.71,255.92,277.98,322.37,263.64,312.47,320.54
2013-08-31 22:22:50.245000,L8,247.91,204.43,229.10,254.16,232.57,247.78,289.74,313.55
2013-09-07 22:28:59.661000,L8,,,,,225.90,241.81,277.57,294.59
2013-09-23 22:28:51.997000,L8,277.01,259.61,249.34,268.14,240.08,258.47,302.31,311.49
2013-10-02 22:22:40.460000,L8,260.11,240.99,241.40,262.91,313.71,258.18,309.76,324.13
2013-10-18 22:22:37.411000,L8,340.69,330.22,313.76,317.02,336.13,319.25,332.16,336.83
2013-11-03 22:22:32.045000,L8,260.45,242.90,244.22,263.81,317.27,262.32,312.51,320.46
2013-12-28 22:28:23.669000,L8,287.03,278.98,258.30,280.01,323.69,267.39,311.81,319.42
2014-02-23 22:21:32.043000,L8,267.34,248.33,248.08,269.14,320.94,263.00,314.89,325.30
2014-04-12 22:20:49.109000,L8,339.36,325.07,311.12,320.79,329.97,329.11,333.92,343.58
2014-06-22 22:26:41.138000,L8,277.25,261.03,252.96,245.79,231.48,,,310.89
2014-08-18 22:20:51.886000,L8,254.95,234.86,232.28,256.00,234.62,253.57,288.92,314.08
2014-09-19 22:20:54.477000,L8,324.70,318.45,251.52,297.80,335.28,321.51,325.88,331.83
2014-10-12 22:27:11.441000,L8,284.88,267.76,256.04,276.61,325.75,264.16,310.06,314.62
2014-10-28 22:27:08.358000,L8,,,,,,252.32,247.68,296.90
2014-11-06 22:21:01.126000,L8,331.57,314.87,302.12,316.49,329.66,314.77,322.39,334.15
2014-12-15 22:27:04.889000,L8,359.10,337.43,320.02,326.76,343.03,313.71,325.52,328.25
2014-12-31 22:26:59.445000,L8,361.53,341.61,320.82,334.92,338.31,325.00,322.68,318.07
2015-03-14 22:20:23.206000,L8,266.22,250.23,247.92,269.02,323.55,263.19,319.96,329.68
2015-04-06 22:26:20.815000,L8,377.75,352.37,332.51,340.56,341.72,328.75,342.21,334.29
2015-04-15 22:20:10.505000,L8,237.63,204.90,214.23,146.94,226.69,238.23,278.85,306.04
2015-05-01 22:20:00.344000,L8,244.52,151.58,226.18,248.48,227.98,241.91,278.80,305.73
2015-08-21 22:20:33.210000,L8,249.20,211.37,229.69,246.90,228.17,244.61,282.97,311.12
2015-09-29 22:26:59.056000,L8,402.02,372.98,346.43,360.95,354.87,354.91,348.35,339.11
