dates,satname,nzd0113-0000,nzd0113-0001,nzd0113-0002,nzd0113-0003,nzd0113-0004,nzd0113-0005,nzd0113-0006,nzd0113-0007,nzd0113-0008,nzd0113-0009,nzd0113-0010,nzd0113-0011,nzd0113-0012,nzd0113-0013,nzd0113-0014,nzd0113-0015,nzd0113-0016,nzd0113-0017,nzd0113-0018,nzd0113-0019,nzd0113-0020,nzd0113-0021,nzd0113-0022,nzd0113-0023,nzd0113-0024,nzd0113-0025,nzd0113-0026,nzd0113-0027,nzd0113-0028,nzd0113-0029,nzd0113-0030,nzd0113-0031,nzd0113-0032,nzd0113-0033,nzd0113-0034,nzd0113-0035,nzd0113-0036,nzd0113-0037,nzd0113-0038,nzd0113-0039,nzd0113-0040,nzd0113-0041,nzd0113-0042,nzd0113-0043,nzd0113-0044,nzd0113-0045,nzd0113-0046,nzd0113-0047,nzd0113-0048,nzd0113-0049,nzd0113-0050,nzd0113-0051,nzd0113-0052,nzd0113-0053,nzd0113-0054,nzd0113-0055,nzd0113-0056,nzd0113-0057,nzd0113-0058,nzd0113-0059,nzd0113-0060,nzd0113-0061,nzd0113-0062,nzd0113-0063,nzd0113-0064,nzd0113-0065,nzd0113-0066,nzd0113-0067,nzd0113-0068,nzd0113-0069,nzd0113-0070,nzd0113-0071,nzd0113-0072,nzd0113-0073,nzd0113-0074,nzd0113-0075,nzd0113-0076,nzd0113-0077,nzd0113-0078,nzd0113-0079,nzd0113-0080,nzd0113-0081,nzd0113-0082,nzd0113-0083,nzd0113-0084,nzd0113-0085,nzd0113-0086,nzd0113-0087,nzd0113-0088,nzd0113-0089,nzd0113-0090,nzd0113-0091,nzd0113-0092,nzd0113-0093,nzd0113-0094,nzd0113-0095,nzd0113-0096,nzd0113-0097,nzd0113-0098,nzd0113-0099,nzd0113-0100,nzd0113-0101,nzd0113-0102,nzd0113-0103,nzd0113-0104,nzd0113-0105,nzd0113-0106,nzd0113-0107,nzd0113-0108,nzd0113-0109,nzd0113-0110,nzd0113-0111,nzd0113-0112,nzd0113-0113,nzd0113-0114,nzd0113-0115,nzd0113-0116,nzd0113-0117,nzd0113-0118
1999-07-18 21:58:25.703000,L7,,,,,,,,,,,,,181.65,177.68,186.12,200.67,200.00,217.67,212.11,224.22,249.34,238.61,234.95,228.12,220.33,232.08,259.14,323.58,303.97,298.70,317.37,282.51,334.79,245.30,218.52,309.54,214.04,226.11,240.29,235.89,203.83,,,,,,,,,189.65,306.75,308.50,317.35,324.69,329.06,335.23,325.43,327.19,277.47,362.41,358.09,352.16,360.96,342.83,307.95,307.32,307.32,246.83,273.92,348.90,251.59,247.58,330.73,306.90,332.57,237.08,336.71,241.11,332.84,266.25,541.56,491.53,310.31,305.22,249.60,296.02,229.84,298.51,318.48,294.68,323.62,355.30,322.85,329.76,474.66,452.61,422.83,403.12,443.10,465.22,425.99,482.87,,,,,,,,,,,,,213.60,487.45,,,
1999-08-26 22:04:44.971000,L7,247.34,240.65,237.14,343.99,309.37,339.04,348.14,301.64,269.48,264.60,247.25,276.90,368.19,271.95,283.31,322.80,297.35,318.69,295.18,289.63,298.77,348.24,314.84,312.57,335.80,328.92,343.64,337.70,331.51,330.03,336.54,344.39,335.82,249.37,354.56,341.07,341.80,345.93,343.74,338.75,340.30,348.70,337.12,197.72,318.53,308.01,306.65,307.80,266.36,325.42,328.22,333.82,224.66,236.65,245.35,240.41,241.37,248.82,250.26,247.81,245.79,244.93,244.05,244.06,244.46,250.63,243.22,248.24,246.91,226.10,236.24,242.39,231.93,232.93,237.12,215.00,219.65,240.99,228.61,234.55,243.34,218.79,209.33,224.26,206.99,189.78,194.23,214.78,211.24,215.88,217.02,218.49,225.31,234.27,236.11,218.39,182.19,330.42,327.92,217.60,265.45,286.82,279.48,276.49,279.12,277.83,280.49,273.37,275.27,285.32,188.77,217.32,211.64,221.25,203.61,212.69,202.49,204.57,195.22
1999-09-27 22:04:48.949000,L7,227.41,227.11,231.57,229.06,239.78,245.38,238.45,222.19,262.57,279.33,271.44,205.71,169.95,189.02,189.52,196.85,213.06,221.45,220.63,211.07,172.53,228.55,295.79,291.00,307.00,279.35,298.18,222.39,227.77,233.77,229.57,316.01,230.20,231.86,225.28,232.91,342.68,322.03,342.05,347.17,333.85,322.12,332.59,297.91,310.68,307.22,306.44,312.56,290.88,311.97,342.85,336.51,342.50,346.46,345.85,337.54,340.29,335.92,333.71,336.92,335.82,339.63,341.50,331.86,326.69,347.53,350.91,334.07,324.19,323.30,323.64,325.65,321.72,330.16,319.08,324.33,313.99,310.60,311.68,319.34,322.69,317.45,323.68,320.19,305.48,304.87,301.59,319.99,316.44,321.10,333.12,318.53,316.57,329.27,329.77,334.18,331.46,357.79,340.73,329.40,315.76,310.38,312.32,319.99,321.65,320.04,315.72,321.42,298.60,301.49,301.90,314.89,304.79,315.34,314.05,317.57,333.27,320.91,314.08
1999-10-22 21:58:28.758000,L7,367.12,200.40,191.64,344.59,423.49,199.74,238.24,264.82,257.21,248.07,435.66,346.42,285.44,351.30,358.71,299.37,261.96,292.78,339.81,317.07,284.29,189.98,223.93,380.45,414.80,401.30,436.78,454.45,456.76,524.46,,543.05,265.64,255.44,343.22,478.12,514.62,507.49,490.04,408.72,334.61,235.57,234.14,223.70,257.51,250.33,259.20,246.88,257.14,262.58,270.84,271.88,273.99,294.66,304.11,301.11,297.31,298.58,295.85,298.65,295.93,304.61,298.45,248.64,299.47,297.10,295.69,285.25,291.17,292.77,294.80,296.68,288.71,267.96,282.16,284.16,210.96,232.07,249.38,,,,,382.64,496.97,,,,237.00,285.75,218.64,230.88,,,,440.09,435.41,376.27,429.32,295.07,281.65,368.93,477.62,397.77,399.12,430.40,459.23,331.85,305.36,269.62,276.53,278.11,270.87,,,,,,354.32
1999-11-14 22:04:42.286000,L7,221.08,221.91,234.49,255.68,272.47,262.56,241.12,236.28,215.84,224.93,227.29,323.30,337.30,260.65,180.81,223.70,214.03,246.47,247.03,244.20,252.07,248.52,246.08,246.14,244.69,250.67,248.76,244.77,251.75,250.03,246.19,243.95,245.99,252.96,249.07,263.32,256.24,233.77,229.87,247.53,248.73,249.31,237.89,231.45,232.00,235.64,240.11,234.91,211.21,225.12,238.67,241.08,222.35,236.26,247.56,250.48,240.49,249.10,250.66,244.63,248.98,244.10,245.26,250.81,244.82,252.33,244.97,249.03,240.80,230.01,238.82,239.18,235.06,238.91,234.36,220.92,224.54,245.11,235.79,238.59,246.07,226.33,213.48,223.04,215.28,191.89,197.91,218.72,218.46,217.72,217.64,223.19,235.61,234.62,238.02,219.01,182.56,289.27,288.08,271.96,230.30,311.91,327.99,323.48,312.45,322.40,322.80,307.29,308.07,298.86,186.39,217.23,215.20,221.45,209.00,215.85,214.99,211.29,194.52
2000-01-01 22:04:37.439000,L7,,,,260.27,268.20,270.18,233.78,217.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276.19,284.65,285.31,286.65,,,319.36,306.62,229.20,242.24,249.80,245.96,250.48,248.48,244.92,247.03,241.65,245.95,246.50,242.02,247.77,245.26,247.30,239.66,211.71,233.34,236.72,231.84,236.24,233.01,216.35,223.43,241.36,229.45,231.61,243.29,217.35,210.74,219.83,209.54,182.46,189.29,214.03,223.58,220.64,218.62,209.71,222.13,223.09,226.41,209.94,178.29,,,,,,,,,,,,,,,,,,,,,,
2000-01-17 22:04:35.821000,L7,481.65,414.46,385.71,345.06,328.65,342.05,348.46,503.66,404.83,416.34,532.23,429.81,260.04,227.68,240.05,237.37,247.18,241.16,256.22,262.29,261.28,263.52,256.54,262.46,262.22,254.57,161.83,256.06,264.82,457.77,481.38,492.66,441.62,454.21,458.32,266.17,268.48,261.91,256.25,259.14,235.43,249.04,241.43,198.10,249.93,248.29,243.39,245.62,478.28,469.34,469.60,438.78,507.93,347.88,431.81,409.77,415.81,381.16,513.12,205.02,441.54,438.81,445.88,433.45,395.28,351.30,281.50,283.97,284.46,244.11,278.80,242.81,280.74,241.75,279.48,281.84,274.91,270.99,269.55,239.30,299.64,254.19,246.64,240.34,255.68,251.27,248.83,256.21,252.22,257.35,260.58,296.76,226.38,326.59,506.85,483.24,474.60,460.78,367.87,348.74,551.91,442.19,541.44,393.00,540.67,451.46,377.34,401.93,371.50,490.01,306.10,215.01,212.97,224.45,208.03,217.43,212.36,324.65,304.37
2000-03-14 21:58:11.336000,L7,,332.40,353.19,360.37,341.99,339.61,330.53,327.76,318.57,320.68,310.29,292.51,301.51,357.70,358.92,324.97,327.59,346.87,346.09,344.48,358.45,353.59,356.55,349.67,352.36,348.07,362.03,323.16,327.07,335.32,338.24,324.89,331.44,329.88,329.50,419.61,359.98,377.87,372.57,341.50,333.31,329.04,314.05,317.62,384.90,316.42,332.21,353.94,361.58,339.39,346.77,349.91,347.95,356.32,337.31,345.41,353.50,377.73,423.81,494.09,,,,,,388.26,299.63,297.94,289.12,289.45,286.33,277.24,287.92,275.39,278.61,523.76,473.13,460.92,502.69,462.91,419.67,175.88,259.07,301.16,301.02,213.20,348.36,512.67,538.26,297.67,298.79,333.50,452.72,364.22,519.63,515.70,534.06,514.23,474.37,411.98,443.74,345.56,334.17,335.00,335.92,297.50,286.72,544.66,,,,413.27,454.35,461.17,193.13,227.00,260.18,270.84,267.93
2000-03-30 21:58:09.573000,L7,281.96,331.13,358.16,343.22,334.30,335.30,324.19,320.21,412.22,362.05,202.31,206.77,216.80,229.45,238.05,283.96,292.56,280.05,289.93,291.38,281.87,281.68,280.57,285.36,290.11,283.38,271.68,276.38,274.77,280.66,277.32,270.74,269.32,280.67,275.07,270.10,270.12,269.44,272.50,273.69,279.46,269.59,256.17,247.44,254.60,255.92,257.75,257.00,257.11,271.33,280.19,276.39,284.08,286.94,298.53,301.81,298.99,297.03,297.09,299.45,301.62,296.16,293.23,291.23,280.19,281.53,308.25,315.05,312.68,309.06,312.26,296.48,297.17,288.44,284.75,297.75,292.82,290.89,289.73,293.23,286.54,277.67,281.50,292.61,282.23,282.79,283.59,277.09,286.69,290.81,291.73,301.40,304.49,301.30,302.29,311.33,301.05,297.83,291.84,302.57,298.92,290.32,290.55,291.53,293.62,288.02,288.77,271.63,294.66,292.64,283.79,281.51,293.69,279.50,275.76,269.83,276.85,268.44,251.42
2000-07-11 22:03:17.779000,L7,474.43,272.58,396.98,403.97,487.70,212.05,199.64,178.35,517.05,413.40,414.46,459.79,461.44,411.74,400.82,419.71,409.88,427.27,413.03,409.04,437.61,399.25,406.73,424.42,402.08,397.49,384.16,423.85,221.77,218.31,226.93,225.95,229.47,237.53,235.48,232.12,218.62,535.93,493.13,541.48,414.63,396.66,380.20,384.58,365.72,366.34,385.50,389.28,389.27,386.20,401.62,411.74,442.40,430.19,423.55,441.84,423.89,426.40,427.62,418.30,408.07,416.14,429.03,406.09,445.97,415.30,425.30,375.61,425.41,427.11,459.88,409.78,409.07,413.17,259.49,260.86,261.08,264.82,262.25,262.51,263.78,264.37,258.15,252.08,254.24,249.91,242.85,244.33,249.93,254.69,264.15,265.21,279.18,270.29,280.22,283.33,285.50,272.50,265.51,413.22,415.12,415.41,440.11,406.51,398.23,436.93,423.74,423.59,381.00,401.47,399.15,384.16,396.29,381.51,304.31,245.09,250.26,246.88,236.64
