dates,satname,nzd0288-0000,nzd0288-0001,nzd0288-0002,nzd0288-0003,nzd0288-0004,nzd0288-0005,nzd0288-0006,nzd0288-0007,nzd0288-0008,nzd0288-0009,nzd0288-0010
1999-08-21 21:46:56.985000,L7,,184.47,230.25,236.88,237.98,,,482.47,519.50,515.41,501.82
1999-09-22 21:47:00.785000,L7,294.55,312.26,311.73,514.22,528.87,489.78,516.23,387.38,380.36,382.76,375.69
1999-09-29 21:53:16.190000,L7,268.58,257.32,244.10,248.10,367.56,411.27,433.93,418.12,392.42,424.48,369.93
1999-10-24 21:46:56.203000,L7,416.98,396.08,390.49,378.42,381.56,382.97,403.11,395.78,390.27,395.17,392.28
1999-10-31 21:53:08.082000,L7,376.29,301.69,298.68,275.97,311.71,310.29,309.61,377.54,382.77,386.58,382.64
2000-01-19 21:53:01.775000,L7,399.11,395.18,372.25,375.43,375.34,376.57,394.87,394.67,388.42,393.91,392.69
2000-02-04 21:53:01.324000,L7,360.88,351.26,322.77,337.25,467.12,473.12,489.16,365.57,368.36,373.80,378.38
2000-02-13 21:46:48.016000,L7,364.60,298.05,302.04,300.40,302.10,306.99,288.91,316.24,322.12,252.89,190.17
2000-02-20 21:52:53.613000,L7,311.59,306.90,301.87,316.98,314.44,317.12,332.08,325.98,324.21,328.73,326.12
2000-04-01 21:46:34.573000,L7,369.98,442.66,474.85,500.85,497.27,519.61,263.27,391.46,381.45,389.09,394.57
2000-05-03 21:46:19.161000,L7,,,,,,,245.11,268.22,249.89,274.16,233.79
2000-05-19 21:46:07.873000,L7,,,410.08,417.91,264.17,272.66,267.76,275.90,253.60,386.10,386.25
2000-05-26 21:52:12.607000,L7,455.80,457.20,496.32,487.40,477.18,496.72,497.68,,,,
2000-07-29 21:51:26.388000,L7,,,,,,,,,,270.67,378.57
2000-10-26 21:44:22.850000,L7,194.93,198.43,,,,,,,,,
2000-11-27 21:44:26.720000,L7,,,,,,,,200.01,220.64,258.21,368.76
2000-12-13 21:44:28.287000,L7,357.05,401.95,413.35,368.49,403.52,339.45,406.09,427.74,443.13,411.94,399.43
2001-01-05 21:50:40.530000,L7,394.43,291.80,290.27,290.54,293.46,287.46,283.64,329.62,329.13,326.35,333.91
2001-01-14 21:44:33.150000,L7,222.46,218.37,238.13,237.79,214.40,210.88,243.15,269.53,247.16,253.06,
2001-01-21 21:50:46.402000,L7,443.70,450.07,310.45,302.17,308.02,321.38,337.10,331.65,331.79,256.08,331.99
2001-03-10 21:50:34.795000,L7,300.89,260.03,294.24,265.22,264.54,526.45,498.11,492.08,506.93,365.24,363.02
2001-04-04 21:44:06.948000,L7,166.79,202.09,238.23,244.15,241.54,,243.04,269.96,248.46,267.30,349.11
2001-04-20 21:44:10.657000,L7,389.66,361.72,363.60,370.92,377.89,393.73,343.90,324.65,260.99,403.38,407.67
2001-05-22 21:43:54.652000,L7,,,,,,,249.39,272.95,249.64,362.25,405.51
2001-09-11 21:42:38.257000,L7,,,,,,,,,245.74,261.69,
2001-09-18 21:48:41.296000,L7,170.46,206.11,234.68,232.04,227.98,,245.82,264.46,245.58,261.03,356.20
2001-10-29 21:42:21.289000,L7,315.33,315.28,273.91,294.93,301.53,316.89,328.74,334.55,328.09,294.30,332.66
2002-01-17 21:42:52.816000,L7,368.57,358.13,368.35,361.42,370.06,373.35,355.03,377.49,380.41,384.90,382.37
2002-02-02 21:42:54.721000,L7,274.77,257.92,277.70,246.73,209.74,210.03,271.36,,,,
2002-02-18 21:42:54.191000,L7,185.11,195.48,253.90,244.82,247.16,174.84,253.18,255.54,240.94,213.07,
