dates,satname,nzd0517-0000,nzd0517-0001,nzd0517-0002,nzd0517-0003,nzd0517-0004,nzd0517-0005,nzd0517-0006,nzd0517-0007,nzd0517-0008,nzd0517-0009,nzd0517-0010,nzd0517-0011,nzd0517-0012,nzd0517-0013,nzd0517-0014,nzd0517-0015,nzd0517-0016,nzd0517-0017,nzd0517-0018,nzd0517-0019,nzd0517-0020,nzd0517-0021,nzd0517-0022,nzd0517-0023,nzd0517-0024,nzd0517-0025,nzd0517-0026,nzd0517-0027,nzd0517-0028,nzd0517-0029,nzd0517-0030,nzd0517-0031,nzd0517-0032,nzd0517-0033,nzd0517-0034,nzd0517-0035,nzd0517-0036,nzd0517-0037,nzd0517-0038,nzd0517-0039,nzd0517-0040,nzd0517-0041,nzd0517-0042,nzd0517-0043,nzd0517-0044,nzd0517-0045,nzd0517-0046,nzd0517-0047
2002-01-27 22:21:58.051000,L7,,,,,,,,,,,,,,,,357.95,361.33,359.98,357.98,353.01,357.47,485.84,,476.00,325.35,,,,,,,,,,,,,,,,,,,,,,,
2002-07-06 22:21:34.279000,L7,,,,,,,,383.99,389.83,381.82,367.62,383.99,398.39,383.70,376.13,396.96,392.95,,,,,,,,,,,263.80,212.84,289.38,276.78,212.99,248.25,,,,,,,,,164.72,288.86,172.72,189.29,234.30,214.53,205.39
2002-09-24 22:20:55.124000,L7,,295.43,297.24,,,,,,,,,,,,,,,,,,,288.60,291.76,290.01,280.19,283.73,259.90,175.83,273.71,282.57,276.23,285.12,239.51,262.07,280.82,159.37,239.36,,,268.48,264.74,280.15,,288.41,215.06,171.87,280.79,304.27
2003-01-14 22:21:34.915000,L7,,,,,,,326.73,329.83,327.90,332.23,368.37,374.75,370.01,368.39,370.13,371.76,366.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-03-19 22:21:50.253000,L7,386.73,370.30,357.20,325.80,208.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-08-11 22:03:51.447000,L5,,291.24,277.48,252.83,203.21,,,,,,262.64,207.86,196.17,216.94,209.47,148.86,,,,,,,,,,,,,,,,193.19,198.71,181.17,209.37,185.45,239.44,165.86,214.06,,,241.50,271.23,214.34,170.37,213.18,241.28,156.24
2003-10-14 22:04:51.425000,L5,406.35,413.52,403.84,341.71,324.67,363.00,364.63,366.35,356.33,367.00,367.48,371.30,371.09,379.94,382.61,382.76,388.98,381.78,373.21,366.01,366.21,366.43,363.54,364.22,370.19,379.83,379.93,379.74,386.59,387.06,380.76,388.73,387.65,383.16,389.09,409.50,397.52,404.08,399.72,390.09,391.88,393.80,412.11,416.67,415.73,413.50,415.82,417.83
2004-04-23 22:06:53.682000,L5,,306.42,291.07,259.18,215.57,274.84,274.14,,281.33,289.70,270.43,228.90,208.96,230.45,214.02,280.59,271.05,152.00,256.05,211.01,,,,,,,166.24,295.67,261.14,281.31,281.93,198.22,239.51,244.81,225.70,264.27,248.26,173.06,223.23,,,273.03,281.39,227.66,169.27,244.30,243.94,192.46
2004-08-20 22:16:18.497000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.92,153.68,184.82,171.65,220.13,,,,,250.57,254.57,205.70,151.17,205.86,224.84,181.46
2004-08-29 22:10:22.051000,L5,,299.55,280.39,247.62,219.45,274.29,274.01,,277.77,275.06,273.21,229.01,274.26,250.34,216.33,290.38,284.33,253.93,258.97,220.62,,,,,,,253.78,282.73,254.66,270.72,276.01,212.67,238.95,249.77,231.05,249.90,248.43,153.91,,,147.54,275.78,272.10,215.53,305.12,291.64,243.81,206.09
2004-10-07 22:17:29.297000,L5,357.29,367.36,350.17,318.48,315.35,339.19,334.20,333.88,339.42,334.87,330.62,338.02,337.39,344.72,350.52,359.42,354.76,355.14,350.67,343.63,,,,341.69,345.81,349.89,351.82,347.13,348.50,349.82,346.50,355.05,358.24,360.45,376.37,373.47,372.48,367.77,363.92,358.46,355.49,350.90,357.61,358.71,360.96,361.09,357.04,383.45
2004-11-01 22:11:49.961000,L5,298.43,318.98,298.79,261.67,255.57,279.75,282.85,283.09,288.94,289.93,286.80,280.05,289.90,277.35,302.52,310.34,311.02,309.08,312.25,291.51,287.47,271.96,253.29,267.23,296.22,279.93,301.25,299.33,284.15,284.21,289.44,287.25,274.78,290.15,244.91,303.85,301.22,296.54,298.84,286.80,171.30,283.79,295.14,227.06,312.12,304.79,293.11,331.95
2005-04-17 22:20:16.383000,L5,278.73,312.46,291.65,250.22,199.31,264.87,267.08,,280.62,277.32,274.42,217.46,274.91,238.04,211.58,154.51,242.02,240.76,248.35,208.72,,,,,,,,283.17,222.34,274.65,241.69,,,,,,,,,,,,,,,,,
2005-05-12 22:14:14.883000,L5,,312.03,291.92,241.34,210.50,271.93,264.97,,284.69,281.04,266.20,220.19,268.02,221.62,204.25,182.99,203.45,222.32,,,,,,,,,,289.45,238.15,264.62,264.75,133.23,182.73,161.76,202.96,167.58,237.43,,,,,,,,,,,
2005-07-31 22:14:53.418000,L5,,,,,,,,,,,268.41,211.86,265.27,227.86,197.29,181.58,,,,,,,,,,,,224.45,242.01,184.67,,136.43,195.65,235.71,173.66,174.20,231.57,142.80,,,,,,,,,,
2005-08-16 22:15:00.645000,L5,,301.97,283.10,241.93,206.24,,,,271.24,263.91,263.60,197.54,266.43,213.83,194.19,162.59,245.36,236.52,241.00,215.92,,,,,,,,262.61,240.51,263.02,253.02,145.97,185.99,218.74,203.73,161.09,224.93,,,,,269.86,264.68,208.36,188.34,244.05,212.21,
2005-09-08 22:21:17.190000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277.98,250.58,255.09,268.82,252.73,198.73,249.16,,221.87,290.06,298.54,226.49,310.90,303.88,282.81,304.90
2005-10-10 22:21:11.594000,L5,,,,310.16,306.69,320.61,324.38,322.65,324.73,323.25,319.78,323.38,324.63,328.22,340.82,346.97,346.75,345.33,343.13,335.40,334.87,325.45,329.03,335.13,331.18,334.88,329.79,336.93,326.18,329.41,332.23,332.43,331.47,341.78,342.77,347.14,347.91,339.40,342.31,339.46,345.84,343.79,333.17,345.18,351.53,355.47,360.34,406.11
2006-01-23 22:16:59.639000,L5,323.70,357.74,331.53,308.74,305.64,322.48,322.71,318.14,322.63,319.28,322.95,334.37,330.47,328.37,338.57,348.15,349.82,351.65,348.50,342.03,335.80,332.68,331.34,327.02,337.34,334.52,344.24,338.76,334.16,333.76,341.77,335.15,338.05,344.98,345.14,351.08,349.27,340.92,342.24,340.51,340.89,343.70,345.93,347.25,351.93,351.94,354.41,376.46
2006-02-08 22:17:21.928000,L5,346.88,358.25,342.70,326.01,330.02,352.02,343.18,344.42,341.14,339.12,336.39,336.39,344.13,346.94,357.96,362.06,367.63,368.65,364.51,361.45,352.18,345.91,345.82,344.83,352.71,355.25,358.10,351.93,345.04,345.12,348.74,349.15,352.80,357.23,361.07,366.45,365.86,359.61,361.66,362.35,361.62,358.94,362.89,364.74,366.99,367.20,367.04,405.43
2006-03-12 22:18:01.902000,L5,,298.40,291.75,259.13,214.66,271.11,273.94,,279.69,285.66,276.93,222.06,279.21,244.29,297.30,302.97,306.91,275.52,309.37,282.41,,,,,,,299.23,299.66,276.60,286.70,291.82,285.77,278.36,288.11,288.05,246.85,305.03,300.43,302.19,253.57,202.10,300.92,306.27,290.10,315.86,312.42,311.30,256.89
2006-04-13 22:18:38.042000,L5,263.74,301.44,289.53,254.19,212.69,267.62,267.29,,282.63,277.96,265.98,199.37,276.81,235.47,214.46,286.84,285.41,249.91,267.38,216.64,,,,,,,296.84,277.13,251.07,280.03,272.04,192.47,162.13,244.50,210.30,168.55,232.44,,,,134.05,282.29,268.61,208.29,150.76,,,
2006-05-31 22:19:19.777000,L5,,319.23,308.06,257.77,209.78,,,,,,,,,,,,172.97,228.02,250.60,,,,,,,,145.97,235.96,242.83,273.55,291.01,195.48,199.60,244.06,204.51,191.82,249.18,148.98,,,,180.13,270.53,231.81,174.04,232.07,235.19,192.20
2006-08-03 22:20:15.113000,L5,,297.28,286.10,242.62,206.25,,,,,,,209.94,182.73,216.36,203.69,148.47,,,,,,,,,,,,,,,,168.63,189.94,218.42,194.87,172.34,237.40,,,,,,,,,,,
2006-08-26 22:26:43.606000,L5,,,,,,,,,275.33,285.73,276.23,247.60,270.38,254.63,285.39,297.10,288.78,263.62,277.51,236.63,,222.54,202.33,207.25,205.05,235.20,282.26,283.05,267.56,274.98,278.98,279.01,267.64,251.17,237.63,261.54,256.94,191.75,234.39,,239.17,290.27,281.48,218.51,312.28,303.24,253.81,246.53
2006-09-27 22:27:06.456000,L5,,,,,,,,,275.92,275.31,279.19,268.35,281.32,256.66,296.72,301.83,303.12,287.73,288.68,277.76,276.58,251.03,233.33,231.89,269.32,260.53,290.55,293.66,277.22,284.12,284.06,280.32,275.06,263.22,273.23,276.94,274.89,203.27,287.88,,229.68,272.23,287.27,236.87,304.43,293.74,297.49,305.26
2006-11-30 22:27:42.738000,L5,282.55,308.88,292.26,265.55,255.61,270.72,274.32,274.26,284.07,279.84,270.56,201.54,277.22,242.37,221.60,296.51,298.22,291.61,304.73,291.88,283.72,232.52,215.11,211.50,286.26,268.65,301.91,293.13,284.76,286.62,291.24,295.50,294.98,293.26,300.19,309.86,311.24,310.52,311.70,310.72,297.48,296.29,307.70,312.58,317.57,314.43,323.76,344.50
2006-12-09 22:21:36.590000,L5,332.45,406.78,404.49,309.30,312.60,323.33,325.20,326.80,322.16,321.75,323.74,322.32,327.39,331.77,340.42,345.58,346.62,350.70,344.98,340.53,336.34,327.67,328.49,324.86,335.10,331.04,340.90,331.47,328.16,331.23,336.39,333.26,350.13,342.40,341.72,356.76,352.38,350.26,350.88,352.13,353.46,352.62,355.05,355.97,359.02,362.71,362.22,389.56
2006-12-16 22:27:50.871000,L5,,,,,,,,,,,,,,276.36,295.93,301.96,306.34,308.16,310.18,299.84,292.67,284.62,233.00,273.95,293.70,289.01,304.29,298.84,290.59,293.16,295.53,299.39,293.81,300.14,302.00,316.27,316.39,,,,,307.70,314.75,318.42,323.55,323.30,327.80,353.14
2007-01-26 22:21:54.849000,L5,407.90,407.89,394.37,337.54,350.38,372.37,364.67,360.44,356.23,362.87,360.20,369.30,379.30,390.22,393.77,398.74,394.75,389.31,385.80,375.55,381.57,372.11,372.86,378.13,382.91,386.58,378.17,372.69,369.01,363.02,366.43,372.25,373.51,379.26,383.24,387.29,389.00,388.84,387.47,383.52,380.08,376.35,375.11,383.47,385.11,389.54,393.32,405.08
2007-02-11 22:21:56.518000,L5,239.05,272.51,262.39,205.99,189.71,166.14,136.89,,,,,,,,,,,,,,,,,,162.30,195.98,292.29,300.42,272.70,,,150.23,174.75,288.48,308.36,316.82,,,311.27,309.75,302.63,299.49,299.28,319.24,323.77,324.27,,
2007-02-27 22:21:56.031000,L5,282.31,301.45,280.25,264.15,255.01,285.74,286.89,284.85,293.81,290.83,290.60,282.50,289.80,278.10,304.24,303.79,306.89,300.66,310.14,265.92,,,,,,,300.14,243.89,244.96,280.61,179.82,,,,,306.09,310.39,304.74,312.86,311.90,306.07,308.25,311.89,310.93,325.54,324.24,328.88,348.29
