dates,satname,nzd0097-0000,nzd0097-0001,nzd0097-0002,nzd0097-0003,nzd0097-0004,nzd0097-0005,nzd0097-0006,nzd0097-0007,nzd0097-0008,nzd0097-0009,nzd0097-0010,nzd0097-0011,nzd0097-0012,nzd0097-0013,nzd0097-0014,nzd0097-0015,nzd0097-0016,nzd0097-0017,nzd0097-0018,nzd0097-0019,nzd0097-0020,nzd0097-0021,nzd0097-0022,nzd0097-0023,nzd0097-0024,nzd0097-0025,nzd0097-0026,nzd0097-0027,nzd0097-0028
2002-08-02 22:00:01.321000,L7,246.53,266.93,292.89,268.94,266.50,250.67,260.80,262.92,268.59,243.11,268.62,466.84,260.14,271.21,299.70,298.90,,,,176.20,295.16,298.62,302.10,302.47,310.09,296.08,296.25,306.97,309.35
2002-08-18 21:59:57.690000,L7,275.54,348.70,344.67,313.11,315.18,322.04,325.30,328.05,336.28,341.69,356.79,358.24,360.96,352.08,360.79,362.57,351.43,354.13,352.63,351.39,337.37,323.58,376.74,361.08,360.42,360.15,358.10,374.69,378.73
2002-12-24 22:00:09.147000,L7,,170.24,211.19,256.78,258.81,242.06,261.95,259.73,240.82,405.86,366.11,445.58,270.69,282.17,297.32,396.84,472.57,449.21,298.15,291.01,,,,,299.02,295.75,296.71,294.68,320.93
2003-03-30 22:00:31.029000,L7,450.54,350.84,344.57,305.69,310.20,308.55,320.16,322.09,321.33,317.47,313.01,337.44,320.85,330.89,336.75,335.86,336.75,335.55,331.67,327.75,400.53,311.45,333.85,328.44,404.38,375.43,384.64,380.20,390.93
2003-09-14 21:49:18.766000,L5,378.51,392.33,399.70,367.91,358.86,372.56,372.75,373.37,379.81,377.61,379.99,376.64,372.22,367.45,372.16,368.64,367.24,360.96,355.63,360.20,360.83,361.22,359.16,359.80,355.53,349.79,346.83,346.68,363.21
2003-09-30 21:49:30.432000,L5,381.11,388.45,389.62,366.88,352.75,344.12,346.61,352.85,357.99,356.05,359.69,365.52,365.19,361.96,362.74,364.36,364.31,352.60,352.88,343.75,342.64,346.96,345.73,339.03,337.70,336.35,329.75,340.91,207.48
2003-12-03 21:50:19.675000,L5,459.75,427.10,330.95,290.30,279.26,266.32,286.24,295.65,325.36,331.57,326.12,333.55,179.19,,,,,,205.15,284.35,320.46,339.86,331.15,337.99,332.75,332.17,328.24,331.68,344.18
2004-07-30 21:54:28.143000,L5,,,,,,225.72,211.04,222.11,241.57,224.93,183.58,249.55,233.93,274.52,282.36,289.32,290.77,288.95,277.59,285.22,295.40,208.22,227.56,192.98,,,,,
2004-11-03 21:56:42.977000,L5,380.29,377.90,380.93,359.34,341.01,335.45,327.05,335.39,340.30,345.84,342.48,343.75,345.85,353.93,357.71,357.57,363.73,355.18,346.46,346.97,330.73,334.71,334.45,334.07,328.05,324.73,321.64,333.88,342.42
2004-11-19 21:56:55.269000,L5,,,,,,,,,,,,,,,186.56,260.43,277.77,303.52,303.53,302.05,298.32,240.24,252.49,188.97,,,,,
2005-02-07 21:58:15.209000,L5,349.04,326.14,323.95,297.94,293.41,299.99,299.45,313.87,,,,,,,,,303.62,317.15,309.56,315.22,327.13,339.22,336.01,334.36,334.39,334.85,328.16,328.55,316.10
2005-02-23 21:58:31.621000,L5,285.69,300.94,322.36,290.08,278.76,268.12,266.39,282.67,293.07,265.77,274.31,304.51,295.73,296.26,308.93,310.12,312.89,313.08,310.71,312.46,316.45,328.85,322.76,309.99,312.30,318.98,303.93,305.65,310.86
