dates,satname,nzd0441-0000,nzd0441-0001,nzd0441-0002,nzd0441-0033,nzd0441-0034,nzd0441-0035,nzd0441-0036,nzd0441-0037,nzd0441-0038,nzd0441-0039,nzd0441-0040,nzd0441-0041,nzd0441-0042,nzd0441-0043,nzd0441-0044,nzd0441-0045,nzd0441-0046,nzd0441-0047,nzd0441-0048,nzd0441-0049,nzd0441-0050,nzd0441-0051,nzd0441-0052,nzd0441-0053,nzd0441-0054,nzd0441-0055,nzd0441-0056,nzd0441-0057,nzd0441-0058,nzd0441-0059,nzd0441-0060,nzd0441-0061,nzd0441-0062,nzd0441-0063,nzd0441-0064,nzd0441-0065,nzd0441-0066,nzd0441-0067,nzd0441-0068,nzd0441-0069,nzd0441-0070,nzd0441-0071,nzd0441-0072,nzd0441-0073,nzd0441-0074,nzd0441-0075,nzd0441-0076,nzd0441-0077,nzd0441-0078,nzd0441-0079,nzd0441-0080,nzd0441-0081,nzd0441-0082,nzd0441-0083,nzd0441-0084,nzd0441-0085,nzd0441-0086,nzd0441-0087,nzd0441-0088,nzd0441-0089,nzd0441-0090,nzd0441-0091,nzd0441-0092,nzd0441-0093,nzd0441-0094,nzd0441-0003,nzd0441-0004,nzd0441-0005,nzd0441-0006,nzd0441-0012,nzd0441-0013,nzd0441-0014,nzd0441-0015,nzd0441-0016,nzd0441-0017,nzd0441-0018,nzd0441-0019,nzd0441-0020,nzd0441-0021,nzd0441-0022,nzd0441-0023,nzd0441-0024,nzd0441-0025,nzd0441-0026,nzd0441-0027,nzd0441-0028,nzd0441-0030,nzd0441-0031,nzd0441-0032,nzd0441-0095,nzd0441-0096,nzd0441-0097,nzd0441-0098,nzd0441-0099,nzd0441-0100,nzd0441-0101,nzd0441-0102,nzd0441-0007,nzd0441-0008,nzd0441-0009,nzd0441-0011,nzd0441-0029,nzd0441-0010
1999-11-21 22:12:47.994000,L7,215.07,196.41,187.70,229.44,207.96,244.96,251.78,246.13,241.78,256.60,266.75,265.47,181.97,195.24,183.26,183.50,203.56,210.77,210.75,214.22,218.94,220.07,175.66,198.81,233.61,226.05,236.32,236.62,235.17,238.77,236.08,238.44,243.15,239.42,243.61,241.22,240.58,241.49,246.88,235.35,251.70,247.41,249.79,251.71,243.73,247.40,240.95,244.96,239.53,244.35,273.81,276.58,275.04,220.86,222.62,214.41,264.38,276.07,253.76,258.19,261.30,238.56,233.96,271.92,176.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-11-28 22:18:56.993000,L7,,,,,,237.31,246.73,240.17,229.21,,,,,,,,,,,,,,,,,219.15,230.88,228.79,228.86,220.79,204.52,233.88,236.85,236.88,243.90,241.21,228.93,243.49,242.03,224.18,245.74,240.55,237.68,245.82,194.56,239.51,221.85,213.04,200.77,,225.50,216.66,230.41,217.57,216.70,201.26,193.20,185.13,182.34,179.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-12-07 22:12:53.785000,L7,,,,,,234.83,247.93,242.20,231.27,236.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188.36,205.38,234.93,236.03,226.78,201.50,,224.16,216.37,220.69,217.36,208.48,207.63,191.34,179.44,176.80,179.52,183.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-12-14 22:19:07.664000,L7,,,,,,247.14,250.97,243.99,240.10,256.43,237.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.46,230.03,236.98,236.58,210.13,208.39,234.28,225.60,232.15,228.97,223.12,214.12,199.76,189.79,227.09,190.95,234.92,228.06,219.42,233.11,168.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-04-13 22:12:18.119000,L7,180.49,168.13,,,285.00,264.81,268.98,266.78,266.39,258.59,253.10,245.35,204.79,197.51,182.08,191.68,193.14,200.02,207.80,208.87,206.82,215.05,188.73,203.07,,,,216.33,226.31,228.19,217.82,230.13,233.30,225.66,231.33,237.09,213.59,228.41,232.97,227.18,232.87,214.55,234.84,238.79,223.86,239.64,241.47,244.00,231.38,245.04,239.84,230.37,237.09,232.14,230.61,226.01,232.88,237.83,228.03,220.64,238.64,228.52,238.22,229.30,176.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-08-19 22:11:01.988000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194.12,229.00,205.00,238.81,231.68,233.76,219.56,216.35,242.90,204.65,238.14,239.59,205.44,235.12,224.35,229.58,183.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-09-27 22:16:36.610000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232.39,231.81,233.53,245.03,228.36,238.26,230.36,225.00,,,,,,240.13,235.11,232.91,193.01,214.35,234.48,229.62,234.09,226.88,217.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-11-07 22:10:17.299000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,213.47,227.94,191.60,200.28,232.48,237.97,225.53,231.08,233.91,221.47,235.97,230.44,222.80,235.44,240.25,240.62,245.51,196.37,240.78,217.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-11-14 22:16:30.766000,L7,,,,,232.66,245.97,252.97,248.68,244.30,252.68,224.50,,188.12,191.52,167.05,181.70,184.37,200.72,201.97,209.48,212.38,185.94,182.41,195.92,,,193.25,224.22,230.00,231.37,230.30,230.52,238.73,188.80,236.53,239.19,230.15,216.40,245.98,233.17,239.03,,,244.38,237.13,246.54,248.84,241.73,211.92,232.21,235.94,231.56,234.48,223.61,223.83,219.39,205.70,236.05,235.13,244.61,239.68,234.66,220.86,193.29,169.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-12-16 22:16:35.253000,L7,,,,,,237.83,245.98,239.46,237.29,249.58,201.17,,,,,,,,198.22,199.73,186.02,184.97,179.56,181.39,,219.94,228.16,227.01,230.98,223.54,214.97,235.24,242.68,235.33,244.88,242.70,235.10,234.62,246.05,230.16,244.17,229.34,235.45,242.23,225.87,243.51,240.06,240.74,210.18,189.20,233.93,227.08,233.53,221.61,220.17,210.79,202.21,186.58,227.33,199.36,229.58,221.82,190.04,194.00,172.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
