dates,satname,nzd0403-0000,nzd0403-0001,nzd0403-0002,nzd0403-0003,nzd0403-0004,nzd0403-0005,nzd0403-0006,nzd0403-0007,nzd0403-0008,nzd0403-0009,nzd0403-0010,nzd0403-0011
1999-09-04 22:00:33.926000,L7,450.14,449.79,460.99,471.49,177.79,258.51,289.72,307.78,299.17,300.70,297.49,346.74
1999-10-22 22:00:28.631000,L7,,,,,,210.57,261.38,273.81,254.62,257.21,160.57,
1999-12-09 22:00:33.510000,L7,,,,,,,247.17,273.66,236.64,239.94,,
2000-01-26 22:00:26.187000,L7,,,,,,219.52,270.72,280.70,275.73,268.01,264.02,189.64
2000-02-27 22:00:16.353000,L7,,,,,,218.77,233.10,284.16,278.82,282.98,,
2000-03-30 22:00:09.363000,L7,,,,,178.85,254.82,293.90,304.11,298.35,300.95,307.72,357.62
2000-04-15 21:59:55.745000,L7,,,,,,220.92,271.59,279.77,288.07,286.87,233.84,151.92
2000-05-01 21:59:54.563000,L7,,,,,176.55,255.24,301.58,306.75,304.29,303.49,317.46,353.44
2000-06-18 21:59:27.736000,L7,,,,,,,,,,,,328.05
2000-08-05 21:58:44.520000,L7,,,,,,230.89,279.62,291.44,280.36,281.41,285.38,334.80
2000-09-06 21:58:22.821000,L7,,,,,,204.65,248.53,263.43,252.16,250.45,,
2000-10-08 21:58:00.300000,L7,,,,,,231.79,257.01,269.25,259.71,260.07,242.18,
2000-11-25 21:57:58.896000,L7,,,,,161.47,282.86,286.62,302.87,415.51,437.42,444.76,434.60
2001-06-05 21:57:16.389000,L7,,,,,145.98,243.13,283.35,262.47,237.18,286.08,,
2001-07-07 21:57:00.006000,L7,,,,,147.56,241.98,284.64,290.58,288.76,290.39,268.00,209.50
2001-09-25 21:56:04.528000,L7,,,,,159.53,450.01,460.21,459.60,462.24,441.86,433.29,344.31
2001-12-30 21:56:13.010000,L7,,,,,,157.67,264.84,275.86,269.11,266.11,253.34,155.89
2002-05-07 21:56:27.687000,L7,,,,,,223.76,282.31,266.19,301.50,294.05,,338.35
2002-10-14 21:55:19.836000,L7,,,,,,224.60,265.91,286.92,278.67,280.61,281.22,322.67
2002-10-30 21:55:25.430000,L7,191.30,,,,167.63,256.76,280.88,296.71,289.28,290.37,293.62,346.40
2003-05-10 21:56:22.313000,L7,,,,,144.77,228.84,272.29,255.32,229.43,275.03,,324.58
2003-07-21 21:44:09.463000,L5,,,,,162.45,257.56,292.32,307.05,295.37,298.50,295.80,349.16
2004-04-02 21:46:54.575000,L5,,,,,161.29,244.26,286.11,300.74,290.32,287.52,290.72,340.67
2004-05-04 21:47:51.656000,L5,,,,,153.88,260.64,294.26,297.52,294.07,297.68,295.88,346.83
2004-05-20 21:48:20.187000,L5,,,,,161.28,255.07,293.63,309.36,296.33,299.21,294.45,348.03
2004-06-05 21:48:48.638000,L5,,,,,155.69,251.26,290.86,304.15,296.60,297.18,296.96,347.73
2004-07-07 21:49:44.929000,L5,,,,,161.76,256.20,294.18,304.67,303.40,294.26,291.35,347.88
2004-08-08 21:50:26.495000,L5,,,,,152.90,247.27,288.44,302.91,289.55,287.18,286.91,339.74
2004-09-25 21:51:43.061000,L5,,,,,,230.64,272.82,284.91,280.00,276.56,277.94,323.82
2004-10-27 21:52:23.346000,L5,,,,,143.51,251.07,289.00,301.68,292.76,288.72,279.59,313.30
2005-01-15 21:53:45.186000,L5,,,,,158.47,249.45,295.73,306.62,302.04,282.74,280.74,324.00
2005-03-04 21:54:27.824000,L5,,,,,152.07,244.52,290.39,299.22,300.56,285.56,290.83,315.73
2005-04-05 21:54:42.889000,L5,,,,,155.26,254.77,291.93,296.53,298.10,287.36,288.87,329.39
2005-04-21 21:54:46.500000,L5,,,,,164.67,250.59,292.65,301.45,288.79,285.36,287.39,329.26
2005-06-08 21:55:08.756000,L5,,,,,159.89,250.09,289.26,296.34,294.16,293.04,283.14,338.26
2005-07-10 21:55:19.319000,L5,380.37,339.97,401.45,421.83,204.44,271.38,306.44,320.42,322.52,323.17,387.46,429.07
2005-08-27 21:55:43.837000,L5,,,,,155.43,245.19,290.56,302.32,297.50,296.04,293.38,340.97
2005-09-28 21:55:44.137000,L5,,,,,151.25,247.24,284.31,295.80,298.23,289.54,289.99,333.28
2006-02-19 21:58:15.515000,L5,,,,,153.31,237.39,284.77,295.71,299.67,286.94,292.40,320.72
2006-06-27 22:00:24.118000,L5,,,,,164.06,254.15,293.76,304.43,298.00,299.97,294.53,348.26
2006-11-02 22:01:56.430000,L5,,,,,146.87,230.76,275.68,289.88,296.45,295.04,283.95,336.30
2007-01-05 22:02:28.201000,L5,,,,,162.41,245.95,291.04,304.47,291.42,298.90,298.48,330.23
2007-01-21 22:02:33.422000,L5,,,,,151.90,229.81,276.53,288.26,296.75,294.98,298.30,341.83
2008-02-25 21:58:00.859000,L5,,,,,156.26,237.60,286.50,296.14,292.61,293.08,297.86,346.92
2008-12-25 21:52:09.965000,L5,,,,,,216.01,269.79,275.26,266.17,262.39,270.50,244.58
2010-01-13 21:58:24.995000,L5,,,,,150.86,252.14,290.11,293.72,278.61,273.34,278.61,314.10
2010-01-29 21:58:29.033000,L5,,,,,146.15,237.18,285.21,293.77,286.57,285.48,288.45,325.36
2011-09-13 21:56:09.668000,L5,,,,,,233.16,279.71,294.50,287.63,287.08,288.81,350.54
2013-05-29 22:09:41.256000,L8,,,469.28,401.61,150.24,238.32,283.87,289.40,274.14,280.26,274.05,351.65
2013-06-30 22:09:35.948000,L8,,,,,,219.87,266.41,276.00,256.93,265.52,245.49,
2013-07-16 22:09:36.403000,L8,409.21,,,,,228.88,437.13,438.81,427.26,425.90,272.00,366.59
2013-09-02 22:09:40.433000,L8,,,,188.11,228.19,280.67,287.50,324.40,279.30,285.62,288.12,364.32
2014-01-24 22:08:45.323000,L8,,,,,,,219.53,240.92,225.28,,,
