dates,satname,nzd0473-0000,nzd0473-0001,nzd0473-0002,nzd0473-0003,nzd0473-0004
1999-08-26 22:07:08.722000,L7,,,247.35,247.53,260.18
1999-11-30 22:06:59.059000,L7,299.23,303.13,307.00,310.28,323.02
1999-12-16 22:07:09.748000,L7,280.89,283.70,191.73,208.41,187.64
2000-03-21 22:06:49.022000,L7,,,213.20,212.75,225.36
2000-05-08 22:06:20.956000,L7,,,200.44,225.17,241.56
2000-06-25 22:05:55.844000,L7,,,,223.65,254.90
2000-07-27 22:05:24.302000,L7,,,250.79,254.63,282.23
2000-08-12 22:05:17.927000,L7,283.59,251.98,281.62,293.50,305.02
2000-12-18 22:04:37.758000,L7,287.38,292.93,300.63,308.10,314.72
2001-01-03 22:04:36.218000,L7,279.89,281.78,274.83,272.22,279.22
2001-02-20 22:04:36.568000,L7,282.77,290.16,279.20,277.90,284.66
2001-04-09 22:04:17.927000,L7,259.95,269.47,294.03,293.81,313.25
2001-07-14 22:03:33.580000,L7,,,,243.51,283.57
2001-08-15 22:03:02.378000,L7,,,196.30,228.43,237.15
2001-11-03 22:02:34.745000,L7,,,252.73,243.11,199.93
2002-03-11 22:03:07.402000,L7,295.29,298.53,341.19,306.66,327.51
2002-04-12 22:03:01.345000,L7,271.26,257.98,282.32,298.13,308.39
2002-05-14 22:02:55.455000,L7,,,262.38,253.78,287.75
2002-06-15 22:02:43.613000,L7,,,176.38,240.21,284.33
2002-07-01 22:02:38.940000,L7,,,151.83,233.04,267.90
2002-10-05 22:01:55.235000,L7,,,211.23,247.43,267.28
2002-11-22 22:02:21.568000,L7,301.25,293.52,300.48,299.03,301.39
2002-12-08 22:02:27.564000,L7,275.34,256.37,223.99,254.24,212.76
2002-12-24 22:02:33.044000,L7,262.27,260.40,263.28,262.88,265.25
2003-08-13 21:51:08.818000,L5,244.29,232.26,285.78,289.09,305.72
2003-09-14 21:51:42.461000,L5,263.17,219.38,282.57,287.19,296.76
2003-10-16 21:52:08.058000,L5,376.21,324.31,381.48,331.17,362.87
2003-11-17 21:52:33.290000,L5,326.07,319.39,330.15,323.78,329.75
2004-02-05 21:53:05.047000,L5,291.42,299.22,299.59,293.09,301.84
2004-05-27 21:55:06.972000,L5,,,269.92,275.49,289.82
2004-06-12 21:55:35.599000,L5,,,272.15,279.88,295.72
2004-06-28 21:56:04.477000,L5,,,274.79,287.32,308.92
2004-07-30 21:56:51.838000,L5,266.41,248.76,286.13,293.21,310.81
2004-08-15 21:57:13.549000,L5,303.24,316.81,362.87,336.90,340.23
2004-10-18 21:58:47.729000,L5,345.85,333.18,387.59,337.97,347.74
2005-02-23 22:00:55.316000,L5,301.27,299.33,309.85,308.87,315.20
2005-03-11 22:01:07.710000,L5,,,273.08,283.89,288.30
2005-04-12 22:01:18.889000,L5,306.86,311.87,321.28,317.08,327.23
2005-10-05 22:02:17.195000,L5,297.76,297.56,302.66,301.04,303.26
2005-11-06 22:02:22.875000,L5,331.57,327.82,341.00,332.49,342.23
2006-05-17 22:06:21.807000,L5,,,276.60,271.27,298.00
2006-07-04 22:07:05.212000,L5,,,261.66,259.95,291.70
2006-10-24 22:08:26.357000,L5,276.49,246.21,259.32,288.26,293.45
2006-12-11 22:08:52.184000,L5,341.61,335.29,335.83,340.20,350.02
2007-02-13 22:09:11.063000,L5,334.29,331.93,346.18,334.93,342.33
2007-09-09 22:07:21.190000,L5,301.48,309.30,317.96,315.62,325.27
2008-02-16 22:04:45.714000,L5,331.83,331.78,337.25,332.18,335.57
2008-10-29 21:57:48.288000,L5,304.20,304.18,308.97,310.77,316.67
2008-11-14 21:57:28.308000,L5,280.07,285.58,289.72,294.42,296.61
2009-01-17 21:59:20.568000,L5,339.27,340.07,347.64,341.63,362.62
2010-12-22 22:04:05.307000,L5,,256.48,287.14,286.10,298.02
2011-02-08 22:04:11.186000,L5,347.25,338.47,348.79,346.02,351.87
2011-03-12 22:04:07.249000,L5,275.44,275.30,286.38,286.51,295.55
2011-03-28 22:04:02.070000,L5,320.35,324.65,328.06,327.72,336.15
2013-06-05 22:16:15.001000,L8,,,264.72,267.20,278.48
2013-07-07 22:16:11.966000,L8,270.45,247.28,271.61,274.45,284.72
2013-07-23 22:16:10.674000,L8,271.05,261.00,198.84,267.57,276.31
2013-09-25 22:16:04.975000,L8,300.70,291.05,299.35,297.96,305.97
2013-10-11 22:16:05.328000,L8,341.12,334.64,351.59,339.27,342.53
2013-10-27 22:15:55.590000,L8,306.94,307.62,339.50,311.82,329.23
2013-12-30 22:15:37.096000,L8,292.88,288.13,295.57,293.58,304.16
2014-02-23 22:21:08.076000,L8,290.31,281.71,286.37,290.07,301.99
2014-03-11 22:20:55.957000,L8,289.00,283.42,286.53,291.40,292.92
2014-03-20 22:14:37.534000,L8,291.93,283.51,288.17,294.13,298.61
2014-03-27 22:20:37.696000,L8,,263.05,273.18,271.63,275.83
2014-05-23 22:13:42.455000,L8,,,260.76,260.05,275.10
2014-08-11 22:14:15.733000,L8,,239.09,267.43,266.67,275.54
2014-09-28 22:14:20.662000,L8,299.36,296.95,306.75,308.28,322.77
2014-12-01 22:14:24.062000,L8,344.57,337.88,344.40,346.46,355.07
2015-01-18 22:14:12.454000,L8,355.60,338.50,353.55,349.06,338.18
2015-02-19 22:14:01.458000,L8,,270.18,273.17,216.48,274.76
2015-03-07 22:13:53.954000,L8,283.82,275.18,277.83,277.16,283.84
2015-03-14 22:19:59.243000,L8,,267.40,273.65,272.57,277.81
2015-04-24 22:13:32.133000,L8,267.54,260.69,271.75,269.09,275.06
2015-06-11 22:13:28.321000,L8,289.90,278.93,290.80,301.43,322.07
2015-06-27 22:13:34.068000,L8,264.83,225.34,263.88,267.84,278.89
2015-07-29 22:13:49.622000,L8,291.46,293.10,291.46,298.73,309.88
2015-10-01 22:14:13.730000,L8,285.38,273.20,274.26,266.75,
2015-11-18 22:14:20.859000,L8,231.49,263.21,264.70,266.22,268.68
2016-01-05 22:14:17.033000,L8,293.69,289.76,291.85,292.87,302.63
2016-01-21 22:14:17.820000,L8,297.38,304.26,355.25,308.78,336.59
2016-04-26 22:13:44.974000,L8,300.31,285.02,296.27,293.85,300.28
2016-05-12 22:13:44.453000,L8,273.49,271.72,272.34,271.13,277.80
2016-06-29 22:14:02.852000,L8,269.36,199.41,266.43,265.77,273.67
2016-08-16 22:14:17.460000,L8,295.22,280.36,283.92,288.52,301.95
2016-09-01 22:14:24.105000,L8,280.53,261.64,271.67,271.20,276.75
2017-01-23 22:14:19.080000,L8,296.13,291.98,291.94,292.83,296.48
2017-02-08 22:14:10.700000,L8,289.19,282.60,283.63,281.15,287.70
2017-02-24 22:14:05.773000,L8,286.61,277.59,280.26,280.43,287.64
2017-07-02 22:13:59.733000,L8,,,,,274.52
2017-08-03 22:14:11.719000,L8,283.68,277.30,280.92,281.71,292.40
2017-11-07 22:14:29.495000,L8,302.42,297.37,305.45,307.60,320.22
2018-01-26 22:14:08.959000,L8,297.26,296.52,306.89,308.23,319.95
2018-02-11 22:14:02.243000,L8,266.54,268.15,275.80,270.97,280.82
2018-03-06 22:20:02.483000,L8,295.73,293.97,302.83,302.10,314.68
2018-03-31 22:13:39.641000,L8,276.19,269.75,272.91,273.82,278.09
2018-04-16 22:13:30.411000,L8,302.38,286.50,295.58,295.98,299.80
2018-05-18 22:13:10.727000,L8,265.95,240.45,265.48,269.48,275.90
2018-07-21 22:13:25.431000,L8,291.44,281.60,292.79,312.41,317.30
2018-09-07 22:13:48.162000,L8,,,274.98,276.55,274.26
2018-11-10 22:14:08.770000,L8,293.02,291.14,292.33,295.90,297.16
2019-02-05 22:20:09.281000,L8,306.41,304.49,319.16,314.20,332.24
2019-02-14 22:13:57.218000,L8,297.13,294.41,300.72,294.57,318.64
2019-02-21 22:20:06.522000,L8,289.89,284.82,287.81,288.97,298.32
2019-03-02 22:13:53.044000,L8,324.96,306.83,324.34,321.45,348.16
2019-06-06 22:13:59.042000,L8,299.24,287.56,338.31,322.78,339.36
2019-06-22 22:14:04.757000,L8,277.26,234.10,205.78,275.15,287.20
2019-10-28 22:14:36.351000,L8,277.78,220.40,275.05,272.92,279.57
2019-11-13 22:14:33.870000,L8,289.95,287.07,288.66,290.44,298.26
2020-01-16 22:14:22.794000,L8,277.29,187.58,257.87,,
2020-01-23 22:20:31.626000,L8,290.33,285.04,286.32,290.29,298.69
2020-02-08 22:20:26.619000,L8,288.03,281.42,284.39,284.81,290.00
2020-02-24 22:20:22.879000,L8,,,285.14,284.79,290.32
2020-03-04 22:14:08.808000,L8,296.96,302.85,303.06,309.21,328.01
2020-03-11 22:20:16.572000,L8,,,290.45,296.99,304.23
2020-05-23 22:13:39.631000,L8,,,175.14,266.18,274.86
2020-06-08 22:13:47.789000,L8,270.82,248.15,268.54,268.39,281.54
2020-07-10 22:14:03.489000,L8,292.03,281.06,291.89,296.06,319.64
2020-07-26 22:14:08.414000,L8,,,263.90,254.58,266.63
2020-09-28 22:14:31.097000,L8,298.26,287.73,298.45,291.15,304.95
2020-10-30 22:14:31.894000,L8,295.66,295.06,300.61,298.37,311.59
2021-04-08 22:13:56.635000,L8,286.59,278.91,279.06,283.14,285.37
2021-05-26 22:13:54.830000,L8,289.84,282.27,276.90,279.50,291.24
2021-06-11 22:14:01.803000,L8,,,258.79,256.62,275.99
2021-07-13 22:14:07.279000,L8,268.49,215.12,265.29,260.46,270.53
2021-08-30 22:14:25.984000,L8,300.96,284.25,293.27,293.40,301.04
2021-11-06 22:15:11.708000,L9,277.64,271.83,273.63,273.19,277.43
2021-11-18 22:14:32.533000,L8,285.22,280.02,281.01,281.00,284.55
2021-12-20 22:14:31.987000,L8,304.85,303.49,308.23,309.24,321.40
2022-01-13 22:14:26.510000,L9,292.31,286.20,287.69,286.77,299.62
2022-03-02 22:14:13.766000,L9,284.59,270.88,274.42,268.91,277.18
2022-04-27 22:13:58.302000,L8,236.03,215.25,,,
2022-05-05 22:13:54.871000,L9,299.10,285.84,282.39,291.72,302.28
2022-06-14 22:14:22.918000,L8,282.40,269.15,283.35,281.13,293.75
2022-06-30 22:14:27.385000,L8,214.59,220.40,263.23,266.12,276.03
2022-08-09 22:14:22.241000,L9,217.41,228.63,264.69,264.77,273.82
2022-09-10 22:14:27.430000,L9,,,,270.84,200.52
2022-11-21 22:14:44.924000,L8,275.33,267.71,268.46,268.11,273.95
2023-01-08 22:14:36.179000,L8,290.59,286.69,290.26,288.96,299.77
2023-02-17 22:14:37.295000,L9,294.02,291.96,296.29,298.69,309.21
2023-02-25 22:14:16.003000,L8,288.87,286.05,287.94,287.79,296.86
2023-03-05 22:14:25.172000,L9,295.62,289.80,295.41,299.50,307.52
2023-03-13 22:14:10.896000,L8,295.12,288.86,295.11,293.13,307.13
2023-04-05 22:20:04.508000,L8,282.08,240.20,,,
2023-04-21 22:19:54.366000,L8,271.44,250.43,262.61,260.06,267.20
2023-04-22 22:14:02.920000,L9,,,239.78,242.96,237.90
2023-05-24 22:13:40.953000,L9,292.67,282.12,290.30,297.67,305.17
2023-06-01 22:13:31.049000,L8,265.45,236.24,256.44,262.24,273.95
2023-06-09 22:13:36.654000,L9,283.02,264.51,278.78,280.34,291.86
2023-06-17 22:13:40.818000,L8,238.92,253.21,256.40,226.38,
2023-07-03 22:13:51.195000,L8,288.19,272.97,291.92,297.77,304.99
2023-07-27 22:13:50.729000,L9,267.06,231.77,263.15,257.69,272.38
2023-08-12 22:13:59.156000,L9,304.82,288.23,307.86,314.11,331.91
2023-08-20 22:14:11.307000,L8,303.20,286.96,309.67,310.55,334.49
2023-09-29 22:14:14.607000,L9,287.88,276.73,279.99,279.54,286.71
2023-10-15 22:14:26.851000,L9,295.06,293.02,299.70,298.94,312.87
2023-11-24 22:14:27.756000,L8,265.35,261.49,271.33,267.39,272.20
2023-12-10 22:14:21.153000,L8,291.92,290.97,294.27,291.69,326.77
2023-12-18 22:14:32.867000,L9,295.67,294.19,294.03,296.50,308.38
2024-01-19 22:14:28.085000,L9,289.86,283.00,287.94,289.03,302.15
2024-02-04 22:14:31.487000,L9,334.70,330.84,348.64,322.16,331.99
2024-02-12 22:14:17.978000,L8,288.46,278.78,282.96,282.32,286.40
2024-02-20 22:14:19.830000,L9,294.55,285.23,290.04,290.96,297.33
2024-03-07 22:14:23.817000,L9,298.83,288.24,289.30,290.58,306.78
2024-04-16 22:13:43.047000,L8,308.68,328.93,331.35,317.74,338.37
2024-04-24 22:13:49.993000,L9,285.23,276.29,282.48,283.50,291.65
2024-05-02 22:13:32.255000,L8,292.14,290.67,288.53,282.64,291.67
2024-05-10 22:13:48.524000,L9,263.83,237.69,267.89,270.81,277.56
2024-05-26 22:13:35.954000,L9,394.09,260.73,302.79,296.31,372.13
2024-06-03 22:13:17.413000,L8,,,262.33,262.23,278.95
2024-06-11 22:13:30.022000,L9,249.02,271.50,273.63,268.36,277.72
2024-06-19 22:13:25.055000,L8,275.20,217.86,267.69,267.33,279.54
2024-09-07 22:14:06.843000,L8,274.69,265.30,272.28,268.99,274.36
2024-09-15 22:14:02.877000,L9,338.54,334.70,349.96,331.02,347.27
2024-09-23 22:14:06.459000,L8,296.92,291.85,299.19,298.69,308.70
2024-10-09 22:14:09.304000,L8,296.56,288.17,297.62,299.17,334.88
2024-12-04 22:14:24.237000,L9,405.21,335.83,341.28,339.78,365.43
2025-01-05 22:14:18.819000,L9,306.65,298.37,303.78,302.17,344.12
2025-01-21 22:14:25.000000,L9,287.03,277.14,281.52,281.91,287.71
2025-02-22 22:14:21.123000,L9,304.14,292.93,298.87,308.92,336.88
2025-04-03 22:13:52.056000,L8,298.54,293.40,301.11,318.20,302.20
2025-04-11 22:14:05.423000,L9,290.22,276.04,279.93,281.40,294.24
2025-04-27 22:13:56.565000,L9,277.94,265.22,271.44,273.79,279.09
