dates,satname,nzd0442-0000,nzd0442-0001,nzd0442-0002,nzd0442-0003,nzd0442-0004,nzd0442-0005,nzd0442-0006,nzd0442-0007,nzd0442-0008,nzd0442-0009,nzd0442-0010,nzd0442-0011,nzd0442-0012,nzd0442-0013,nzd0442-0014,nzd0442-0015,nzd0442-0016,nzd0442-0017,nzd0442-0018,nzd0442-0019,nzd0442-0020,nzd0442-0021,nzd0442-0022,nzd0442-0023,nzd0442-0024,nzd0442-0025,nzd0442-0026,nzd0442-0027,nzd0442-0028,nzd0442-0029,nzd0442-0030,nzd0442-0031,nzd0442-0032,nzd0442-0033,nzd0442-0034,nzd0442-0035,nzd0442-0036,nzd0442-0037,nzd0442-0038,nzd0442-0039,nzd0442-0040,nzd0442-0041,nzd0442-0042,nzd0442-0043,nzd0442-0044,nzd0442-0045,nzd0442-0046,nzd0442-0047,nzd0442-0048,nzd0442-0049,nzd0442-0050,nzd0442-0051,nzd0442-0052,nzd0442-0053,nzd0442-0054,nzd0442-0055,nzd0442-0056,nzd0442-0057,nzd0442-0058,nzd0442-0059,nzd0442-0060,nzd0442-0061,nzd0442-0062,nzd0442-0063,nzd0442-0064,nzd0442-0065,nzd0442-0066,nzd0442-0067,nzd0442-0068,nzd0442-0069,nzd0442-0070,nzd0442-0071,nzd0442-0072,nzd0442-0073,nzd0442-0074,nzd0442-0075,nzd0442-0076,nzd0442-0077,nzd0442-0078,nzd0442-0079,nzd0442-0080,nzd0442-0081,nzd0442-0082,nzd0442-0083,nzd0442-0084,nzd0442-0085
1999-10-27 22:19:03.197000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.47,174.31,179.65,183.39,172.85,172.53,,,,,,,,,,,,,,,,,,,,,
1999-11-21 22:12:47.994000,L7,303.49,285.34,278.56,306.98,176.86,293.74,338.80,354.44,367.96,376.61,366.58,240.11,249.20,250.67,365.48,340.98,351.35,339.96,334.82,328.27,318.42,318.98,301.13,318.29,313.48,305.39,301.98,304.52,303.28,297.26,293.95,294.59,289.52,294.74,295.15,293.87,297.01,299.83,302.03,305.50,309.20,310.86,305.55,304.93,310.30,306.46,304.73,308.55,311.48,312.53,314.38,313.91,308.87,312.13,208.00,311.01,317.55,309.02,308.83,308.76,310.46,276.83,315.67,304.08,313.02,316.08,309.86,301.89,303.47,297.68,295.75,294.44,291.46,284.45,279.98,284.28,269.92,235.03,258.54,259.61,251.60,248.96,229.20,256.21,260.34,316.27
1999-11-28 22:18:56.993000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.78,175.89,172.95,167.27,167.73,168.48,165.12,166.72,,,
1999-12-07 22:12:53.785000,L7,,,,,,,,,,,,211.50,187.64,206.39,200.01,183.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-08-19 22:11:01.988000,L7,,,,,,,,,,,207.65,196.89,197.38,231.96,208.87,236.19,196.16,188.22,221.01,214.69,194.78,206.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.66,183.07,181.11,168.37,167.72,172.97,165.32,,,,,,,
2000-09-27 22:16:36.610000,L7,,,,,,,,,,,,219.61,188.16,229.21,218.86,195.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.08,177.81,186.63,165.90,177.96,175.19,166.72,,,,,,,
2000-11-07 22:10:17.299000,L7,,,,,,,,,,192.56,203.76,219.36,196.07,220.54,209.22,195.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.28,183.86,188.18,186.68,188.52,194.01,190.95,200.95,175.34,192.01,188.15,183.68,181.95,184.88,183.99,183.80,191.09,187.75,180.30,175.54,167.41,,,,,,215.87,235.18
2000-11-14 22:16:30.766000,L7,,,,,,,,,,,,209.97,216.49,216.91,212.93,191.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.92,179.50,182.22,183.20,185.43,186.04,177.72,185.10,192.16,187.22,184.90,181.52,181.45,181.56,182.37,181.43,184.65,179.69,176.21,167.76,156.98,,,,,,,
2000-12-16 22:16:35.253000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.36,179.47,182.76,186.37,186.72,185.84,,,,,,,,,,,,,,,,,,,,,
2001-01-10 22:10:27.647000,L7,320.44,314.66,253.65,248.42,269.53,265.04,270.06,277.75,312.31,338.31,309.98,310.08,317.00,339.80,317.50,311.37,304.29,302.81,299.12,293.07,287.27,280.21,278.09,281.77,300.62,216.26,271.00,267.55,267.42,267.71,261.71,262.24,256.58,250.15,257.67,203.93,265.18,209.29,214.11,275.83,281.11,291.69,281.36,284.69,289.33,273.32,221.91,277.18,279.76,280.33,281.34,281.59,273.19,264.08,263.38,272.30,267.05,255.74,253.42,259.96,262.31,264.81,265.15,271.15,270.68,220.88,276.96,268.26,270.00,263.99,274.73,269.88,272.34,263.66,296.58,292.14,274.45,282.16,273.47,266.46,264.88,270.25,273.99,281.55,249.48,350.62
2001-02-18 22:16:35.003000,L7,,,,,,,,,,,,176.12,192.11,219.59,201.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.75,183.34,177.57,184.98,179.88,191.66,190.70,193.45,,,,,,,,,,,,,,,,,,,,
2001-02-27 22:10:18.214000,L7,,,,,,,,,,191.70,205.20,223.14,220.22,229.44,236.62,180.44,178.08,185.48,214.55,209.44,209.58,206.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184.35,182.87,183.32,182.80,188.06,186.80,191.58,198.98,193.20,190.23,182.56,185.24,181.09,178.31,174.68,180.43,185.08,179.71,178.01,171.34,168.52,,,,,,,
2001-09-23 22:08:26.958000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.65,173.20,185.84,181.96,179.23,171.13,,,,,,,,,,,,,,,,,,,,,
2002-01-20 22:15:01.686000,L7,310.49,312.91,302.89,320.45,194.22,207.45,211.64,218.19,231.38,209.38,222.97,246.43,258.15,257.44,265.47,260.44,252.48,241.50,239.00,233.57,230.30,228.66,228.96,232.68,230.89,230.22,224.67,225.78,222.20,222.53,217.05,216.37,213.42,209.91,209.00,208.94,211.94,213.32,221.43,226.60,231.49,234.52,234.56,232.25,230.30,228.77,228.37,222.16,223.19,228.05,225.25,225.74,222.76,225.64,218.40,217.98,212.76,211.04,213.01,208.29,208.36,210.60,208.91,211.90,357.83,355.28,309.56,343.86,347.36,350.50,350.57,356.21,342.92,357.80,354.20,348.82,349.83,340.44,329.26,326.60,326.33,318.46,283.02,325.00,338.19,317.47
2002-01-29 22:08:45.213000,L7,,,,,,,,,,,,,198.40,225.22,199.84,185.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.53,182.21,182.42,177.29,175.92,167.71,162.74,,,,,,,
2002-02-05 22:15:01.569000,L7,,,,,,,,,,,,218.85,199.04,223.33,204.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-02-14 22:08:53.179000,L7,,,,,,,,,,,,221.52,201.51,237.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.38,182.50,186.53,189.42,178.30,185.83,,,,,,,178.19,183.91,184.75,180.27,176.21,176.18,168.76,,,,,,,
2002-04-03 22:08:45.014000,L7,,,,,,,,,,,,,,226.88,209.03,220.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
