dates,satname,nzd0509-0000,nzd0509-0001,nzd0509-0002,nzd0509-0003,nzd0509-0004,nzd0509-0005,nzd0509-0006,nzd0509-0007,nzd0509-0008,nzd0509-0009,nzd0509-0010,nzd0509-0011,nzd0509-0012,nzd0509-0013,nzd0509-0014
2003-08-29 21:51:49.928000,L5,,,,,,184.83,197.96,186.21,257.11,215.42,,,,,
2003-09-30 21:52:18.101000,L5,,,,,144.15,177.91,269.63,208.50,268.39,197.02,,,,,
2003-11-17 21:52:57.120000,L5,,,,,138.36,205.74,271.32,198.57,261.82,239.18,218.52,,,,
2004-06-12 21:55:59.429000,L5,,,,,,,,,266.27,244.19,218.96,,,,
2004-07-30 21:57:15.668000,L5,,,,,,,,188.62,257.14,235.94,192.46,,,,
2004-10-18 21:59:11.702000,L5,,,,,149.92,233.99,286.73,222.41,273.86,249.93,228.98,,,,
2005-01-22 22:00:50.292000,L5,,,,,284.25,279.28,311.32,284.15,310.32,314.27,280.27,,,,
2005-03-11 22:01:31.683000,L5,,,,,227.23,255.58,303.00,256.99,298.75,306.64,264.07,,,,
2005-10-05 22:02:41.026000,L5,,,,,262.93,267.51,308.33,292.25,305.85,311.40,275.41,,,,
2006-02-17 22:11:22.491000,L5,,,,,,210.68,285.58,212.31,280.02,232.47,201.19,,,,
2006-02-26 22:05:22.928000,L5,,,,,239.22,246.79,305.79,294.59,305.75,313.19,273.00,,,,
2006-03-14 22:05:42.635000,L5,,,,,185.36,232.98,291.75,241.64,292.90,299.33,256.14,,,,
2006-04-15 22:06:18.610000,L5,,,,,,207.90,242.50,188.75,254.19,233.07,205.25,,,,
2006-06-02 22:07:00.083000,L5,,,,,,221.13,283.54,200.99,275.91,244.72,227.20,,,,
2006-06-25 22:13:31.961000,L5,356.88,280.56,303.33,300.42,286.03,289.81,311.66,304.83,307.36,312.69,285.48,,,,
2006-07-27 22:13:58.731000,L5,,,,,257.70,283.84,310.12,312.47,314.25,311.95,279.68,144.21,210.67,244.29,
2006-10-08 22:08:40.914000,L5,,,,,170.27,229.79,284.05,221.07,273.91,257.13,232.62,,,,
2006-12-11 22:09:16.015000,L5,316.47,297.77,308.67,311.32,299.04,288.63,309.46,306.81,307.25,314.42,297.32,,,,
2007-09-09 22:07:45.163000,L5,,,,,247.13,270.39,309.10,292.65,306.35,308.64,267.54,,,,
2008-11-14 21:57:52.281000,L5,317.88,293.43,301.91,310.17,300.58,287.56,312.64,306.67,307.98,313.91,304.47,,,,
2009-01-17 21:59:44.398000,L5,,,,,243.32,242.90,296.58,287.71,296.92,302.37,270.86,,,,
2010-02-05 22:05:29.575000,L5,,,,,143.27,207.18,273.26,204.16,271.80,260.20,227.41,,,,
2010-11-27 22:10:35.713000,L5,,,,,,,286.59,280.95,284.22,288.70,263.03,,,,
2010-12-22 22:04:29.137000,L5,313.42,297.50,309.83,310.95,299.44,289.51,314.28,303.01,310.79,314.28,308.26,147.88,222.92,256.45,
2011-03-12 22:04:31.079000,L5,,,,,161.86,215.23,281.85,212.26,270.58,258.98,226.91,,,,
2013-05-11 22:22:42.945000,L8,,,,,,,,171.70,275.61,259.65,205.64,,,,
2013-07-07 22:16:35.929000,L8,,,,,,,,,267.15,251.30,236.06,,,,
2013-07-23 22:16:34.633000,L8,,,,,,,271.24,215.56,269.51,256.70,227.19,,,,
2013-08-31 22:22:50.245000,L8,226.97,,,,,163.84,263.82,179.60,265.31,262.50,218.85,,,,
2013-09-25 22:16:28.938000,L8,,,237.71,301.95,298.87,289.92,287.76,304.08,292.05,296.55,298.62,245.60,,,
2013-10-02 22:22:40.460000,L8,314.92,230.12,300.02,301.47,298.78,286.16,291.44,301.51,294.42,295.52,297.92,245.15,,,
2013-10-11 22:16:29.291000,L8,,,307.48,313.10,304.68,299.69,297.15,304.86,300.77,302.87,301.97,259.75,,,
2013-10-18 22:22:37.411000,L8,,,,,212.66,220.11,279.14,289.04,284.17,287.30,264.13,,,,
2013-11-12 22:16:19.914000,L8,,,300.40,307.01,302.55,290.08,292.29,300.34,298.66,296.24,299.03,248.58,,,
2013-11-19 22:22:25.407000,L8,,,296.26,301.62,301.41,290.72,288.55,297.95,293.12,294.53,295.68,249.69,,,
2013-12-30 22:16:01.055000,L8,,,,,,178.62,268.56,278.82,255.29,277.84,232.28,,,,
2014-02-23 22:21:32.043000,L8,300.83,,,,192.81,184.60,270.57,281.85,274.66,277.10,249.61,,,,
2014-03-11 22:21:19.920000,L8,314.62,299.55,299.58,302.80,232.47,292.35,288.01,302.42,291.89,294.08,300.43,249.41,,,
2014-03-20 22:15:01.497000,L8,501.26,299.54,302.45,301.06,303.71,244.42,286.33,304.54,292.35,294.04,302.74,248.48,,,
2014-04-21 22:14:29.865000,L8,327.07,302.65,310.98,309.98,309.77,302.89,296.47,313.45,301.62,305.75,308.91,252.29,255.25,260.22,263.48
2014-07-17 22:20:39.943000,L8,,,,,,,,166.97,267.53,249.10,235.62,,,,
2014-08-11 22:14:39.696000,L8,299.21,,,,193.51,232.82,287.04,296.08,292.30,301.73,299.14,,,,
2014-08-18 22:20:51.886000,L8,,,,,,149.72,268.47,173.44,265.69,252.67,226.34,,,,
2014-09-19 22:20:54.477000,L8,,,301.12,302.94,303.76,296.78,294.07,305.27,296.25,300.98,300.40,257.61,178.73,253.88,156.51
2014-09-28 22:14:44.621000,L8,,,297.79,297.50,299.51,292.78,287.29,302.38,290.15,292.60,301.18,194.14,,,
2015-01-02 22:14:38.674000,L8,,,297.64,302.28,304.52,293.62,289.74,300.09,293.82,294.18,301.66,264.26,,,
2015-03-14 22:20:23.206000,L8,,,299.97,303.55,304.36,297.08,292.23,305.55,298.55,298.89,301.65,267.74,,,
2015-04-15 22:20:10.505000,L8,,,,,,160.75,271.01,245.11,274.91,286.87,247.80,,,,
2015-05-01 22:20:00.344000,L8,,,,,,149.62,272.54,236.79,273.09,265.51,239.00,,,,
2015-08-21 22:20:33.210000,L8,235.07,,,,,137.24,271.80,173.73,270.53,286.15,238.94,,,,
2015-10-08 22:20:48.527000,L8,203.43,,,,,164.42,261.08,243.90,270.10,274.32,233.05,,,,
2015-10-17 22:14:38.194000,L8,,,290.37,293.81,294.64,245.41,286.40,292.43,287.61,294.59,284.41,174.80,,,
2015-11-18 22:14:44.822000,L8,,,,,,183.40,268.25,277.23,276.00,274.61,243.22,,,,
2015-12-20 22:14:45.217000,L8,,,293.62,293.19,299.26,288.45,285.67,299.02,292.24,292.47,295.77,263.70,,,
2016-01-05 22:14:40.992000,L8,,,292.76,292.95,298.09,287.42,286.24,299.14,292.56,293.57,293.79,258.74,,,
2016-02-22 22:14:30.292000,L8,,,,,,171.31,255.52,255.65,262.81,261.72,207.48,,,,
2016-03-16 22:20:36.438000,L8,,,,,194.26,191.92,272.87,294.81,279.86,286.84,250.13,,,,
2016-04-26 22:14:08.933000,L8,,,,,,131.68,246.38,170.93,264.55,197.54,188.85,,,,
2016-06-04 22:20:28.125000,L8,,,,,,,,,276.33,253.11,244.18,,,,
2016-07-06 22:20:41.229000,L8,269.82,,,,189.32,231.49,288.47,255.11,291.10,289.36,253.75,,,,
2016-07-15 22:14:34.059000,L8,,,,,,,,,267.77,255.83,243.08,,,,
2016-12-29 22:21:01.343000,L8,,,,,192.94,190.98,271.60,277.14,278.05,277.40,259.04,,,,
2017-01-23 22:14:43.048000,L8,302.76,288.97,289.12,284.99,290.22,284.04,281.98,297.00,288.26,291.86,289.15,240.36,266.72,247.57,169.25
2017-01-30 22:20:50.623000,L8,,,,,191.41,186.45,269.05,283.08,274.97,275.58,255.89,,,,
2017-04-20 22:20:11.117000,L8,,,,,,162.34,262.63,179.47,262.51,254.77,204.06,,,,
2017-05-06 22:20:07.089000,L8,,,,,,147.48,273.77,175.91,266.47,255.40,242.60,,,,
2017-08-03 22:14:35.682000,L8,,,,,,,,,264.58,249.16,236.47,,,,
2017-09-27 22:21:00.343000,L8,291.54,,,,186.72,181.06,184.55,258.48,274.41,272.41,245.90,,,,
2017-10-29 22:21:05.518000,L8,301.74,293.44,293.94,296.35,298.81,289.42,291.92,301.71,297.31,295.08,294.92,255.08,,,
2017-11-30 22:20:56.190000,L8,300.46,291.70,290.93,294.81,294.02,285.02,290.49,299.54,295.92,295.75,291.33,252.59,189.93,258.64,163.55
2017-12-25 22:14:47.702000,L8,,,,,,179.10,262.12,226.25,268.93,272.21,233.88,,,,
2018-01-01 22:20:56.342000,L8,,,,206.18,197.13,188.29,268.71,281.63,278.33,277.15,253.51,,,,
2018-02-11 22:14:26.201000,L8,295.83,261.12,,,193.74,179.82,265.92,194.20,276.87,278.73,232.29,,,,
2018-02-27 22:14:19.470000,L8,,,,,191.11,180.70,267.30,289.78,275.36,276.72,243.59,,,,
2018-03-06 22:20:26.446000,L8,308.19,295.83,298.07,302.40,303.89,294.10,292.94,305.73,297.75,299.90,298.66,258.74,171.37,262.81,256.10
2018-03-15 22:14:10.086000,L8,293.32,278.33,285.66,285.14,279.00,277.28,277.75,297.59,285.88,288.38,263.29,,,,
2018-04-16 22:13:54.370000,L8,305.11,269.26,,220.11,272.14,270.64,279.78,302.00,291.39,296.18,297.12,,,,
2018-05-02 22:13:45.572000,L8,,,,,,,193.05,170.95,261.56,247.53,190.36,,,,
2018-05-18 22:13:34.690000,L8,,,,,,,274.74,174.74,272.60,250.61,238.43,,,,
2018-07-12 22:19:56.652000,L8,,,,,,,,,268.05,196.69,166.35,,,,
2018-07-21 22:13:49.390000,L8,268.04,,,,,,284.83,242.12,282.16,266.00,249.22,,,,
2018-08-29 22:20:19.957000,L8,,,,,,153.38,257.28,176.93,266.78,258.89,206.00,,,,
2018-09-07 22:14:12.130000,L8,313.56,289.35,299.15,297.00,303.36,291.20,291.46,307.82,296.84,300.65,297.39,259.87,,,
2018-09-30 22:20:31.646000,L8,,,,,201.86,204.94,275.72,293.59,282.04,285.77,257.39,,,,
2018-12-28 22:14:29.227000,L8,,,,173.16,194.83,188.54,268.45,281.37,276.24,274.05,250.67,,,,
2019-02-14 22:14:21.185000,L8,,,,,196.07,194.08,270.09,290.75,276.05,282.43,258.98,,,,
2019-02-21 22:20:30.485000,L8,,,,,189.97,189.03,263.87,284.02,270.29,274.90,253.89,,,,
2019-03-02 22:14:17.011000,L8,308.69,295.16,298.72,301.86,306.51,294.61,294.04,308.60,299.37,302.69,301.71,260.92,,,
2019-03-18 22:14:11.817000,L8,299.02,,,,187.47,186.85,264.37,294.19,271.31,268.24,239.72,,,,
2019-09-10 22:14:51.565000,L8,304.70,241.72,,256.75,267.42,212.26,276.14,294.46,280.09,292.49,265.43,,,,
2019-09-26 22:14:56.917000,L8,300.24,278.86,283.96,260.45,271.43,230.73,280.17,296.16,289.22,292.67,274.37,140.36,,,
2019-11-13 22:14:57.837000,L8,303.24,295.24,294.10,299.35,300.46,284.36,294.18,303.48,300.58,299.81,296.23,250.11,,,
2019-11-29 22:14:55.870000,L8,274.66,262.42,,,196.03,189.43,268.36,275.62,274.68,270.59,241.64,,,,
2019-12-22 22:21:03.498000,L8,,,,,,155.54,268.32,278.93,277.91,277.63,252.36,,,,
