dates,satname,nzd0523-0000,nzd0523-0001,nzd0523-0002,nzd0523-0003,nzd0523-0005,nzd0523-0006,nzd0523-0007,nzd0523-0015,nzd0523-0016,nzd0523-0017,nzd0523-0018,nzd0523-0019,nzd0523-0020,nzd0523-0026,nzd0523-0027,nzd0523-0028,nzd0523-0031,nzd0523-0032,nzd0523-0033,nzd0523-0034,nzd0523-0035,nzd0523-0036,nzd0523-0037,nzd0523-0038,nzd0523-0039,nzd0523-0040,nzd0523-0041,nzd0523-0042,nzd0523-0043,nzd0523-0044,nzd0523-0045,nzd0523-0046,nzd0523-0047,nzd0523-0048,nzd0523-0049,nzd0523-0050,nzd0523-0051,nzd0523-0052,nzd0523-0053,nzd0523-0004,nzd0523-0008,nzd0523-0009,nzd0523-0010,nzd0523-0011,nzd0523-0012,nzd0523-0013,nzd0523-0014,nzd0523-0021,nzd0523-0022,nzd0523-0023,nzd0523-0024,nzd0523-0025,nzd0523-0029,nzd0523-0030
2001-12-19 22:15:37.819000,L7,,,,,,,,,,,,,,,,213.38,,,,,,,,,,,,,,,,233.91,277.26,257.67,252.26,,,,,,,,,,,,,,,,,,246.16,233.29
2002-10-03 22:14:41.164000,L7,,,,,,,,,,,,,,233.88,246.51,251.63,,,250.72,280.76,171.94,239.01,165.53,214.91,213.58,258.57,272.23,238.14,200.67,262.13,187.07,266.74,280.27,262.57,263.95,136.51,224.74,296.09,289.81,,,,,,,,,234.59,233.53,,,,,
2003-08-11 22:03:51.447000,L5,,,,253.60,230.23,219.33,252.58,,,,,226.31,256.47,,,,,,,,,168.43,207.68,227.39,221.34,221.10,220.59,210.42,155.37,205.53,183.11,254.42,242.20,251.01,237.74,,206.33,293.27,280.24,274.42,266.58,,,,,,,267.21,285.11,,,,,
2003-10-14 22:04:51.425000,L5,248.55,215.65,211.85,246.95,226.20,232.27,251.84,178.58,201.44,210.62,245.14,254.36,249.69,223.65,252.45,138.55,199.07,274.90,287.11,293.38,309.17,315.04,314.18,321.27,322.38,322.57,300.71,242.46,182.77,288.65,277.11,268.35,282.81,272.04,308.17,160.23,296.70,296.56,302.90,,,,,,,,,,,,,,,
2004-04-23 22:06:53.682000,L5,,,,254.74,223.02,162.14,239.48,,,,,,,,,,,,,,,,,,,,213.04,195.03,153.96,202.59,170.20,255.78,241.20,242.20,213.86,,310.40,293.72,275.75,265.02,,,,,,,,,,,,,,
2004-08-20 22:16:18.497000,L5,,,,247.97,216.39,216.84,173.25,249.27,,,,233.41,242.90,,,,,,,181.41,186.60,164.41,197.78,200.41,213.78,181.41,199.82,198.35,,,,141.98,258.69,204.95,233.60,,294.60,287.87,279.14,267.82,,,,,230.31,249.08,243.65,237.84,266.85,262.84,,,,
2004-08-29 22:10:22.051000,L5,,,,,,,,,,,,258.71,202.43,,,,,,,,294.23,305.79,299.46,315.93,300.50,223.75,219.29,212.86,162.86,193.10,167.64,246.42,268.49,259.74,278.73,,303.44,277.22,284.24,,,,,,,,,268.60,278.25,275.99,,,,
2004-10-07 22:17:29.297000,L5,308.25,311.44,309.91,317.51,321.64,324.35,321.62,314.81,310.71,320.36,317.51,319.24,322.01,325.29,331.58,336.20,337.19,336.92,339.96,349.61,360.55,359.09,367.61,373.60,375.99,374.74,371.11,352.75,344.91,336.06,339.98,344.63,351.58,357.56,372.24,363.58,362.16,348.79,361.82,324.45,323.82,321.70,322.98,327.20,327.99,328.82,318.77,329.64,333.08,330.43,323.28,328.88,336.80,332.21
2004-11-01 22:11:49.961000,L5,353.73,341.32,340.68,343.58,372.42,374.93,360.61,356.15,362.25,361.43,348.80,348.08,355.26,383.66,391.31,383.44,349.06,350.62,365.02,381.76,379.69,378.27,389.37,408.57,414.20,411.97,407.55,410.08,397.18,374.60,366.10,362.99,377.37,384.73,391.46,395.71,388.12,465.88,453.74,348.88,353.66,350.65,346.96,355.70,371.77,373.99,367.68,350.51,354.93,354.99,352.13,371.45,367.63,349.89
2005-04-17 22:20:16.383000,L5,253.83,250.12,199.84,251.73,236.81,226.11,242.02,,,,,,,,,,,,,,,,,,,,,,,,,238.26,166.10,231.02,203.92,,297.57,271.64,227.01,260.39,,,,,,,,,,,,,,
2005-08-16 22:15:00.645000,L5,,,,,161.50,214.13,234.02,,,,,,,,,,,,,,,,,,,,,,,,,232.13,228.41,199.59,217.25,,300.89,263.45,276.60,,,,,,,,,,,,,,,
2005-09-08 22:21:17.190000,L5,258.89,241.03,251.38,257.02,245.02,253.72,255.69,,211.25,223.31,217.80,268.82,279.80,257.86,262.00,254.34,,,,198.29,312.19,265.38,309.61,321.77,321.40,281.97,228.48,227.02,185.79,240.91,182.94,260.56,273.26,272.39,248.59,,306.96,297.61,284.73,263.44,267.58,144.37,274.89,260.69,,,,274.90,228.57,218.21,,,,
2005-09-17 22:15:06.506000,L5,284.28,280.89,278.85,281.16,288.72,292.41,291.34,276.55,249.71,255.66,241.28,229.01,,,,,,,,,,,310.03,323.48,329.89,317.32,316.87,,,193.91,196.54,248.84,290.68,303.59,323.74,206.37,,,,294.91,296.92,295.42,295.32,295.66,291.36,291.31,285.06,,,,,,,
