dates,satname,nzd0516-0000,nzd0516-0001,nzd0516-0002,nzd0516-0003,nzd0516-0004,nzd0516-0005,nzd0516-0006,nzd0516-0007,nzd0516-0008,nzd0516-0009,nzd0516-0010,nzd0516-0011,nzd0516-0012,nzd0516-0013,nzd0516-0014,nzd0516-0015,nzd0516-0016,nzd0516-0017,nzd0516-0018,nzd0516-0019,nzd0516-0020,nzd0516-0021,nzd0516-0022,nzd0516-0023,nzd0516-0024
2002-12-24 22:02:57.022000,L7,,,,,,,,232.67,225.48,213.72,160.62,,,,,,,230.90,257.28,256.98,236.48,233.70,,,
2003-08-13 21:51:32.649000,L5,,,214.11,202.44,220.10,228.71,201.57,215.26,208.56,195.35,160.93,,,,,220.26,235.85,245.99,256.26,255.98,241.11,229.77,225.52,220.21,239.41
2003-08-29 21:51:49.928000,L5,,242.37,254.00,267.24,267.57,277.43,287.88,287.28,264.36,266.66,203.11,182.78,140.52,168.42,232.29,268.70,285.58,297.34,307.82,302.68,288.81,274.70,272.39,271.95,290.10
2003-10-07 21:58:35.519000,L5,,232.48,251.63,253.84,263.55,271.21,282.08,282.83,265.00,261.87,206.63,177.78,,153.20,210.95,260.10,274.07,285.13,297.01,287.99,281.54,271.99,265.53,269.45,284.20
2003-11-17 21:52:57.120000,L5,,233.94,253.20,259.81,263.52,263.17,269.31,272.78,256.03,249.55,205.01,179.75,139.52,173.18,222.18,269.28,285.79,295.71,302.57,285.97,272.20,260.99,254.27,254.68,274.48
2003-12-26 21:59:30.091000,L5,,224.89,238.09,248.78,254.84,261.30,287.18,290.46,278.58,266.83,225.65,186.45,140.78,162.66,215.71,257.18,275.18,286.14,295.57,287.50,292.64,279.95,274.65,276.38,294.25
2004-01-27 21:59:38.149000,L5,,221.32,237.27,257.87,265.47,272.64,285.20,289.43,269.74,259.28,206.91,173.19,,166.30,215.77,260.36,276.48,294.53,307.83,302.37,286.83,274.36,264.58,267.54,277.54
2004-03-31 21:59:59.745000,L5,,,162.45,169.55,187.06,206.48,188.30,214.83,200.94,208.36,172.32,,,,,193.32,208.26,222.37,247.65,234.61,234.53,225.60,216.25,220.77,237.43
2004-05-18 22:01:26.569000,L5,,,169.91,167.02,178.62,168.46,187.75,226.99,195.65,205.56,162.57,,,,161.58,213.85,225.25,230.80,246.13,235.68,229.89,225.25,216.77,206.62,172.85
2004-06-12 21:55:59.429000,L5,,,,,,,,,,,,,,,148.64,219.21,192.53,189.30,221.49,191.35,220.57,208.66,209.01,,
