dates,satname,nzd0503-0000,nzd0503-0001,nzd0503-0002,nzd0503-0003,nzd0503-0004,nzd0503-0005
1999-12-16 22:07:33.708000,L7,476.41,457.78,422.86,364.80,385.93,462.54
2000-05-08 22:06:44.900000,L7,195.24,177.01,166.44,223.48,239.15,177.22
2000-06-25 22:06:19.852000,L7,218.17,178.72,145.81,328.20,334.15,377.27
2000-07-11 22:06:05.496000,L7,193.79,164.99,,,,166.62
2000-12-18 22:05:01.704000,L7,319.78,237.37,259.00,255.11,155.95,244.45
2001-01-03 22:05:00.181000,L7,236.16,204.23,168.07,,,
2001-02-20 22:05:00.525000,L7,393.83,387.95,377.53,377.81,260.51,460.49
2001-04-09 22:04:41.882000,L7,206.32,223.51,268.69,264.67,244.21,255.73
2001-07-14 22:03:57.537000,L7,203.62,178.98,151.56,257.84,244.35,278.94
2001-08-15 22:03:26.328000,L7,505.02,480.31,515.68,425.46,441.97,444.04
2001-10-02 22:02:52.358000,L7,360.84,383.10,375.25,376.56,381.68,386.93
2001-11-03 22:02:58.699000,L7,405.72,463.16,439.51,433.37,,
2002-02-23 22:03:31.354000,L7,473.57,437.34,341.68,339.13,464.41,465.80
2002-03-11 22:03:31.366000,L7,220.80,225.67,254.02,229.69,212.48,187.30
2002-04-12 22:03:25.302000,L7,203.85,219.03,277.15,277.79,257.66,270.49
2002-06-15 22:03:07.576000,L7,195.58,173.39,,195.73,253.29,265.81
2002-12-08 22:02:51.522000,L7,428.01,430.90,430.72,417.56,391.14,398.75
2002-12-24 22:02:57.022000,L7,302.36,296.02,275.41,298.19,328.33,327.54
2003-08-29 21:51:49.928000,L5,,,276.09,277.07,275.78,230.74
2003-09-30 21:52:18.101000,L5,263.17,265.53,281.23,286.51,279.30,261.47
2003-11-17 21:52:57.120000,L5,347.88,330.43,342.40,347.86,347.21,340.27
2004-06-12 21:55:59.429000,L5,181.22,163.70,131.72,267.33,277.42,283.13
2004-07-14 21:56:54.881000,L5,256.69,185.86,193.95,283.35,285.02,292.65
2004-07-30 21:57:15.668000,L5,190.69,168.48,275.58,281.06,282.22,290.46
2004-10-18 21:59:11.702000,L5,302.95,289.11,301.57,308.03,301.81,313.60
2005-02-07 22:01:03.020000,L5,280.52,266.95,280.85,264.51,260.09,259.21
2005-03-11 22:01:31.683000,L5,268.60,265.41,280.05,281.04,276.36,277.18
2005-04-12 22:01:42.862000,L5,398.99,344.93,328.28,327.56,339.96,325.68
2005-05-14 22:01:54.308000,L5,169.62,159.38,,222.50,259.00,267.76
2005-09-19 22:02:44.739000,L5,323.62,295.09,304.83,318.75,297.43,300.13
2005-10-05 22:02:41.026000,L5,302.62,291.77,306.06,310.96,306.28,310.53
2005-11-06 22:02:46.848000,L5,267.12,246.57,256.98,265.07,264.16,264.97
2006-02-26 22:05:22.928000,L5,313.74,303.26,316.56,310.75,302.45,305.26
2006-03-14 22:05:42.635000,L5,300.23,299.39,309.72,312.00,294.96,293.34
2006-04-15 22:06:18.610000,L5,195.78,188.70,270.99,276.53,275.61,270.32
2006-11-25 22:09:07.763000,L5,273.65,243.42,262.71,261.58,261.45,264.21
2006-12-11 22:09:16.015000,L5,285.18,260.65,278.08,272.96,272.54,256.24
2008-11-14 21:57:52.281000,L5,329.15,282.62,304.31,310.03,313.77,303.34
2009-01-17 21:59:44.398000,L5,286.28,262.66,281.41,284.28,280.59,260.38
2010-02-05 22:05:29.575000,L5,299.36,273.78,293.29,298.30,295.07,278.15
2010-12-22 22:04:29.137000,L5,315.13,278.35,297.56,301.31,298.05,276.65
2011-02-08 22:04:35.159000,L5,277.81,260.17,278.60,280.97,277.39,274.45
2011-03-12 22:04:31.079000,L5,267.95,262.29,283.43,282.12,282.82,269.36
2013-06-05 22:16:38.960000,L8,202.50,,,271.19,277.33,274.36
2013-07-07 22:16:35.929000,L8,,,,254.97,271.72,265.61
2013-07-23 22:16:34.633000,L8,210.58,192.13,232.52,292.37,290.73,317.58
2013-08-08 22:16:37.441000,L8,,,257.48,275.02,277.64,278.55
2013-09-25 22:16:28.938000,L8,229.29,251.91,265.48,271.66,273.82,265.69
2013-10-11 22:16:29.291000,L8,271.55,309.98,306.22,307.47,310.09,317.22
2013-10-27 22:16:19.549000,L8,295.64,279.95,326.95,289.59,293.34,295.73
2013-12-30 22:16:01.055000,L8,265.22,255.16,268.85,270.76,273.91,268.37
2014-02-23 22:21:32.043000,L8,254.45,266.19,276.75,282.43,282.22,283.32
2014-03-11 22:21:19.920000,L8,242.26,257.34,269.80,273.47,274.19,270.70
2014-03-20 22:15:01.497000,L8,233.64,258.08,268.01,272.91,275.58,269.40
2014-04-21 22:14:29.865000,L8,201.18,210.93,271.91,273.81,277.41,277.83
2014-08-11 22:14:39.696000,L8,203.29,190.32,270.00,275.28,277.94,281.56
2014-09-28 22:14:44.621000,L8,238.19,257.37,269.13,269.95,272.45,273.97
2014-11-15 22:14:49.314000,L8,260.85,260.87,269.46,269.77,272.73,274.39
2015-02-10 22:20:38.674000,L8,250.33,251.64,264.82,264.40,267.15,265.91
2015-06-11 22:13:52.284000,L8,243.84,291.63,287.25,298.06,303.90,311.10
