dates,satname,nzd0426-0000,nzd0426-0001,nzd0426-0002,nzd0426-0008,nzd0426-0009,nzd0426-0010,nzd0426-0011,nzd0426-0013,nzd0426-0014,nzd0426-0015,nzd0426-0016,nzd0426-0017,nzd0426-0018,nzd0426-0019,nzd0426-0020,nzd0426-0021,nzd0426-0022,nzd0426-0023,nzd0426-0024,nzd0426-0025,nzd0426-0026,nzd0426-0027,nzd0426-0028,nzd0426-0029,nzd0426-0030,nzd0426-0031,nzd0426-0032,nzd0426-0033,nzd0426-0034,nzd0426-0035,nzd0426-0003,nzd0426-0004,nzd0426-0005,nzd0426-0006,nzd0426-0007,nzd0426-0012,nzd0426-0036,nzd0426-0037,nzd0426-0038,nzd0426-0039,nzd0426-0040
1999-11-21 22:12:47.994000,L7,246.41,285.93,212.06,229.29,239.06,260.40,278.79,255.48,242.05,205.68,239.57,233.92,239.22,234.92,215.65,247.17,237.82,237.78,246.35,241.36,246.03,231.61,222.01,241.45,236.01,251.62,257.42,235.46,253.82,260.42,,,,,,,,,,,
2000-11-07 22:10:17.299000,L7,,,,,238.22,248.42,279.02,,,,,,,,,238.31,234.85,237.91,247.33,242.83,247.83,213.67,227.89,240.24,219.94,259.94,264.55,278.51,265.72,259.43,,,,,,,248.03,,,,
2002-02-14 22:08:53.179000,L7,,297.86,201.06,,,,,247.71,234.75,229.38,238.22,227.90,232.75,201.09,231.92,233.78,175.73,227.68,241.49,,,,,,,256.47,208.07,169.64,246.41,256.89,,,,,,,246.20,248.94,,,
2003-08-20 21:57:03.003000,L5,317.00,322.86,323.09,288.26,265.57,289.48,309.30,279.58,294.56,290.52,285.70,286.30,286.37,273.29,274.18,274.66,287.38,295.99,297.32,292.70,295.88,301.56,305.45,307.59,300.40,306.09,320.16,318.03,311.12,301.48,312.70,285.75,288.21,279.91,278.67,302.92,293.59,286.47,209.74,220.30,226.36
2003-12-10 21:58:29.659000,L5,312.21,310.85,305.00,276.09,274.72,282.89,295.55,270.74,279.63,286.04,280.23,282.39,280.98,277.37,279.95,280.91,294.40,288.65,288.83,286.28,285.70,286.25,296.83,291.95,293.07,311.66,319.66,318.66,315.13,304.90,293.53,284.60,284.99,279.35,262.36,282.48,303.34,272.31,208.59,212.03,215.26
2004-01-27 21:58:50.060000,L5,300.01,307.02,303.22,287.08,284.94,284.54,302.73,279.03,278.54,275.85,270.67,269.85,272.06,267.63,267.54,269.79,288.58,296.17,297.18,296.12,294.11,294.65,303.15,294.30,283.56,303.53,308.93,310.13,302.44,293.64,290.97,274.05,276.67,278.65,271.74,289.55,296.21,277.27,216.94,218.15,222.28
2004-05-18 22:00:38.480000,L5,,,296.89,259.17,,,,,,,,,,,,,243.12,269.17,265.18,263.26,261.72,261.93,270.50,274.36,264.10,259.09,289.13,283.94,284.18,270.76,281.52,262.69,258.28,254.88,243.29,,257.92,253.93,,,
2004-08-22 22:03:12.259000,L5,,,285.22,249.01,,,,,,,,,,,,,,257.02,249.75,251.38,250.84,257.21,263.29,273.34,253.59,175.09,274.63,274.73,272.66,,276.23,249.45,250.50,242.47,235.81,,,,,,
2004-11-26 22:05:17.306000,L5,,195.52,259.75,251.89,245.15,239.82,267.14,,,,,,,,,242.24,255.18,268.20,263.71,264.53,261.24,265.85,264.74,260.87,244.18,213.46,274.66,274.66,264.35,260.92,248.85,235.68,246.52,245.08,239.27,248.38,,,,,
2005-02-14 22:06:33.160000,L5,269.21,254.83,270.01,238.54,232.75,,,,251.52,249.99,243.10,233.66,,,,,,251.64,254.05,246.14,247.91,251.28,258.20,272.86,258.35,277.15,212.60,285.39,279.26,,261.61,249.10,251.10,234.32,227.34,,,,,,
