dates,satname,nzd0529-0000,nzd0529-0001,nzd0529-0002,nzd0529-0003,nzd0529-0004,nzd0529-0005,nzd0529-0006,nzd0529-0007,nzd0529-0008,nzd0529-0009,nzd0529-0010,nzd0529-0011,nzd0529-0012,nzd0529-0013,nzd0529-0014,nzd0529-0015,nzd0529-0016,nzd0529-0017,nzd0529-0018,nzd0529-0019,nzd0529-0020,nzd0529-0021,nzd0529-0022,nzd0529-0023,nzd0529-0024,nzd0529-0025,nzd0529-0026,nzd0529-0027,nzd0529-0028,nzd0529-0029,nzd0529-0030,nzd0529-0031,nzd0529-0032,nzd0529-0033,nzd0529-0034,nzd0529-0035,nzd0529-0036,nzd0529-0037
1999-08-17 22:13:37.953000,L7,,,,,,,,,,,260.64,262.80,268.87,210.57,185.64,182.95,187.10,200.87,201.75,215.45,161.49,173.71,167.54,328.39,445.63,487.40,446.87,459.06,305.07,304.54,290.53,,216.78,217.77,278.82,269.06,286.24,327.95
1999-11-05 22:13:40.966000,L7,,,,,,,,,,267.28,264.80,263.45,272.67,275.29,306.79,337.07,339.68,201.11,274.59,265.40,250.85,335.14,336.46,192.18,238.12,249.56,317.32,311.37,301.75,307.04,307.93,304.57,295.20,271.39,280.69,272.41,280.10,318.17
1999-12-07 22:13:41.663000,L7,,,,,,,,,,268.28,255.78,254.25,267.30,263.56,260.83,320.51,325.96,201.92,264.61,255.61,342.68,335.12,336.34,327.08,326.35,318.53,306.94,300.17,298.27,304.43,304.85,293.77,286.18,247.98,262.36,257.05,270.64,309.40
1999-12-16 22:07:33.708000,L7,,,,,,,,,,272.04,262.30,257.45,271.09,269.10,291.03,322.02,328.32,331.07,340.86,332.98,344.19,336.29,338.07,328.32,327.81,320.42,301.34,303.87,299.62,308.10,405.40,404.52,395.32,269.86,266.30,258.38,276.72,320.94
2000-05-08 22:06:44.900000,L7,,,,,,,,,,,,,,,,170.06,225.83,234.69,,,,,,,,,,,,,,,,,,,,
2000-06-16 22:12:38.425000,L7,,,,,,,,,,270.16,263.19,271.39,277.13,273.86,293.72,321.48,351.33,322.89,328.22,331.94,371.71,377.43,378.82,329.42,358.80,310.85,324.25,308.75,291.45,316.32,304.40,290.85,303.10,279.56,272.98,264.18,292.76,319.82
2000-09-20 22:11:14.930000,L7,,,,,377.89,376.52,418.99,,,270.34,265.28,265.53,279.09,275.92,304.32,322.20,334.42,327.18,332.34,329.21,343.31,334.50,335.00,328.88,324.39,315.40,308.99,312.40,300.37,317.01,306.83,304.72,298.44,316.53,279.03,271.37,296.02,319.60
2001-01-03 22:05:00.181000,L7,396.56,450.08,453.61,449.46,392.83,416.95,412.70,419.08,418.68,411.10,402.97,411.22,415.66,429.50,427.65,421.03,420.33,422.47,433.32,435.14,426.01,383.50,431.30,434.08,434.85,428.88,421.44,420.66,417.16,417.90,428.25,376.83,416.75,419.95,427.62,429.32,388.32,443.03
2001-02-20 22:05:00.525000,L7,494.41,482.99,473.16,460.47,443.28,424.96,275.08,509.77,489.49,478.10,503.16,491.28,481.25,480.32,475.20,478.84,474.12,477.68,482.16,478.54,490.61,483.57,467.88,461.68,444.31,445.00,452.20,438.07,422.76,424.99,424.10,420.13,426.95,434.87,452.27,411.54,419.42,417.59
2001-07-05 22:10:09.496000,L7,,,,,,,,,,,207.89,258.54,265.58,263.76,284.16,306.84,328.04,314.95,330.96,328.34,334.56,328.02,343.39,317.82,356.54,313.73,316.26,324.79,309.73,316.93,302.08,312.96,295.44,263.45,261.86,261.27,265.79,190.98
2001-07-14 22:03:57.537000,L7,,,,,,,,,,,270.23,263.31,279.13,174.34,233.34,313.73,333.23,335.81,292.72,348.05,327.21,366.33,366.07,369.35,328.37,314.54,275.84,336.88,317.42,317.28,315.73,291.05,227.89,270.25,168.02,196.83,266.77,261.22
2001-08-15 22:03:26.328000,L7,,,,,,,,,,267.32,266.27,264.72,278.93,273.41,302.01,315.59,319.77,330.42,202.31,339.49,274.27,347.66,335.66,335.82,335.88,314.73,309.38,320.76,310.10,315.44,306.88,325.64,303.22,,,179.23,299.90,325.94
2002-01-29 22:09:33.112000,L7,,,,,,,,,,270.19,263.69,263.99,266.77,275.98,294.27,320.42,327.09,331.55,337.40,331.48,341.65,335.18,336.97,328.19,324.13,315.77,317.14,318.51,302.38,307.08,303.74,293.04,291.74,269.79,260.21,251.81,276.32,318.39
2002-05-05 22:09:37.985000,L7,429.41,432.58,434.28,428.64,392.75,302.93,,,,,269.12,264.90,281.35,275.96,308.25,353.00,377.54,334.07,380.81,372.24,375.84,378.68,357.87,347.76,330.52,328.05,328.72,384.71,384.16,370.69,359.84,312.55,308.27,280.27,274.78,269.73,299.81,325.04
2002-05-14 22:03:19.418000,L7,,,,,,,,,,,,,160.24,203.66,181.19,192.65,168.05,164.20,223.85,243.61,248.53,168.28,216.01,,,,,,,,,,,,,,,
2002-06-15 22:03:07.576000,L7,,,,,,,,,,,,,,,,,245.19,254.30,247.23,267.99,266.19,186.09,196.85,201.60,219.48,198.56,188.30,179.18,,,177.16,196.18,196.64,191.90,,,,
