dates,satname,nzd0244-0000,nzd0244-0001,nzd0244-0002,nzd0244-0003,nzd0244-0004,nzd0244-0005,nzd0244-0006,nzd0244-0007,nzd0244-0008,nzd0244-0009,nzd0244-0010,nzd0244-0011,nzd0244-0012,nzd0244-0013,nzd0244-0014,nzd0244-0015,nzd0244-0016,nzd0244-0017,nzd0244-0018,nzd0244-0019,nzd0244-0020,nzd0244-0021,nzd0244-0022,nzd0244-0023,nzd0244-0024,nzd0244-0025,nzd0244-0026,nzd0244-0027,nzd0244-0028,nzd0244-0029,nzd0244-0030,nzd0244-0031,nzd0244-0032,nzd0244-0033,nzd0244-0034,nzd0244-0035,nzd0244-0036,nzd0244-0037,nzd0244-0038,nzd0244-0039,nzd0244-0040,nzd0244-0041,nzd0244-0042,nzd0244-0043,nzd0244-0044,nzd0244-0045,nzd0244-0046,nzd0244-0047,nzd0244-0048,nzd0244-0049,nzd0244-0050,nzd0244-0051,nzd0244-0052,nzd0244-0053,nzd0244-0054,nzd0244-0055,nzd0244-0056,nzd0244-0057,nzd0244-0058,nzd0244-0059,nzd0244-0060,nzd0244-0061,nzd0244-0062,nzd0244-0063,nzd0244-0064,nzd0244-0065,nzd0244-0066,nzd0244-0067,nzd0244-0068,nzd0244-0069,nzd0244-0070,nzd0244-0071,nzd0244-0072,nzd0244-0073,nzd0244-0074,nzd0244-0075,nzd0244-0076,nzd0244-0077,nzd0244-0078,nzd0244-0079,nzd0244-0080,nzd0244-0081,nzd0244-0087,nzd0244-0088,nzd0244-0089,nzd0244-0090,nzd0244-0091,nzd0244-0082,nzd0244-0083,nzd0244-0084,nzd0244-0085,nzd0244-0086
1999-12-25 21:58:52.197000,L7,195.30,226.80,235.26,251.04,274.44,275.43,270.86,244.16,235.71,211.21,208.65,242.54,232.23,215.55,219.37,222.39,234.31,225.71,229.26,523.41,512.20,483.63,474.18,241.11,237.17,263.61,260.17,269.54,255.71,220.47,242.10,241.76,235.63,226.58,241.18,246.72,265.21,351.00,377.55,415.88,412.52,417.24,423.61,400.17,414.88,439.86,445.67,447.80,459.38,451.54,471.04,423.42,377.16,433.87,380.22,400.01,410.52,418.84,416.80,425.73,410.43,432.67,423.73,408.08,418.80,421.87,418.61,436.82,410.93,361.32,403.91,417.10,438.17,427.33,363.03,412.54,416.29,329.48,310.01,312.62,381.05,408.19,434.06,405.09,383.07,372.16,379.19,,,,,
2000-01-10 21:58:52.465000,L7,213.24,257.74,262.74,279.33,299.23,279.83,272.72,259.23,242.26,326.29,317.67,240.69,303.60,308.67,303.15,321.89,362.43,233.41,238.84,223.96,212.49,323.26,232.58,317.76,345.20,368.24,363.82,353.20,279.17,315.71,340.24,334.54,332.57,324.04,284.88,286.37,281.61,278.99,273.76,278.74,285.08,275.08,278.35,286.59,292.15,297.50,308.29,308.97,317.26,323.26,314.88,310.04,304.14,308.61,308.83,315.62,316.19,303.23,305.53,508.22,536.36,530.75,539.74,556.53,522.31,494.28,473.09,444.83,442.81,439.12,,461.31,292.80,265.36,505.27,464.82,461.41,450.24,373.76,455.91,409.87,,,193.29,326.56,370.58,305.08,,,,,
2000-02-27 21:58:40.521000,L7,240.00,263.82,278.49,294.34,305.73,307.70,274.83,275.75,244.30,222.22,217.53,306.78,291.86,229.32,237.62,300.72,328.62,351.40,385.33,334.90,276.84,287.45,298.56,302.88,298.67,316.40,305.40,313.93,349.06,364.60,344.48,356.34,345.75,336.78,343.63,335.59,337.13,350.04,346.05,350.23,345.03,369.59,350.87,377.12,333.24,372.47,378.21,365.96,388.99,380.55,320.31,315.56,346.93,318.05,390.10,404.61,371.61,346.30,380.35,384.59,375.82,382.41,374.63,383.03,301.52,270.76,270.36,182.45,484.78,544.48,449.74,478.92,500.87,267.88,230.53,,,225.38,210.92,182.73,196.54,256.67,182.36,205.60,229.84,508.63,534.06,297.72,,,,
2000-03-14 21:58:35.291000,L7,279.69,324.12,399.88,384.63,377.91,323.93,303.07,358.52,339.35,292.72,328.21,277.95,294.28,286.64,324.34,367.67,379.91,410.69,427.07,435.74,461.65,409.05,366.41,376.42,417.35,401.93,370.13,368.20,361.80,395.77,541.23,536.86,524.13,522.24,371.86,500.41,503.86,469.55,513.30,514.97,523.28,480.38,366.39,498.51,488.22,458.42,466.68,508.25,503.78,465.61,,,,,,,500.41,489.93,493.22,498.08,488.69,473.25,484.61,522.21,337.00,305.35,287.64,222.91,253.98,254.45,242.94,229.65,261.70,313.45,301.35,311.33,266.51,,,,,,552.89,486.92,501.19,471.70,484.27,,,,,
2000-03-30 21:58:33.541000,L7,258.08,306.04,279.39,291.69,314.55,307.03,279.04,357.39,340.89,332.40,314.94,307.58,310.12,307.50,320.27,307.63,308.70,362.33,362.36,367.89,285.28,381.28,354.91,365.00,382.89,370.49,353.93,372.49,359.29,368.18,356.04,342.54,336.38,336.08,342.59,339.33,300.39,340.49,342.34,358.52,357.46,353.59,357.90,285.65,291.10,294.64,301.13,303.29,311.95,311.92,316.61,304.96,343.01,302.65,302.43,312.77,321.77,300.69,332.13,332.39,313.42,301.58,307.19,381.67,394.17,387.52,486.88,446.49,464.44,491.60,414.47,468.16,302.93,289.45,301.37,229.85,219.50,,,454.54,483.48,489.36,,,234.22,269.44,309.66,,,,,
2000-08-05 21:57:08.715000,L7,,,,206.46,220.78,253.03,213.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-11-09 21:56:21.390000,L7,519.36,445.31,223.49,299.35,286.80,275.94,268.47,251.69,263.63,216.83,212.38,213.26,225.24,227.07,272.12,284.71,255.48,236.79,251.41,227.59,235.49,314.44,287.20,260.63,277.58,265.53,269.21,300.58,281.31,274.84,277.09,276.59,284.95,283.19,282.37,284.59,277.70,278.63,278.79,280.17,281.71,272.76,282.36,285.16,288.36,295.26,299.50,302.95,307.55,310.68,308.00,304.93,306.04,300.93,303.31,309.02,304.52,302.82,302.07,302.39,305.45,295.40,303.29,302.86,299.82,273.46,250.95,463.36,440.94,,429.40,513.80,,,,,,,,,,,,180.64,210.07,252.88,293.38,,,,,
2001-03-17 21:56:16.575000,L7,229.03,235.94,250.54,258.24,262.53,261.14,254.66,246.79,239.05,228.46,217.14,215.77,233.33,220.36,220.72,229.77,245.12,244.62,249.49,215.87,214.94,265.33,298.21,299.78,292.16,266.88,264.87,361.03,281.53,276.38,280.90,286.56,282.14,289.35,278.29,290.07,279.15,280.79,270.87,276.59,278.42,504.66,509.66,524.33,528.96,524.34,361.16,372.74,379.95,362.17,370.18,312.90,316.97,310.35,302.27,314.84,313.61,301.42,313.03,307.37,311.44,304.60,311.69,309.96,300.00,278.16,274.11,,,,,,,,,,,,,,,,,187.69,333.39,343.07,317.41,,,,,
2001-03-17 21:56:40.512000,L7,269.14,267.20,277.90,297.48,292.68,273.08,263.26,262.51,273.67,541.59,552.89,520.00,501.83,548.32,393.49,421.97,430.60,465.81,449.94,472.34,479.65,504.69,464.18,451.60,454.34,443.45,425.63,396.94,392.36,387.71,422.30,393.69,473.36,507.78,525.57,512.72,530.82,491.33,507.86,453.12,449.40,464.03,465.99,476.82,484.75,503.43,533.08,530.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-06-05 21:55:40.577000,L7,203.84,214.06,237.66,238.67,240.90,236.25,259.88,252.02,239.68,466.86,471.00,430.64,418.22,428.74,222.82,230.87,258.65,269.73,293.74,499.31,449.33,472.26,209.55,252.76,289.69,291.78,287.35,311.49,280.65,285.11,279.77,283.94,276.91,279.39,279.30,278.15,273.79,276.34,269.38,276.83,274.28,267.93,277.51,289.79,293.37,301.58,301.91,305.63,309.52,311.67,316.35,315.17,310.97,321.05,314.38,328.72,303.21,328.59,304.69,305.65,305.95,296.60,295.65,300.22,298.81,262.60,225.73,,,,,,,,,,396.45,452.14,461.13,,,,,,,,,,,,,
