dates,satname,nzd0431-0000,nzd0431-0001,nzd0431-0002,nzd0431-0006,nzd0431-0007,nzd0431-0008,nzd0431-0009,nzd0431-0010,nzd0431-0011,nzd0431-0012,nzd0431-0013,nzd0431-0014,nzd0431-0015,nzd0431-0016,nzd0431-0017,nzd0431-0018,nzd0431-0019,nzd0431-0020,nzd0431-0021,nzd0431-0022,nzd0431-0023,nzd0431-0024,nzd0431-0025,nzd0431-0026,nzd0431-0027,nzd0431-0028,nzd0431-0029,nzd0431-0030,nzd0431-0031,nzd0431-0032,nzd0431-0033,nzd0431-0034,nzd0431-0035,nzd0431-0036,nzd0431-0037,nzd0431-0038,nzd0431-0039,nzd0431-0040,nzd0431-0041,nzd0431-0042,nzd0431-0043,nzd0431-0044,nzd0431-0045,nzd0431-0046,nzd0431-0047,nzd0431-0048,nzd0431-0049,nzd0431-0050,nzd0431-0051,nzd0431-0052,nzd0431-0053,nzd0431-0054,nzd0431-0055,nzd0431-0056,nzd0431-0057,nzd0431-0058,nzd0431-0059,nzd0431-0060,nzd0431-0061,nzd0431-0062,nzd0431-0063,nzd0431-0064,nzd0431-0065,nzd0431-0066,nzd0431-0067,nzd0431-0068,nzd0431-0069,nzd0431-0070,nzd0431-0071,nzd0431-0072,nzd0431-0073,nzd0431-0074,nzd0431-0075,nzd0431-0076,nzd0431-0077,nzd0431-0078,nzd0431-0079,nzd0431-0080,nzd0431-0081,nzd0431-0082,nzd0431-0083,nzd0431-0084,nzd0431-0085,nzd0431-0086,nzd0431-0087,nzd0431-0088,nzd0431-0089,nzd0431-0090,nzd0431-0091,nzd0431-0092,nzd0431-0093,nzd0431-0094,nzd0431-0095,nzd0431-0096,nzd0431-0097,nzd0431-0098,nzd0431-0099,nzd0431-0100,nzd0431-0101,nzd0431-0102,nzd0431-0103,nzd0431-0104,nzd0431-0105,nzd0431-0106,nzd0431-0107,nzd0431-0108,nzd0431-0109,nzd0431-0110,nzd0431-0111,nzd0431-0112,nzd0431-0113,nzd0431-0114,nzd0431-0115,nzd0431-0116,nzd0431-0117,nzd0431-0118,nzd0431-0119,nzd0431-0120,nzd0431-0121,nzd0431-0122,nzd0431-0123,nzd0431-0124,nzd0431-0125,nzd0431-0126,nzd0431-0127,nzd0431-0128,nzd0431-0129,nzd0431-0130,nzd0431-0131,nzd0431-0132,nzd0431-0133,nzd0431-0134,nzd0431-0135,nzd0431-0136,nzd0431-0137,nzd0431-0003,nzd0431-0004,nzd0431-0005,nzd0431-0138,nzd0431-0139
1999-11-21 22:12:47.994000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.50,192.64,197.75,213.44,220.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.34,195.41,199.13,187.40,216.04,214.22,213.58,212.97,173.44,184.18,,,,,,,,,,,,,,,,,,,,,,209.05,201.48,209.42,223.81,232.55,227.95,233.88,233.00,236.64,237.64,201.74,,,,,,,,,,,,,
1999-12-07 22:12:53.785000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.17,225.08,227.50,227.09,226.19,210.25,212.61,214.10,208.36,216.12,224.91,221.99,215.40,229.19,237.80,234.79,237.77,239.94,239.59,210.79,,,,,,,,,,,,,,
2000-11-07 22:10:17.299000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188.05,202.19,206.93,209.11,188.13,213.09,218.12,221.26,214.06,194.48,186.65,196.94,208.17,210.62,213.66,203.47,186.61,196.44,,,,,,,,,,,,,,,214.36,201.51,214.20,225.96,225.95,229.91,234.74,234.38,238.69,241.83,238.56,,,,,,,,,,,,,
2001-01-10 22:10:27.647000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.79,208.84,211.77,206.93,221.43,228.25,227.89,203.66,,,,,,,,,,,,,,,,,
2002-01-29 22:08:45.213000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.28,180.12,197.67,203.26,173.81,217.37,213.31,216.40,205.77,,,175.35,201.27,199.14,197.10,185.98,176.79,190.05,170.68,,,,,,222.35,193.84,228.12,206.06,191.07,202.64,,200.79,213.69,206.20,221.67,227.69,228.38,231.88,235.72,241.49,237.20,239.01,,,,,,,,,,,,,,
2002-12-31 22:08:20.096000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.94,196.89,213.86,209.47,211.71,,,,,,,,,,,,,216.49,216.84,200.01,185.86,209.71,209.82,196.02,,,,,,,,,,,,,,,,,,,,,,196.87,202.77,205.33,205.28,218.86,214.56,208.17,211.50,192.91,190.69,194.97,204.53,201.87,207.23,196.56,188.31,188.77,171.09,,,,,,,192.00,217.24,210.03,215.25,,,172.34,205.05,209.84,213.79,220.11,225.39,225.93,233.03,204.56,237.05,239.27,237.30,,,,,,,,,,,,,
2003-08-20 21:57:03.003000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.40,233.79,232.09,235.57,232.26,228.95,205.29,204.24,205.15,185.40,213.98,199.48,187.44,,,,,,,,,,,,,,,,,,,,,,,
2003-12-10 21:58:29.659000,L5,,,,,,,,,,,,174.79,184.00,184.14,180.05,176.72,179.86,181.75,186.81,196.76,203.44,199.31,208.67,218.45,223.68,224.47,218.37,218.79,213.87,212.83,209.50,211.83,209.93,195.36,207.64,209.58,218.13,230.72,219.00,225.29,238.02,246.84,255.76,244.18,241.95,230.90,231.23,228.69,227.57,234.95,233.92,230.47,237.11,239.55,241.79,243.76,242.50,247.47,242.67,242.09,240.26,241.40,241.47,226.87,196.97,192.05,240.04,244.72,240.23,236.88,228.00,238.66,233.34,244.15,249.98,242.89,245.08,248.62,244.16,234.64,225.28,212.81,200.31,210.51,212.09,214.40,219.10,230.50,234.51,250.38,252.57,251.48,239.72,223.98,221.65,227.88,228.43,225.87,225.69,220.61,208.30,217.02,210.50,251.97,265.23,272.79,274.34,274.19,271.30,271.86,261.76,258.08,256.54,246.56,246.22,251.00,255.79,255.51,253.93,252.42,266.88,264.90,272.28,269.08,269.21,267.92,268.19,231.14,175.00,185.92,191.08,173.62,,,,,,,,
2003-12-26 21:58:42.145000,L5,,,,,,,,,,,,,,,,,,,,,,,,,177.16,178.34,178.40,189.68,181.51,185.43,170.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.27,231.22,234.10,221.94,205.46,214.76,199.26,213.11,218.00,212.41,183.96,181.24,180.66,,,,,,,,,,,,
2004-01-27 21:58:50.060000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.58,177.25,192.20,196.94,202.41,204.40,201.64,205.52,193.36,164.61,,,,,,,,,,,,,,,,,214.44,209.25,217.28,210.37,225.52,229.06,235.11,238.38,222.25,,,,,,,,,,,,,,,,,,,,,
2004-05-18 22:00:38.480000,L5,,,,,,,,,,,,,,,,,,,,,,,172.45,184.72,188.75,189.54,188.21,197.00,192.51,188.69,182.04,,,,,178.73,185.71,172.53,178.76,180.77,194.17,166.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239.44,240.62,238.80,240.06,236.61,238.26,227.36,223.11,222.53,212.60,223.98,218.57,226.72,222.05,228.37,204.85,218.62,226.29,213.10,172.53,201.76,177.71,166.70,171.37,,,,,,,,,,,,
2004-08-22 22:03:12.259000,L5,,,,,,,,,,,,,,,,,,,,,,,175.71,180.95,194.02,193.68,190.81,196.49,190.30,188.42,174.52,,,,,,,,,,,,,,,,,,,,,,,167.27,218.69,212.97,206.41,218.35,211.58,,,,,,,,,,,,,,,,,,,,,,,,,,185.43,182.67,198.00,200.70,210.33,219.29,219.15,221.42,208.69,190.59,182.20,176.43,178.43,183.69,196.18,193.62,181.57,181.55,190.92,,243.49,239.16,236.61,239.62,236.46,235.76,222.93,211.07,213.11,203.98,215.21,211.59,211.10,,,180.05,207.73,191.07,193.69,172.96,196.06,,,,,,,,,,,,,,,
2004-10-09 22:04:22.371000,L5,,,,,,,,,,,161.33,175.41,177.52,175.71,174.47,175.02,175.68,171.90,177.38,193.63,198.76,200.46,206.87,210.49,221.92,223.80,220.16,218.96,211.64,211.17,209.91,212.80,213.06,197.45,210.03,212.34,212.99,218.63,215.89,215.60,236.87,236.94,248.80,240.81,232.96,232.10,231.01,224.37,216.82,222.49,230.54,227.02,243.08,238.93,236.11,222.13,226.02,228.17,219.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.96,215.56,208.95,207.92,208.82,198.37,203.86,257.85,260.75,262.64,264.54,262.12,263.80,256.50,250.93,248.59,240.70,239.57,244.24,247.32,245.20,239.41,245.95,248.35,258.29,255.00,260.33,256.48,255.74,255.18,210.50,177.65,,,,,,,,,,,
2004-11-10 22:04:59.688000,L5,,,,,,,,,,,,168.95,181.56,185.49,179.40,182.11,179.67,175.29,179.27,189.93,197.79,194.21,193.88,200.84,209.67,208.63,208.77,211.46,206.45,207.95,203.37,208.08,213.72,196.21,213.80,213.54,213.27,224.16,212.33,211.52,232.09,226.86,235.99,228.06,222.13,226.63,229.85,225.09,221.54,228.71,238.92,234.79,243.01,242.65,239.74,238.13,235.45,242.19,234.40,228.02,222.96,230.78,235.27,223.66,191.79,,234.11,243.08,242.82,227.86,230.61,228.51,222.85,231.25,235.95,225.85,,,,,,,,,,,,,,,,,,,,,,,,,177.07,202.44,215.10,189.58,235.34,237.95,259.17,245.77,,,,,,,,,,,,256.74,258.48,257.25,257.34,254.26,240.26,228.55,235.67,191.53,,,,,,,,,,,,
2004-11-26 22:05:17.306000,L5,,,,,,,,,,,,,,,,,,,,,,,,,187.36,190.79,187.59,188.76,185.56,187.29,176.24,184.38,174.65,,,,,,,,,,205.30,198.92,194.56,198.02,193.76,198.03,189.75,199.03,205.22,187.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.27,181.64,185.86,190.26,197.89,195.23,203.87,199.83,203.84,204.56,188.63,170.58,,168.01,179.60,193.47,209.04,196.63,185.60,195.86,193.44,,227.64,225.14,224.69,224.45,223.77,219.29,212.37,220.84,221.96,220.05,228.59,229.03,241.57,236.63,224.08,219.59,218.92,217.69,212.96,219.12,205.34,198.07,220.71,179.41,,,,,,,,,,,,
2005-02-14 22:06:33.160000,L5,439.87,470.49,530.67,459.59,219.46,181.23,164.28,223.04,247.49,261.43,334.30,240.97,226.61,223.96,211.21,217.96,211.14,216.55,212.83,224.47,233.23,239.88,237.97,239.24,242.72,236.15,223.70,228.66,226.13,223.79,236.72,223.31,230.96,236.89,223.60,234.24,238.80,260.78,248.59,251.26,269.81,270.36,273.38,263.05,245.91,247.39,244.34,245.25,244.86,249.86,249.75,242.04,247.98,262.11,253.86,255.59,254.58,252.86,256.25,250.44,251.15,247.27,245.22,237.38,242.28,207.82,246.28,249.71,244.91,242.31,257.65,256.54,245.98,258.03,264.60,262.36,264.71,264.91,264.56,244.01,230.30,234.14,219.29,222.75,228.36,225.50,234.13,241.10,258.65,266.68,267.86,267.24,256.71,248.65,244.58,246.05,239.37,222.56,234.89,224.68,224.33,225.60,220.91,260.74,287.03,287.09,291.10,286.68,287.20,286.26,281.15,273.27,258.56,263.11,257.47,262.75,259.49,266.94,265.12,285.99,286.16,283.39,286.44,288.83,287.38,288.71,271.09,246.60,216.35,218.91,252.49,259.08,264.68,264.35,266.84,,,,,
2005-03-02 22:06:47.890000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194.17,205.86,206.09,204.54,198.02,203.78,195.87,193.66,188.49,208.99,207.04,203.38,194.27,208.86,205.08,214.25,216.92,218.16,221.62,205.88,165.60,,,,,,,,,,,,,220.27,224.20,215.73,206.54,194.33,180.62,189.63,197.15,194.35,200.21,207.82,212.83,219.68,217.98,220.10,210.10,188.08,193.34,199.33,197.82,200.16,217.45,206.72,197.29,196.68,191.46,,242.34,240.57,240.19,241.21,239.87,246.47,239.00,233.91,238.08,234.89,242.31,243.74,248.03,242.79,237.53,239.09,237.92,236.99,233.59,238.25,242.45,245.11,241.38,190.41,,,,,,,,,,,,
2005-09-10 22:08:07.620000,L5,,,,,,,,,,,,,,,,,,,,,,,,,179.55,178.76,173.49,172.03,179.07,182.59,163.15,,,,,,,,,,,,,,,197.29,193.55,199.54,178.93,204.68,196.67,193.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.17,181.58,175.65,192.20,199.32,199.81,209.97,205.59,205.05,179.72,172.50,,,,,,,,,,,232.90,230.17,224.34,221.97,221.88,219.22,203.71,205.24,193.59,,216.45,216.34,213.34,219.94,211.48,185.69,177.83,176.62,,,,,,,,,,,,,,,,,,
2005-11-13 22:08:20.468000,L5,,,,,,,,,,,,,,,,,,,,,,,,,185.08,185.06,180.30,184.81,177.47,177.66,164.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223.67,223.56,224.40,228.34,234.50,222.30,195.09,198.43,217.92,,219.00,218.43,221.79,222.93,219.77,207.72,218.13,221.82,,,,,,,,,,,,,,,,,,
2006-02-01 22:10:13.684000,L5,251.86,241.73,237.19,242.04,235.31,241.91,237.09,229.32,224.73,219.85,223.22,225.81,234.82,236.67,233.70,230.18,234.65,232.15,230.15,238.73,248.92,247.82,248.11,261.19,265.01,266.37,274.73,280.29,265.17,271.58,274.62,279.48,277.48,282.36,289.70,300.52,296.13,299.16,321.52,316.89,311.48,318.31,324.62,324.16,323.65,307.46,305.52,295.78,308.78,310.86,294.45,291.08,285.74,285.62,278.89,274.03,276.31,280.32,274.16,271.83,278.31,277.84,268.83,268.62,275.67,274.65,281.61,274.71,283.06,267.41,265.03,264.89,259.29,268.58,274.34,275.20,270.71,281.36,276.35,269.91,265.40,258.87,260.47,266.88,271.09,270.60,270.47,277.71,289.21,285.44,282.39,289.94,284.36,284.41,281.51,284.43,298.34,295.31,310.02,298.05,300.83,295.72,294.07,305.40,294.75,302.96,301.35,296.85,300.52,297.97,309.26,320.42,296.80,289.70,291.73,303.09,299.04,297.88,291.16,294.76,302.15,304.33,304.76,316.34,311.33,322.47,304.14,292.82,294.94,293.36,291.10,287.29,286.91,287.72,281.35,239.44,245.82,247.18,269.41,288.53
2006-10-31 22:14:17.081000,L5,,,,,,,,,,,,,,,,,,,,,,,,,181.02,183.01,175.15,171.55,169.48,179.70,171.31,182.71,168.27,,,,,,,,,,,,,,,,,,,,209.48,211.45,205.43,201.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.09,185.99,184.51,188.31,199.21,203.96,213.00,213.30,210.95,193.72,171.10,,,,,,,,,,,233.68,231.38,228.46,225.28,220.23,217.80,193.40,198.01,199.18,,207.71,226.81,225.87,225.12,214.23,222.29,222.20,225.21,172.45,,,,,,,,,,,,,,,,,
2007-02-04 22:14:57.320000,L5,,,,,,,,,,,,,,,,,,,,,,,170.26,168.03,179.29,181.43,174.94,178.63,178.94,179.72,169.10,,,164.39,181.96,174.13,179.29,186.43,170.01,179.58,199.71,180.14,209.20,193.78,,,,,,,,,,,,,,200.10,194.57,185.46,192.59,203.34,202.12,189.35,,,,,,,,,,,,,,,,,,,,174.85,176.67,179.77,193.70,205.02,207.52,215.00,214.07,214.28,202.09,179.60,,,,,,,,,,,243.32,242.29,240.09,240.69,236.55,232.96,207.05,206.49,212.55,212.05,224.57,220.88,228.46,238.02,232.18,232.73,233.73,235.95,224.13,234.32,220.35,215.40,184.66,173.06,,,,,,,,,,,,
2007-10-02 22:12:54.699000,L5,,,,,,,,,,,,,,,,,,,,,,,,,190.26,191.27,182.60,175.49,178.63,185.42,165.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218.81,222.89,221.58,220.15,221.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-12-23 22:04:28.225000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.55,176.47,194.31,199.10,195.47,204.04,206.43,189.42,171.30,,,,,,,,,,,230.32,227.99,229.22,222.50,224.79,214.84,174.35,177.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,
