dates,satname,nzd0064-0000,nzd0064-0001,nzd0064-0002,nzd0064-0003,nzd0064-0004,nzd0064-0005,nzd0064-0006,nzd0064-0007,nzd0064-0008,nzd0064-0009,nzd0064-0010,nzd0064-0011
1999-08-26 22:04:44.971000,L7,400.28,318.09,322.18,322.58,309.09,310.49,302.06,300.58,308.48,299.10,299.21,303.74
1999-09-27 22:04:25.056000,L7,413.18,365.00,357.40,327.55,319.84,314.52,296.22,295.24,310.09,299.80,296.03,306.35
1999-09-27 22:04:48.949000,L7,414.15,364.81,356.83,329.00,320.16,315.56,295.05,294.45,308.16,297.75,294.57,342.27
1999-11-14 22:04:18.343000,L7,402.58,280.90,261.84,300.42,289.80,307.75,213.37,245.03,311.35,303.47,300.32,303.91
1999-11-14 22:04:42.286000,L7,340.02,281.09,264.07,300.71,299.51,307.04,213.21,282.61,310.74,302.06,299.25,303.10
2000-01-01 22:04:13.486000,L7,424.03,361.71,333.71,335.41,334.10,331.35,270.30,302.25,323.85,308.76,302.24,304.94
2000-01-01 22:04:37.439000,L7,425.88,365.29,332.35,334.66,332.49,332.70,275.30,301.97,322.72,307.92,299.45,304.37
2000-01-17 22:04:11.868000,L7,,,,267.26,275.08,255.89,,,272.19,297.56,,300.16
2000-01-17 22:04:35.821000,L7,,181.06,203.60,268.27,287.87,257.99,,,308.03,297.48,,300.69
2000-05-24 22:03:22.722000,L7,265.60,351.35,337.85,329.80,320.23,323.20,310.49,300.07,316.80,306.65,312.21,309.09
2000-05-24 22:03:46.662000,L7,345.04,352.84,338.14,329.79,320.25,323.22,308.54,299.76,313.00,305.59,312.14,340.31
2000-08-12 22:02:30.151000,L7,272.24,338.46,330.58,327.85,314.31,323.25,306.21,302.02,318.59,301.36,295.79,303.05
2000-08-12 22:02:54.094000,L7,366.55,340.78,331.63,328.83,315.09,324.17,307.19,302.91,319.16,301.82,294.30,303.65
2000-09-13 22:02:02.316000,L7,302.95,276.73,445.83,433.27,,445.72,480.11,481.16,498.55,334.81,489.80,508.57
2000-09-13 22:02:26.190000,L7,296.08,274.62,433.37,425.72,,461.87,482.84,490.94,522.24,519.88,503.01,508.27
2000-10-15 22:01:32.252000,L7,403.18,293.54,330.27,276.17,,306.69,277.92,296.83,308.68,295.98,298.17,300.95
2000-10-15 22:01:56.204000,L7,402.70,294.21,332.57,285.90,179.60,309.67,311.40,297.24,309.87,297.10,300.42,301.77
2001-01-03 22:02:12.432000,L7,301.35,,,282.74,269.96,242.71,,,304.93,,,
2001-06-28 22:00:45.094000,L7,231.72,330.34,323.40,322.92,315.64,249.74,301.90,295.75,303.19,297.03,,301.36
2001-08-15 22:00:14.727000,L7,416.39,317.78,323.38,325.13,313.84,309.90,301.87,299.44,307.52,300.35,295.23,302.41
2001-08-15 22:00:38.680000,L7,419.55,314.42,323.53,324.16,312.52,310.07,299.18,297.45,304.49,299.71,287.19,301.14
2001-10-02 21:59:40.713000,L7,337.82,289.44,317.30,295.40,289.82,242.35,283.59,242.30,304.31,298.98,300.23,303.54
2001-10-02 22:00:04.650000,L7,404.35,288.60,314.97,292.98,289.49,241.97,282.99,242.51,303.43,297.53,,302.20
2001-12-05 21:59:55.034000,L7,404.09,287.00,300.44,292.22,289.08,252.65,270.72,244.36,305.07,301.34,303.96,300.09
2001-12-05 22:00:18.987000,L7,290.17,,,284.88,286.00,246.53,,,265.63,295.93,,
2001-12-21 22:00:05.972000,L7,406.23,284.12,253.78,285.97,275.11,249.83,,,275.43,295.74,,295.79
2001-12-21 22:00:29.925000,L7,290.25,,,279.89,270.73,243.31,,,259.22,291.55,,292.78
2002-01-22 22:00:16.971000,L7,425.62,315.67,331.49,317.75,313.98,312.33,283.86,307.24,322.00,309.83,310.91,303.99
2002-01-22 22:00:40.906000,L7,425.02,377.91,330.11,323.37,312.00,312.87,286.13,308.12,323.70,307.46,308.70,351.24
2002-02-23 22:00:19.685000,L7,278.01,330.80,287.29,268.34,262.05,232.66,,,,,,
2002-02-23 22:00:43.620000,L7,401.77,338.96,328.47,317.25,298.18,296.93,265.71,242.09,305.30,247.65,,296.64
2002-03-27 22:00:13.634000,L7,407.14,330.47,328.48,325.50,304.74,313.74,292.39,298.91,309.03,293.67,293.48,295.47
2002-03-27 22:00:37.575000,L7,407.97,330.96,329.17,325.08,308.31,314.01,292.73,299.02,309.05,292.53,293.35,296.11
