dates,satname,nzd0276-0000,nzd0276-0001,nzd0276-0002,nzd0276-0003,nzd0276-0004,nzd0276-0005,nzd0276-0006,nzd0276-0007,nzd0276-0008,nzd0276-0009,nzd0276-0010,nzd0276-0011,nzd0276-0012,nzd0276-0013,nzd0276-0014,nzd0276-0015,nzd0276-0016,nzd0276-0017,nzd0276-0018,nzd0276-0019,nzd0276-0020,nzd0276-0021,nzd0276-0022,nzd0276-0023,nzd0276-0024,nzd0276-0025,nzd0276-0026,nzd0276-0027,nzd0276-0028,nzd0276-0029,nzd0276-0030,nzd0276-0031,nzd0276-0032,nzd0276-0033,nzd0276-0034,nzd0276-0035,nzd0276-0036,nzd0276-0037,nzd0276-0038,nzd0276-0039,nzd0276-0040,nzd0276-0041,nzd0276-0042,nzd0276-0043,nzd0276-0044,nzd0276-0045,nzd0276-0046,nzd0276-0047,nzd0276-0048,nzd0276-0049,nzd0276-0050,nzd0276-0051,nzd0276-0052,nzd0276-0053,nzd0276-0054,nzd0276-0055,nzd0276-0056,nzd0276-0057,nzd0276-0058
1999-12-09 21:59:21.619000,L7,259.96,241.89,274.30,305.81,315.62,281.91,291.23,282.36,283.19,292.91,284.79,266.31,267.55,265.13,275.90,281.38,272.86,263.46,264.68,274.77,273.78,291.29,261.03,272.89,283.57,275.81,283.33,290.08,280.21,296.01,321.00,324.82,293.86,297.64,306.67,299.41,309.85,315.42,299.42,293.05,284.92,304.17,284.86,291.98,283.03,265.46,290.90,307.39,283.77,246.39,250.90,275.55,263.49,260.85,274.70,282.21,293.92,319.08,328.43
1999-12-25 21:59:16.152000,L7,325.91,275.13,230.87,313.00,272.04,273.49,263.48,249.20,246.21,234.36,234.86,210.34,198.69,204.19,206.94,196.72,218.51,200.11,197.53,221.76,235.36,216.67,207.26,180.58,,,,,223.39,252.83,241.72,188.11,240.32,236.84,245.05,205.06,182.61,,,,,,,,,,,,,,487.06,391.86,347.79,394.84,215.49,197.05,225.84,235.94,285.94
2000-01-10 21:59:16.407000,L7,423.09,312.60,265.57,293.75,349.40,324.66,312.59,322.09,321.65,314.69,300.10,285.62,295.56,261.98,276.16,279.31,290.97,296.05,296.12,288.75,290.76,282.09,286.02,294.56,278.88,285.63,293.59,295.90,275.05,303.72,337.84,333.41,301.50,308.73,316.27,312.97,315.11,325.28,310.76,296.25,287.91,306.79,289.56,273.50,271.07,268.38,292.76,308.39,286.84,276.42,267.09,303.43,282.78,290.17,299.53,319.96,340.33,312.88,329.63
2000-01-26 21:59:14.283000,L7,296.16,288.15,281.96,293.99,313.97,333.14,338.65,337.28,317.59,296.63,284.97,294.22,323.44,313.25,309.03,328.00,338.87,342.12,338.98,355.23,357.68,327.04,323.27,343.96,317.24,288.95,343.30,315.72,301.53,377.65,377.00,376.84,340.60,334.09,340.51,342.95,350.31,361.32,343.74,334.57,325.00,328.96,332.50,328.24,307.61,301.87,368.06,360.40,321.15,316.32,341.02,345.71,323.59,294.13,304.83,311.77,322.34,328.74,324.41
2000-03-30 21:58:57.484000,L7,230.19,223.37,225.14,230.97,244.99,270.59,264.14,269.92,270.48,271.26,263.32,237.09,234.50,257.76,271.05,275.57,256.15,292.39,301.33,304.33,302.02,328.22,312.04,300.58,204.32,319.01,318.52,319.64,358.77,370.70,279.72,348.78,367.85,384.40,375.62,252.35,267.23,330.72,334.05,323.86,283.30,302.59,242.54,297.88,219.83,214.70,200.86,338.27,194.06,210.74,214.03,341.99,236.10,255.38,271.01,275.67,287.00,286.85,286.28
2000-05-01 21:58:42.678000,L7,262.45,239.76,249.67,259.65,287.32,316.94,317.95,303.21,308.32,309.69,302.26,301.59,303.35,303.86,295.42,300.97,326.22,315.95,336.21,327.16,329.61,344.58,313.70,304.30,320.48,340.88,347.71,312.36,292.82,292.83,313.23,333.25,353.91,351.71,345.41,333.04,340.91,345.70,331.05,316.78,301.28,330.77,320.50,289.74,286.07,300.72,310.99,317.02,311.18,290.90,311.52,308.51,284.59,281.04,283.60,305.56,322.37,325.30,305.11
2000-07-04 21:58:02.420000,L7,307.45,270.45,260.25,311.70,360.20,316.02,386.16,361.29,308.97,298.49,282.78,270.60,302.44,306.98,315.25,329.64,315.71,309.79,324.54,302.80,289.18,325.44,295.60,296.87,288.86,294.72,305.87,299.20,305.56,311.12,325.53,319.60,324.40,324.84,325.20,319.13,320.10,325.36,315.35,302.69,300.61,299.15,328.76,281.85,274.18,290.27,298.44,311.00,290.30,296.97,319.84,327.47,297.38,287.04,289.59,296.30,340.20,325.62,348.98
2000-08-05 21:57:32.751000,L7,,,203.80,219.36,243.98,293.49,285.76,279.21,274.24,272.54,281.64,266.45,259.63,267.83,287.62,304.47,315.32,223.77,,,,,,,,,363.37,359.03,383.30,401.00,379.14,372.06,,223.38,263.38,257.33,264.76,289.19,276.02,282.54,282.86,285.88,253.74,234.13,242.30,228.67,193.16,374.77,362.29,362.39,,240.37,234.59,221.79,433.61,414.91,419.15,407.73,400.23
2000-09-22 21:56:53.357000,L7,240.31,204.10,210.15,212.39,231.94,262.73,258.23,262.67,270.84,268.09,254.02,227.08,221.65,268.70,226.96,217.17,232.69,217.55,213.38,235.45,239.66,235.32,224.24,193.56,224.18,357.78,352.08,353.49,381.33,246.04,248.39,198.60,235.00,264.30,275.04,258.92,270.58,275.38,269.70,265.96,255.69,275.24,252.13,235.29,240.68,236.76,207.27,240.82,225.60,226.65,232.93,270.87,243.47,237.02,229.59,214.98,247.33,248.72,291.45
2000-11-09 21:56:45.337000,L7,273.93,266.96,259.89,282.68,343.30,362.07,348.96,329.82,297.79,318.94,269.73,276.61,271.11,265.99,263.81,263.33,430.14,323.78,282.45,286.08,276.07,273.60,268.98,272.85,267.13,267.70,277.78,276.27,253.61,280.55,292.76,279.05,294.13,310.49,372.75,321.86,360.74,318.45,313.80,291.62,286.24,291.75,277.58,261.54,258.85,263.71,279.80,287.93,250.96,244.42,272.31,291.37,298.77,278.86,280.31,274.09,289.55,290.25,336.93
2000-11-25 21:56:47.006000,L7,255.87,243.15,246.95,262.99,278.08,310.09,314.67,309.23,303.97,303.32,290.67,266.52,271.05,285.94,290.72,294.43,312.08,313.03,314.17,303.01,300.71,290.00,293.83,288.91,311.76,303.43,297.13,279.85,272.62,302.92,303.93,312.91,320.95,331.80,320.47,307.78,261.04,,,,289.26,296.98,285.19,261.97,266.94,288.17,307.61,307.58,277.55,286.24,281.89,270.48,255.10,240.89,240.36,222.89,250.64,248.19,286.46
2001-03-17 21:56:40.512000,L7,264.93,268.18,251.95,251.64,266.77,296.65,302.59,299.82,293.99,283.81,276.35,275.91,278.30,301.13,295.03,311.71,301.00,322.50,318.75,342.46,349.01,359.57,365.73,324.07,338.97,298.56,295.12,303.14,341.91,292.94,316.54,342.80,370.95,391.69,343.52,315.73,329.39,345.46,328.87,336.76,307.96,317.83,316.33,305.25,298.06,290.17,291.34,304.51,283.05,314.40,325.33,326.64,294.56,287.73,284.66,281.18,298.71,326.08,336.77
2001-09-25 21:54:52.649000,L7,271.93,255.44,251.68,256.76,279.67,301.77,309.91,318.78,301.89,292.16,291.27,277.01,277.66,293.27,300.50,304.39,313.85,299.06,320.18,342.36,345.34,345.96,344.53,334.61,325.73,330.13,336.86,361.10,284.40,371.64,382.49,354.43,373.67,355.46,348.32,340.64,361.26,362.43,347.15,329.43,307.43,319.74,321.45,309.98,303.64,309.14,298.84,318.22,299.78,307.91,367.43,372.24,317.21,286.92,290.14,300.92,299.84,303.28,324.97
2001-10-11 21:54:33.822000,L7,306.22,262.54,244.69,261.64,275.55,279.67,288.16,278.70,280.26,267.41,263.44,251.86,248.90,249.16,248.98,238.85,255.26,236.54,231.67,255.74,256.00,261.34,249.57,230.29,243.27,240.67,266.04,257.89,241.80,257.49,261.81,228.94,270.59,279.82,293.46,291.47,301.26,295.16,294.80,291.99,277.35,297.05,294.08,271.84,275.98,263.22,281.72,265.20,258.27,265.44,253.60,304.43,238.62,236.32,244.24,240.04,274.54,292.78,300.81
2002-02-16 21:55:18.119000,L7,289.83,264.56,343.13,377.89,354.32,368.98,319.07,315.80,339.17,321.97,323.83,311.62,293.37,290.69,273.37,273.56,297.36,278.67,276.77,296.30,278.14,283.44,270.87,277.17,269.51,273.34,284.65,293.73,312.89,296.72,314.06,319.36,323.34,311.29,316.91,331.68,323.90,312.82,312.84,299.58,301.38,300.46,297.75,273.29,282.67,280.52,291.23,306.89,284.12,291.73,271.54,311.97,261.08,270.49,295.34,308.17,353.20,346.95,327.68
2002-05-07 21:55:15.811000,L7,,,,,219.23,224.57,248.74,246.71,232.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-08-27 21:54:24.198000,L7,266.32,240.02,232.99,247.49,270.99,286.74,279.80,279.01,268.30,263.53,267.83,276.62,283.94,263.78,276.12,312.57,312.27,276.50,267.96,309.20,278.55,281.83,214.98,240.56,255.61,208.77,231.71,301.95,307.25,337.21,369.37,347.33,314.85,252.43,251.63,301.92,259.58,,,,,,,193.00,232.68,295.25,280.97,343.00,301.39,264.07,243.66,295.76,272.39,259.13,274.13,293.05,293.87,353.34,
2002-10-14 21:54:07.948000,L7,275.96,267.41,254.26,278.39,292.85,304.86,310.10,307.17,297.70,306.27,528.49,,488.62,313.06,305.88,296.75,320.65,311.86,315.80,330.77,321.29,292.07,292.81,308.03,299.23,328.72,346.96,336.56,292.09,307.21,325.89,361.72,376.23,356.83,336.85,319.86,340.41,375.10,332.98,321.19,298.43,322.99,315.43,318.30,312.58,299.51,313.68,345.40,300.00,315.41,346.41,371.11,370.92,280.81,281.97,299.73,296.18,307.81,320.93
2002-12-01 21:54:40.891000,L7,274.08,254.69,261.84,273.94,305.26,320.96,327.14,324.06,298.56,299.67,284.56,267.76,276.81,281.95,287.38,290.02,297.17,296.16,276.43,278.08,281.05,293.00,285.19,303.70,283.31,289.13,301.29,322.90,256.86,318.78,314.37,328.20,326.89,327.94,321.32,326.68,312.70,325.13,320.66,313.56,290.22,316.38,319.03,298.45,291.78,301.36,274.20,294.00,296.17,307.49,334.23,323.93,326.79,316.73,328.84,312.35,292.62,305.78,333.04
2003-02-19 21:55:06.528000,L7,,,201.55,210.61,229.95,246.79,247.46,247.40,244.06,241.71,225.76,217.82,218.29,222.84,226.54,246.22,,,,,,,,,,,,,,,,,,,,,285.08,297.40,287.50,211.71,249.39,259.98,249.66,,,,,,,,,,,231.15,238.67,255.03,267.50,273.25,261.06
