dates,satname,nzd0356-0000,nzd0356-0001,nzd0356-0002,nzd0356-0003,nzd0356-0004,nzd0356-0005,nzd0356-0006,nzd0356-0007,nzd0356-0008,nzd0356-0009,nzd0356-0010,nzd0356-0011,nzd0356-0012,nzd0356-0013,nzd0356-0014,nzd0356-0015,nzd0356-0016,nzd0356-0017,nzd0356-0018,nzd0356-0019,nzd0356-0020
1999-11-21 22:12:24.026000,L7,,,210.12,250.91,265.54,186.87,199.94,205.64,198.04,224.47,262.17,259.76,222.25,271.89,278.09,286.79,284.91,289.24,284.60,284.39,248.69
2000-01-17 22:06:11.705000,L7,,,,,,,,,,,,173.92,182.30,177.50,203.09,223.14,232.97,230.79,232.71,230.29,240.44
2000-02-18 22:06:05.064000,L7,247.06,312.82,295.52,270.55,270.47,275.02,274.00,263.57,256.62,255.77,266.65,263.99,266.10,287.42,289.56,297.96,295.83,318.95,305.20,295.98,253.88
2000-02-25 22:12:13.451000,L7,,,,,,,,,,,166.65,212.23,185.06,183.85,211.19,222.84,236.25,232.78,231.60,234.17,220.11
2000-08-19 22:10:38.028000,L7,,,,,,,,,,,165.45,252.68,186.85,,,,236.00,277.95,239.10,,
2000-11-07 22:09:53.335000,L7,,,289.74,268.33,266.88,271.08,268.13,263.70,256.35,253.88,263.66,264.55,260.80,281.43,282.58,292.62,289.30,287.63,287.53,287.49,289.22
2000-12-18 22:03:49.828000,L7,,,,,,,,,,,,,,,196.83,208.62,225.99,223.30,231.58,231.10,236.60
2001-01-10 22:10:03.706000,L7,,,,,,,,,,,,,,,,,226.49,232.10,236.99,233.81,207.71
2001-02-20 22:03:48.640000,L7,,296.41,280.90,261.97,265.58,268.50,269.21,263.07,255.67,258.49,265.89,265.17,252.16,281.71,280.38,289.64,290.08,293.34,289.00,290.29,283.51
2001-08-31 22:02:05.221000,L7,,,,,258.55,215.76,218.64,210.77,214.43,236.73,251.13,253.17,221.39,269.85,271.64,279.65,283.26,282.41,278.87,271.49,192.22
2001-10-02 22:01:40.483000,L7,290.39,306.40,290.76,261.03,267.75,269.23,267.90,262.42,253.23,262.94,265.86,263.24,264.65,283.25,283.38,290.82,288.70,290.47,287.30,285.60,251.88
2001-11-03 22:01:46.660000,L7,,,287.86,258.44,265.13,213.69,207.84,212.49,205.78,220.91,265.40,264.78,236.62,279.80,283.39,288.62,288.23,288.18,283.00,285.06,284.06
2001-12-21 22:02:05.831000,L7,,,276.29,257.80,202.33,219.88,218.34,222.50,219.49,188.53,262.85,261.84,253.86,279.24,283.54,291.00,287.14,286.01,282.76,279.45,281.43
2002-02-07 22:02:17.936000,L7,283.49,290.86,290.59,265.94,271.96,275.18,271.27,260.11,253.86,255.98,267.23,264.63,193.53,284.88,283.21,293.53,290.49,293.84,291.43,262.53,258.16
2002-02-14 22:08:29.220000,L7,,,,,,,,,,,,,,,,,,,231.98,231.68,200.26
2002-03-11 22:02:19.622000,L7,,,,,,,,,,,168.27,252.17,187.00,192.97,213.62,,236.63,231.69,271.05,234.47,220.28
2002-10-05 22:01:07.311000,L7,,,282.65,228.44,251.26,251.67,251.60,243.16,240.58,189.40,225.08,249.63,217.09,265.12,261.20,272.38,264.44,279.33,273.16,271.28,205.36
2003-02-26 22:02:04.470000,L7,,,,,,,,,,,,,,,,,,,235.53,225.79,213.20
2003-03-21 22:08:15.672000,L7,230.73,277.43,277.69,251.38,224.64,221.42,224.59,196.06,222.38,214.77,246.51,249.91,207.85,271.58,273.11,284.20,283.54,285.78,279.83,279.66,232.18
2003-04-15 22:02:09.929000,L7,,,335.73,338.46,509.63,279.21,277.99,268.62,261.36,264.60,275.00,273.19,270.49,287.07,288.92,298.13,295.95,300.37,317.97,305.85,292.85
2003-07-28 21:50:04.710000,L5,,,,,,222.13,215.58,216.23,208.06,201.37,,,,,,,,,,,
2003-08-13 21:50:20.872000,L5,,,,,215.85,223.25,223.53,215.99,211.23,208.23,198.58,,,,,,,,,,
2003-08-29 21:50:38.152000,L5,305.35,306.29,296.05,267.45,279.80,272.40,276.55,267.45,261.44,262.71,272.94,273.27,264.83,284.44,286.76,286.35,292.31,287.64,295.18,289.73,254.32
2003-09-14 21:50:54.515000,L5,,,,,211.87,218.20,217.51,211.58,198.35,194.75,199.22,217.21,212.08,229.68,218.03,232.69,,,,,
2003-10-16 21:51:19.969000,L5,290.22,296.09,284.91,253.67,261.74,274.65,266.37,269.69,254.69,262.84,273.89,268.91,259.23,275.64,275.99,281.67,284.81,282.89,292.15,294.25,299.64
2003-10-23 21:57:36.620000,L5,322.61,317.95,301.30,276.74,296.01,305.78,320.90,281.72,311.46,276.04,273.68,271.39,272.27,302.79,334.53,341.06,351.75,368.67,342.87,352.26,310.73
2003-11-17 21:51:45.201000,L5,292.79,302.37,287.97,263.91,270.27,270.73,276.62,273.68,271.80,269.45,284.95,285.54,281.08,283.88,281.66,288.61,289.13,284.87,286.58,298.44,307.14
2003-12-03 21:51:55.424000,L5,301.60,299.38,282.16,273.27,279.95,280.52,274.60,275.11,258.38,275.44,267.94,263.74,265.91,281.06,284.93,285.11,289.51,299.11,302.25,305.32,300.23
2003-12-10 21:58:05.829000,L5,360.79,341.50,332.86,317.78,305.85,328.39,326.22,317.44,315.71,325.16,344.60,356.97,331.96,363.87,347.26,367.14,336.32,341.78,338.09,321.60,334.04
2004-01-04 21:52:10.021000,L5,345.98,321.46,315.11,273.83,283.11,274.73,270.68,270.63,267.26,287.46,306.80,301.28,299.28,331.05,312.68,327.34,300.93,301.95,298.79,306.06,307.22
2004-04-09 21:52:55.698000,L5,,,,,,198.28,190.30,176.59,180.04,194.18,200.48,216.95,219.12,218.75,232.53,225.92,235.73,236.99,241.87,246.08,
2004-05-18 22:00:14.650000,L5,257.28,264.88,252.54,217.98,227.74,228.71,226.94,223.96,214.53,213.27,216.70,227.41,228.90,241.26,242.80,249.36,247.10,254.70,252.71,246.62,186.22
2004-06-12 21:54:47.510000,L5,290.71,301.01,285.47,257.03,260.15,263.45,260.87,256.35,243.20,250.72,254.68,253.97,256.20,274.41,273.92,279.95,279.67,279.64,279.93,258.98,209.52
2004-10-02 21:57:38.853000,L5,326.65,315.04,307.76,287.80,275.49,274.93,270.97,272.20,259.53,277.90,274.07,288.78,277.53,300.35,295.68,303.86,306.54,301.61,290.45,290.03,299.77
2004-11-10 22:04:35.857000,L5,328.73,316.09,309.50,306.89,299.49,306.09,305.64,314.62,291.07,318.61,309.62,311.31,313.44,324.35,330.84,334.07,334.32,313.76,316.09,307.87,326.43
2005-02-23 22:00:07.370000,L5,318.98,324.95,344.86,312.96,293.41,295.49,306.40,289.95,309.66,293.66,294.49,296.85,302.20,320.02,322.62,340.60,335.46,315.96,311.56,310.96,345.05
2005-03-02 22:06:24.060000,L5,,,,,,,,,,,201.43,213.83,217.88,234.53,254.50,251.97,261.32,257.58,262.22,257.83,228.28
2005-03-11 22:00:19.764000,L5,353.16,361.37,333.59,323.99,327.05,320.08,321.74,298.88,312.25,315.84,348.61,332.64,350.90,361.65,371.33,379.52,375.16,368.45,375.37,377.66,382.18
2005-03-18 22:06:34.540000,L5,,,,,,,,,169.43,206.97,217.98,225.26,226.47,235.41,237.01,225.77,233.40,235.88,239.60,232.56,
2005-04-12 22:00:30.943000,L5,301.13,303.62,291.84,269.14,272.39,273.07,269.26,260.84,256.31,259.44,276.49,271.58,269.68,292.21,288.92,300.79,295.18,295.53,293.07,294.28,271.72
2005-05-05 22:06:49.678000,L5,254.89,256.90,239.99,208.26,223.39,221.01,226.33,217.01,210.40,207.07,218.66,223.07,224.79,236.29,235.86,244.32,242.36,248.58,248.44,248.80,185.06
2005-09-10 22:07:43.789000,L5,326.93,322.40,301.26,282.16,288.91,287.86,291.61,272.61,266.53,273.11,287.36,276.02,285.50,305.14,313.18,327.87,321.04,315.55,314.23,309.77,309.16
2005-09-19 22:01:32.820000,L5,285.38,286.30,271.87,251.85,259.20,256.49,260.26,255.26,241.37,249.88,262.08,257.65,257.11,284.03,276.11,287.24,286.34,289.05,286.97,291.61,290.53
2005-11-22 22:01:58.720000,L5,289.02,281.56,266.27,249.82,249.57,252.93,255.50,242.68,235.57,244.40,255.91,256.36,251.70,279.63,279.24,279.61,286.07,289.06,293.03,291.00,276.44
2006-01-25 22:03:29.142000,L5,296.25,298.68,279.47,268.52,267.13,268.59,273.14,266.66,260.40,262.11,283.13,271.70,277.42,294.58,298.02,315.37,308.89,307.17,317.85,329.78,317.32
2006-02-17 22:10:10.858000,L5,288.83,289.54,270.29,257.15,258.43,256.07,254.29,253.16,247.20,257.79,268.00,269.21,266.01,284.65,283.87,288.70,291.95,288.20,289.92,288.38,290.38
2006-06-25 22:12:20.185000,L5,,,,,,,,,,,,210.76,217.55,231.98,230.28,235.36,,,,,
2006-08-21 22:06:55.521000,L5,253.50,251.09,233.81,216.35,215.27,213.10,211.64,204.44,201.62,197.73,206.77,219.17,226.13,240.51,250.81,240.02,240.64,253.94,244.16,242.19,169.07
2006-09-13 22:13:23.482000,L5,245.98,244.41,234.70,217.53,221.68,224.43,217.63,209.54,208.15,193.07,201.70,213.86,217.27,221.27,223.73,222.40,242.03,256.32,255.26,254.07,
2006-09-22 22:07:18.800000,L5,246.05,244.07,227.60,207.59,214.06,215.65,220.06,215.76,205.95,192.33,,,,,,,,,,,
2006-10-08 22:07:29.137000,L5,288.29,290.21,276.63,264.88,257.73,258.34,255.56,256.12,233.46,245.36,254.92,257.60,256.36,280.82,280.80,293.82,298.14,298.70,294.42,298.45,297.76
2006-10-24 22:07:38.411000,L5,296.13,289.73,271.62,255.09,246.89,253.36,244.20,243.07,235.41,246.68,269.88,272.39,266.03,290.86,290.33,294.00,293.75,286.36,286.65,292.16,288.34
2006-10-31 22:13:53.251000,L5,345.72,344.64,328.75,326.65,322.86,366.29,335.68,321.27,334.10,321.35,358.77,354.39,349.13,371.69,380.84,404.97,391.59,394.37,392.64,385.84,371.39
2006-12-11 22:08:04.096000,L5,,,,,,,,,,,,,,,,,229.68,244.28,244.70,238.06,219.79
2007-02-04 22:14:33.490000,L5,354.43,333.61,317.72,291.56,278.48,280.32,286.20,274.44,267.44,279.87,303.80,303.12,306.24,340.64,337.15,350.33,350.30,334.04,329.02,340.53,326.60
2007-02-13 22:08:23.117000,L5,292.26,286.87,261.22,246.85,248.74,248.38,245.23,247.28,244.32,252.09,274.02,273.02,267.65,291.77,282.61,284.22,287.52,285.22,285.66,286.82,295.11
2007-09-09 22:06:33.244000,L5,289.37,286.01,260.46,246.69,247.65,245.19,238.90,233.56,228.17,243.75,263.30,264.04,260.47,283.15,280.73,286.13,279.83,285.19,281.47,281.05,276.46
2007-10-02 22:12:30.868000,L5,296.18,300.04,277.45,280.53,278.05,275.09,269.97,266.07,262.10,263.12,264.30,264.35,261.94,284.86,285.67,286.82,300.74,304.18,306.94,299.84,305.76
2009-01-24 22:04:54.778000,L5,304.40,302.49,291.80,278.81,282.89,283.31,276.42,278.11,262.60,258.41,287.54,276.02,273.69,288.12,286.70,299.81,303.14,306.45,306.41,307.60,311.71
2009-02-02 21:58:58.159000,L5,,,,,,,,,,164.14,216.22,217.70,214.35,221.49,233.82,,234.82,242.05,255.30,251.77,212.93
