dates,satname,nzd0063-0000,nzd0063-0001,nzd0063-0002,nzd0063-0003,nzd0063-0004,nzd0063-0005,nzd0063-0006,nzd0063-0007,nzd0063-0008,nzd0063-0009,nzd0063-0010,nzd0063-0011,nzd0063-0012,nzd0063-0013,nzd0063-0014
1999-08-26 22:04:44.971000,L7,411.04,394.15,382.27,378.78,383.60,381.42,374.01,391.52,377.87,382.04,391.83,386.75,376.69,368.55,374.20
1999-09-27 22:04:25.056000,L7,438.75,396.28,424.26,444.73,388.55,421.25,372.29,386.52,382.47,375.04,382.46,366.76,386.18,417.64,408.61
1999-09-27 22:04:48.949000,L7,369.02,352.55,360.66,352.39,343.22,342.33,338.88,337.43,336.03,334.46,342.60,342.42,344.69,352.18,340.82
1999-11-14 22:04:18.343000,L7,543.30,378.12,393.98,410.37,384.77,380.20,384.60,369.42,365.90,380.50,379.14,368.19,369.87,373.44,377.69
1999-11-14 22:04:42.286000,L7,401.03,378.98,395.82,410.40,385.88,380.15,386.55,370.61,366.59,380.61,379.37,367.74,370.05,374.03,378.23
1999-11-30 22:04:11.332000,L7,,,,,335.85,333.22,320.48,307.31,228.25,280.02,164.88,215.81,320.08,334.60,337.61
2000-01-17 22:04:11.868000,L7,408.50,389.04,378.21,374.60,369.90,369.89,367.09,369.75,374.63,379.74,408.85,439.43,398.32,377.20,366.22
2000-01-17 22:04:35.821000,L7,542.71,382.08,375.60,372.51,366.78,366.71,364.17,368.34,367.97,375.37,399.53,428.17,391.68,372.30,362.25
2000-02-18 22:04:05.276000,L7,294.43,264.70,352.68,339.91,321.56,274.52,,316.31,326.32,322.99,331.51,332.53,330.82,335.05,328.48
2000-02-18 22:04:29.218000,L7,294.45,264.00,349.51,339.88,321.74,279.62,,316.09,326.47,322.79,331.08,332.74,330.58,334.81,327.91
2000-05-24 22:03:22.722000,L7,481.36,395.07,404.06,397.92,437.84,402.25,409.44,389.17,391.38,426.30,422.23,375.87,389.35,386.15,378.77
2000-05-24 22:03:46.662000,L7,418.83,390.94,400.98,388.96,433.56,391.07,399.38,382.86,386.44,389.18,413.65,371.43,379.23,380.94,376.35
2000-08-12 22:02:30.151000,L7,346.56,357.41,363.37,337.92,341.98,345.93,340.58,335.64,332.41,330.44,340.00,335.49,337.81,347.83,345.63
2000-08-12 22:02:54.094000,L7,408.96,396.36,399.00,394.51,414.09,441.91,394.04,393.32,406.05,390.45,394.76,407.76,380.55,401.43,386.37
2000-09-13 22:02:02.316000,L7,338.31,354.96,529.26,,,,,463.22,358.48,355.84,355.47,357.64,359.15,362.19,363.26
2000-09-13 22:02:26.190000,L7,333.39,343.10,521.97,,,,,469.71,355.16,350.64,350.63,354.62,357.58,360.44,360.84
2000-10-15 22:01:32.252000,L7,317.73,314.02,326.39,290.28,320.33,325.69,317.93,243.12,215.57,322.46,296.10,330.88,347.12,289.61,294.41
2000-10-15 22:01:56.204000,L7,336.20,320.68,335.51,336.64,324.00,329.94,322.36,326.53,323.12,326.92,311.42,365.89,359.20,311.18,328.31
2001-01-03 22:02:12.432000,L7,531.75,392.36,394.29,384.09,379.38,386.72,390.75,391.76,394.00,388.50,391.23,386.20,383.36,390.06,378.10
2001-02-04 22:01:50.443000,L7,,,,,,,,,,259.22,255.27,278.36,308.73,315.46,310.92
2001-02-04 22:02:14.384000,L7,,,,,,,,,,,,,,231.62,302.37
2001-03-08 22:01:45.126000,L7,340.12,311.36,,,,,,,,235.03,184.84,236.56,261.09,302.83,318.52
2001-03-24 22:01:35.778000,L7,338.02,332.81,357.03,349.16,345.60,334.45,334.88,450.05,364.09,363.81,354.66,355.23,371.37,365.29,345.22
2001-03-24 22:01:59.719000,L7,342.70,336.56,359.07,350.93,347.98,337.14,336.44,450.77,369.05,365.06,359.30,356.08,370.09,364.88,349.57
2001-08-15 22:00:14.727000,L7,202.57,216.71,209.17,261.38,323.28,344.03,320.01,336.91,317.04,315.71,317.22,320.60,329.87,317.23,211.06
2001-08-15 22:00:38.680000,L7,214.58,224.70,283.66,273.28,330.66,356.34,342.33,493.09,426.84,430.72,542.05,331.28,338.26,327.99,307.30
