dates,satname,nzd0295-0000,nzd0295-0001,nzd0295-0002,nzd0295-0003,nzd0295-0004,nzd0295-0005,nzd0295-0006,nzd0295-0007,nzd0295-0008,nzd0295-0009,nzd0295-0010,nzd0295-0011,nzd0295-0012,nzd0295-0013,nzd0295-0014,nzd0295-0015,nzd0295-0016,nzd0295-0017,nzd0295-0018,nzd0295-0019,nzd0295-0020,nzd0295-0021,nzd0295-0022,nzd0295-0023,nzd0295-0024,nzd0295-0025,nzd0295-0026,nzd0295-0027,nzd0295-0028,nzd0295-0029,nzd0295-0030,nzd0295-0031,nzd0295-0032,nzd0295-0033,nzd0295-0034,nzd0295-0035,nzd0295-0036,nzd0295-0037,nzd0295-0038,nzd0295-0039,nzd0295-0040,nzd0295-0041,nzd0295-0042,nzd0295-0043,nzd0295-0044,nzd0295-0045,nzd0295-0046,nzd0295-0047,nzd0295-0048,nzd0295-0049,nzd0295-0050,nzd0295-0051,nzd0295-0052,nzd0295-0053,nzd0295-0054,nzd0295-0055,nzd0295-0056,nzd0295-0057,nzd0295-0058,nzd0295-0059,nzd0295-0060,nzd0295-0061,nzd0295-0062,nzd0295-0063,nzd0295-0064,nzd0295-0065,nzd0295-0066,nzd0295-0067,nzd0295-0068,nzd0295-0069,nzd0295-0070,nzd0295-0071,nzd0295-0072,nzd0295-0073,nzd0295-0074,nzd0295-0075,nzd0295-0076,nzd0295-0077,nzd0295-0078,nzd0295-0079,nzd0295-0080,nzd0295-0081,nzd0295-0082,nzd0295-0083,nzd0295-0084,nzd0295-0085,nzd0295-0086,nzd0295-0087,nzd0295-0088,nzd0295-0089,nzd0295-0090,nzd0295-0091,nzd0295-0092,nzd0295-0093,nzd0295-0094,nzd0295-0095,nzd0295-0096,nzd0295-0097,nzd0295-0098,nzd0295-0099,nzd0295-0100,nzd0295-0101,nzd0295-0102,nzd0295-0103,nzd0295-0104,nzd0295-0105,nzd0295-0106,nzd0295-0107,nzd0295-0108,nzd0295-0109,nzd0295-0110,nzd0295-0111,nzd0295-0112,nzd0295-0113,nzd0295-0114
1999-08-05 21:47:23.016000,L7,,,,,,472.55,496.31,453.70,443.40,481.78,508.69,500.88,489.21,493.40,510.63,460.08,488.71,487.31,473.41,479.76,478.22,465.82,464.18,463.30,458.73,228.09,215.86,192.18,,,259.03,286.11,312.92,235.39,280.96,419.23,397.28,360.08,451.27,395.91,344.09,367.90,405.93,378.54,453.31,373.00,492.21,484.70,394.48,406.89,499.99,490.58,464.24,470.26,500.37,483.47,511.16,499.30,516.83,508.48,516.76,485.67,505.53,518.86,345.93,332.52,345.57,342.58,344.59,359.28,383.07,395.44,394.34,391.82,403.24,279.36,306.95,346.96,361.51,360.45,330.35,399.89,372.63,374.25,328.75,356.13,379.41,386.89,397.96,349.07,355.69,399.40,390.04,393.06,318.26,290.78,345.27,352.76,429.94,456.71,461.55,460.26,378.18,359.80,348.97,343.71,342.39,326.58,345.96,335.46,342.31,358.32,336.09,308.45,379.41
1999-08-21 21:47:20.968000,L7,274.11,330.56,320.01,503.73,452.34,436.84,430.53,426.40,432.26,432.51,440.77,447.12,452.80,467.56,475.70,385.44,395.54,379.21,285.23,465.96,480.89,484.81,301.16,296.73,283.06,297.67,200.96,165.65,515.31,445.44,451.20,472.49,500.89,504.02,496.30,514.54,483.15,518.66,485.40,523.37,358.22,360.56,364.20,367.34,377.93,375.70,376.39,361.95,480.25,500.66,445.07,407.01,406.05,407.71,403.81,446.66,464.84,487.93,484.61,487.29,496.12,454.18,482.54,457.34,453.21,465.60,465.01,453.79,452.02,466.13,461.50,481.75,495.99,479.84,505.17,473.60,492.03,361.94,442.44,436.69,482.04,500.04,469.79,486.33,451.73,477.89,480.63,464.43,489.90,488.32,487.51,394.50,348.52,349.10,340.65,324.76,367.13,369.00,368.56,386.02,393.05,390.61,385.24,364.98,357.67,355.95,353.41,342.04,429.83,390.12,340.41,345.71,339.19,348.63,336.38
1999-09-22 21:47:24.746000,L7,324.45,334.31,325.10,318.38,338.28,324.96,313.30,323.54,320.10,328.08,333.74,338.81,335.76,346.10,357.80,352.53,353.10,351.50,351.99,353.11,355.16,352.75,361.92,362.37,363.50,366.40,365.31,367.71,360.11,350.93,355.72,355.75,356.15,341.09,360.13,355.28,356.99,360.86,304.53,356.22,274.94,237.61,365.18,367.35,372.78,372.78,367.51,357.76,395.59,409.23,405.44,404.70,403.49,404.40,399.28,394.51,396.95,393.87,388.64,382.08,377.77,387.91,386.95,375.92,386.73,374.48,379.60,368.40,366.61,370.10,360.09,373.41,378.36,376.74,362.26,344.11,338.99,359.39,365.03,376.66,371.62,369.09,367.61,363.39,353.04,359.94,365.80,363.81,359.58,356.22,360.26,361.99,357.65,365.73,356.09,361.73,384.23,390.53,406.16,410.56,401.19,410.33,410.29,401.52,380.16,381.58,369.01,369.42,353.54,453.67,342.08,439.65,467.67,349.39,470.77
1999-09-29 21:53:16.190000,L7,411.52,414.96,429.12,427.92,,414.45,425.13,411.52,441.93,447.39,435.60,433.35,414.23,442.87,457.83,435.20,340.82,366.67,425.92,407.52,402.62,390.55,308.46,296.85,278.76,266.40,197.47,150.92,465.62,280.00,302.21,522.28,172.46,209.66,265.19,240.19,298.53,304.11,303.54,273.38,309.59,463.93,476.34,467.51,454.58,459.39,459.76,329.17,368.78,232.24,402.19,358.45,405.30,353.03,356.26,403.61,318.79,417.95,405.33,370.65,356.21,330.70,354.60,349.29,390.32,443.63,319.39,317.33,385.74,382.03,410.95,425.57,419.14,420.48,458.18,400.98,445.96,434.39,442.33,412.31,445.65,429.42,467.30,390.01,393.71,323.34,335.63,338.16,357.22,383.78,386.42,337.82,333.38,427.83,326.46,287.44,450.72,466.78,309.21,398.08,458.17,452.77,361.29,354.34,349.01,338.67,410.72,326.69,323.94,367.39,399.89,384.49,325.90,330.93,332.32
1999-09-29 21:53:40.155000,L7,258.75,326.83,315.11,428.24,,414.48,245.90,258.08,272.01,206.19,434.78,434.26,412.68,411.55,457.90,435.07,420.72,433.05,422.17,408.56,403.05,390.36,441.36,388.58,377.41,443.92,435.79,478.91,465.19,368.25,301.51,521.64,492.73,372.36,358.60,355.26,293.90,304.17,304.85,273.89,309.64,464.05,475.62,467.62,454.69,439.27,459.44,328.47,334.49,231.65,402.47,408.39,368.66,319.32,325.96,353.90,453.75,418.01,406.13,369.71,355.29,387.44,367.04,349.01,328.05,443.21,445.47,419.98,386.41,382.94,409.32,424.91,418.80,420.44,456.44,399.79,445.12,434.12,441.79,410.87,446.07,429.17,465.61,388.78,393.20,323.17,335.36,338.63,355.41,383.45,385.28,337.39,334.26,426.23,325.97,289.16,350.68,298.21,330.49,444.61,457.66,453.67,484.53,463.12,449.20,424.76,410.24,325.99,323.30,334.29,377.17,338.25,324.88,328.83,331.92
1999-10-24 21:47:20.173000,L7,493.88,469.36,183.17,293.41,309.76,449.56,444.11,438.41,319.36,326.84,309.49,234.21,315.11,327.20,355.09,328.66,326.28,477.44,472.65,464.57,456.66,452.92,427.58,445.45,423.30,441.28,428.62,444.58,446.43,458.42,478.93,477.98,451.08,401.44,401.63,396.57,400.87,398.31,409.79,438.43,498.11,477.98,455.45,431.58,454.02,423.21,416.59,430.36,504.98,502.12,503.57,490.88,492.98,486.37,477.28,481.52,492.46,485.07,490.88,483.93,402.81,402.18,396.24,394.16,390.10,396.78,389.46,376.33,389.28,389.56,390.02,386.97,424.02,440.87,446.07,441.69,372.54,450.76,376.40,379.48,371.01,377.11,380.63,380.25,381.93,377.53,372.24,379.62,371.25,367.31,361.71,363.33,452.10,462.82,443.39,442.36,461.07,457.80,445.60,448.41,448.76,463.00,454.70,433.49,400.78,383.18,377.46,372.11,362.97,354.04,339.57,504.39,512.88,487.37,336.77
1999-10-31 21:53:08.082000,L7,327.55,335.42,320.40,316.03,334.88,321.20,310.25,331.64,327.37,330.02,331.80,333.94,341.24,343.63,353.35,349.73,303.81,303.67,298.54,304.39,343.32,349.85,354.00,364.12,366.74,367.67,378.30,371.06,364.33,355.88,311.25,352.94,310.22,345.82,393.38,349.10,344.64,344.41,317.50,289.70,324.87,361.89,329.11,366.29,366.35,367.75,369.32,487.42,480.56,489.46,473.51,477.15,460.14,470.82,489.49,479.21,486.93,485.37,464.94,452.92,465.33,466.68,426.18,443.72,441.89,458.73,449.61,466.68,463.36,452.91,469.20,471.02,452.17,451.01,440.23,421.22,424.10,400.58,395.79,403.13,395.82,420.24,416.38,495.82,467.68,428.16,460.17,417.30,437.39,419.70,466.74,458.65,429.42,436.05,459.52,447.10,449.17,460.73,453.10,475.13,470.63,486.28,477.01,465.32,426.29,420.42,467.99,462.37,446.44,451.62,384.12,418.99,439.05,421.36,457.83
1999-11-16 21:53:32.114000,L7,416.53,423.07,452.86,430.50,416.87,407.01,408.89,425.40,412.29,419.95,433.93,422.07,428.12,433.32,444.68,435.83,436.87,437.61,436.90,427.08,411.02,436.02,450.19,432.79,428.52,457.78,454.89,462.07,466.77,460.84,439.52,441.53,438.89,455.56,432.97,430.35,411.03,471.86,435.24,436.67,458.46,453.20,450.85,445.48,457.59,454.33,493.07,445.77,434.84,450.35,447.65,424.89,446.54,468.26,446.50,422.26,440.12,460.90,449.67,459.79,418.43,410.32,396.40,404.31,402.39,412.87,421.88,402.91,396.54,408.75,419.59,454.03,456.26,399.73,407.57,413.42,409.73,389.39,396.13,430.19,451.87,454.81,439.27,422.16,456.45,514.36,466.26,403.64,391.53,396.12,421.60,431.73,417.95,438.24,484.74,469.32,485.64,483.12,476.80,499.61,492.60,499.40,487.11,448.62,418.17,415.33,416.40,401.80,463.59,390.83,439.55,446.64,429.21,359.60,495.80
2000-01-19 21:53:01.775000,L7,494.35,491.86,503.39,444.47,442.13,460.95,443.62,447.71,276.77,221.31,208.94,510.48,496.63,505.58,502.55,494.48,480.20,298.56,290.18,490.07,469.28,454.40,431.44,451.21,445.34,441.65,202.67,495.75,532.62,491.45,500.88,468.57,461.05,468.47,465.68,462.49,459.40,435.75,437.03,441.55,421.00,525.88,354.78,360.86,369.01,374.00,376.04,362.77,353.64,343.84,365.79,363.01,518.85,479.58,482.56,454.52,455.51,478.64,505.45,491.18,493.78,491.92,501.07,489.00,471.41,481.19,489.58,473.89,469.92,488.57,468.75,477.21,475.95,483.33,492.24,485.87,497.65,493.49,518.30,437.53,417.96,491.01,484.99,466.47,464.12,446.98,467.82,459.33,455.89,467.10,481.22,481.68,491.98,497.93,471.61,471.92,475.60,491.69,494.37,508.54,530.05,512.85,493.88,442.14,322.12,307.30,302.13,295.47,300.78,479.53,498.97,510.46,516.88,498.12,510.81
2000-01-19 21:53:25.812000,L7,253.98,331.44,319.21,341.68,333.51,330.99,329.81,321.52,317.75,341.95,332.15,336.09,346.27,355.36,362.37,357.59,350.01,347.20,345.27,347.81,347.75,350.78,354.56,357.97,359.65,364.02,363.43,370.12,360.39,355.51,350.21,341.72,246.61,344.84,357.90,349.45,351.01,357.61,349.28,349.96,353.49,350.88,353.91,360.69,367.91,373.35,374.78,362.22,355.36,364.81,364.18,362.29,357.95,353.45,360.98,364.64,363.65,360.11,357.10,351.70,345.33,342.00,336.83,326.25,330.05,331.78,332.84,277.35,346.87,344.85,347.77,338.00,329.49,320.09,321.80,321.09,321.47,317.46,315.64,321.41,316.33,324.63,319.59,314.51,306.22,302.88,306.97,312.07,319.28,282.78,327.85,322.41,327.31,326.76,299.95,320.89,324.14,331.93,335.44,343.52,529.05,511.61,492.01,439.90,322.29,308.19,301.65,296.60,300.74,441.19,465.24,478.69,476.62,496.82,509.95
2000-02-04 21:53:01.324000,L7,452.59,491.77,502.92,485.10,482.89,495.75,499.15,469.02,467.98,466.28,483.18,474.83,480.76,491.29,481.46,479.15,451.60,350.70,353.90,366.55,402.33,353.28,413.34,403.94,401.81,417.85,270.83,211.00,377.88,436.62,428.09,423.47,431.35,413.59,358.81,364.24,371.62,374.89,414.53,366.52,359.85,399.64,385.46,372.42,372.56,379.65,376.80,365.82,354.04,369.57,369.06,254.37,361.31,355.37,361.42,366.23,365.47,363.51,359.66,351.47,301.58,345.33,338.10,328.39,335.57,321.93,341.69,270.60,356.44,348.08,340.30,349.86,335.54,326.26,331.40,327.45,319.68,326.04,320.00,320.42,330.12,326.82,321.68,317.49,312.38,311.28,313.10,311.77,318.56,330.12,323.79,338.86,345.97,347.80,279.56,334.51,351.83,348.02,399.00,355.88,365.22,368.26,353.82,343.91,329.91,322.46,281.70,268.16,306.53,300.56,307.57,318.52,303.36,336.73,344.85
