dates,satname,nzd0407-0000,nzd0407-0001,nzd0407-0004,nzd0407-0005,nzd0407-0006,nzd0407-0007,nzd0407-0008,nzd0407-0009,nzd0407-0010,nzd0407-0011,nzd0407-0012,nzd0407-0013,nzd0407-0014,nzd0407-0017,nzd0407-0018,nzd0407-0019,nzd0407-0020,nzd0407-0021,nzd0407-0022,nzd0407-0023,nzd0407-0024,nzd0407-0025,nzd0407-0026,nzd0407-0027,nzd0407-0028,nzd0407-0029,nzd0407-0030,nzd0407-0031,nzd0407-0032,nzd0407-0033,nzd0407-0034,nzd0407-0035,nzd0407-0036,nzd0407-0037,nzd0407-0038,nzd0407-0039,nzd0407-0040,nzd0407-0041,nzd0407-0042,nzd0407-0043,nzd0407-0044,nzd0407-0002,nzd0407-0003,nzd0407-0015,nzd0407-0016
1999-09-04 22:00:33.926000,L7,378.50,370.90,360.33,351.16,241.43,270.66,263.70,271.77,164.41,147.11,173.10,384.47,411.14,289.33,357.06,362.06,368.55,366.68,312.39,334.58,370.55,408.92,351.20,384.00,312.14,389.50,370.84,358.92,391.32,371.19,243.12,301.00,187.57,388.58,394.96,383.70,339.21,332.74,357.70,368.48,376.82,,,,
1999-10-22 22:00:28.631000,L7,,,487.23,466.61,462.96,465.88,468.44,468.49,473.19,483.30,475.79,478.69,490.24,469.50,530.18,521.30,517.86,504.22,511.32,504.21,503.07,521.07,520.01,512.94,490.08,476.53,476.69,489.84,476.45,476.59,471.91,472.26,469.24,529.90,509.46,469.13,453.64,459.77,461.17,468.43,477.47,495.09,481.90,478.35,471.56
1999-12-09 22:00:33.510000,L7,431.51,433.66,429.78,438.50,435.17,426.52,427.19,432.65,434.94,435.10,436.25,442.10,443.35,377.51,401.64,409.57,403.30,414.09,429.40,431.91,433.85,436.41,438.25,435.93,432.53,427.95,431.81,430.77,428.65,433.69,428.85,432.02,431.73,429.12,424.38,427.36,429.57,425.98,427.02,432.78,437.95,430.74,429.61,438.13,375.78
2000-01-26 22:00:26.187000,L7,172.50,331.58,216.79,224.80,211.24,176.84,156.44,306.03,299.68,304.46,298.02,250.31,222.20,206.59,257.23,277.08,298.51,328.64,327.21,304.91,154.36,293.94,316.40,308.15,316.97,347.95,333.72,320.21,329.21,342.19,355.79,345.79,377.28,371.08,318.73,292.79,223.16,194.28,266.86,229.60,245.00,168.87,313.65,208.11,282.33
2000-02-11 22:00:21.827000,L7,,,220.39,236.38,198.69,175.04,159.42,278.99,302.15,275.43,325.89,186.89,211.55,211.53,358.64,370.37,368.72,357.33,327.57,304.95,321.88,335.38,315.65,366.34,353.17,373.42,350.66,325.08,330.39,369.92,368.25,350.77,380.72,228.99,225.79,177.74,145.41,159.15,170.20,171.08,194.76,,185.31,207.97,279.83
2000-02-27 22:00:16.353000,L7,428.61,428.85,402.64,407.83,387.85,250.54,260.58,269.42,403.75,401.45,437.59,462.64,456.19,370.00,387.60,394.85,387.81,405.48,419.08,418.07,422.94,426.45,435.80,432.34,434.74,423.44,424.00,424.72,420.66,431.32,423.31,420.34,426.48,422.92,423.96,428.81,427.18,422.03,426.40,435.83,440.22,428.63,420.35,422.50,328.82
2000-03-30 22:00:09.363000,L7,427.05,431.80,426.51,428.82,420.67,420.89,421.52,422.42,430.91,441.13,438.87,444.46,447.30,376.04,410.71,409.08,404.83,414.29,429.02,429.63,433.66,431.78,440.16,437.65,436.14,428.98,431.27,436.65,435.18,436.78,431.06,435.51,437.11,432.55,433.98,435.13,432.12,430.19,429.67,438.91,439.46,440.92,428.97,279.00,433.44
2000-04-15 21:59:55.745000,L7,434.11,433.10,434.22,428.27,430.24,417.64,424.28,436.32,439.43,441.35,442.93,446.19,450.57,389.00,411.62,410.46,414.92,415.39,433.36,433.88,436.79,442.66,444.05,448.08,447.20,438.69,443.67,439.44,436.68,438.55,437.71,435.28,439.61,436.92,435.22,435.16,436.07,436.99,437.08,441.79,447.07,438.87,446.18,444.93,436.08
2000-05-01 21:59:54.563000,L7,,,,336.80,314.04,299.40,297.34,299.18,288.37,298.95,350.43,324.68,,257.74,357.85,361.26,364.48,333.66,225.69,312.44,299.67,340.59,334.93,307.45,313.02,296.21,327.33,320.62,373.48,209.85,189.29,,378.90,379.68,385.75,387.79,378.95,385.96,376.86,381.99,382.34,,,,204.77
2000-06-18 21:59:27.736000,L7,407.53,428.55,417.07,422.77,439.03,406.31,459.03,437.55,416.76,436.70,443.99,474.10,464.52,473.03,389.49,391.70,396.01,400.42,424.23,428.11,465.44,443.91,443.07,449.49,443.26,433.68,438.41,431.34,432.15,433.51,433.93,427.86,430.87,428.16,436.17,432.35,433.75,443.93,446.09,445.40,473.86,422.22,422.18,357.80,484.87
2000-08-05 21:58:44.520000,L7,,,,,,292.72,289.05,297.03,292.29,300.39,380.99,381.67,,242.16,255.16,262.29,266.67,204.33,206.65,353.97,397.40,383.81,367.79,388.57,327.67,388.25,374.67,365.08,388.40,349.38,246.78,308.56,204.31,298.03,293.37,397.47,256.50,179.45,180.98,167.39,241.54,,,,142.01
2000-09-06 21:58:22.821000,L7,,,,,,,,214.85,221.75,166.87,237.26,199.39,,,238.64,320.05,339.45,329.96,223.88,356.80,,356.61,321.67,304.56,303.56,294.67,318.56,309.35,,,363.46,350.56,260.72,373.52,385.62,344.11,369.62,329.98,261.84,227.37,,,,,
2000-10-08 21:58:00.300000,L7,,,,,,,,224.03,227.22,254.05,240.56,228.62,243.90,207.72,204.71,340.71,351.97,338.92,338.02,305.02,290.08,337.81,312.20,290.85,296.03,292.99,316.40,308.88,349.36,175.60,359.88,303.09,352.00,328.27,172.85,377.76,376.32,303.94,182.87,210.18,259.65,,,326.10,159.66
2000-11-09 21:57:57.236000,L7,,,371.31,336.41,233.62,468.42,390.65,367.86,363.35,336.30,365.38,411.62,410.13,342.89,375.87,377.97,388.59,382.52,405.51,421.20,524.54,489.39,443.16,424.70,436.46,438.72,452.26,458.42,,,454.44,479.86,457.65,447.08,454.32,452.01,451.59,446.44,442.15,441.31,440.38,,,404.88,271.36
2000-11-25 21:57:58.896000,L7,446.49,438.63,442.78,443.00,443.70,440.89,440.95,444.45,449.43,454.31,458.96,455.50,457.98,479.78,505.00,438.84,436.10,439.98,440.19,439.21,443.86,446.42,448.56,449.49,450.26,444.50,445.02,447.89,448.67,451.80,445.75,442.15,440.84,440.80,438.53,442.66,440.16,433.73,438.51,441.60,445.14,440.37,441.36,459.56,448.76
2001-06-05 21:57:16.389000,L7,,,,,,,,,,244.96,393.76,403.08,411.55,258.63,244.52,289.55,204.02,238.50,,,,365.30,353.03,365.43,197.25,389.96,370.14,333.39,392.39,351.56,383.59,345.76,391.98,391.38,394.72,391.78,265.58,176.87,196.24,165.30,279.17,,,,208.49
2001-07-07 21:57:00.006000,L7,186.49,195.94,314.33,422.23,420.15,421.05,419.42,430.75,421.05,437.63,441.05,446.11,450.52,375.58,382.33,402.45,409.26,427.05,439.58,436.89,438.25,444.16,445.00,446.55,449.54,444.32,443.83,439.31,444.25,453.13,442.50,441.26,451.88,440.22,444.98,444.83,439.02,439.80,439.98,442.00,450.41,366.49,329.41,441.37,429.58
2001-08-24 21:56:24.380000,L7,403.39,406.07,412.93,415.15,393.14,405.05,395.42,387.34,393.97,340.40,420.88,421.60,422.88,318.61,370.71,377.87,380.59,414.44,415.26,414.25,417.06,418.73,420.58,415.58,411.28,416.26,414.89,411.70,416.95,413.37,414.56,406.32,415.72,404.31,404.79,401.21,396.29,364.25,376.41,376.34,385.79,415.48,376.70,186.49,208.61
2001-09-25 21:56:04.528000,L7,419.95,424.22,419.62,416.17,408.08,402.21,399.89,402.75,399.26,389.28,423.76,439.58,443.23,354.66,378.48,390.83,395.60,395.82,408.94,419.17,432.93,433.11,426.93,436.57,438.79,428.91,429.19,429.42,427.72,431.08,426.75,422.02,429.08,422.86,429.19,423.86,425.07,422.36,416.06,434.53,436.57,423.30,397.28,370.14,285.76
2001-12-14 21:56:17.682000,L7,443.36,442.00,429.21,434.12,422.23,419.54,418.29,420.84,424.12,428.68,438.21,450.01,446.90,396.89,408.10,416.22,425.08,416.63,426.26,435.32,437.67,439.96,438.92,443.68,435.54,435.23,439.65,439.69,438.87,438.38,436.96,435.87,434.88,428.66,427.08,431.56,434.14,429.90,426.87,436.10,439.66,435.84,431.21,441.76,434.42
2001-12-30 21:56:13.010000,L7,431.82,432.76,425.58,429.72,427.71,427.22,425.37,431.33,436.80,434.57,440.29,444.13,443.93,380.10,401.68,410.77,414.60,419.75,428.74,433.34,434.51,438.75,439.96,439.33,434.33,432.76,432.23,430.47,433.10,436.23,434.52,432.32,436.58,430.50,429.75,433.20,431.93,423.94,426.57,433.71,437.49,431.09,428.06,438.45,434.16
2002-02-16 21:56:30.006000,L7,159.75,328.70,346.54,340.25,328.07,306.67,269.69,303.54,273.90,302.41,307.90,249.29,215.35,,,,293.80,317.81,304.14,234.71,158.16,311.11,293.36,315.14,179.28,284.84,333.97,333.42,331.65,274.43,244.89,269.81,259.30,227.08,227.37,176.22,346.81,316.99,277.14,259.18,263.79,,162.37,,
2002-03-20 21:56:24.055000,L7,448.48,424.73,399.41,383.90,378.86,261.82,265.17,277.24,382.47,377.16,431.30,428.02,430.86,361.35,377.13,380.55,396.98,392.96,406.68,416.84,422.62,423.20,434.86,425.20,431.73,417.73,419.55,423.25,400.78,427.13,425.41,421.88,433.85,416.87,425.76,430.44,426.63,412.85,421.82,431.18,436.89,411.79,385.74,421.16,290.86
2002-05-07 21:56:27.687000,L7,423.65,423.23,419.19,417.89,417.00,415.59,405.84,413.38,429.89,504.94,440.25,444.16,444.71,368.34,386.14,387.59,411.32,408.56,438.08,433.12,441.17,446.10,449.19,442.48,441.21,432.57,432.63,433.31,435.71,436.71,432.32,433.33,433.35,428.01,431.72,443.70,438.49,432.64,435.57,444.03,445.59,427.74,424.62,440.27,423.76
2002-10-14 21:55:19.836000,L7,387.13,381.59,208.88,306.95,228.57,266.54,273.31,273.62,261.90,275.21,198.01,180.87,237.82,266.09,351.22,350.80,367.82,363.85,375.43,382.77,402.15,397.59,390.79,385.09,399.72,383.72,373.12,331.29,382.44,377.90,390.42,385.80,389.86,384.57,386.02,390.19,392.41,381.78,383.47,371.47,380.58,377.25,301.09,189.71,178.59
2002-10-30 21:55:25.430000,L7,435.12,431.06,419.75,417.46,415.98,404.02,409.55,410.00,418.90,421.19,435.42,449.52,462.91,375.91,413.89,416.48,410.69,408.87,417.41,434.45,431.82,427.53,439.84,445.71,435.23,426.59,431.40,430.84,432.38,433.25,437.02,434.78,435.94,442.23,425.17,431.47,428.36,423.35,419.87,424.46,435.19,428.83,421.67,436.96,461.25
2003-01-18 21:56:06.129000,L7,428.83,429.06,413.37,410.60,407.67,402.81,409.72,406.81,441.52,428.91,435.60,444.67,442.38,408.90,416.09,409.08,415.67,406.42,425.04,432.03,427.44,429.84,429.17,434.32,431.78,424.65,426.56,428.50,431.64,434.32,434.08,430.91,427.88,424.07,424.24,426.03,422.65,415.33,417.83,423.77,432.48,424.39,422.52,442.93,438.84
2003-05-10 21:56:22.313000,L7,185.44,179.48,420.75,415.16,399.90,398.51,401.83,397.56,416.36,396.99,432.66,434.66,431.12,346.76,370.78,373.62,384.14,416.45,409.06,417.74,420.69,424.99,435.31,430.02,423.96,417.23,424.96,420.02,431.52,427.55,424.45,427.84,429.71,419.35,417.29,420.32,423.83,421.16,426.29,414.40,387.04,357.29,186.81,397.97,275.48
2003-07-21 21:44:09.463000,L5,444.96,448.33,440.67,441.74,446.67,433.01,435.62,428.58,447.07,443.64,448.97,458.51,456.82,383.52,403.27,395.25,406.70,421.10,431.19,438.74,441.00,442.74,446.94,443.41,452.30,436.97,438.97,436.37,442.48,441.65,437.71,438.46,439.10,433.10,438.46,434.36,436.78,428.50,432.46,431.07,436.52,449.19,440.25,444.67,379.31
2004-04-02 21:46:54.575000,L5,465.33,463.91,450.93,452.45,449.92,443.51,447.84,456.70,463.12,469.85,465.97,471.29,472.21,438.79,434.21,443.56,449.49,446.14,450.62,457.29,467.25,473.17,474.68,476.93,472.40,462.62,463.78,456.75,453.13,457.13,448.41,454.43,460.52,466.76,469.85,469.56,464.86,454.24,464.43,455.20,464.84,456.53,451.07,464.14,454.52
2004-05-04 21:47:51.656000,L5,469.06,460.92,468.80,476.14,468.80,470.00,465.82,470.82,472.09,476.97,484.81,477.60,480.50,472.71,471.26,467.32,467.64,464.35,472.92,476.27,477.66,478.36,481.73,489.42,483.22,475.00,467.30,480.67,482.51,483.18,478.87,472.33,482.82,483.53,481.39,472.46,468.76,459.86,515.21,508.87,517.52,464.06,464.06,491.06,471.94
2004-05-20 21:48:20.187000,L5,438.08,436.76,445.98,442.78,436.60,436.71,429.81,444.47,436.19,453.66,460.22,459.71,466.54,403.31,412.38,414.06,419.86,425.63,440.05,445.16,438.63,447.57,447.94,446.62,450.67,440.73,440.85,448.02,442.21,447.78,445.55,447.83,446.21,435.68,437.54,437.08,436.78,429.88,432.11,436.02,433.96,439.26,444.67,455.68,441.99
2004-06-05 21:48:48.638000,L5,456.97,446.81,451.09,460.25,440.36,447.48,455.84,453.77,460.97,458.72,463.56,467.62,471.00,416.00,418.21,419.19,429.07,436.35,449.53,454.34,445.61,452.36,457.65,454.50,450.74,454.15,451.61,455.03,445.43,451.10,448.16,459.31,453.03,447.36,444.13,450.48,449.91,442.55,440.99,447.87,453.11,457.61,450.57,463.38,449.83
2004-07-07 21:49:44.929000,L5,433.20,441.36,432.44,441.97,432.04,430.49,434.77,434.42,443.33,445.65,446.69,463.52,460.20,411.67,417.95,419.91,422.05,426.09,438.71,437.49,438.08,443.22,445.29,448.12,447.15,442.46,438.60,441.47,442.13,446.22,443.74,434.08,440.20,441.20,438.41,441.22,437.47,427.97,432.98,438.16,435.64,435.84,436.15,449.23,438.39
2004-08-08 21:50:26.495000,L5,435.21,433.80,435.13,436.01,432.40,430.75,423.58,432.86,433.65,447.83,448.40,460.56,460.27,395.83,412.94,421.15,414.02,427.29,434.52,438.09,436.78,441.64,443.45,444.18,449.79,436.74,438.47,443.59,441.46,438.17,436.86,435.21,435.87,436.54,434.00,431.51,440.54,429.81,430.32,439.61,435.91,433.52,432.08,341.78,395.63
2004-09-25 21:51:43.061000,L5,454.01,443.24,450.42,452.53,451.43,450.94,458.53,462.86,465.43,469.85,474.37,476.97,477.01,442.91,449.40,438.74,442.07,438.90,457.93,459.76,457.55,464.21,468.78,479.67,463.92,449.33,449.72,447.89,451.44,453.74,454.60,459.35,457.16,451.65,447.49,453.35,452.67,462.29,440.98,444.19,468.20,445.34,445.10,462.00,452.04
2004-10-27 21:52:23.346000,L5,278.64,303.88,359.87,362.00,342.87,319.60,312.02,298.49,290.28,303.18,375.83,408.74,417.88,286.48,374.44,374.27,383.12,381.31,364.05,296.39,277.23,326.02,321.12,297.63,294.00,301.58,338.56,335.04,335.62,311.70,369.52,339.78,332.84,368.59,375.29,280.85,209.76,208.19,194.19,362.23,325.21,218.28,349.43,349.31,236.74
2005-01-15 21:53:45.186000,L5,453.74,454.27,457.33,461.36,455.03,440.51,437.34,444.72,446.72,445.45,456.75,457.92,476.24,459.57,454.26,449.90,450.00,435.22,442.43,441.28,445.25,446.18,444.23,451.99,456.10,451.70,457.20,457.33,453.83,454.81,440.02,434.49,438.75,433.88,432.27,430.50,432.23,439.84,441.99,441.87,443.24,451.25,455.31,464.64,463.09
2005-03-04 21:54:27.824000,L5,454.12,452.79,464.07,458.74,466.31,491.04,473.72,459.68,466.11,465.16,464.62,470.80,468.19,495.00,472.53,484.47,471.69,450.75,468.77,446.98,459.05,465.10,455.47,460.41,454.57,453.95,461.32,461.49,461.37,465.52,462.09,459.64,451.75,454.56,449.51,448.43,450.08,449.67,443.52,449.28,461.16,460.48,463.32,472.73,475.37
2005-04-05 21:54:42.889000,L5,459.30,451.62,447.98,451.93,447.57,444.66,443.22,451.96,458.68,458.94,461.19,470.20,469.54,431.64,440.50,433.32,448.98,449.57,452.81,458.18,453.43,454.02,454.69,455.24,454.82,449.14,448.33,448.67,453.42,463.28,456.38,457.05,462.89,464.55,453.17,463.56,457.41,453.94,463.58,456.01,459.79,446.37,450.81,459.15,459.43
2005-04-21 21:54:46.500000,L5,448.47,457.85,456.33,453.44,450.62,466.83,452.98,466.28,459.57,459.52,477.02,477.77,489.73,465.04,462.53,455.98,458.33,469.55,450.19,465.39,464.08,460.58,472.03,465.22,461.21,462.27,459.33,463.97,465.53,463.71,463.58,460.39,460.85,486.41,463.72,481.40,481.83,480.99,467.15,470.36,473.52,456.78,448.11,487.32,473.25
2005-06-08 21:55:08.756000,L5,432.92,437.66,443.65,442.71,437.28,444.63,437.72,447.02,444.05,451.33,450.63,457.92,462.58,409.62,412.81,418.23,428.41,427.43,444.49,455.95,440.27,448.61,446.05,444.88,447.99,440.24,438.94,449.78,449.17,454.35,443.86,445.91,444.00,440.07,438.64,437.42,439.73,430.27,434.70,442.38,442.56,440.62,435.70,449.80,440.99
2005-06-24 21:55:13.674000,L5,,,,238.18,336.56,208.54,298.63,311.80,282.32,320.37,410.86,425.39,425.08,295.54,366.55,351.92,367.94,383.88,394.17,390.97,396.26,402.00,398.32,403.86,396.53,401.23,406.11,409.09,400.71,395.96,397.02,357.24,404.65,395.15,391.73,387.72,400.88,397.05,395.95,396.84,389.33,,,,185.96
2005-07-10 21:55:19.319000,L5,437.73,444.67,439.72,455.61,440.89,448.01,435.73,442.36,437.62,457.76,459.73,451.57,460.85,412.89,408.35,409.00,420.65,429.17,440.73,439.13,443.10,448.36,444.69,450.58,444.84,447.88,442.82,442.81,448.80,454.31,446.31,442.81,439.30,437.91,436.15,436.20,436.87,433.87,431.16,444.58,449.49,444.41,440.53,330.04,449.45
2005-08-27 21:55:43.837000,L5,434.03,433.48,438.98,437.94,445.77,437.59,435.94,441.85,438.41,437.80,446.59,448.37,454.87,394.12,407.15,408.02,416.60,429.34,439.76,441.52,437.79,442.06,436.12,442.74,441.99,427.60,432.57,445.10,448.07,453.74,447.62,449.79,446.50,442.05,428.72,432.37,426.25,424.34,428.30,426.60,421.06,430.37,432.55,444.92,434.79
2005-09-28 21:55:44.137000,L5,454.67,445.97,447.93,451.00,449.29,444.75,443.64,446.24,455.48,447.43,458.00,464.99,464.54,400.03,424.55,427.23,429.55,434.63,446.70,460.10,457.83,455.71,458.75,459.31,461.57,450.49,455.29,458.42,460.24,453.21,458.37,455.98,457.30,456.39,448.53,450.01,447.29,440.26,439.07,447.02,447.01,445.99,440.53,458.78,447.54
2006-02-19 21:58:15.515000,L5,440.08,440.17,441.70,445.40,438.34,442.32,441.95,445.86,449.41,460.61,459.43,460.00,455.36,437.25,427.13,427.51,431.43,438.04,447.65,445.65,451.87,460.87,454.27,448.44,443.31,441.49,442.61,438.95,445.46,445.04,459.20,463.70,454.60,448.49,447.29,456.82,446.36,438.27,434.37,440.69,445.00,439.10,440.76,448.88,444.29
2006-06-27 22:00:24.118000,L5,431.54,437.67,439.34,443.36,438.26,442.82,433.07,442.51,442.55,444.81,452.04,461.87,465.23,389.42,406.67,413.00,421.90,428.67,445.11,445.65,444.04,453.21,445.74,451.43,452.51,445.06,454.47,445.40,450.97,454.25,449.88,451.61,447.51,463.06,443.48,449.26,443.74,432.91,436.13,442.65,442.33,442.42,433.10,460.47,444.23
2006-11-02 22:01:56.430000,L5,455.78,451.43,441.20,446.38,441.39,446.57,445.38,457.38,464.29,468.28,471.05,473.32,474.68,445.26,447.23,450.45,447.10,440.61,452.38,464.25,463.93,469.45,476.64,472.70,479.61,482.02,479.07,479.54,482.39,471.52,476.51,447.94,445.82,455.57,461.65,469.44,469.96,460.00,473.52,476.96,480.97,446.31,443.04,470.57,461.07
2007-01-05 22:02:28.201000,L5,448.46,443.92,451.26,452.15,453.13,449.65,448.27,448.93,448.18,450.41,456.94,459.68,465.31,440.31,432.78,440.38,447.78,440.44,443.69,440.84,442.45,443.86,450.10,449.08,444.30,441.39,452.52,451.05,448.43,454.20,446.82,450.12,447.41,436.56,433.95,439.15,437.94,442.70,433.59,439.27,442.46,448.47,452.66,451.83,452.69
2007-01-21 22:02:33.422000,L5,456.13,468.01,464.56,474.58,494.17,480.10,482.16,495.81,476.71,486.29,482.19,477.52,468.37,476.62,468.41,495.02,474.48,471.20,483.96,479.70,498.10,480.63,501.90,469.51,464.67,477.58,496.48,469.59,467.47,489.43,481.84,483.93,492.72,485.26,485.94,480.87,464.77,456.44,464.25,479.10,472.86,464.88,475.07,470.79,465.11
2008-02-16 22:04:21.599000,L5,,,,,,,,,,,,,,,,,,427.80,438.70,439.50,438.77,441.76,433.72,,,,,,,,,435.17,438.93,434.15,436.49,441.90,298.45,,,,,,,,
2008-02-25 21:58:00.859000,L5,,,240.55,235.32,230.33,217.71,226.16,218.94,249.14,253.51,258.73,264.31,178.64,214.53,312.14,357.42,382.06,391.93,312.17,378.11,406.13,407.17,402.88,404.57,396.84,392.31,405.40,404.31,,,,299.04,389.27,403.00,402.94,399.02,400.98,398.34,386.35,374.63,375.99,174.71,210.24,,211.01
2008-12-25 21:52:09.965000,L5,445.24,444.23,453.02,451.08,451.29,449.23,448.27,453.35,455.06,459.81,460.24,464.16,461.41,442.84,457.51,456.61,464.34,466.04,460.84,466.02,456.95,459.18,465.36,465.45,461.56,457.28,466.65,478.22,483.49,488.37,490.39,491.49,494.38,486.17,474.05,474.59,464.78,467.29,473.49,452.38,452.76,444.88,451.42,460.14,454.61
2010-01-13 21:58:24.995000,L5,471.20,462.60,471.03,474.32,456.85,456.40,454.27,459.51,465.20,464.47,465.05,477.97,482.92,465.82,490.34,469.96,470.92,461.30,462.76,465.17,468.82,480.77,477.38,509.80,501.77,500.11,495.23,501.54,500.10,495.03,481.14,478.79,493.14,489.27,496.56,493.74,491.53,496.78,494.43,491.14,495.47,468.86,459.10,471.89,476.39
2010-01-29 21:58:29.033000,L5,494.06,503.35,494.09,503.52,499.90,488.94,470.97,498.54,500.45,495.18,488.02,504.44,508.86,498.44,511.31,499.00,499.26,481.44,490.75,498.96,485.95,483.38,496.41,508.33,504.88,509.76,516.56,,,,,,,,,,,,,,,477.08,468.45,521.18,508.51
