dates,satname,nzd0200-0000,nzd0200-0001,nzd0200-0002,nzd0200-0003,nzd0200-0004,nzd0200-0005,nzd0200-0006,nzd0200-0007,nzd0200-0008,nzd0200-0009,nzd0200-0010,nzd0200-0011,nzd0200-0012,nzd0200-0013,nzd0200-0014,nzd0200-0015,nzd0200-0016,nzd0200-0017,nzd0200-0018,nzd0200-0019,nzd0200-0020,nzd0200-0021,nzd0200-0022,nzd0200-0023,nzd0200-0024,nzd0200-0025,nzd0200-0026,nzd0200-0027,nzd0200-0028,nzd0200-0029,nzd0200-0030,nzd0200-0031,nzd0200-0032,nzd0200-0033,nzd0200-0034,nzd0200-0035,nzd0200-0036,nzd0200-0037,nzd0200-0038,nzd0200-0039,nzd0200-0040,nzd0200-0041,nzd0200-0042,nzd0200-0043,nzd0200-0044,nzd0200-0045,nzd0200-0046,nzd0200-0047,nzd0200-0049,nzd0200-0050,nzd0200-0051,nzd0200-0052,nzd0200-0053,nzd0200-0070,nzd0200-0071,nzd0200-0072,nzd0200-0073,nzd0200-0048,nzd0200-0054,nzd0200-0055,nzd0200-0056,nzd0200-0057,nzd0200-0058,nzd0200-0059,nzd0200-0060,nzd0200-0061,nzd0200-0062,nzd0200-0063,nzd0200-0064,nzd0200-0065,nzd0200-0066,nzd0200-0067,nzd0200-0068,nzd0200-0069,nzd0200-0074,nzd0200-0075,nzd0200-0076,nzd0200-0077,nzd0200-0078,nzd0200-0079,nzd0200-0080,nzd0200-0081,nzd0200-0082,nzd0200-0083,nzd0200-0084,nzd0200-0085,nzd0200-0086,nzd0200-0087,nzd0200-0088,nzd0200-0089,nzd0200-0090,nzd0200-0091,nzd0200-0092,nzd0200-0093,nzd0200-0094,nzd0200-0095,nzd0200-0096,nzd0200-0097,nzd0200-0098,nzd0200-0099,nzd0200-0100,nzd0200-0101,nzd0200-0102,nzd0200-0103,nzd0200-0104,nzd0200-0105,nzd0200-0106,nzd0200-0107,nzd0200-0108,nzd0200-0109,nzd0200-0110,nzd0200-0111,nzd0200-0112,nzd0200-0113
1999-08-26 22:05:08.926000,L7,421.84,548.21,482.02,195.15,192.23,182.00,197.45,468.67,523.33,520.99,530.85,529.56,524.75,519.81,509.27,501.89,490.05,481.28,458.91,471.53,438.23,462.67,463.78,450.90,445.64,443.07,433.16,423.14,228.66,297.97,309.42,317.75,311.70,321.15,345.79,361.55,361.19,353.90,344.95,324.02,302.83,265.32,303.10,294.23,309.92,241.91,296.71,340.09,222.01,266.52,262.11,294.02,317.20,217.69,212.45,208.38,218.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-09-27 22:05:12.911000,L7,,,,,,,,283.11,520.21,523.15,530.70,530.21,526.24,522.33,511.21,506.83,491.83,477.46,454.19,468.48,453.32,463.51,464.48,450.29,445.39,440.24,434.77,331.48,247.48,308.50,325.15,331.84,330.25,345.02,373.19,376.77,362.58,364.81,359.79,326.44,316.32,314.32,317.57,307.47,330.49,277.67,303.00,345.79,255.97,289.86,263.17,301.84,327.68,228.26,233.15,222.14,235.13,,275.65,241.46,336.09,266.98,315.27,,,,,,,,,,,220.38,187.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-10-13 22:05:12.843000,L7,,,,,,,,,,,,,,548.16,543.84,536.33,530.53,515.20,497.08,506.80,492.91,492.42,494.00,482.95,476.19,467.93,457.15,449.52,409.23,430.47,423.66,414.33,390.79,403.67,428.39,431.51,407.20,420.37,419.98,401.17,390.33,377.98,379.08,376.87,404.46,406.36,391.32,380.90,366.60,403.72,365.47,374.19,373.11,264.25,268.14,260.31,273.73,366.55,364.55,368.82,371.04,365.02,352.81,323.62,195.93,317.24,282.52,291.35,291.59,282.13,285.12,278.04,300.01,283.17,264.05,233.85,229.58,238.51,223.66,200.63,225.16,212.67,201.27,183.12,220.37,196.00,205.99,184.11,188.48,208.56,204.01,168.97,513.52,,,,,,,,,358.81,358.80,369.16,,,,,,,326.73,329.51,,307.77
1999-11-14 22:05:06.309000,L7,,,,,,,,504.24,531.06,531.17,542.14,541.63,533.50,528.71,519.74,512.61,498.77,477.25,445.79,471.18,473.63,469.40,467.51,449.18,451.34,440.64,436.09,426.20,307.80,404.74,392.84,369.18,355.61,368.64,395.12,400.01,382.79,378.04,387.27,372.48,369.42,363.01,356.91,347.73,384.73,391.84,366.34,361.40,289.67,311.87,281.15,336.59,349.34,237.92,244.08,232.60,240.01,346.98,341.97,256.31,353.96,345.24,333.25,286.12,,,,195.48,246.34,245.25,247.70,251.11,276.62,254.31,228.72,201.17,204.48,207.13,200.25,171.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-12-09 21:58:57.676000,L7,,,,450.49,449.51,478.40,523.59,531.35,460.45,366.81,,,,,,,,,,,495.32,365.05,337.55,325.89,334.20,389.07,402.00,395.70,440.24,521.51,199.47,227.34,392.20,362.90,458.13,462.22,,340.95,341.27,220.94,,,,,,,,,,,,,,310.10,421.82,424.32,416.56,,,,,550.24,459.28,315.00,181.53,181.43,548.54,495.52,449.28,269.93,,,493.30,517.25,421.66,410.89,374.93,392.60,408.35,336.76,347.74,354.12,378.42,441.81,,,,,,,511.09,546.41,519.96,399.01,392.34,386.44,314.02,412.75,393.55,383.24,375.41,411.95,416.41,407.41,404.22,409.20,407.72,395.33,394.30,318.57,374.30,407.74,405.93,405.20
1999-12-25 21:58:52.197000,L7,451.62,413.74,386.62,369.80,356.40,367.95,376.36,383.49,394.02,391.73,401.82,405.98,404.25,400.77,399.07,402.23,398.23,394.66,388.02,394.90,391.18,385.10,392.71,389.24,385.06,383.05,372.73,367.01,354.08,349.72,363.81,379.20,358.48,370.27,368.50,395.36,398.89,377.51,397.50,382.36,376.92,370.83,370.15,376.75,410.68,425.27,433.91,412.33,402.31,439.11,422.36,418.11,428.06,423.26,418.69,420.49,428.95,402.83,421.39,432.14,435.20,432.46,430.24,411.66,412.93,415.34,417.18,411.51,406.51,410.16,408.51,416.29,416.58,425.48,424.63,419.88,403.80,412.90,422.52,390.04,407.76,417.92,408.50,398.93,418.40,441.02,423.20,424.60,406.54,446.24,427.22,437.97,426.57,428.72,419.04,428.24,425.74,437.04,416.52,547.43,513.72,550.85,516.74,522.48,474.46,462.75,511.64,506.31,535.37,518.55,499.83,530.78,536.08,527.49
2000-01-10 21:58:52.465000,L7,,,,,,468.27,427.52,313.22,310.05,185.08,354.30,544.96,508.50,498.21,394.84,409.33,255.66,494.82,,,,,,,,,,428.61,533.26,,,350.56,327.09,329.23,357.06,370.26,383.32,366.20,385.78,368.62,369.83,362.01,362.73,367.43,392.30,407.55,409.57,400.37,390.70,426.75,413.11,407.76,416.75,400.58,395.35,398.88,400.82,388.25,408.08,415.64,418.52,420.33,415.81,404.70,397.68,399.98,400.46,395.73,390.03,394.56,381.54,397.35,396.78,411.95,402.25,402.76,374.58,382.96,397.45,370.16,383.73,400.74,386.20,371.34,401.07,421.58,400.70,408.24,390.06,421.21,411.65,414.72,405.09,407.07,400.25,410.45,407.08,420.92,394.78,375.05,371.13,408.54,413.65,405.38,396.31,404.48,403.25,392.96,398.04,406.74,400.49,402.10,406.42,401.88
2000-02-18 22:04:53.186000,L7,,,,,519.06,535.19,539.89,547.26,551.89,545.08,552.66,549.52,541.61,536.50,531.14,521.84,515.55,497.17,463.81,486.98,480.34,479.38,479.32,544.02,537.16,539.06,525.40,438.66,386.45,415.79,413.72,397.40,379.53,395.73,410.76,416.78,395.66,407.18,411.47,390.19,381.88,368.85,374.90,370.09,396.73,403.41,389.41,370.03,364.47,400.61,361.49,368.53,362.67,254.17,266.63,257.18,261.01,362.71,359.17,362.48,365.50,362.73,345.25,322.97,188.89,304.98,280.63,276.33,279.33,264.33,268.47,269.44,293.79,266.67,288.88,244.58,226.43,238.43,216.53,190.98,194.90,191.63,187.06,174.74,196.08,478.33,503.52,185.57,290.50,302.03,252.64,308.93,,,,,,511.67,,347.55,361.50,395.16,,,,,,,,,,,,
2000-03-30 21:58:33.541000,L7,444.54,409.65,383.97,366.07,345.66,360.54,372.23,379.59,390.76,387.41,403.12,407.86,399.33,397.63,398.71,398.94,394.69,391.67,385.21,389.06,387.30,370.52,385.81,390.46,389.49,385.85,377.33,374.98,356.18,338.51,358.51,370.79,347.01,358.67,361.11,390.85,403.35,446.14,465.38,442.56,539.54,,,518.71,534.79,,,,399.15,430.63,410.73,386.39,417.32,,,507.44,522.41,457.71,413.93,426.83,426.07,424.41,420.69,412.58,364.65,392.05,405.25,374.02,367.87,482.43,492.83,,,,466.25,434.97,440.38,521.38,518.33,548.97,507.96,,,,498.66,495.20,,437.61,404.58,430.31,411.05,426.20,391.69,408.12,408.89,425.69,424.02,447.25,501.45,,,,,517.92,522.31,508.32,443.39,360.20,364.38,390.00,446.84,,486.88,529.16
2000-05-24 22:04:10.630000,L7,474.78,544.40,501.07,449.34,206.36,190.73,196.00,299.47,509.54,521.56,531.77,526.77,522.94,514.31,501.22,490.68,478.82,479.29,451.94,469.84,439.74,451.63,457.97,444.92,438.62,436.69,425.02,410.72,,,,238.97,307.26,322.66,336.81,338.18,349.89,342.09,337.29,312.22,281.82,224.67,298.05,289.44,309.18,229.49,302.03,340.83,,252.34,254.70,276.25,315.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
