dates,satname,nzd0292-0000,nzd0292-0001,nzd0292-0002,nzd0292-0003,nzd0292-0004,nzd0292-0005,nzd0292-0015,nzd0292-0016,nzd0292-0017,nzd0292-0033,nzd0292-0034,nzd0292-0035,nzd0292-0044,nzd0292-0045,nzd0292-0046,nzd0292-0047,nzd0292-0048,nzd0292-0006,nzd0292-0007,nzd0292-0008,nzd0292-0009,nzd0292-0010,nzd0292-0011,nzd0292-0012,nzd0292-0013,nzd0292-0018,nzd0292-0019,nzd0292-0020,nzd0292-0021,nzd0292-0022,nzd0292-0023,nzd0292-0024,nzd0292-0014,nzd0292-0025,nzd0292-0026,nzd0292-0027,nzd0292-0028,nzd0292-0032,nzd0292-0037,nzd0292-0038,nzd0292-0039,nzd0292-0040,nzd0292-0041,nzd0292-0042,nzd0292-0043,nzd0292-0036,nzd0292-0029,nzd0292-0030,nzd0292-0031
1999-07-09 22:05:23.958000,L7,,419.21,409.84,395.40,248.06,321.48,207.49,225.67,356.67,326.54,313.22,356.57,,423.80,341.66,336.52,,397.18,390.86,379.35,353.02,200.16,292.96,297.04,203.15,339.08,354.15,354.09,311.74,332.18,437.29,428.68,204.46,435.27,405.14,366.13,472.89,322.60,423.48,493.82,355.81,,,,,359.06,416.24,359.99,482.23
1999-08-26 22:05:32.883000,L7,230.33,222.29,199.39,202.50,192.19,177.19,357.80,385.58,273.68,203.14,202.59,182.22,224.84,354.02,406.69,207.04,199.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-12-25 21:59:16.152000,L7,,,,,,,,,271.74,,,,395.23,271.64,408.77,471.26,405.84,,,,,,,,,260.39,275.93,283.27,,,,396.49,,284.67,296.99,,,,201.88,235.22,246.92,251.46,315.19,370.89,252.32,,,,
2000-01-10 21:59:16.407000,L7,,,,,,,,,,334.34,336.01,,254.84,271.71,294.83,305.72,305.59,,,,,,,258.89,278.59,,,,,,,,211.53,,,,369.35,320.51,209.43,502.72,496.41,542.47,259.29,250.61,254.34,,397.87,341.13,300.96
2000-01-26 21:59:14.283000,L7,,,,,,,,,,,,,265.79,278.08,297.23,315.02,313.71,,,,,,,,,,,,,,,,,,,,,,534.08,534.76,555.12,556.50,269.03,256.19,260.00,168.34,,,
2000-03-30 21:58:57.484000,L7,,216.03,213.16,,,,,501.55,513.46,,,,229.17,259.53,290.32,265.55,211.32,,,,,,,,,423.18,515.82,,,,170.24,205.16,,247.29,292.79,323.65,,458.31,184.16,214.10,218.42,224.82,187.12,202.87,227.26,430.16,,,
2000-05-08 22:04:45.105000,L7,301.09,295.25,197.94,169.64,,312.58,,,,,,,,,,,,374.39,357.00,348.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-05-24 22:04:34.567000,L7,305.52,299.15,257.97,350.68,336.43,260.47,,,333.43,469.21,332.10,,,,,,,302.24,283.80,335.79,285.31,299.04,234.58,261.30,186.68,334.77,296.15,354.70,355.45,336.85,409.52,349.31,,,,,,,,,,,,,,,,,
2000-07-04 21:58:02.420000,L7,,,,,,,195.08,243.26,274.06,371.46,395.37,392.96,295.37,311.01,326.24,360.76,386.69,,,,,219.87,294.63,237.97,189.14,164.77,179.89,210.59,174.99,205.07,220.99,245.75,210.67,220.35,244.03,278.40,273.39,245.68,424.22,519.04,424.44,475.17,480.92,470.30,398.91,478.53,257.58,226.17,260.56
2000-07-11 22:04:05.634000,L7,189.33,208.85,190.09,273.88,314.17,277.37,242.46,270.06,284.92,339.54,330.84,333.19,,,,,,223.22,211.61,,,,,,,303.79,294.44,292.73,281.64,336.41,357.81,374.15,196.65,373.24,362.99,365.59,371.19,252.74,174.97,192.23,190.94,196.47,187.26,174.66,167.83,,,,
2000-08-05 21:57:32.751000,L7,,341.74,241.63,295.54,286.48,277.88,237.27,350.48,368.24,354.41,484.81,487.10,235.44,255.52,275.68,289.62,293.20,265.27,343.62,305.67,295.15,299.08,,,338.90,422.99,370.70,359.40,373.37,,,,311.81,,,,552.09,365.63,488.20,215.26,225.16,226.17,236.64,222.10,226.31,,538.82,376.75,363.70
2000-08-12 22:03:42.087000,L7,,,,,,,,,,,,,488.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-11-09 21:56:45.337000,L7,,,,,,,,,,,,,275.08,307.63,349.18,469.20,447.51,,,,,,,,,,,,,,,,,,,,305.24,,225.80,266.07,352.23,338.64,293.22,281.88,266.58,173.66,304.33,274.71,332.18
