dates,satname,nzd0324-0000,nzd0324-0001,nzd0324-0002,nzd0324-0003,nzd0324-0004,nzd0324-0005,nzd0324-0006,nzd0324-0007,nzd0324-0008,nzd0324-0009,nzd0324-0010,nzd0324-0011,nzd0324-0012,nzd0324-0013,nzd0324-0014,nzd0324-0015,nzd0324-0016,nzd0324-0017,nzd0324-0018,nzd0324-0019,nzd0324-0020,nzd0324-0021,nzd0324-0022,nzd0324-0023,nzd0324-0024,nzd0324-0025,nzd0324-0026,nzd0324-0027,nzd0324-0028,nzd0324-0029,nzd0324-0030,nzd0324-0031,nzd0324-0032,nzd0324-0033,nzd0324-0034,nzd0324-0035,nzd0324-0036,nzd0324-0037,nzd0324-0038,nzd0324-0039,nzd0324-0040,nzd0324-0041,nzd0324-0042,nzd0324-0046,nzd0324-0047,nzd0324-0048,nzd0324-0049,nzd0324-0050,nzd0324-0051,nzd0324-0052,nzd0324-0053,nzd0324-0054,nzd0324-0055,nzd0324-0056,nzd0324-0058,nzd0324-0059,nzd0324-0060,nzd0324-0061,nzd0324-0043,nzd0324-0044,nzd0324-0045,nzd0324-0057
1999-08-21 21:47:44.927000,L7,,,,,,,,,,,,,,,,,,,,,266.52,290.55,272.21,288.15,221.48,277.02,267.32,275.00,201.41,294.04,289.60,,,,,297.31,248.32,211.61,218.78,239.65,230.36,250.17,,,,,,,,,,290.68,262.49,,245.46,,,,,,,265.81
1999-09-22 21:47:48.716000,L7,312.88,279.65,204.44,286.81,317.53,220.36,186.13,286.16,278.57,225.87,225.11,209.43,178.74,222.89,314.14,308.02,316.38,312.61,317.07,329.79,305.00,306.41,311.14,311.19,306.76,309.85,321.13,317.37,337.87,340.77,331.48,287.99,275.22,224.73,284.23,328.42,346.57,369.59,364.88,345.35,322.13,261.02,282.26,319.42,326.91,324.84,317.90,302.12,301.78,282.00,273.59,226.45,284.85,243.49,295.33,244.31,278.95,253.74,,,,
1999-09-29 21:53:40.155000,L7,337.02,328.50,352.21,373.75,383.13,341.28,345.48,359.08,355.93,236.02,238.02,226.39,191.13,269.65,336.09,357.88,393.04,403.19,388.98,348.02,357.38,380.32,385.70,347.06,318.66,348.09,361.15,340.75,343.53,365.05,362.25,312.44,296.49,313.53,303.02,341.15,273.56,304.55,227.87,251.26,285.41,302.96,281.21,260.01,289.04,336.21,328.14,311.55,312.75,294.04,311.74,327.68,309.35,302.50,303.31,257.51,286.56,280.49,315.58,331.48,277.10,299.86
2000-01-12 21:47:18.340000,L7,440.55,372.24,386.82,412.78,393.14,404.37,417.06,431.42,437.95,352.00,,,152.26,239.00,313.14,306.88,310.03,307.93,307.57,313.60,292.90,305.82,312.25,313.54,313.48,377.51,371.18,365.76,350.59,353.28,357.16,349.01,345.46,340.01,339.85,353.07,361.35,378.94,381.78,365.51,353.80,341.83,343.65,352.82,347.52,348.32,342.74,328.16,332.53,316.07,307.95,334.99,318.98,311.54,308.13,315.75,285.80,263.94,347.59,355.79,359.51,302.87
2000-01-19 21:53:25.812000,L7,522.79,489.27,373.54,518.99,511.92,398.64,349.56,296.20,420.19,487.28,337.38,324.21,352.31,295.08,397.97,395.14,397.31,341.46,344.92,330.67,332.63,384.67,379.88,370.60,368.10,371.95,372.93,380.93,371.09,371.81,377.24,366.06,351.15,350.21,351.19,357.24,377.16,453.03,420.48,370.61,365.71,365.71,367.93,370.21,371.85,365.03,358.70,345.35,345.95,329.99,347.96,349.96,344.70,337.24,338.62,334.49,319.18,316.23,375.47,380.70,376.47,332.90
2000-04-17 21:47:08.557000,L7,294.15,190.57,192.11,206.51,186.05,,,290.00,206.22,229.19,231.07,219.48,186.46,249.13,319.63,304.59,314.71,317.98,310.50,321.82,310.05,313.06,312.57,316.56,314.34,325.48,340.96,345.86,271.34,341.15,326.36,294.42,194.31,225.17,282.28,332.00,348.41,208.24,228.50,355.02,340.60,253.90,233.13,334.75,307.31,325.61,314.83,302.56,299.61,285.08,299.33,322.43,286.84,293.87,288.99,267.15,273.72,255.49,334.99,,,294.49
2000-05-03 21:47:07.085000,L7,337.56,312.91,204.75,216.65,328.05,219.39,224.33,327.96,300.62,245.56,250.03,239.00,203.68,530.01,534.03,516.38,372.63,362.20,368.80,354.18,377.63,373.90,374.05,367.46,360.12,360.59,365.53,366.61,352.71,357.37,358.15,360.06,350.15,348.63,352.77,355.66,372.29,388.25,389.06,360.79,350.81,350.30,357.05,360.07,357.56,367.93,342.58,321.65,329.64,299.45,323.47,336.23,319.90,316.06,312.83,316.41,301.59,262.95,360.12,376.45,369.06,308.85
2000-05-19 21:46:31.829000,L7,298.06,196.59,195.74,210.90,229.81,441.21,464.95,323.29,290.98,241.37,248.91,237.80,206.12,257.73,361.14,375.18,343.59,437.17,466.93,441.51,422.91,346.60,345.57,351.78,357.06,363.63,363.34,366.65,356.42,366.13,360.25,321.94,314.20,305.33,308.75,350.17,360.60,380.24,379.38,357.76,357.24,183.72,225.76,273.33,288.34,340.37,330.72,317.29,321.45,295.53,322.91,328.79,322.79,321.57,316.27,307.18,301.48,263.11,323.98,336.10,328.27,316.17
2000-05-26 21:52:36.566000,L7,294.25,191.18,183.18,202.22,178.42,,,313.44,292.45,241.91,246.81,235.43,205.08,295.74,331.53,523.87,523.24,483.31,477.49,456.87,443.10,420.37,392.12,396.00,386.57,338.07,366.10,364.17,373.90,213.36,254.96,249.08,330.35,511.19,507.30,523.15,541.99,386.69,376.28,359.67,304.35,159.51,280.59,481.09,466.59,457.55,472.62,459.85,476.50,485.91,486.26,462.84,330.31,320.63,319.84,319.18,306.33,267.68,343.29,366.83,523.05,324.16
2000-07-13 21:52:07.753000,L7,297.61,191.31,,212.08,302.89,,,310.61,298.02,239.91,245.00,228.47,206.42,300.85,346.38,363.17,364.54,336.47,335.75,346.01,346.83,351.20,359.25,350.94,333.86,350.78,356.91,359.37,352.10,355.60,351.96,349.93,341.05,341.76,347.71,355.45,373.54,392.55,379.40,349.44,351.13,349.89,359.80,349.78,350.16,337.89,335.39,313.70,321.71,295.13,322.10,340.16,319.68,313.73,312.97,311.54,305.97,299.70,353.40,367.93,359.69,305.40
2000-07-29 21:51:50.349000,L7,437.18,282.82,185.61,203.27,190.51,,434.41,442.02,438.20,508.95,515.28,518.06,483.32,474.84,488.45,437.48,321.79,323.50,340.92,347.58,351.15,349.59,366.00,327.37,333.18,359.01,365.41,364.92,358.63,362.09,361.03,352.85,338.17,341.85,350.91,358.17,378.89,404.13,438.76,366.87,288.31,306.48,290.15,307.05,262.58,341.20,339.84,319.27,322.93,300.72,319.68,335.62,320.70,313.14,315.54,316.16,292.31,259.91,322.35,331.72,318.96,312.85
2000-08-07 21:45:32.940000,L7,324.70,196.93,197.18,210.11,331.06,,,306.32,296.03,238.71,240.79,226.76,194.77,258.21,340.09,318.60,321.55,327.84,333.81,345.47,333.51,326.77,325.71,325.55,330.25,335.58,346.30,360.85,355.63,214.08,265.24,264.33,286.36,242.12,331.46,337.84,354.22,370.99,364.42,341.52,323.48,259.64,285.45,346.68,306.98,338.17,334.17,313.87,316.40,293.71,319.53,320.78,230.32,253.84,318.97,312.54,300.54,262.76,492.07,,355.07,182.18
