dates,satname,nzd0357-0000,nzd0357-0001,nzd0357-0002,nzd0357-0003,nzd0357-0004,nzd0357-0005,nzd0357-0006,nzd0357-0007,nzd0357-0008,nzd0357-0009,nzd0357-0010,nzd0357-0011,nzd0357-0012,nzd0357-0013,nzd0357-0027,nzd0357-0028,nzd0357-0029,nzd0357-0030,nzd0357-0031,nzd0357-0044,nzd0357-0045,nzd0357-0046,nzd0357-0014,nzd0357-0015,nzd0357-0016,nzd0357-0017,nzd0357-0018,nzd0357-0019,nzd0357-0020,nzd0357-0021,nzd0357-0022,nzd0357-0023,nzd0357-0024,nzd0357-0025,nzd0357-0026,nzd0357-0032,nzd0357-0033,nzd0357-0034,nzd0357-0035,nzd0357-0037,nzd0357-0038,nzd0357-0039,nzd0357-0040,nzd0357-0041,nzd0357-0042,nzd0357-0043,nzd0357-0036,nzd0357-0047,nzd0357-0048,nzd0357-0049,nzd0357-0050,nzd0357-0051,nzd0357-0052,nzd0357-0053,nzd0357-0054,nzd0357-0055,nzd0357-0056,nzd0357-0057,nzd0357-0058,nzd0357-0059,nzd0357-0060,nzd0357-0061,nzd0357-0062,nzd0357-0063,nzd0357-0113,nzd0357-0114,nzd0357-0115,nzd0357-0117,nzd0357-0118,nzd0357-0119,nzd0357-0120,nzd0357-0121,nzd0357-0122,nzd0357-0123,nzd0357-0124,nzd0357-0104,nzd0357-0105,nzd0357-0106,nzd0357-0107,nzd0357-0108,nzd0357-0109,nzd0357-0110,nzd0357-0111,nzd0357-0112,nzd0357-0064,nzd0357-0116,nzd0357-0067,nzd0357-0068,nzd0357-0069,nzd0357-0070,nzd0357-0071,nzd0357-0072,nzd0357-0073,nzd0357-0098,nzd0357-0099,nzd0357-0100,nzd0357-0101,nzd0357-0066,nzd0357-0065,nzd0357-0074,nzd0357-0078,nzd0357-0079,nzd0357-0080,nzd0357-0081,nzd0357-0082,nzd0357-0083,nzd0357-0084,nzd0357-0085,nzd0357-0086,nzd0357-0087,nzd0357-0088,nzd0357-0089,nzd0357-0102,nzd0357-0103
1999-10-22 22:00:04.598000,L7,261.97,361.51,224.42,440.53,448.64,412.73,398.90,219.36,281.35,437.69,419.14,385.49,260.56,282.97,222.57,226.85,235.21,260.47,252.04,235.95,236.26,223.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-12-09 22:00:09.551000,L7,331.45,362.43,194.37,,439.49,400.22,358.16,421.26,403.10,425.20,400.24,396.26,398.38,388.31,287.24,259.85,265.59,296.36,310.48,206.78,238.77,,378.34,371.14,349.30,342.80,323.68,318.35,335.35,332.88,330.14,342.47,319.00,285.03,298.43,298.36,298.49,297.26,266.24,266.27,259.47,237.29,218.64,219.38,214.88,223.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-27 21:59:52.393000,L7,333.47,367.25,210.19,,441.99,399.82,346.39,429.82,393.99,431.94,408.44,404.70,374.31,364.64,287.86,269.81,270.90,290.77,308.06,222.77,252.04,,381.40,373.12,346.11,311.49,316.48,327.24,308.33,308.24,328.06,325.67,263.67,293.53,297.38,298.57,298.89,287.17,255.36,265.04,256.02,229.16,215.73,207.17,214.86,228.11,242.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-03-30 21:59:45.397000,L7,321.61,354.55,202.16,,438.74,400.48,347.75,394.70,344.67,423.46,383.79,402.26,381.92,388.84,257.39,218.80,268.00,234.15,305.92,201.89,219.90,181.26,381.36,368.40,353.55,319.42,308.43,170.10,194.11,220.51,231.88,180.51,304.43,265.81,286.57,294.14,293.19,276.75,247.05,258.39,253.73,222.18,206.25,195.47,203.69,223.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-05-01 21:59:30.586000,L7,308.80,363.27,229.94,,437.42,382.30,319.25,314.86,323.56,427.93,343.13,305.78,381.58,361.23,277.64,259.84,253.27,296.10,,200.84,200.01,,355.55,361.30,347.44,360.30,339.08,214.70,242.95,266.64,246.86,203.42,205.69,185.34,164.47,,289.43,270.66,270.89,264.78,250.45,238.89,193.15,199.85,213.52,208.05,,211.27,210.86,197.90,184.46,178.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-10-24 21:57:29.684000,L7,304.38,339.49,175.37,,,,,255.38,285.90,266.96,278.18,291.49,321.58,355.26,260.87,247.03,,,,180.64,195.54,196.49,353.22,358.60,340.22,335.80,325.25,223.62,236.25,237.27,225.47,184.50,162.79,282.70,266.23,,,,,,,,,,,,,200.13,191.07,188.02,178.06,161.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-11-25 21:57:34.931000,L7,443.01,393.77,513.65,525.09,319.67,208.48,,,,,,513.22,499.66,488.50,345.61,336.69,329.78,350.30,364.01,302.03,316.51,310.42,466.40,466.50,446.22,418.74,402.90,398.96,393.85,395.47,389.04,378.49,369.13,364.96,354.09,365.27,370.41,341.22,327.47,320.65,316.24,302.51,273.96,262.14,275.97,289.66,324.02,305.23,287.79,275.26,254.92,236.85,224.27,203.67,185.61,176.00,172.09,187.14,181.46,178.12,175.17,179.68,171.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-12-11 21:57:36.803000,L7,347.44,360.61,191.73,,445.31,414.14,421.00,437.23,433.33,430.06,410.21,409.76,406.15,419.07,292.48,291.94,307.49,333.29,315.09,238.59,230.06,253.45,407.52,392.67,392.89,370.32,325.15,329.99,364.10,355.89,330.28,345.36,321.49,322.56,315.25,308.41,321.17,298.81,276.13,290.32,274.59,286.93,248.53,212.22,221.92,249.00,283.41,239.76,241.11,249.77,181.52,209.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-02-13 21:57:39.607000,L7,341.75,352.76,201.76,,439.62,420.74,435.74,437.10,356.40,169.17,403.28,324.23,364.23,386.52,264.32,264.94,270.32,256.57,293.57,208.32,241.16,,386.75,359.22,367.60,306.97,301.09,174.95,198.68,208.41,243.54,214.58,303.96,297.87,293.64,303.15,268.61,283.84,264.48,,,,,194.28,185.09,229.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-09-25 21:55:40.572000,L7,,356.40,199.10,,,,210.65,223.94,290.47,270.99,287.64,293.12,318.54,318.64,258.27,237.74,229.59,278.46,304.89,,172.99,185.27,349.26,363.93,342.72,343.96,313.51,304.51,297.11,316.41,282.09,186.58,295.56,283.27,269.40,,,,,,,,,,,,,199.49,184.59,183.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
