dates,satname,nzd0028-0000,nzd0028-0001,nzd0028-0002,nzd0028-0003,nzd0028-0004,nzd0028-0005,nzd0028-0006,nzd0028-0007,nzd0028-0008,nzd0028-0009,nzd0028-0010,nzd0028-0011,nzd0028-0012,nzd0028-0013,nzd0028-0014,nzd0028-0015,nzd0028-0016,nzd0028-0017,nzd0028-0018,nzd0028-0019,nzd0028-0020,nzd0028-0021,nzd0028-0022,nzd0028-0023,nzd0028-0024,nzd0028-0025,nzd0028-0026,nzd0028-0027,nzd0028-0028,nzd0028-0029,nzd0028-0030,nzd0028-0031,nzd0028-0032,nzd0028-0033,nzd0028-0034,nzd0028-0035,nzd0028-0036,nzd0028-0037
1999-08-17 22:10:26.276000,L7,538.22,529.38,510.56,495.12,535.62,499.21,355.74,492.75,538.53,446.65,509.99,504.15,427.27,495.48,460.58,348.57,353.22,329.00,341.65,357.10,360.00,357.64,361.05,364.07,362.94,360.90,360.99,355.75,359.50,364.13,363.67,360.87,372.58,375.59,370.15,355.44,355.68,353.91
1999-10-04 22:10:38.131000,L7,383.23,457.26,496.02,347.56,341.72,333.08,275.28,354.42,341.37,297.90,255.97,287.53,354.75,258.95,270.18,512.16,493.38,494.56,317.09,345.67,339.59,347.84,353.16,360.70,357.47,354.83,358.41,354.67,358.17,360.72,361.10,347.85,368.26,371.88,364.15,351.11,355.58,351.38
1999-12-07 22:10:30.042000,L7,496.41,411.89,399.10,256.40,333.55,408.45,419.09,417.99,322.86,281.93,222.99,270.04,215.35,221.43,233.85,197.69,230.29,246.58,233.12,264.17,427.74,431.72,426.35,271.14,304.28,282.26,413.51,430.50,432.12,424.66,298.48,289.79,442.10,445.29,433.04,410.43,334.59,311.79
2000-02-09 22:10:19.398000,L7,550.54,389.18,427.53,260.53,246.03,443.81,448.35,486.13,441.52,463.70,465.16,494.09,494.19,447.74,411.56,441.31,452.77,431.87,450.88,276.68,302.70,319.64,485.94,505.11,496.28,323.96,495.34,436.54,461.10,456.94,495.35,444.67,493.04,481.87,440.74,466.45,434.64,425.87
2000-03-28 22:10:07.233000,L7,408.87,328.32,289.69,347.84,339.16,246.25,268.36,505.29,491.57,489.38,512.08,494.06,481.50,487.60,495.76,486.71,493.10,488.72,491.07,506.83,500.41,482.81,471.76,466.97,356.00,355.88,358.60,353.59,358.86,360.65,362.88,302.49,368.10,370.18,362.53,333.02,350.50,331.63
2000-04-29 22:09:53.797000,L7,427.89,502.57,481.76,513.21,509.47,500.82,522.51,542.97,469.11,470.32,475.67,472.48,519.45,536.99,533.53,527.18,304.93,320.31,262.89,363.73,365.25,363.40,367.18,369.80,504.37,498.17,478.30,361.67,365.25,365.18,364.43,366.47,378.10,381.18,372.24,358.76,360.66,359.23
2000-05-15 22:09:42.527000,L7,550.96,525.45,513.34,505.48,508.21,514.68,524.42,511.74,515.97,531.89,308.60,318.67,519.64,310.63,282.24,486.84,513.63,515.83,504.04,357.90,353.64,355.17,361.10,367.59,365.26,363.03,358.44,359.11,360.87,365.85,361.10,359.66,373.36,376.78,372.09,353.93,359.72,359.92
2000-06-16 22:09:26.713000,L7,409.17,404.58,348.06,358.75,272.80,304.97,356.79,363.17,353.70,278.40,314.21,320.66,363.37,303.10,285.48,315.60,241.03,294.65,270.09,358.04,356.89,355.58,356.79,364.07,365.49,367.03,362.85,355.65,361.51,367.49,365.51,358.71,372.72,516.82,495.21,351.81,357.68,348.29
2000-08-03 22:08:44.137000,L7,457.27,,262.80,245.81,233.92,237.78,241.87,256.05,289.85,251.60,,,,,,,,,218.76,255.26,263.69,265.20,250.57,252.96,275.55,261.19,275.18,270.45,283.63,311.51,274.60,258.63,256.53,314.50,301.70,285.50,,
2000-08-19 22:08:38.248000,L7,380.62,,,240.48,227.28,232.19,235.36,249.93,284.05,247.97,,,,,,,,180.76,222.21,223.27,260.22,260.27,248.74,229.23,256.91,259.23,269.57,270.98,282.58,302.55,264.77,263.49,244.42,298.60,294.41,285.08,237.77,251.39
