dates,satname,nzd0389-0000,nzd0389-0001,nzd0389-0002,nzd0389-0003,nzd0389-0004,nzd0389-0005,nzd0389-0006,nzd0389-0007,nzd0389-0008,nzd0389-0009,nzd0389-0010,nzd0389-0011,nzd0389-0012,nzd0389-0013,nzd0389-0017,nzd0389-0018,nzd0389-0014,nzd0389-0015,nzd0389-0016
1999-12-07 22:12:29.825000,L7,,,,,,,,,,,,,,,237.55,233.14,,,
2001-01-10 22:10:03.706000,L7,,266.24,289.34,,,,232.05,260.52,268.85,258.31,250.98,262.01,269.33,260.29,,,,,
2001-08-31 22:02:05.221000,L7,311.84,274.52,257.83,258.38,256.10,258.47,270.43,273.74,270.91,288.48,297.54,284.41,284.06,274.61,213.65,233.60,,,
2001-11-03 22:01:46.660000,L7,,,,,,,,,,,,,185.23,213.20,326.90,326.87,260.51,273.93,330.46
2002-02-07 22:02:17.936000,L7,,,,,,,,253.39,262.82,270.31,270.96,256.27,294.04,268.02,240.69,250.48,238.74,241.64,229.09
2002-02-14 22:08:29.220000,L7,,,,,,,,,257.84,264.07,275.95,,,,,,,,
2002-03-11 22:02:19.622000,L7,,,,,,,,,,194.80,268.52,220.10,,,,,,,
2002-03-11 22:02:43.421000,L7,,269.86,256.28,221.26,,217.60,280.45,283.87,273.65,271.69,289.74,279.33,282.01,272.51,204.65,229.51,,,
2002-10-05 22:01:07.311000,L7,,244.28,291.59,,,,,272.92,261.23,262.31,281.06,,,,200.94,240.83,,,
2003-08-20 21:56:39.173000,L5,237.42,256.92,201.19,259.61,251.00,173.04,211.44,257.64,240.96,228.82,248.69,250.29,,,166.31,189.23,,,
2003-08-29 21:50:38.152000,L5,245.44,254.49,216.11,257.97,249.25,188.87,215.48,249.27,251.63,227.83,246.76,244.01,216.10,249.39,171.26,199.73,,,
2003-09-14 21:50:54.515000,L5,231.07,254.53,198.05,253.91,246.19,158.69,207.25,238.80,249.43,233.16,251.69,247.31,237.07,246.67,180.88,209.83,,,
2003-09-14 21:51:18.345000,L5,240.92,259.66,205.00,260.77,252.84,253.00,219.23,244.09,254.38,241.77,257.94,252.93,244.42,254.98,198.21,217.85,,,
2003-10-16 21:51:19.969000,L5,230.17,261.63,246.78,259.18,252.68,252.74,231.75,252.89,251.11,238.77,250.87,250.55,242.56,197.27,234.59,230.90,205.46,236.97,237.43
2003-10-16 21:51:43.799000,L5,232.59,262.05,199.64,257.66,252.54,255.64,230.70,253.95,251.59,240.04,253.28,252.56,246.72,256.91,235.68,231.27,206.23,237.27,233.19
2003-11-17 21:51:45.201000,L5,,,,,,204.99,229.93,251.83,239.63,233.17,242.08,241.42,235.45,239.48,239.62,232.45,199.73,238.75,224.04
2003-11-17 21:52:09.031000,L5,236.13,262.88,262.70,264.75,257.17,265.14,239.71,259.53,249.25,244.61,250.58,249.89,246.47,248.98,250.34,242.35,213.21,250.00,243.18
2003-12-03 21:51:55.424000,L5,255.91,275.12,273.99,272.24,271.70,269.26,244.80,261.84,259.94,259.65,262.96,271.43,275.31,274.57,271.63,248.43,254.65,258.64,266.31
